,SEACell,0,1
0,SEACell-0,16.982073,2.3812976
1,SEACell-1,10.848662,-5.2131457
2,SEACell-2,10.834737,-2.0282
3,SEACell-3,10.794507,-1.5564269
4,SEACell-4,13.215118,-2.6643255
5,SEACell-5,20.507118,-3.770423
6,SEACell-6,10.008556,-1.5392538
7,SEACell-7,14.578412,-2.9825659
8,SEACell-8,7.7046685,-1.9557213
9,SEACell-9,11.935147,-1.884642
10,SEACell-10,16.14067,-7.137672
11,SEACell-11,13.058304,-1.9913762
12,SEACell-12,18.271353,-6.2702327
13,SEACell-13,21.085192,-0.24263214
14,SEACell-14,18.28146,-5.624159
15,SEACell-15,14.398785,-3.512674
16,SEACell-16,16.734339,2.6758647
17,SEACell-17,10.562155,2.4105043
18,SEACell-18,10.520099,3.1848595
19,SEACell-19,10.878181,-8.136682
20,SEACell-20,9.951813,2.9969618
21,SEACell-21,11.552975,1.8015261
22,SEACell-22,18.540606,-1.8764852
23,SEACell-23,17.18062,-1.15038
24,SEACell-24,20.149054,-2.9805975
25,SEACell-25,13.87934,2.390647
26,SEACell-26,16.755375,-7.0895324
27,SEACell-27,9.860784,-1.7790698
28,SEACell-28,15.500482,1.5812637
29,SEACell-29,17.603071,-4.6943154
30,SEACell-30,11.191806,-7.080216
31,SEACell-31,18.792376,-4.050667
32,SEACell-32,20.400408,-4.0600934
33,SEACell-33,17.819607,1.4733518
34,SEACell-34,16.14508,-7.0520105
35,SEACell-35,15.021542,-1.8714889
36,SEACell-36,17.018003,-3.1461678
37,SEACell-37,10.723908,-4.9666734
38,SEACell-38,20.853113,-1.606725
39,SEACell-39,19.085386,-1.4265002
40,SEACell-40,7.635619,-1.6303196
41,SEACell-41,14.812189,-3.1151774
42,SEACell-42,20.4679,-1.6216877
43,SEACell-43,19.682743,-0.9523211
44,SEACell-44,10.69872,-4.6194153
45,SEACell-45,16.473904,-5.8307214
46,SEACell-46,19.604189,-5.3632293
47,SEACell-47,9.953135,-7.9601917
48,SEACell-48,14.750738,-4.7300324
49,SEACell-49,19.738968,-3.5849063
50,SEACell-50,16.027187,2.8379414
51,SEACell-51,20.855211,-1.607982
52,SEACell-52,14.754766,2.8736258
53,SEACell-53,15.083688,2.653026
54,SEACell-54,21.129189,-1.8892103
55,SEACell-55,11.257737,-0.54910994
56,SEACell-56,21.014502,-2.0219064
57,SEACell-57,18.408604,-1.8526012
58,SEACell-58,19.550388,0.23585679
59,SEACell-59,17.633322,-2.908605
60,SEACell-60,20.503418,-3.5284169
61,SEACell-61,8.896074,-1.7171903
62,SEACell-62,10.634101,-1.9092846
63,SEACell-63,20.476465,-1.6593119
64,SEACell-64,9.3748455,-1.9229873
65,SEACell-65,15.652967,-3.81649
66,SEACell-66,11.37293,-7.36128
67,SEACell-67,21.35044,-4.2858253
68,SEACell-68,10.368126,-4.9274707
69,SEACell-69,7.71933,-1.7942425
70,SEACell-70,11.866394,-5.0413275
71,SEACell-71,18.316315,-6.930416
72,SEACell-72,14.820538,-3.7817698
73,SEACell-73,15.610118,-0.6243949
74,SEACell-74,12.969044,1.0020307
75,SEACell-75,18.91794,0.68691224
76,SEACell-76,18.890451,-4.9345136
77,SEACell-77,19.646263,-3.5211494
78,SEACell-78,10.390959,-7.748281
79,SEACell-79,17.48932,1.7992215
80,SEACell-80,17.248383,1.1258295
81,SEACell-81,12.17369,-2.2740293
82,SEACell-82,16.285114,1.9549594
83,SEACell-83,8.442115,-1.5457989
84,SEACell-84,21.89905,-2.7515285
85,SEACell-85,17.357311,0.17287295
86,SEACell-86,17.303328,-6.9369836
87,SEACell-87,21.846462,-2.0220478
88,SEACell-88,10.173246,2.1876578
89,SEACell-89,19.761833,-5.8193603
90,SEACell-90,15.413968,2.7196732
91,SEACell-91,14.5965805,2.6225314
92,SEACell-92,11.762173,-2.0814583
93,SEACell-93,20.236498,-0.13482958
94,SEACell-94,10.796843,-4.637415
