motif_name	source	cluster
M00115_2.00	CisBP_I	11
M01659_2.00	CisBP_I	11
M01660_2.00	CisBP_I	11
M01664_2.00	CisBP_I	11
M01667_2.00	CisBP_I	11
M02651_2.00	CisBP_I	4
M03590_2.00	CisBP_I	43
M05899_2.00	CisBP_I	11
M09768_2.00	CisBP_I	11
M00116_2.00	CisBP_I	192
M01657_2.00	CisBP_I	249
M01661_2.00	CisBP_I	249
M01663_2.00	CisBP_I	249
M08707_2.00	CisBP_I	212
M08708_2.00	CisBP_I	212
M09767_2.00	CisBP_I	212
M03595_2.00	CisBP_I	130
M05937_2.00	CisBP_I	131
M01751_2.00	CisBP_I	277
M02787_2.00	CisBP_I	140
M04124_2.00	CisBP_I	140
M04125_2.00	CisBP_I	140
M08725_2.00	CisBP_I	277
M08776_2.00	CisBP_I	140
M09478_2.00	CisBP_I	140
M01718_2.00	CisBP_I	137
M03605_2.00	CisBP_I	137
M03606_2.00	CisBP_I	138
M05955_2.00	CisBP_I	137
M05956_2.00	CisBP_I	137
M07538_2.00	CisBP_I	137
M08052_2.00	CisBP_I	195
M08722_2.00	CisBP_I	45
M08766_2.00	CisBP_I	45
M09657_2.00	CisBP_I	137
M00121_2.00	CisBP_I	67
M00122_2.00	CisBP_I	67
M00938_2.00	CisBP_I	67
M01753_2.00	CisBP_I	67
M08778_2.00	CisBP_I	67
M08763_2.00	CisBP_I	84
M03620_2.00	CisBP_I	131
M04156_2.00	CisBP_I	131
M04157_2.00	CisBP_I	131
M05990_2.00	CisBP_I	136
M05991_2.00	CisBP_I	131
M08736_2.00	CisBP_I	84
M08757_2.00	CisBP_I	84
M09470_2.00	CisBP_I	86
M01815_2.00	CisBP_I	110
M02729_2.00	CisBP_I	110
M02824_2.00	CisBP_I	110
M04009_2.00	CisBP_I	212
M04227_2.00	CisBP_I	212
M04228_2.00	CisBP_I	212
M08783_2.00	CisBP_I	110
M08836_2.00	CisBP_I	110
M00123_2.00	CisBP_I	224
M00126_2.00	CisBP_I	169
M01814_2.00	CisBP_I	224
M02854_2.00	CisBP_I	224
M02855_2.00	CisBP_I	224
M02856_2.00	CisBP_I	224
M02857_2.00	CisBP_I	224
M02858_2.00	CisBP_I	116
M02869_2.00	CisBP_I	224
M02870_2.00	CisBP_I	224
M02871_2.00	CisBP_I	282
M04039_2.00	CisBP_I	224
M04040_2.00	CisBP_I	224
M04343_2.00	CisBP_I	157
M04344_2.00	CisBP_I	157
M04345_2.00	CisBP_I	116
M04346_2.00	CisBP_I	116
M04347_2.00	CisBP_I	282
