SEACell	metacell	SEACell_cell_type	metacell_cell_type
SEACell-3	5	cnidocyte	cnidocyte
SEACell-55	5	cnidocyte	cnidocyte
SEACell-8	5	cnidocyte	cnidocyte
SEACell-4	4	cnidocyte	cnidocyte
SEACell-81	4	cnidocyte	cnidocyte
SEACell-40	5	cnidocyte	cnidocyte
SEACell-83	5	cnidocyte	cnidocyte
SEACell-92	5	cnidocyte	cnidocyte
SEACell-64	5	cnidocyte	cnidocyte
SEACell-61	5	cnidocyte	cnidocyte
SEACell-9	4	cnidocyte	cnidocyte
SEACell-62	5	cnidocyte	cnidocyte
SEACell-73	4	cnidocyte	cnidocyte
SEACell-2	5	cnidocyte	cnidocyte
SEACell-27	5	cnidocyte	cnidocyte
SEACell-69	5	cnidocyte	cnidocyte
SEACell-6	5	cnidocyte	cnidocyte
SEACell-35	4	cnidocyte	cnidocyte
SEACell-15	4	cnidocyte_precursors	cnidocyte
SEACell-7	7	cnidocyte_precursors	cnidocyte
SEACell-11	5	cnidocyte_precursors	cnidocyte
SEACell-82	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-16	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-79	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-33	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-80	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-58	30	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-50	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-75	27	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-0	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-85	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-87	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-93	40	ectoderm_embryonic	ectoderm.embryonic
SEACell-67	50	ectoderm_embryonic	ectoderm.embryonic
SEACell-39	81	ectoderm_embryonic	ectoderm.embryonic
SEACell-5	50	ectoderm_embryonic	ectoderm.embryonic
SEACell-60	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-38	40	ectoderm_embryonic	ectoderm.embryonic
SEACell-13	40	ectoderm_embryonic	ectoderm.embryonic
SEACell-51	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-24	50	ectoderm_embryonic	ectoderm.embryonic
SEACell-42	53	ectoderm_embryonic	ectoderm.embryonic
SEACell-56	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-43	50	ectoderm_embryonic	ectoderm.embryonic
SEACell-84	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-54	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-63	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-77	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-22	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-49	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-32	58	ectoderm_embryonic	ectoderm.embryonic
SEACell-10	86	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-89	82	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-45	86	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-14	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-71	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-86	85	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-12	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-34	86	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-26	86	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-29	83	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-31	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-46	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-76	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-88	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-17	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-18	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-20	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-74	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-21	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-23	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-28	14	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-25	16	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-91	16	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-90	22	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-52	22	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-53	16	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-65	114	NPC	NPC
SEACell-57	113	NPC	NPC
SEACell-36	116	NPC	NPC
SEACell-48	118	NPC	NPC
SEACell-59	113	NPC	NPC
SEACell-19	120	neuronal	neuronal
SEACell-72	121	neuronal	neuronal
SEACell-47	120	neuronal	neuronal
SEACell-78	120	neuronal	neuronal
SEACell-30	120	neuronal	neuronal
SEACell-66	121	neuronal	neuronal
SEACell-70	122	gland_mucous	gland.mucous
SEACell-44	122	gland_mucous	gland.mucous
SEACell-1	122	gland_mucous	gland.mucous
SEACell-41	122	gland_mucous	gland.mucous
SEACell-94	122	gland_mucous	gland.mucous
SEACell-37	122	gland_mucous	gland.mucous
SEACell-68	122	gland_mucous	gland.mucous
