cell_type	motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
cnidocyte	FoxQ2d	1.29881129161472	0.265509989484753	0.204425378189208	505	22635	1.37639669905011e-10	1.37639669905011e-10	cnidocyte
cnidocyte_gastrula	FoxQ2d	0.910593782773233	0.187400774750746	0.205800630639068	2951	19776	0.999999961253426	0.999999961253426	cnidocyte_gastrula
ecto_pharynx	FoxQ2d	1.0745958419635	0.214341065247714	0.199462027375865	4149	18390	1.64876057704833e-06	1.64876057704833e-06	ecto_pharynx
ectoderm	FoxQ2d	1.00562232031731	0.20173840431185	0.200610507778104	5315	17087	0.347781890021437	0.347781890021437	ectoderm
ecto_aboral	FoxQ2d	1.02251064075282	0.204449860450489	0.19994888297687	5201	17211	0.058953013874957	0.058953013874957	ecto_aboral
EMS	FoxQ2d	0.837731959181574	0.174632800454435	0.208459040556413	4304	18103	1	1	EMS
EMS_ecto_boundary	FoxQ2d	1.06425621064801	0.214818683778541	0.201848654139157	2879	19872	0.0002607487819817	0.0002607487819817	EMS_ecto_boundary
gastro_circular_muscle_1	FoxQ2d	0.829371673829251	0.170979198376459	0.206155097613883	337	22809	0.999959194326561	0.999959194326561	gastro_circular_muscle_1
gastro_circular_muscle_2	FoxQ2d	0.935486501067737	0.192475940507437	0.20574956483899	440	22695	0.943912467685209	0.943912467685209	gastro_circular_muscle_2
gastro_parietal_muscle	FoxQ2d	0.933709076944657	0.192139737991266	0.205781161108553	352	22788	0.929052431933769	0.929052431933769	gastro_parietal_muscle
gastro_IRF1_2	FoxQ2d	0.688728888331326	0.14176245210728	0.205832010982937	74	23089	0.999934612420796	0.999934612420796	gastro_IRF1_2
gastro_somatic_gonad	FoxQ2d	1.06701204031987	0.219298245614035	0.205525558594721	25	23143	0.39398372051791	0.39398372051791	gastro_somatic_gonad
muscle_tentacle_retractor	FoxQ2d	1.2627813355747	0.258753202391119	0.204907370026466	303	22840	5.91353092777307e-06	5.91353092777307e-06	muscle_tentacle_retractor
muscle_mesentery_retractor	FoxQ2d	0.873405452121355	0.17966573816156	0.205707140624302	129	23032	0.963127829378706	0.963127829378706	muscle_mesentery_retractor
digestive_filaments_1	FoxQ2d	1.45379859895989	0.297902097902098	0.204912907548013	213	22940	2.93190369028746e-09	2.93190369028746e-09	digestive_filaments_1
digestive_filaments_2	FoxQ2d	1.84513617508146	0.377483443708609	0.204582972685983	228	22927	1.82282800175763e-22	1.82282800175763e-22	digestive_filaments_2
digestive_filaments_3	FoxQ2d	2.02003712042106	0.412413793103448	0.204161492347964	299	22852	5.90534995058384e-37	5.90534995058384e-37	digestive_filaments_3
epidermis_1	FoxQ2d	1.03391377260492	0.212368728121354	0.205402746097768	182	22963	0.320324956808559	0.320324956808559	epidermis_1
epidermis_2	FoxQ2d	1.22874893911366	0.251282051282051	0.204502354617137	588	22538	3.58261269168625e-08	3.58261269168625e-08	epidermis_2
precursors_PGC	FoxQ2d	0.854006745311093	0.175675675675676	0.205707597323112	130	23023	0.981780898709037	0.981780898709037	precursors_PGC
precursors_endoNPC	FoxQ2d	1.04098400726389	0.213903743315508	0.205482257001941	80	23081	0.363438791043922	0.363438791043922	precursors_endoNPC
precursors_NPC	FoxQ2d	1.33242134898571	0.2734375	0.205218492039437	140	23021	0.000138422502972083	0.000138422502972083	precursors_NPC
NPC_1	FoxQ2d	1.01118611731713	0.20487106017192	0.202604700226187	2717	19975	0.274605312649825	0.274605312649825	NPC_1
NPC_2	FoxQ2d	0.971990087801913	0.199643493761141	0.205396635486912	448	22661	0.755463726970338	0.755463726970338	NPC_2
neuron_GATA_Islet_1	FoxQ2d	0.792787740515013	0.163636363636364	0.206406274055224	360	22792	0.999999804352431	0.999999804352431	neuron_GATA_Islet_1
neuron_GATA_Islet_2	FoxQ2d	1.054595409431	0.216599190283401	0.205386054544146	321	22834	0.151845705049934	0.151845705049934	neuron_GATA_Islet_2
neuron_Pou4_FoxL2_1	FoxQ2d	1.285654111007	0.262604120999562	0.204257209424606	599	22531	2.00081156838893e-11	2.00081156838893e-11	neuron_Pou4_FoxL2_1
neuron_Pou4_FoxL2_2	FoxQ2d	1.4884922261906	0.303664921465969	0.204008402679481	522	22628	2.5964778408581e-22	2.5964778408581e-22	neuron_Pou4_FoxL2_2
neuron_Pou4_FoxL2_3	FoxQ2d	1.18532958438549	0.242755344418052	0.204799869686796	511	22631	1.58004304800865e-05	1.58004304800865e-05	neuron_Pou4_FoxL2_3
neuronal_gastrula	FoxQ2d	0.918004824887912	0.188441765644389	0.205273175625627	1063	21893	0.999026585964529	0.999026585964529	neuronal_gastrula
gland	FoxQ2d	1.27280084690097	0.261163734776725	0.205188215746878	193	22970	0.000154356711247176	0.000154356711247176	gland
gland_mucin	FoxQ2d	0.886077165389138	0.182424747895974	0.20587907579794	2406	20325	0.99999999990604	0.99999999990604	gland_mucin
