motif	fc_peaks_gastrula_genes_adult_both	minuslog10_padj_peaks_gastrula_genes_adult_both
Nvec_vc1.1_XM_001627049.3_HLH.HG1.19:HELT_241030_homer	0.571665678107698	0.571665678107698
ARCH794_Usf2__PIF5ox	0.538095895683182	0.538095895683182
ARCH400_Max/Ppp5c	0.538095895683182	0.538095895683182
ARCH832_BAM8	0.538095895683182	0.538095895683182
ARCH402_Mlx	0.538095895683182	0.538095895683182
ARCH187_At4g36780__At1g78700	0.538095895683182	0.538095895683182
ARCH788_At4g18890	0.538095895683182	0.538095895683182
ARCH1576_Mlx	0.520007058880387	0.520007058880387
ARCH1574_M01751_2.00__bHLHE...	0.584962500721156	0.584962500721156
M06003_2.00	0.584962500721156	0.584962500721156
M05989_2.00	0.53051471669878	0.53051471669878
ARCH1571_Usf3	0.573466861883327	0.573466861883327
ARCH1572_Mlx	0.573466861883327	0.573466861883327
ARCH1570_Usf3	0.838719092966939	0.838719092966939
ARCH1578_Cbf1	0.546743178490666	0.546743178490666
ARCH797_Mlx	0.504042505337589	0.504042505337589
ARCH946_Usf3	0.580846392248924	0.580846392248924
ARCH363_IBL1__M04191_2.00__...	0.616671360448494	0.616671360448494
Hes2_241030_homer	0.760329587231717	0.760329587231717
ARCH926_Pho2	0.660149997115375	0.660149997115375
ARCH1573_M08725_2.00	0.868355994189529	0.868355994189529
ARCH795_M08776_2.00__NPAS2	0.825970600224951	0.825970600224951
ARCH401_Max/Ppp5c_Usf3	0.572046612835871	0.572046612835871
M05979_2.00	0.717856771218501	0.717856771218501
ARCH399_Creb3l2/Creb3l1	0.726981505593584	0.726981505593584
ARCH789_ABF1	0.727474145188909	0.727474145188909
ARCH1138_/Sox4/Sox11_Sox13/...	0.312006426868169	0.312006426868169
M02082_2.00	0.747233929620033	0.747233929620033
ARCH1180_/Sox4/Sox11_Sox13/...	0.96781959425085	0.96781959425085
ARCH1173_/Sox4/Sox11_Sox13/...	0.457798070577256	0.457798070577256
ARCH1174_/Sox4/Sox11_Sox13/...	0.773724144176324	0.773724144176324
ARCH139_PB0062.1_Sox12_1	0.700439718141092	0.700439718141092
ARCH1164_/Sox4/Sox11_Sox13/...	1.29218075149331	1.29218075149331
ARCH1165_/Sox4/Sox11_Sox13/...	0.872764811703892	0.872764811703892
ARCH1171_/Sox4/Sox11_Sox13/...	0.716207033999409	0.716207033999409
ARCH1169_/Sox4/Sox11_Sox13/...	0.671051477434865	0.671051477434865
ARCH1110_Sox15	0.684903938595063	0.684903938595063
ARCH1418_Sox7	0.712718047919529	0.712718047919529
ARCH1167_/Sox4/Sox11_Sox13/...	0.567684509289321	0.567684509289321
ARCH1187_/Sox4/Sox11_Sox13/...	0.567684509289321	0.567684509289321
ARCH1149_/Sox4/Sox11_Sox13/...	0.239540703166858	0.239540703166858
ARCH1137_/Sox4/Sox11_Sox13/...	0.370837695368309	0.370837695368309
ARCH1417_/Sox4/Sox11_Sox13/...	0.370837695368309	0.370837695368309
ARCH1162_/Sox4/Sox11_Sox13/...	0.774118592583672	0.774118592583672
ARCH1419_Sox21	0.537110982459173	0.537110982459173
ARCH1170_/Sox4/Sox11_Sox13/...	0.559427408614019	0.559427408614019
ARCH1172_/Sox4/Sox11_Sox13/...	0.559427408614019	0.559427408614019
ARCH1178_/Sox4/Sox11_Foxd2/...	1.12928301694497	1.12928301694497
ARCH615_YOX1	2.15754127698648	2.15754127698648
ARCH1195_JKD__At1g14580__ID...	0.887525270741588	0.887525270741588
ARCH663_SGR5	1.2783011624871	1.2783011624871
ARCH1141_PB0166.1_Sox12_2	1.22239242133645	1.22239242133645
ARCH68_RME1	0.899071091149219	0.899071091149219
ARCH478_Ascl2__MyoD	0.862496476250065	0.862496476250065
M04211_2.00	0.722466024471091	0.722466024471091
ARCH468_Ptf1a	0.731511164074098	0.731511164074098
ARCH471_BHLHE22__NHLH1__Ptf...	1.16227142889888	1.16227142889888
ARCH891_RCS1	1.01072640659306	1.01072640659306
ARCH1363_Tbx5	0.89649542424614	0.89649542424614
ARCH760_Tbx3/Tbx2	0.89649542424614	0.89649542424614
ARCH1507_Eomes	1.12858420606141	1.12858420606141
ARCH837_Tbx10/Tbx1_Tbx18/Tb...	0.962197967287615	0.962197967287615
ARCH841_Tbx10/Tbx1_Tbx18/Tb...	0.816553858904069	0.816553858904069
ARCH1506_Tbx10/Tbx1_Tbx19/T	0.728326675892334	0.728326675892334
ARCH838_Tbx10/Tbx1_Tbx18/Tb...	0.86367852878722	0.86367852878722
ARCH845_Tbx18/Tbx22/Tbx15_T...	0.853158611670729	0.853158611670729
ARCH485_Tbx3/Tbx2	0.94251450533924	0.94251450533924
ARCH912_Tbx6__PB0089.1_Tcfe...	1.07943446749441	1.07943446749441
ARCH379_RDS1__M06389_2.00	0.734340124759383	0.734340124759383
ARCH709_ZIM	0.690671941892271	0.690671941892271
ARCH1222_/E2f4_E2f6_E2f8/E2f7	0.877515993475005	0.877515993475005
ARCH435_/E2f4_E2f6_E2f8/E2f7	0.601450623509725	0.601450623509725
ARCH692_Elf3/Ehf/Elf5_Etv6	0.710493382805015	0.710493382805015
ARCH1324_Pax5/Pax8/Pax2	0.639824435755675	0.639824435755675
ARCH882_M07997_2.00__M09622...	0.543443231282889	0.543443231282889
ARCH158_NFYB	1.68805599368526	1.68805599368526
Fezf2_241030_homer	1.10187961401921	1.10187961401921
Fezf2_241030_streme	1.08539149123064	1.08539149123064
Fezf2_250224_streme	1.35989594508638	1.35989594508638
ARCH711_YLR278C	1.4537179674429	1.4537179674429
ARCH1604_M1BP	0.761840262805236	0.761840262805236
ARCH725_ARET	0.85913746416015	0.85913746416015
ARCH82_Alx3/Alx4/Alx1_Barx2...	0.523561956057013	0.523561956057013
ARCH85_Alx3/Alx4/Alx1_Barx2...	0.523561956057013	0.523561956057013
ARCH227_Alx3/Alx4/Alx1_Emx1...	0.584962500721156	0.584962500721156
ARCH123_/Duxbl1/_/Duxbl1//A...	0.451531513312528	0.451531513312528
ARCH124_Alx3/Alx4/Alx1_Gbx1...	0.276548191383353	0.276548191383353
ARCH1447_Arid5b/Arid5a	0.543935232461101	0.543935232461101
ARCH1214_POU3F3	0.909234536076818	0.909234536076818
ARCH706_MUB	1.13039663725567	1.13039663725567
ARCH1411_Nr2e3	1.88452278258006	1.88452278258006
