motif	motif_name	motif_name_clean
ARCH1041_ttk	ttk	Ttx
ARCH1716_M02394_2.00	M02394_2.00	Nr2e1
ARCH785_Arnt:Ahr	Arnt:Ahr	Arnt:Ahr
ARCH1659_Nr2f1/Nr2f2/Nr2f6	Nr2f1/Nr2f2/Nr2f6	Nr2f1/2/6
ARCH1473_Gata3/Gata1/Gata2	Gata3/Gata1/Gata2	Gata1/2/3
ARCH680_twi	twi	Twi
ARCH707_OsRR22__PB0059.1_Si...	OsRR22__PB0059.1_Si...	Six4/5
ARCH1519_Nkx2-2/Nkx2-9	Nkx2-2/Nkx2-9	Nkx2-2/9
ARCH866_ZNF317	ARCH866_ZNF317	Znf317
ARCH866_ZNF317	SnailA	SnailA
ARCH1512_tin__NKX2-8	tin__NKX2-8	Nkx2-8
ARCH706_MUB	MUB	MuB
ARCH892_Erra	Erra	Erra
ARCH1688_NR2F1	NR2F1	Nr2f1
ARCH66_Barx2/Barx1_Dlx4/Dlx...	Barx2/Barx1_Dlx4/Dlx...	Barx1/2
ARCH396_MIG3	MIG3	Mig3
ARCH718_Smad2/Smad3_Smad9/S...	Smad6/Smad7	Smad6/7
ARCH724_Smad3	Smad3	Smad3
ARCH421_MF0002.1_bZIP_CREB	MF0002.1_bZIP_CREB	Creb
ARCH1675_ERRg__M09321_2.00_...	ERRg__M09321_2.00_...	Errg
ARCH1723_NR2F2	NR2F2	Nr2f2
ARCH735_GATA19	GATA19	Gata19
ARCH374_M03912_2.00__ZC3H10	M03912_2.00__ZC3H10	Zc3h10
ARCH642_Dref	Dref	Dref
ARCH356_NHP10	NHP10	Nhp10
ARCH1456_Gata3/Gata1/Gata2_...	Rere	Gata1/2/3
ARCH732_GFX	GFX	Gfx
ARCH1460_At5g05790__At3g11280	At5g05790__At3g11280	At5g05790
ARCH629_Brn1	Brn1	Brn1
ARCH1166_/Lef1/Tcf7l1/Tcf7	/Lef1/Tcf7l1/Tcf7	Lef1/Tcf7
ARCH825_Smad4	Smad4	Smad4
ARCH1637_ELT-3	ELT-3	Elt-3
ARCH784_NAC058	NAC058	Nac058
ARCH1587_RAR:RXR	RAR:RXR	Rar:Rxr
ARCH874_Pax5/Pax8/Pax2	Pax5/Pax8/Pax2	Pax2/5/8
ARCH767_achi	achi	Achi
ARCH1150_SOX13	SOX13	SoxC
ARCH1443_TFAM	TFAM	Tfam
ARCH753_ARF34	ARF34	Arf34
ARCH167_Nanog	Nkx3-2	Nkx3-2
ARCH167_Nanog	Hlx	Hlx
ARCH167_Nanog	ARCH167_Nanog	Nanog
ARCH983_Foxd2/Foxd4/Foxd3/F...	Foxe3/Foxe1	Foxe1/3
ARCH1638_GATA9	GATA9	Gata9
ARCH1669_Hnf4g/Hnf4a_Nr2c1/...	Hnf4g/Hnf4a_Nr2c1/...	Hnf4a
ARCH1681_NR2C1	NR2C1	Nr2c1
ARCH119_Pknox1	Pknox1	Pknox1
ARCH1601_Nr2f1/Nr2f2/Nr2f6_...	Nr2f1/Nr2f2/Nr2f6_...	Nr2f1/2/6
ARCH1653_M02408_2.00	M02408_2.00	M02408_2.00
ARCH1696_Nr2c1/Nr2c2_Nr2f1/...	Nr2c1/Nr2c2_Nr2f1/...	Nr2c1/2
ARCH755_Hth__TBX15	ARCH755_Hth__TBX15	Hth/Tbx15
ARCH1579_M03945_2.00__sv	M03945_2.00__sv	M03945_2.00
ARCH1474_AtGRF6	AtGRF6	AtGRF6
ARCH819_M08228_2.00	M08228_2.00	M08228_2.00
ARCH495_GLIS3	GLIS3	Glis3
ARCH1564_Srebp2	Srebp2	Srebp2
ARCH1355_GAT1	GAT1	Gat1
ARCH836_M08316_2.00__M08901...	ARCH836_M08316_2.00__M08901...	Znf18
ARCH836_M08316_2.00__M08901...	Zfp1000	Zfp1000
ARCH836_M08316_2.00__M08901...	Zfp128/Zfp217/Zfp1000/Zfp536/Zfp219	Zpf128
ARCH1554_MEIS2	MEIS2	Meis2
ARCH638_FZF1__MYB55	FZF1__MYB55	Myb55
ARCH1599_Hnf4g/Hnf4a_Nr2f1/...	Hnf4g/Hnf4a_Nr2f1/...	Hnf4g
ARCH1369_Zfp7/Gm21060	Zfp7/Gm21060	Zfp7/Gm21060
ARCH805_NAC083	NAC083	Nac083
ARCH398_RSC3	RSC3	Rsc3
ARCH1631_WRKY40__PH0140.1_P...	WRKY40__PH0140.1_P...	WRKY40
ARCH1346_Ahr::Arnt	Ahr::Arnt	Ahr::Arnt
ARCH786_NAC080	NAC080	Nac080
ARCH802_M09623_2.00	M09623_2.00	M09623_2.00
ARCH792_prd__ARF3	prd__ARF3	Arf3
ARCH818_M08160_2.00	M08160_2.00	M08160_2.00
ARCH1561_THRb	THRb	Thrb
ARCH1503_Meis3/Meis2/Meis1_...	Hnf1a/Hnf1b	Hnf1a/Hnf1b
ARCH816_Pax7/Pax3	Pax7/Pax3	Pax3/7
ARCH521_Zic2__Unknown-ESC-e...	ARCH521_Zic2__Unknown-ESC-e...	Zic2
ARCH1175_/Sox4/Sox11_Foxc2/...	/Sox4/Sox11_Foxc2/...	SoxC
ARCH1581_M00706_2.00__M0643...	M00706_2.00__M0643...	Pax2
ARCH455_PAX5	PAX5	Pax5
ARCH496_Zic3	ARCH496_Zic3	Zic3
ARCH756_Meis3/Meis2/Meis1_P...	Meis3/Meis2/Meis1_P...	Meis1/2/3
ARCH353_M06062_2.00__M06468...	ARCH353_M06062_2.00__M06468...	GLI-Kr Znf
ARCH353_M06062_2.00__M06468...	Zfp236/Zfp574/Zfp526	Zfp236
ARCH353_M06062_2.00__M06468...	Zfp239//Gm21060/Zfp942/Zfp944/Zfp994/Zfp758/Zfp946/Zfp947/Zfp995/Zfp982	Zfp239
ARCH353_M06062_2.00__M06468...	Zic-C	Zic-C
ARCH1566_Crem/Creb1/Atf1	Crem/Creb1/Atf1	Crem/Creb1/Atf1
ARCH883_M03443_2.00__M03944...	M03443_2.00__M03944...	M03443_2.00
ARCH922_Zic	Zic	Zic
ARCH1419_Sox21	ARCH1419_Sox21	Sox21
ARCH1418_Sox7	Sox7	Sox7
ARCH1110_Sox15	Sox15	Sox15
ARCH875_M06438_2.00	M06438_2.00	M06438_2.00
ARCH1157_/Sox4/Sox11_Sox13/...	/Sox4/Sox11_Sox13/...	SoxC
ARCH1700_Hr46	Hr46	Hr46
ARCH1078_SOX15	SOX15	Sox15
ARCH501_REI1	REI1	Rei1
ARCH766_unc-62	unc-62	Meis1/2/3
