group	motif_name	nice_name
both	POL009.1_DCE_S_II__...	DCE
both	Yy1	Yy1
both	Srf	Srf
both	ETS2	Ets2
MR	Nkx2-2/Nkx2-9	Nkx2-2/Nkx2-9
MR	Gata3/Gata1/Gata2_...	Gata
MR	Six1/_Six4/Six5	Six1/4/5
MR	Nr2c1/Nr2c2_Nr2f1/...	Nr2c1/Nr2c2_Nr2f1
MR	Six1/_Six4/Six5	Six1/4/5
MR	NR2C1	NR2C1
MR	WRKY40__PH0140.1_P...	-
MR	Meis3/Meis2/Meis1_...	Meis1/2/3
MR	Crem/Creb1/Atf1	Crem/Creb1/Atf1
TR	/Sox4/Sox11_Foxc2/...	Sox4/11/13
TR	BHLHE22__NHLH1__Ptf...	BHLHE22
TR	Brn1	Pou3F/Oct-8
TR	Foxa3/Foxa1/Foxa2_...	Foxa1/2/3
TR	POU4F1	Pou4
TR	Alx3/Alx4/Alx1_Barx...	Alx1/3/4
TR	Snai2	Snail2
TR	Tcf12	Tcf12
TR	Zic2__Unknown-ESC-e...	Zic2
TR	AP-2gamma	AP-2gamma
TR	Egr3/Egr1	Egr3/Egr1
