class	spearman	pearson	mse
cnidocyte	0.161	0.141	2.134
cnidocyte_gastrula	0.375	0.325	2.647
digestive_filaments_1	0.229	0.219	1.789
digestive_filaments_2	0.293	0.318	1.433
digestive_filaments_3	0.274	0.294	0.956
ecto_aboral	0.408	0.397	2.552
ectoderm	0.425	0.429	1.932
ecto_pharynx	0.363	0.353	2.573
EMS_ecto_boundary	0.265	0.218	3.006
EMS	0.396	0.361	2.623
epidermis_1	0.309	0.374	0.958
gastro_circular_muscle_1	0.352	0.364	1.094
gastro_circular_muscle_2	0.26	0.27	1.511
gastro_parietal_muscle	0.38	0.4	1.384
gastro_IRF1_2	0.133	0.106	1.949
gastro_somatic_gonad	0.171	0.158	1.362
gland	0.305	0.314	1.304
gland_mucin	0.195	0.196	2.69
muscle_tentacle_retractor	0.133	0.122	1.888
muscle_mesentery_retractor	0.116	0.1	2.116
neuronal	0.034	0.023	2.163
neuron_GATA_Islet_1	0.391	0.42	1.323
neuron_Pou4_FoxL2_2	0.214	0.217	1.858
NPC_1	0.196	0.171	2.984
precursors_PGC	0.343	0.383	1.31
precursors_endoNPC	0.148	0.127	2.11
precursors_NPC	0.1	0.08	2.152

