motif_name,source
M00115_2.00,CisBP
M01659_2.00,CisBP
M01660_2.00,CisBP
M01664_2.00,CisBP
M01667_2.00,CisBP
M02651_2.00,CisBP
M03590_2.00,CisBP
M05899_2.00,CisBP
M09768_2.00,CisBP
M00116_2.00,CisBP
M01657_2.00,CisBP
M01661_2.00,CisBP
M01663_2.00,CisBP
M08707_2.00,CisBP
M08708_2.00,CisBP
M09767_2.00,CisBP
M03595_2.00,CisBP
M05937_2.00,CisBP
M01751_2.00,CisBP
M02787_2.00,CisBP
M04124_2.00,CisBP
M04125_2.00,CisBP
M08725_2.00,CisBP
M08776_2.00,CisBP
M09478_2.00,CisBP
M01718_2.00,CisBP
M03605_2.00,CisBP
M03606_2.00,CisBP
M05955_2.00,CisBP
M05956_2.00,CisBP
M07538_2.00,CisBP
M08052_2.00,CisBP
M08722_2.00,CisBP
M08766_2.00,CisBP
M09657_2.00,CisBP
M00121_2.00,CisBP
M00122_2.00,CisBP
M00938_2.00,CisBP
M01753_2.00,CisBP
M08778_2.00,CisBP
M08763_2.00,CisBP
M03620_2.00,CisBP
M04156_2.00,CisBP
M04157_2.00,CisBP
M05990_2.00,CisBP
M05991_2.00,CisBP
M08736_2.00,CisBP
M08757_2.00,CisBP
M09470_2.00,CisBP
M01815_2.00,CisBP
M02729_2.00,CisBP
M02824_2.00,CisBP
M04009_2.00,CisBP
M04227_2.00,CisBP
M04228_2.00,CisBP
M08783_2.00,CisBP
M08836_2.00,CisBP
M00123_2.00,CisBP
M00126_2.00,CisBP
M01814_2.00,CisBP
M02854_2.00,CisBP
M02855_2.00,CisBP
M02856_2.00,CisBP
M02857_2.00,CisBP
M02858_2.00,CisBP
M02869_2.00,CisBP
M02870_2.00,CisBP
M02871_2.00,CisBP
M04039_2.00,CisBP
M04040_2.00,CisBP
M04343_2.00,CisBP
M04344_2.00,CisBP
M04345_2.00,CisBP
M04346_2.00,CisBP
M04347_2.00,CisBP
M04348_2.00,CisBP
M04349_2.00,CisBP
M04350_2.00,CisBP
M04351_2.00,CisBP
M04352_2.00,CisBP
M04353_2.00,CisBP
M04354_2.00,CisBP
M04355_2.00,CisBP
M04356_2.00,CisBP
M04365_2.00,CisBP
M04366_2.00,CisBP
M04367_2.00,CisBP
M04368_2.00,CisBP
M04369_2.00,CisBP
M04370_2.00,CisBP
M04371_2.00,CisBP
M04372_2.00,CisBP
M04373_2.00,CisBP
M04374_2.00,CisBP
M07840_2.00,CisBP
M07841_2.00,CisBP
M08075_2.00,CisBP
M08807_2.00,CisBP
M08809_2.00,CisBP
M08810_2.00,CisBP
M08811_2.00,CisBP
M08817_2.00,CisBP
M08835_2.00,CisBP
M08839_2.00,CisBP
M08847_2.00,CisBP
M09491_2.00,CisBP
M09497_2.00,CisBP
M00757_2.00,CisBP
M01802_2.00,CisBP
M02730_2.00,CisBP
M02825_2.00,CisBP
M02826_2.00,CisBP
M04010_2.00,CisBP
M04011_2.00,CisBP
M04012_2.00,CisBP
M04231_2.00,CisBP
M04232_2.00,CisBP
M04233_2.00,CisBP
M04234_2.00,CisBP
M08818_2.00,CisBP
M09932_2.00,CisBP
M09933_2.00,CisBP
M01805_2.00,CisBP
M04035_2.00,CisBP
M04036_2.00,CisBP
M04333_2.00,CisBP
M04334_2.00,CisBP
M04335_2.00,CisBP
M04336_2.00,CisBP
M04337_2.00,CisBP
M04338_2.00,CisBP
M07833_2.00,CisBP
M08071_2.00,CisBP
M08805_2.00,CisBP
M08821_2.00,CisBP
M09490_2.00,CisBP
M03648_2.00,CisBP
M00124_2.00,CisBP
M00991_2.00,CisBP
M00992_2.00,CisBP
M01804_2.00,CisBP
M01806_2.00,CisBP
M01821_2.00,CisBP
M03659_2.00,CisBP
M03660_2.00,CisBP
M04022_2.00,CisBP
M04023_2.00,CisBP
M04229_2.00,CisBP
M04230_2.00,CisBP
M04258_2.00,CisBP
M04259_2.00,CisBP
M04260_2.00,CisBP
M04261_2.00,CisBP
M04262_2.00,CisBP
M04263_2.00,CisBP
M04264_2.00,CisBP
M04265_2.00,CisBP
M08066_2.00,CisBP
M08784_2.00,CisBP
M08791_2.00,CisBP
M08792_2.00,CisBP
M08820_2.00,CisBP
M08824_2.00,CisBP
M08845_2.00,CisBP
M09485_2.00,CisBP
M09948_2.00,CisBP
M09949_2.00,CisBP
M09952_2.00,CisBP
M09953_2.00,CisBP
M09954_2.00,CisBP
