GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0006874	cellular calcium ion homeostasis	38	37	30.42	0.0018	1	BP
GO:0002521	leukocyte differentiation	24	24	19.21	0.0043	1	BP
GO:0051172	negative regulation of nitrogen compound...	117	104	93.67	0.0045	1	BP
GO:0010629	negative regulation of gene expression	110	98	88.06	0.005	1	BP
GO:0045862	positive regulation of proteolysis	23	23	18.41	0.0055	1	BP
GO:0032101	regulation of response to external stimu...	48	45	38.43	0.0065	1	BP
GO:0046649	lymphocyte activation	31	30	24.82	0.0078	1	BP
GO:0050776	regulation of immune response	31	30	24.82	0.0078	1	BP
GO:0120035	regulation of plasma membrane bounded ce...	54	50	43.23	0.0082	1	BP
GO:0006417	regulation of translation	21	21	16.81	0.0087	1	BP
GO:0060047	heart contraction	30	29	24.02	0.0095	1	BP
GO:0002684	positive regulation of immune system pro...	30	29	24.02	0.0095	1	BP
GO:0032268	regulation of cellular protein metabolic...	123	108	98.47	0.0098	1	BP
GO:0030099	myeloid cell differentiation	20	20	16.01	0.0109	1	BP
GO:0051239	regulation of multicellular organismal p...	200	171	160.12	0.0129	1	BP
GO:1901701	cellular response to oxygen-containing c...	71	64	56.84	0.0138	1	BP
GO:0031175	neuron projection development	96	85	76.86	0.0141	1	BP
GO:0045595	regulation of cell differentiation	114	100	91.27	0.0142	1	BP
GO:0008016	regulation of heart contraction	28	27	22.42	0.0143	1	BP
GO:1901652	response to peptide	43	40	34.43	0.0156	1	BP
GO:0051240	positive regulation of multicellular org...	119	104	95.27	0.0159	1	BP
GO:0031347	regulation of defense response	27	26	21.62	0.0174	1	BP
GO:0031324	negative regulation of cellular metaboli...	141	122	112.88	0.0181	1	BP
GO:0031327	negative regulation of cellular biosynth...	94	83	75.26	0.0181	1	BP
GO:0009890	negative regulation of biosynthetic proc...	94	83	75.26	0.0181	1	BP
GO:0051235	maintenance of location	26	25	20.82	0.0212	1	BP
GO:0051480	regulation of cytosolic calcium ion conc...	26	25	20.82	0.0212	1	BP
GO:0001816	cytokine production	17	17	13.61	0.0217	1	BP
GO:1903706	regulation of hemopoiesis	17	17	13.61	0.0217	1	BP
GO:0000302	response to reactive oxygen species	17	17	13.61	0.0217	1	BP
GO:0002694	regulation of leukocyte activation	17	17	13.61	0.0217	1	BP
GO:0051248	negative regulation of protein metabolic...	48	44	38.43	0.0217	1	BP
GO:0010558	negative regulation of macromolecule bio...	86	76	68.85	0.023	1	BP
GO:0032870	cellular response to hormone stimulus	54	49	43.23	0.0242	1	BP
GO:1903522	regulation of blood circulation	33	31	26.42	0.0246	1	BP
GO:0045859	regulation of protein kinase activity	47	43	37.63	0.0253	1	BP
GO:0071375	cellular response to peptide hormone sti...	25	24	20.01	0.0258	1	BP
GO:2000113	negative regulation of cellular macromol...	85	75	68.05	0.0261	1	BP
GO:0045597	positive regulation of cell differentiat...	60	54	48.04	0.0262	1	BP
GO:0002831	regulation of response to biotic stimulu...	16	16	12.81	0.0272	1	BP
GO:0010628	positive regulation of gene expression	108	94	86.46	0.0286	1	BP
GO:1901653	cellular response to peptide	32	30	25.62	0.0294	1	BP
GO:0034762	regulation of transmembrane transport	32	30	25.62	0.0294	1	BP
GO:0051094	positive regulation of developmental pro...	96	84	76.86	0.0294	1	BP
GO:0051051	negative regulation of transport	24	23	19.21	0.0314	1	BP
GO:0019722	calcium-mediated signaling	24	23	19.21	0.0314	1	BP
GO:0007626	locomotory behavior	52	47	41.63	0.0324	1	BP
GO:0097659	nucleic acid-templated transcription	163	139	130.5	0.0335	1	BP
GO:0032774	RNA biosynthetic process	163	139	130.5	0.0335	1	BP
GO:0051249	regulation of lymphocyte activation	15	15	12.01	0.0342	1	BP
GO:0051651	maintenance of location in cell	15	15	12.01	0.0342	1	BP
GO:1903131	mononuclear cell differentiation	15	15	12.01	0.0342	1	BP
GO:0043434	response to peptide hormone	31	29	24.82	0.035	1	BP
GO:0010975	regulation of neuron projection developm...	38	35	30.42	0.0355	1	BP
GO:0006351	DNA-templated transcription	162	138	129.7	0.0368	1	BP
GO:1901699	cellular response to nitrogen compound	51	46	40.83	0.0374	1	BP
GO:0021537	telencephalon development	23	22	18.41	0.038	1	BP
GO:0007204	positive regulation of cytosolic calcium...	23	22	18.41	0.038	1	BP
GO:2001141	regulation of RNA biosynthetic process	156	133	124.89	0.0386	1	BP
GO:1903506	regulation of nucleic acid-templated tra...	156	133	124.89	0.0386	1	BP
GO:0062197	cellular response to chemical stress	30	28	24.02	0.0416	1	BP
GO:0045860	positive regulation of protein kinase ac...	30	28	24.02	0.0416	1	BP
GO:1901698	response to nitrogen compound	81	71	64.85	0.0422	1	BP
GO:0051252	regulation of RNA metabolic process	166	141	132.9	0.0423	1	BP
GO:0006355	regulation of DNA-templated transcriptio...	155	132	124.09	0.0424	1	BP
GO:0016070	RNA metabolic process	209	176	167.32	0.0427	1	BP
GO:0031589	cell-substrate adhesion	14	14	11.21	0.043	1	BP
GO:0033135	regulation of peptidyl-serine phosphoryl...	14	14	11.21	0.043	1	BP
GO:0034249	negative regulation of cellular amide me...	14	14	11.21	0.043	1	BP
GO:0042113	B cell activation	14	14	11.21	0.043	1	BP
GO:1903052	positive regulation of proteolysis invol...	14	14	11.21	0.043	1	BP
GO:0043603	cellular amide metabolic process	75	69	60.04	0.0462	1	BP
GO:0001505	regulation of neurotransmitter levels	43	39	34.43	0.0463	1	BP
GO:0009611	response to wounding	43	39	34.43	0.0463	1	BP
GO:0007399	nervous system development	192	162	153.71	0.0464	1	BP
GO:0048731	system development	275	232	220.16	0.0468	1	BP
GO:0040017	positive regulation of locomotion	36	33	28.82	0.0487	1	BP
GO:0022411	cellular component disassembly	29	27	23.22	0.0493	1	BP
GO:0070588	calcium ion transmembrane transport	29	27	23.22	0.0493	1	BP
GO:0043687	post-translational protein modification	29	27	23.22	0.0493	1	BP
GO:0031346	positive regulation of cell projection o...	29	27	23.22	0.0493	1	BP
GO:0032502	developmental process	348	290	278.61	0.0504	1	BP
GO:0055085	transmembrane transport	91	79	72.85	0.0514	1	BP
GO:1901700	response to oxygen-containing compound	108	93	86.46	0.0528	1	BP
GO:0007610	behavior	108	93	86.46	0.0528	1	BP
GO:0010243	response to organonitrogen compound	79	69	63.25	0.053	1	BP
GO:0006952	defense response	67	59	53.64	0.0533	1	BP
GO:0098660	inorganic ion transmembrane transport	67	59	53.64	0.0533	1	BP
GO:0040012	regulation of locomotion	73	64	58.44	0.0534	1	BP
GO:0006820	anion transport	42	38	33.62	0.0535	1	BP
GO:0006979	response to oxidative stress	42	38	33.62	0.0535	1	BP
GO:0043269	regulation of ion transport	42	38	33.62	0.0535	1	BP
GO:1901800	positive regulation of proteasomal prote...	13	13	10.41	0.0539	1	BP
GO:1901617	organic hydroxy compound biosynthetic pr...	13	13	10.41	0.0539	1	BP
GO:0030098	lymphocyte differentiation	13	13	10.41	0.0539	1	BP
GO:2000060	positive regulation of ubiquitin-depende...	13	13	10.41	0.0539	1	BP
GO:2000058	regulation of ubiquitin-dependent protei...	13	13	10.41	0.0539	1	BP
GO:0050867	positive regulation of cell activation	13	13	10.41	0.0539	1	BP
GO:0002696	positive regulation of leukocyte activat...	13	13	10.41	0.0539	1	BP
GO:0007606	sensory perception of chemical stimulus	13	13	10.41	0.0539	1	BP
GO:0034250	positive regulation of cellular amide me...	13	13	10.41	0.0539	1	BP
GO:0045637	regulation of myeloid cell differentiati...	13	13	10.41	0.0539	1	BP
GO:0032103	positive regulation of response to exter...	21	20	16.81	0.0557	1	BP
GO:0050778	positive regulation of immune response	21	20	16.81	0.0557	1	BP
GO:0010976	positive regulation of neuron projection...	21	20	16.81	0.0557	1	BP
GO:0031399	regulation of protein modification proce...	96	83	76.86	0.0559	1	BP
GO:0007568	aging	48	43	38.43	0.0567	1	BP
GO:1901615	organic hydroxy compound metabolic proce...	35	32	28.02	0.0568	1	BP
GO:0045927	positive regulation of growth	35	32	28.02	0.0568	1	BP
GO:0006357	regulation of transcription by RNA polym...	124	106	99.27	0.0577	1	BP
GO:1903507	negative regulation of nucleic acid-temp...	72	63	57.64	0.0599	1	BP
GO:1902679	negative regulation of RNA biosynthetic ...	72	63	57.64	0.0599	1	BP
GO:0001932	regulation of protein phosphorylation	66	58	52.84	0.0601	1	BP
GO:0042391	regulation of membrane potential	41	37	32.82	0.0618	1	BP
GO:0044093	positive regulation of molecular functio...	95	82	76.06	0.062	1	BP
GO:0051254	positive regulation of RNA metabolic pro...	95	82	76.06	0.062	1	BP
GO:0071417	cellular response to organonitrogen comp...	47	42	37.63	0.0649	1	BP
GO:0002164	larval development	34	31	27.22	0.0662	1	BP
GO:0051253	negative regulation of RNA metabolic pro...	77	67	61.65	0.0662	1	BP
GO:0019438	aromatic compound biosynthetic process	193	162	154.51	0.0666	1	BP
GO:0010035	response to inorganic substance	53	47	42.43	0.0667	1	BP
GO:0048569	post-embryonic animal organ development	53	47	42.43	0.0667	1	BP
GO:0045892	negative regulation of DNA-templated tra...	71	62	56.84	0.0671	1	BP
GO:0042742	defense response to bacterium	20	19	16.01	0.0671	1	BP
GO:0050865	regulation of cell activation	20	19	16.01	0.0671	1	BP
GO:0042110	T cell activation	20	19	16.01	0.0671	1	BP
GO:0051251	positive regulation of lymphocyte activa...	12	12	9.61	0.0676	1	BP
GO:0003205	cardiac chamber development	12	12	9.61	0.0676	1	BP
GO:0045088	regulation of innate immune response	12	12	9.61	0.0676	1	BP
GO:0032434	regulation of proteasomal ubiquitin-depe...	12	12	9.61	0.0676	1	BP
GO:0032436	positive regulation of proteasomal ubiqu...	12	12	9.61	0.0676	1	BP
GO:0018958	phenol-containing compound metabolic pro...	12	12	9.61	0.0676	1	BP
GO:0002573	myeloid leukocyte differentiation	12	12	9.61	0.0676	1	BP
GO:0048599	oocyte development	12	12	9.61	0.0676	1	BP
GO:0014074	response to purine-containing compound	12	12	9.61	0.0676	1	BP
GO:0042594	response to starvation	27	25	21.62	0.0688	1	BP
GO:0043270	positive regulation of ion transport	27	25	21.62	0.0688	1	BP
GO:0034765	regulation of ion transmembrane transpor...	27	25	21.62	0.0688	1	BP
GO:0022008	neurogenesis	155	131	124.09	0.0689	1	BP
GO:0070482	response to oxygen levels	40	36	32.02	0.0711	1	BP
GO:0048513	animal organ development	204	174	163.32	0.0716	1	BP
GO:0010556	regulation of macromolecule biosynthetic...	181	155	144.91	0.0722	1	BP
GO:0048699	generation of neurons	149	126	119.29	0.0724	1	BP
GO:0050877	nervous system process	99	85	79.26	0.0734	1	BP
GO:1901362	organic cyclic compound biosynthetic pro...	197	165	157.72	0.0739	1	BP
GO:0036211	protein modification process	197	165	157.72	0.0739	1	BP
GO:0006816	calcium ion transport	33	30	26.42	0.0769	1	BP
GO:0045934	negative regulation of nucleobase-contai...	81	70	64.85	0.0802	1	BP
GO:0001508	action potential	19	18	15.21	0.0808	1	BP
GO:0120032	regulation of plasma membrane bounded ce...	19	18	15.21	0.0808	1	BP
GO:0035637	multicellular organismal signaling	19	18	15.21	0.0808	1	BP
GO:0035966	response to topologically incorrect prot...	19	18	15.21	0.0808	1	BP
GO:0002764	immune response-regulating signaling pat...	19	18	15.21	0.0808	1	BP
GO:0048872	homeostasis of number of cells	19	18	15.21	0.0808	1	BP
GO:0060491	regulation of cell projection assembly	19	18	15.21	0.0808	1	BP
GO:0072521	purine-containing compound metabolic pro...	26	24	20.82	0.081	1	BP
GO:0071396	cellular response to lipid	26	24	20.82	0.081	1	BP
GO:1902903	regulation of supramolecular fiber organ...	26	24	20.82	0.081	1	BP
GO:0034599	cellular response to oxidative stress	26	24	20.82	0.081	1	BP
GO:0044271	cellular nitrogen compound biosynthetic ...	231	195	184.94	0.081	1	BP
GO:0009889	regulation of biosynthetic process	200	170	160.12	0.0832	1	BP
GO:0001934	positive regulation of protein phosphory...	45	40	36.03	0.0843	1	BP
GO:0051962	positive regulation of nervous system de...	45	40	36.03	0.0843	1	BP
GO:0097191	extrinsic apoptotic signaling pathway	11	11	8.81	0.0848	1	BP
GO:0034614	cellular response to reactive oxygen spe...	11	11	8.81	0.0848	1	BP
GO:0001817	regulation of cytokine production	11	11	8.81	0.0848	1	BP
GO:0033138	positive regulation of peptidyl-serine p...	11	11	8.81	0.0848	1	BP
GO:0003206	cardiac chamber morphogenesis	11	11	8.81	0.0848	1	BP
GO:0046434	organophosphate catabolic process	11	11	8.81	0.0848	1	BP
GO:0061337	cardiac conduction	11	11	8.81	0.0848	1	BP
GO:0007160	cell-matrix adhesion	11	11	8.81	0.0848	1	BP
GO:0010810	regulation of cell-substrate adhesion	11	11	8.81	0.0848	1	BP
GO:0017148	negative regulation of translation	11	11	8.81	0.0848	1	BP
GO:0031345	negative regulation of cell projection o...	11	11	8.81	0.0848	1	BP
GO:0031349	positive regulation of defense response	11	11	8.81	0.0848	1	BP
GO:0050920	regulation of chemotaxis	11	11	8.81	0.0848	1	BP
GO:0044057	regulation of system process	57	50	45.63	0.0856	1	BP
GO:0009991	response to extracellular stimulus	57	50	45.63	0.0856	1	BP
GO:1901135	carbohydrate derivative metabolic proces...	57	50	45.63	0.0856	1	BP
GO:0009887	animal organ morphogenesis	103	88	82.46	0.0857	1	BP
GO:0031668	cellular response to extracellular stimu...	32	29	25.62	0.0891	1	BP
GO:0033674	positive regulation of kinase activity	32	29	25.62	0.0891	1	BP
GO:0031400	negative regulation of protein modificat...	32	29	25.62	0.0891	1	BP
GO:0031326	regulation of cellular biosynthetic proc...	199	169	159.32	0.0901	1	BP
GO:0018130	heterocycle biosynthetic process	189	158	151.31	0.0909	1	BP
GO:2000112	regulation of cellular macromolecule bio...	178	152	142.51	0.0927	1	BP
GO:0060562	epithelial tube morphogenesis	62	54	49.64	0.0949	1	BP
GO:0003012	muscle system process	25	23	20.01	0.0952	1	BP
GO:0007635	chemosensory behavior	25	23	20.01	0.0952	1	BP
GO:0035239	tube morphogenesis	85	73	68.05	0.0952	1	BP
GO:0022898	regulation of transmembrane transporter ...	18	17	14.41	0.097	1	BP
GO:0006954	inflammatory response	18	17	14.41	0.097	1	BP
GO:0006986	response to unfolded protein	18	17	14.41	0.097	1	BP
GO:0032412	regulation of ion transmembrane transpor...	18	17	14.41	0.097	1	BP
GO:0032409	regulation of transporter activity	18	17	14.41	0.097	1	BP
GO:0032102	negative regulation of response to exter...	18	17	14.41	0.097	1	BP
GO:0034654	nucleobase-containing compound biosynthe...	188	157	150.51	0.0979	1	BP
GO:0032990	cell part morphogenesis	79	68	63.25	0.0982	1	BP
GO:0034220	ion transmembrane transport	79	68	63.25	0.0982	1	BP
GO:0006366	transcription by RNA polymerase II	129	109	103.28	0.0984	1	BP
GO:1903508	positive regulation of nucleic acid-temp...	90	77	72.05	0.1012	1	BP
GO:1902680	positive regulation of RNA biosynthetic ...	90	77	72.05	0.1012	1	BP
GO:0045893	positive regulation of DNA-templated tra...	90	77	72.05	0.1012	1	BP
GO:0000902	cell morphogenesis	90	77	72.05	0.1012	1	BP
GO:0071900	regulation of protein serine/threonine k...	31	28	24.82	0.103	1	BP
GO:0071495	cellular response to endogenous stimulus	84	72	67.25	0.1048	1	BP
GO:0031401	positive regulation of protein modificat...	61	53	48.84	0.1059	1	BP
GO:1903037	regulation of leukocyte cell-cell adhesi...	10	10	8.01	0.1064	1	BP
GO:0051282	regulation of sequestering of calcium io...	10	10	8.01	0.1064	1	BP
GO:0051208	sequestering of calcium ion	10	10	8.01	0.1064	1	BP
GO:2001236	regulation of extrinsic apoptotic signal...	10	10	8.01	0.1064	1	BP
GO:0003231	cardiac ventricle development	10	10	8.01	0.1064	1	BP
GO:0051952	regulation of amine transport	10	10	8.01	0.1064	1	BP
GO:0032024	positive regulation of insulin secretion	10	10	8.01	0.1064	1	BP
GO:0008286	insulin receptor signaling pathway	10	10	8.01	0.1064	1	BP
GO:0015837	amine transport	10	10	8.01	0.1064	1	BP
GO:0002262	myeloid cell homeostasis	10	10	8.01	0.1064	1	BP
GO:0007159	leukocyte cell-cell adhesion	10	10	8.01	0.1064	1	BP
GO:0050863	regulation of T cell activation	10	10	8.01	0.1064	1	BP
GO:0043543	protein acylation	10	10	8.01	0.1064	1	BP
GO:0050679	positive regulation of epithelial cell p...	10	10	8.01	0.1064	1	BP
GO:0019217	regulation of fatty acid metabolic proce...	10	10	8.01	0.1064	1	BP
GO:2001057	reactive nitrogen species metabolic proc...	10	10	8.01	0.1064	1	BP
GO:0006473	protein acetylation	10	10	8.01	0.1064	1	BP
GO:0036296	response to increased oxygen levels	10	10	8.01	0.1064	1	BP
GO:0009416	response to light stimulus	37	33	29.62	0.1069	1	BP
GO:0051345	positive regulation of hydrolase activit...	37	33	29.62	0.1069	1	BP
GO:0036293	response to decreased oxygen levels	37	33	29.62	0.1069	1	BP
GO:0048666	neuron development	117	99	93.67	0.1077	1	BP
GO:0043085	positive regulation of catalytic activit...	78	67	62.45	0.1083	1	BP
GO:0048667	cell morphogenesis involved in neuron di...	78	67	62.45	0.1083	1	BP
GO:0050890	cognition	43	38	34.43	0.1085	1	BP
GO:0042327	positive regulation of phosphorylation	49	43	39.23	0.1086	1	BP
GO:0019693	ribose phosphate metabolic process	24	22	19.21	0.1115	1	BP
GO:0009259	ribonucleotide metabolic process	24	22	19.21	0.1115	1	BP
GO:0006163	purine nucleotide metabolic process	24	22	19.21	0.1115	1	BP
GO:0050793	regulation of developmental process	165	138	132.1	0.1119	1	BP
GO:0006811	ion transport	100	85	80.06	0.1123	1	BP
GO:0010557	positive regulation of macromolecule bio...	100	85	80.06	0.1123	1	BP
GO:0003008	system process	126	110	100.87	0.114	1	BP
GO:0030182	neuron differentiation	138	116	110.48	0.114	1	BP
GO:0051928	positive regulation of calcium ion trans...	17	16	13.61	0.1162	1	BP
GO:0035967	cellular response to topologically incor...	17	16	13.61	0.1162	1	BP
GO:0021543	pallium development	17	16	13.61	0.1162	1	BP
GO:0015698	inorganic anion transport	17	16	13.61	0.1162	1	BP
GO:0032869	cellular response to insulin stimulus	17	16	13.61	0.1162	1	BP
GO:0009266	response to temperature stimulus	30	27	24.02	0.1187	1	BP
GO:0120039	plasma membrane bounded cell projection ...	77	66	61.65	0.1193	1	BP
GO:0048858	cell projection morphogenesis	77	66	61.65	0.1193	1	BP
GO:0048812	neuron projection morphogenesis	77	66	61.65	0.1193	1	BP
GO:0009791	post-embryonic development	77	66	61.65	0.1193	1	BP
GO:0002682	regulation of immune system process	52	50	41.63	0.1195	1	BP
GO:0098662	inorganic cation transmembrane transport	54	47	43.23	0.1202	1	BP
GO:0050769	positive regulation of neurogenesis	36	32	28.82	0.1219	1	BP
GO:0051129	negative regulation of cellular componen...	48	42	38.43	0.122	1	BP
GO:0010720	positive regulation of cell development	42	37	33.62	0.1227	1	BP
GO:0040011	locomotion	153	128	122.49	0.1237	1	BP
GO:0001525	angiogenesis	23	21	18.41	0.1302	1	BP
GO:0030335	positive regulation of cell migration	23	21	18.41	0.1302	1	BP
GO:0018105	peptidyl-serine phosphorylation	23	21	18.41	0.1302	1	BP
GO:0018209	peptidyl-serine modification	23	21	18.41	0.1302	1	BP
GO:0043161	proteasome-mediated ubiquitin-dependent ...	23	21	18.41	0.1302	1	BP
GO:1904062	regulation of cation transmembrane trans...	23	21	18.41	0.1302	1	BP
GO:2000147	positive regulation of cell motility	23	21	18.41	0.1302	1	BP
GO:0009150	purine ribonucleotide metabolic process	23	21	18.41	0.1302	1	BP
GO:0009628	response to abiotic stimulus	120	101	96.07	0.1313	1	BP
GO:0034641	cellular nitrogen compound metabolic pro...	304	252	243.38	0.1314	1	BP
GO:1901890	positive regulation of cell junction ass...	9	9	7.21	0.1333	1	BP
GO:0051283	negative regulation of sequestering of c...	9	9	7.21	0.1333	1	BP
GO:0042542	response to hydrogen peroxide	9	9	7.21	0.1333	1	BP
GO:0006809	nitric oxide biosynthetic process	9	9	7.21	0.1333	1	BP
GO:0055093	response to hyperoxia	9	9	7.21	0.1333	1	BP
GO:1903426	regulation of reactive oxygen species bi...	9	9	7.21	0.1333	1	BP
GO:1903409	reactive oxygen species biosynthetic pro...	9	9	7.21	0.1333	1	BP
GO:0018394	peptidyl-lysine acetylation	9	9	7.21	0.1333	1	BP
GO:0046209	nitric oxide metabolic process	9	9	7.21	0.1333	1	BP
GO:0046651	lymphocyte proliferation	9	9	7.21	0.1333	1	BP
GO:0070661	leukocyte proliferation	9	9	7.21	0.1333	1	BP
GO:0043255	regulation of carbohydrate biosynthetic ...	9	9	7.21	0.1333	1	BP
GO:0045428	regulation of nitric oxide biosynthetic ...	9	9	7.21	0.1333	1	BP
GO:0045185	maintenance of protein location	9	9	7.21	0.1333	1	BP
GO:0032526	response to retinoic acid	9	9	7.21	0.1333	1	BP
GO:0006090	pyruvate metabolic process	9	9	7.21	0.1333	1	BP
GO:0080164	regulation of nitric oxide metabolic pro...	9	9	7.21	0.1333	1	BP
GO:0034101	erythrocyte homeostasis	9	9	7.21	0.1333	1	BP
GO:0032943	mononuclear cell proliferation	9	9	7.21	0.1333	1	BP
GO:0036473	cell death in response to oxidative stre...	9	9	7.21	0.1333	1	BP
GO:0060326	cell chemotaxis	9	9	7.21	0.1333	1	BP
GO:0010952	positive regulation of peptidase activit...	9	9	7.21	0.1333	1	BP
GO:0071868	cellular response to monoamine stimulus	9	9	7.21	0.1333	1	BP
GO:0071869	response to catecholamine	9	9	7.21	0.1333	1	BP
GO:0006475	internal protein amino acid acetylation	9	9	7.21	0.1333	1	BP
GO:0071870	cellular response to catecholamine stimu...	9	9	7.21	0.1333	1	BP
GO:0097306	cellular response to alcohol	9	9	7.21	0.1333	1	BP
GO:0031667	response to nutrient levels	53	46	42.43	0.134	1	BP
GO:0042330	taxis	53	46	42.43	0.134	1	BP
GO:0050767	regulation of neurogenesis	70	60	56.04	0.1359	1	BP
GO:0032501	multicellular organismal process	393	325	314.63	0.1361	1	BP
GO:0006753	nucleoside phosphate metabolic process	29	26	23.22	0.1365	1	BP
GO:0034976	response to endoplasmic reticulum stress	29	26	23.22	0.1365	1	BP
GO:0009117	nucleotide metabolic process	29	26	23.22	0.1365	1	BP
GO:0045666	positive regulation of neuron differenti...	29	26	23.22	0.1365	1	BP
GO:0010959	regulation of metal ion transport	29	26	23.22	0.1365	1	BP
GO:0009314	response to radiation	47	41	37.63	0.1367	1	BP
