GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0001659	temperature homeostasis	4	4	1.09	0.0054	1	BP
GO:0044550	secondary metabolite biosynthetic proces...	4	4	1.09	0.0054	1	BP
GO:1901264	carbohydrate derivative transport	4	4	1.09	0.0054	1	BP
GO:0051703	biological process involved in intraspec...	4	4	1.09	0.0054	1	BP
GO:0006865	amino acid transport	10	7	2.73	0.0057	1	BP
GO:0042596	fear response	6	5	1.64	0.0068	1	BP
GO:0002029	desensitization of G protein-coupled rec...	6	5	1.64	0.0068	1	BP
GO:0071900	regulation of protein serine/threonine k...	31	15	8.47	0.0085	1	BP
GO:1901576	organic substance biosynthetic process	282	91	77.06	0.0095	1	BP
GO:0051931	regulation of sensory perception	9	6	2.46	0.0152	1	BP
GO:0045777	positive regulation of blood pressure	9	6	2.46	0.0152	1	BP
GO:0003084	positive regulation of systemic arterial...	7	5	1.91	0.0186	1	BP
GO:1903792	negative regulation of anion transport	3	3	0.82	0.0202	1	BP
GO:0042219	cellular modified amino acid catabolic p...	3	3	0.82	0.0202	1	BP
GO:0036098	male germ-line stem cell population main...	3	3	0.82	0.0202	1	BP
GO:0032891	negative regulation of organic acid tran...	3	3	0.82	0.0202	1	BP
GO:0031649	heat generation	3	3	0.82	0.0202	1	BP
GO:0044273	sulfur compound catabolic process	3	3	0.82	0.0202	1	BP
GO:0051955	regulation of amino acid transport	3	3	0.82	0.0202	1	BP
GO:2000181	negative regulation of blood vessel morp...	3	3	0.82	0.0202	1	BP
GO:1901343	negative regulation of vasculature devel...	3	3	0.82	0.0202	1	BP
GO:0003071	renal system process involved in regulat...	3	3	0.82	0.0202	1	BP
GO:0003009	skeletal muscle contraction	3	3	0.82	0.0202	1	BP
GO:0016525	negative regulation of angiogenesis	3	3	0.82	0.0202	1	BP
GO:0034975	protein folding in endoplasmic reticulum	3	3	0.82	0.0202	1	BP
GO:0046689	response to mercury ion	3	3	0.82	0.0202	1	BP
GO:0050881	musculoskeletal movement	3	3	0.82	0.0202	1	BP
GO:0050879	multicellular organismal movement	3	3	0.82	0.0202	1	BP
GO:0014048	regulation of glutamate secretion	3	3	0.82	0.0202	1	BP
GO:0006814	sodium ion transport	17	9	4.65	0.0209	1	BP
GO:0086004	regulation of cardiac muscle cell contra...	5	4	1.37	0.0214	1	BP
GO:0032890	regulation of organic acid transport	5	4	1.37	0.0214	1	BP
GO:0045776	negative regulation of blood pressure	5	4	1.37	0.0214	1	BP
GO:0015800	acidic amino acid transport	5	4	1.37	0.0214	1	BP
GO:0003085	negative regulation of systemic arterial...	5	4	1.37	0.0214	1	BP
GO:0003016	respiratory system process	5	4	1.37	0.0214	1	BP
GO:0050886	endocrine process	5	4	1.37	0.0214	1	BP
GO:0044060	regulation of endocrine process	5	4	1.37	0.0214	1	BP
GO:1903115	regulation of actin filament-based movem...	5	4	1.37	0.0214	1	BP
GO:0098801	regulation of renal system process	5	4	1.37	0.0214	1	BP
GO:0014047	glutamate secretion	5	4	1.37	0.0214	1	BP
GO:0045932	negative regulation of muscle contractio...	5	4	1.37	0.0214	1	BP
GO:0044249	cellular biosynthetic process	278	88	75.97	0.0219	1	BP
GO:1901362	organic cyclic compound biosynthetic pro...	197	65	53.83	0.0222	1	BP
GO:0044272	sulfur compound biosynthetic process	12	7	3.28	0.0223	1	BP
GO:0008217	regulation of blood pressure	12	7	3.28	0.0223	1	BP
GO:0044271	cellular nitrogen compound biosynthetic ...	231	74	63.12	0.0302	1	BP
GO:0001666	response to hypoxia	35	15	9.56	0.0308	1	BP
GO:0019438	aromatic compound biosynthetic process	193	63	52.74	0.0321	1	BP
GO:0006942	regulation of striated muscle contractio...	8	5	2.19	0.0387	1	BP
GO:0055117	regulation of cardiac muscle contraction	8	5	2.19	0.0387	1	BP
GO:0051930	regulation of sensory perception of pain	8	5	2.19	0.0387	1	BP
GO:0010460	positive regulation of heart rate	8	5	2.19	0.0387	1	BP
GO:0044237	cellular metabolic process	482	143	131.71	0.0419	1	BP
GO:1903046	meiotic cell cycle process	16	8	4.37	0.043	1	BP
GO:0071456	cellular response to hypoxia	16	8	4.37	0.043	1	BP
GO:0055088	lipid homeostasis	16	8	4.37	0.043	1	BP
GO:0007613	memory	19	9	5.19	0.0468	1	BP
GO:0043405	regulation of MAP kinase activity	22	10	6.01	0.0494	1	BP
GO:1905952	regulation of lipid localization	11	6	3.01	0.0503	1	BP
GO:0003073	regulation of systemic arterial blood pr...	11	6	3.01	0.0503	1	BP
GO:0051100	negative regulation of binding	11	6	3.01	0.0503	1	BP
GO:0010883	regulation of lipid storage	6	4	1.64	0.0505	1	BP
GO:0042693	muscle cell fate commitment	6	4	1.64	0.0505	1	BP
GO:0071901	negative regulation of protein serine/th...	6	4	1.64	0.0505	1	BP
GO:0006835	dicarboxylic acid transport	6	4	1.64	0.0505	1	BP
GO:0051153	regulation of striated muscle cell diffe...	6	4	1.64	0.0505	1	BP
GO:0051101	regulation of DNA binding	6	4	1.64	0.0505	1	BP
GO:0070482	response to oxygen levels	40	16	10.93	0.0508	1	BP
GO:0034641	cellular nitrogen compound metabolic pro...	304	93	83.07	0.0512	1	BP
GO:0036293	response to decreased oxygen levels	37	15	10.11	0.0515	1	BP
GO:0035725	sodium ion transmembrane transport	14	7	3.83	0.0578	1	BP
GO:0000122	negative regulation of transcription by ...	50	19	13.66	0.0584	1	BP
GO:0034654	nucleobase-containing compound biosynthe...	188	60	51.37	0.0598	1	BP
GO:0036294	cellular response to decreased oxygen le...	17	8	4.65	0.0626	1	BP
GO:0002209	behavioral defense response	4	3	1.09	0.0643	1	BP
GO:0006023	aminoglycan biosynthetic process	4	3	1.09	0.0643	1	BP
GO:0006024	glycosaminoglycan biosynthetic process	4	3	1.09	0.0643	1	BP
GO:0043171	peptide catabolic process	4	3	1.09	0.0643	1	BP
GO:0001662	behavioral fear response	4	3	1.09	0.0643	1	BP
GO:1900047	negative regulation of hemostasis	4	3	1.09	0.0643	1	BP
GO:1903523	negative regulation of blood circulation	4	3	1.09	0.0643	1	BP
GO:0042694	muscle cell fate specification	4	3	1.09	0.0643	1	BP
GO:0033866	nucleoside bisphosphate biosynthetic pro...	4	3	1.09	0.0643	1	BP
GO:0044247	cellular polysaccharide catabolic proces...	4	3	1.09	0.0643	1	BP
GO:0000079	regulation of cyclin-dependent protein s...	4	3	1.09	0.0643	1	BP
GO:0001990	regulation of systemic arterial blood pr...	4	3	1.09	0.0643	1	BP
GO:0033574	response to testosterone	4	3	1.09	0.0643	1	BP
GO:0070328	triglyceride homeostasis	4	3	1.09	0.0643	1	BP
GO:0045761	regulation of adenylate cyclase activity	4	3	1.09	0.0643	1	BP
GO:0002021	response to dietary excess	4	3	1.09	0.0643	1	BP
