GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0048583	regulation of response to stimulus	203	139	116.04	0.0016	1	BP
GO:0007165	signal transduction	249	168	142.34	0.0019	1	BP
GO:0023051	regulation of signaling	188	129	107.47	0.003	1	BP
GO:1902476	chloride transmembrane transport	14	13	8	0.0043	1	BP
GO:0010646	regulation of cell communication	186	127	106.32	0.0053	1	BP
GO:0009952	anterior/posterior pattern specification	24	20	13.72	0.0058	1	BP
GO:0019722	calcium-mediated signaling	24	20	13.72	0.0058	1	BP
GO:0008038	neuron recognition	9	9	5.14	0.0063	1	BP
GO:0007269	neurotransmitter secretion	20	17	11.43	0.0076	1	BP
GO:0031175	neuron projection development	96	66	54.88	0.0084	1	BP
GO:0001708	cell fate specification	29	23	16.58	0.0097	1	BP
GO:1902531	regulation of intracellular signal trans...	98	67	56.02	0.0097	1	BP
GO:1903391	regulation of adherens junction organiza...	8	8	4.57	0.0111	1	BP
GO:0002118	aggressive behavior	12	11	6.86	0.0116	1	BP
GO:0009913	epidermal cell differentiation	19	16	10.86	0.0117	1	BP
GO:0031032	actomyosin structure organization	19	16	10.86	0.0117	1	BP
GO:0040011	locomotion	153	100	87.46	0.0123	1	BP
GO:0007163	establishment or maintenance of cell pol...	25	20	14.29	0.0136	1	BP
GO:0007166	cell surface receptor signaling pathway	122	81	69.74	0.0143	1	BP
GO:0048523	negative regulation of cellular process	263	164	150.34	0.0178	1	BP
GO:0120039	plasma membrane bounded cell projection ...	77	53	44.02	0.018	1	BP
GO:0048858	cell projection morphogenesis	77	53	44.02	0.018	1	BP
GO:0048812	neuron projection morphogenesis	77	53	44.02	0.018	1	BP
GO:0048584	positive regulation of response to stimu...	108	72	61.74	0.0185	1	BP
GO:0060996	dendritic spine development	11	10	6.29	0.0189	1	BP
GO:0045669	positive regulation of osteoblast differ...	7	7	4	0.0195	1	BP
GO:0010594	regulation of endothelial cell migration	7	7	4	0.0195	1	BP
GO:0030216	keratinocyte differentiation	7	7	4	0.0195	1	BP
GO:0050885	neuromuscular process controlling balanc...	7	7	4	0.0195	1	BP
GO:0001756	somitogenesis	7	7	4	0.0195	1	BP
GO:0007018	microtubule-based movement	24	19	13.72	0.0196	1	BP
GO:0032990	cell part morphogenesis	79	54	45.16	0.0208	1	BP
GO:0010975	regulation of neuron projection developm...	38	28	21.72	0.0237	1	BP
GO:0099111	microtubule-based transport	14	12	8	0.0238	1	BP
GO:0010632	regulation of epithelial cell migration	14	12	8	0.0238	1	BP
GO:0009605	response to external stimulus	179	114	102.32	0.0241	1	BP
GO:0009612	response to mechanical stimulus	35	26	20.01	0.0249	1	BP
GO:0007409	axonogenesis	57	40	32.58	0.0251	1	BP
GO:0048667	cell morphogenesis involved in neuron di...	78	53	44.59	0.0261	1	BP
GO:0030278	regulation of ossification	17	14	9.72	0.0265	1	BP
GO:0032989	cellular component morphogenesis	96	64	54.88	0.0266	1	BP
