GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007626	locomotory behavior	108	47	29.22	0.00011	1	BP
GO:0008016	regulation of heart contraction	47	27	12.72	0.00058	1	BP
GO:0051823	regulation of synapse structural plastic...	8	7	2.16	0.00063	1	BP
GO:0043058	regulation of backward locomotion	14	10	3.79	0.00065	1	BP
GO:0009267	cellular response to starvation	39	20	10.55	0.001	1	BP
GO:0035637	multicellular organismal signaling	34	18	9.2	0.00111	1	BP
GO:0043687	post-translational protein modification	59	27	15.97	0.00135	1	BP
GO:2000811	negative regulation of anoikis	5	5	1.35	0.00143	1	BP
GO:0042391	regulation of membrane potential	89	37	24.08	0.00172	1	BP
GO:0016241	regulation of macroautophagy	30	16	8.12	0.0019	1	BP
GO:0030968	endoplasmic reticulum unfolded protein r...	25	14	6.76	0.00198	1	BP
GO:0090328	regulation of olfactory learning	11	8	2.98	0.00203	1	BP
GO:0032222	regulation of synaptic transmission, cho...	7	6	1.89	0.00207	1	BP
GO:0010460	positive regulation of heart rate	9	7	2.44	0.00218	1	BP
GO:0033138	positive regulation of peptidyl-serine p...	18	11	4.87	0.0024	1	BP
GO:0009409	response to cold	18	11	4.87	0.0024	1	BP
GO:0030534	adult behavior	70	30	18.94	0.00268	1	BP
GO:0019722	calcium-mediated signaling	50	23	13.53	0.00281	1	BP
GO:0051480	regulation of cytosolic calcium ion conc...	56	25	15.15	0.00309	1	BP
GO:0001666	response to hypoxia	74	31	20.02	0.00351	1	BP
GO:0009612	response to mechanical stimulus	72	30	19.48	0.00447	1	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	12	8	3.25	0.00465	1	BP
GO:0006874	cellular calcium ion homeostasis	78	37	21.11	0.0047	1	BP
GO:0043524	negative regulation of neuron apoptotic ...	27	14	7.31	0.0051	1	BP
GO:0034249	negative regulation of cellular amide me...	27	14	7.31	0.0051	1	BP
GO:0038166	angiotensin-activated signaling pathway	4	4	1.08	0.00532	1	BP
GO:0035902	response to immobilization stress	4	4	1.08	0.00532	1	BP
GO:1905906	regulation of amyloid fibril formation	4	4	1.08	0.00532	1	BP
GO:0071455	cellular response to hyperoxia	4	4	1.08	0.00532	1	BP
GO:0006750	glutathione biosynthetic process	10	7	2.71	0.00558	1	BP
GO:1904645	response to amyloid-beta	10	7	2.71	0.00558	1	BP
GO:1900271	regulation of long-term synaptic potenti...	10	7	2.71	0.00558	1	BP
GO:0010524	positive regulation of calcium ion trans...	10	7	2.71	0.00558	1	BP
GO:0002118	aggressive behavior	17	10	4.6	0.00559	1	BP
GO:0009416	response to light stimulus	82	33	22.19	0.00561	1	BP
GO:1905898	positive regulation of response to endop...	8	6	2.16	0.0064	1	BP
GO:0010812	negative regulation of cell-substrate ad...	8	6	2.16	0.0064	1	BP
GO:0050671	positive regulation of lymphocyte prolif...	8	6	2.16	0.0064	1	BP
GO:0001782	B cell homeostasis	8	6	2.16	0.0064	1	BP
GO:0006412	translation	98	38	26.52	0.0064	1	BP
GO:0001976	nervous system process involved in regul...	6	5	1.62	0.00666	1	BP
GO:0050853	B cell receptor signaling pathway	6	5	1.62	0.00666	1	BP
GO:0051928	positive regulation of calcium ion trans...	25	16	6.76	0.00681	1	BP
GO:0048512	circadian behavior	36	17	9.74	0.00712	1	BP
GO:0043255	regulation of carbohydrate biosynthetic ...	15	9	4.06	0.00721	1	BP
GO:0045428	regulation of nitric oxide biosynthetic ...	15	9	4.06	0.00721	1	BP
GO:1903052	positive regulation of proteolysis invol...	28	14	7.58	0.00772	1	BP
GO:0046928	regulation of neurotransmitter secretion	23	12	6.22	0.00884	1	BP
GO:0097193	intrinsic apoptotic signaling pathway	54	23	14.61	0.00901	1	BP
GO:0033238	regulation of cellular amine metabolic p...	13	8	3.52	0.00926	1	BP
GO:0030433	ubiquitin-dependent ERAD pathway	13	8	3.52	0.00926	1	BP
GO:0045777	positive regulation of blood pressure	13	8	3.52	0.00926	1	BP
GO:0050999	regulation of nitric-oxide synthase acti...	13	8	3.52	0.00926	1	BP
GO:0051489	regulation of filopodium assembly	13	8	3.52	0.00926	1	BP
GO:0019217	regulation of fatty acid metabolic proce...	18	10	4.87	0.00959	1	BP
GO:0006813	potassium ion transport	37	17	10.01	0.00995	1	BP
GO:0032412	regulation of ion transmembrane transpor...	37	17	10.01	0.00995	1	BP
GO:2000060	positive regulation of ubiquitin-depende...	26	13	7.04	0.01017	1	BP
GO:0034250	positive regulation of cellular amide me...	26	13	7.04	0.01017	1	BP
GO:0001508	action potential	40	18	10.82	0.01045	1	BP
GO:0030431	sleep	29	14	7.85	0.0113	1	BP
GO:0002181	cytoplasmic translation	29	14	7.85	0.0113	1	BP
GO:0042113	B cell activation	29	14	7.85	0.0113	1	BP
GO:0042745	circadian sleep/wake cycle	21	11	5.68	0.01167	1	BP
GO:0042749	regulation of circadian sleep/wake cycle	21	11	5.68	0.01167	1	BP
GO:2000106	regulation of leukocyte apoptotic proces...	11	7	2.98	0.0118	1	BP
GO:0006821	chloride transport	32	15	8.66	0.01223	1	BP
GO:0036473	cell death in response to oxidative stre...	16	9	4.33	0.0126	1	BP
GO:0050805	negative regulation of synaptic transmis...	38	17	10.28	0.0136	1	BP
GO:0010608	post-transcriptional regulation of gene ...	74	29	20.02	0.01395	1	BP
GO:0003084	positive regulation of systemic arterial...	9	6	2.44	0.01483	1	BP
GO:0060759	regulation of response to cytokine stimu...	9	6	2.44	0.01483	1	BP
GO:0001959	regulation of cytokine-mediated signalin...	9	6	2.44	0.01483	1	BP
GO:0015918	sterol transport	9	6	2.44	0.01483	1	BP
GO:0010939	regulation of necrotic cell death	9	6	2.44	0.01483	1	BP
GO:0006111	regulation of gluconeogenesis	9	6	2.44	0.01483	1	BP
GO:1901800	positive regulation of proteasomal prote...	27	13	7.31	0.01488	1	BP
GO:1903008	organelle disassembly	14	8	3.79	0.01657	1	BP
GO:0016239	positive regulation of macroautophagy	14	8	3.79	0.01657	1	BP
GO:2000378	negative regulation of reactive oxygen s...	14	8	3.79	0.01657	1	BP
GO:0002121	inter-male aggressive behavior	14	8	3.79	0.01657	1	BP
GO:0061041	regulation of wound healing	22	11	5.95	0.01776	1	BP
GO:0061337	cardiac conduction	22	11	5.95	0.01776	1	BP
GO:1903427	negative regulation of reactive oxygen s...	7	5	1.89	0.01814	1	BP
GO:0045019	negative regulation of nitric oxide bios...	7	5	1.89	0.01814	1	BP
