GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0002029	desensitization of G protein-coupled rec...	9	5	0.83	0.00059	1	BP
GO:0003084	positive regulation of systemic arterial...	9	5	0.83	0.00059	1	BP
GO:0003016	respiratory system process	7	4	0.65	0.00197	1	BP
GO:0001666	response to hypoxia	74	15	6.83	0.00234	1	BP
GO:0036098	male germ-line stem cell population main...	4	3	0.37	0.00289	1	BP
GO:0046689	response to mercury ion	4	3	0.37	0.00289	1	BP
GO:0042596	fear response	12	5	1.11	0.00294	1	BP
GO:0086004	regulation of cardiac muscle cell contra...	8	4	0.74	0.00367	1	BP
GO:0044550	secondary metabolite biosynthetic proces...	8	4	0.74	0.00367	1	BP
GO:0055088	lipid homeostasis	30	8	2.77	0.00449	1	BP
GO:0014047	glutamate secretion	9	4	0.83	0.00613	1	BP
GO:0031649	heat generation	5	3	0.46	0.00674	1	BP
GO:0002021	response to dietary excess	5	3	0.46	0.00674	1	BP
GO:1990845	adaptive thermogenesis	5	3	0.46	0.00674	1	BP
GO:0003009	skeletal muscle contraction	5	3	0.46	0.00674	1	BP
GO:0034975	protein folding in endoplasmic reticulum	5	3	0.46	0.00674	1	BP
GO:0061885	positive regulation of mini excitatory p...	2	2	0.18	0.00849	1	BP
GO:0098630	aggregation of unicellular organisms	2	2	0.18	0.00849	1	BP
GO:1990911	response to psychosocial stress	2	2	0.18	0.00849	1	BP
GO:0035309	wing and notum subfield formation	2	2	0.18	0.00849	1	BP
GO:1901098	positive regulation of autophagosome mat...	2	2	0.18	0.00849	1	BP
GO:0060080	inhibitory postsynaptic potential	2	2	0.18	0.00849	1	BP
GO:0001996	positive regulation of heart rate by epi...	2	2	0.18	0.00849	1	BP
GO:0061051	positive regulation of cell growth invol...	2	2	0.18	0.00849	1	BP
GO:2000766	negative regulation of cytoplasmic trans...	2	2	0.18	0.00849	1	BP
GO:1905665	positive regulation of calcium ion impor...	2	2	0.18	0.00849	1	BP
GO:1900135	positive regulation of renin secretion i...	2	2	0.18	0.00849	1	BP
GO:0006751	glutathione catabolic process	2	2	0.18	0.00849	1	BP
GO:0002025	norepinephrine-epinephrine-mediated vaso...	2	2	0.18	0.00849	1	BP
GO:0032049	cardiolipin biosynthetic process	2	2	0.18	0.00849	1	BP
GO:0003061	positive regulation of the force of hear...	2	2	0.18	0.00849	1	BP
GO:2000623	negative regulation of nuclear-transcrib...	2	2	0.18	0.00849	1	BP
GO:0003059	positive regulation of the force of hear...	2	2	0.18	0.00849	1	BP
GO:0008295	spermidine biosynthetic process	2	2	0.18	0.00849	1	BP
GO:0008215	spermine metabolic process	2	2	0.18	0.00849	1	BP
GO:0002328	pro-B cell differentiation	2	2	0.18	0.00849	1	BP
GO:0031152	aggregation involved in sorocarp develop...	2	2	0.18	0.00849	1	BP
GO:2000969	positive regulation of AMPA receptor act...	2	2	0.18	0.00849	1	BP
GO:0106071	positive regulation of adenylate cyclase...	2	2	0.18	0.00849	1	BP
GO:1904645	response to amyloid-beta	10	4	0.92	0.00948	1	BP
GO:0006750	glutathione biosynthetic process	10	4	0.92	0.00948	1	BP
GO:1900271	regulation of long-term synaptic potenti...	10	4	0.92	0.00948	1	BP
GO:0034620	cellular response to unfolded protein	28	7	2.59	0.01131	1	BP
GO:1900047	negative regulation of hemostasis	6	3	0.55	0.01257	1	BP
GO:0070328	triglyceride homeostasis	6	3	0.55	0.01257	1	BP
GO:0030195	negative regulation of blood coagulation	6	3	0.55	0.01257	1	BP
GO:0090280	positive regulation of calcium ion impor...	6	3	0.55	0.01257	1	BP
GO:0050819	negative regulation of coagulation	6	3	0.55	0.01257	1	BP
GO:0055090	acylglycerol homeostasis	6	3	0.55	0.01257	1	BP
GO:0014048	regulation of glutamate secretion	6	3	0.55	0.01257	1	BP
GO:0071900	regulation of protein serine/threonine k...	88	15	8.13	0.01266	1	BP
GO:0045932	negative regulation of muscle contractio...	11	4	1.02	0.01384	1	BP
GO:0071453	cellular response to oxygen levels	43	9	3.97	0.01421	1	BP
GO:0031396	regulation of protein ubiquitination	43	9	3.97	0.01421	1	BP
GO:0031646	positive regulation of nervous system pr...	23	6	2.12	0.01519	1	BP
GO:0006814	sodium ion transport	44	9	4.06	0.01648	1	BP
GO:0031398	positive regulation of protein ubiquitin...	30	7	2.77	0.01661	1	BP
GO:0051338	regulation of transferase activity	159	23	14.69	0.01669	1	BP
GO:0071456	cellular response to hypoxia	37	8	3.42	0.01688	1	BP
GO:0051931	regulation of sensory perception	24	6	2.22	0.01874	1	BP
GO:0009415	response to water	12	4	1.11	0.01929	1	BP
GO:0036294	cellular response to decreased oxygen le...	38	8	3.51	0.01974	1	BP
GO:0010460	positive regulation of heart rate	9	5	0.83	0.01998	1	BP
GO:0019217	regulation of fatty acid metabolic proce...	18	5	1.66	0.02013	1	BP
GO:1903320	regulation of protein modification by sm...	53	10	4.9	0.02034	1	BP
GO:0032891	negative regulation of organic acid tran...	7	3	0.65	0.02052	1	BP
GO:0044247	cellular polysaccharide catabolic proces...	7	3	0.65	0.02052	1	BP
GO:1904646	cellular response to amyloid-beta	7	3	0.65	0.02052	1	BP
GO:0045761	regulation of adenylate cyclase activity	7	3	0.65	0.02052	1	BP
GO:0097421	liver regeneration	7	3	0.65	0.02052	1	BP
GO:0008333	endosome to lysosome transport	7	3	0.65	0.02052	1	BP
GO:1900273	positive regulation of long-term synapti...	7	3	0.65	0.02052	1	BP
GO:0000272	polysaccharide catabolic process	7	3	0.65	0.02052	1	BP
GO:1901798	positive regulation of signal transducti...	7	3	0.65	0.02052	1	BP
GO:0005980	glycogen catabolic process	7	3	0.65	0.02052	1	BP
GO:0009251	glucan catabolic process	7	3	0.65	0.02052	1	BP
GO:0030968	endoplasmic reticulum unfolded protein r...	25	6	2.31	0.02282	1	BP
GO:0035967	cellular response to topologically incor...	32	7	2.96	0.02345	1	BP
GO:0019216	regulation of lipid metabolic process	70	12	6.47	0.02377	1	BP
GO:1903795	regulation of inorganic anion transmembr...	3	2	0.28	0.02391	1	BP
GO:0043455	regulation of secondary metabolic proces...	3	2	0.28	0.02391	1	BP
GO:0010510	regulation of acetyl-CoA biosynthetic pr...	3	2	0.28	0.02391	1	BP
GO:0010544	negative regulation of platelet activati...	3	2	0.28	0.02391	1	BP
GO:0006086	acetyl-CoA biosynthetic process from pyr...	3	2	0.28	0.02391	1	BP
GO:0003223	ventricular compact myocardium morphogen...	3	2	0.28	0.02391	1	BP
