GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0043058	regulation of backward locomotion	14	9	2.7	0.00027	1	BP
GO:0002121	inter-male aggressive behavior	14	9	2.7	0.00027	1	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	12	8	2.32	0.00043	1	BP
GO:0019722	calcium-mediated signaling	50	20	9.66	5e-04	1	BP
GO:0009612	response to mechanical stimulus	72	26	13.91	5e-04	1	BP
GO:2000001	regulation of DNA damage checkpoint	4	4	0.77	0.00138	1	BP
GO:1902476	chloride transmembrane transport	29	13	5.6	0.00143	1	BP
GO:0090328	regulation of olfactory learning	11	7	2.13	0.00154	1	BP
GO:0008016	regulation of heart contraction	47	18	9.08	0.00173	1	BP
GO:0046928	regulation of neurotransmitter secretion	23	11	4.44	0.00175	1	BP
GO:0048013	ephrin receptor signaling pathway	9	6	1.74	0.00248	1	BP
GO:0050805	negative regulation of synaptic transmis...	38	15	7.34	0.00295	1	BP
GO:0060996	dendritic spine development	21	10	4.06	0.00297	1	BP
GO:0031032	actomyosin structure organization	42	16	8.11	0.0033	1	BP
GO:0016322	neuron remodeling	25	11	4.83	0.00398	1	BP
GO:0048663	neuron fate commitment	47	17	9.08	0.00466	1	BP
GO:0007416	synapse assembly	63	21	12.17	0.00532	1	BP
GO:1903391	regulation of adherens junction organiza...	16	8	3.09	0.00544	1	BP
GO:0050999	regulation of nitric-oxide synthase acti...	13	7	2.51	0.00558	1	BP
GO:0016486	peptide hormone processing	5	4	0.97	0.00583	1	BP
GO:0006836	neurotransmitter transport	72	28	13.91	0.00629	1	BP
GO:0045672	positive regulation of osteoclast differ...	3	3	0.58	0.00717	1	BP
GO:0051036	regulation of endosome size	3	3	0.58	0.00717	1	BP
GO:0032525	somite rostral/caudal axis specification	3	3	0.58	0.00717	1	BP
GO:0060749	mammary gland alveolus development	3	3	0.58	0.00717	1	BP
GO:2000251	positive regulation of actin cytoskeleto...	3	3	0.58	0.00717	1	BP
GO:0042058	regulation of epidermal growth factor re...	27	11	5.22	0.00803	1	BP
GO:0010812	negative regulation of cell-substrate ad...	8	5	1.55	0.0088	1	BP
GO:0010458	exit from mitosis	8	5	1.55	0.0088	1	BP
GO:0071805	potassium ion transmembrane transport	31	12	5.99	0.00915	1	BP
GO:0070206	protein trimerization	14	7	2.7	0.00933	1	BP
GO:0010970	transport along microtubule	24	10	4.64	0.00948	1	BP
GO:0001505	regulation of neurotransmitter levels	95	33	18.35	0.01106	1	BP
GO:0071496	cellular response to external stimulus	75	23	14.49	0.01118	1	BP
GO:0050807	regulation of synapse organization	67	21	12.95	0.0116	1	BP
GO:1901888	regulation of cell junction assembly	67	21	12.95	0.0116	1	BP
GO:0019098	reproductive behavior	67	21	12.95	0.0116	1	BP
GO:0050848	regulation of calcium-mediated signaling	25	10	4.83	0.01315	1	BP
GO:0048665	neuron fate specification	25	10	4.83	0.01315	1	BP
GO:0007600	sensory perception	150	40	28.98	0.01401	1	BP
GO:0050906	detection of stimulus involved in sensor...	44	15	8.5	0.01407	1	BP
GO:0051124	synaptic assembly at neuromuscular junct...	48	16	9.27	0.01431	1	BP
GO:0043255	regulation of carbohydrate biosynthetic ...	15	7	2.9	0.01465	1	BP
GO:0051592	response to calcium ion	29	11	5.6	0.01471	1	BP
GO:0050849	negative regulation of calcium-mediated ...	6	4	1.16	0.01482	1	BP
GO:0002920	regulation of humoral immune response	6	4	1.16	0.01482	1	BP
GO:1901673	regulation of mitotic spindle assembly	6	4	1.16	0.01482	1	BP
GO:0001967	suckling behavior	6	4	1.16	0.01482	1	BP
GO:0001953	negative regulation of cell-matrix adhes...	6	4	1.16	0.01482	1	BP
GO:0016311	dephosphorylation	81	24	15.65	0.01509	1	BP
GO:0001708	cell fate specification	77	23	14.88	0.01557	1	BP
GO:0110020	regulation of actomyosin structure organ...	22	9	4.25	0.01567	1	BP
GO:0051481	negative regulation of cytosolic calcium...	12	6	2.32	0.01614	1	BP
GO:0060997	dendritic spine morphogenesis	12	6	2.32	0.01614	1	BP
GO:0070207	protein homotrimerization	12	6	2.32	0.01614	1	BP
GO:0007617	mating behavior	37	13	7.15	0.01666	1	BP
GO:0007618	mating	37	13	7.15	0.01666	1	BP
GO:0006111	regulation of gluconeogenesis	9	5	1.74	0.01669	1	BP
GO:0015918	sterol transport	9	5	1.74	0.01669	1	BP
GO:0036003	positive regulation of transcription fro...	9	5	1.74	0.01669	1	BP
GO:0097720	calcineurin-mediated signaling	9	5	1.74	0.01669	1	BP
GO:0033173	calcineurin-NFAT signaling cascade	9	5	1.74	0.01669	1	BP
GO:0007623	circadian rhythm	61	19	11.79	0.01715	1	BP
GO:0010675	regulation of cellular carbohydrate meta...	26	10	5.02	0.01778	1	BP
GO:0035637	multicellular organismal signaling	34	12	6.57	0.02035	1	BP
GO:0050954	sensory perception of mechanical stimulu...	62	19	11.98	0.02045	1	BP
GO:0031323	regulation of cellular metabolic process	797	172	153.99	0.02178	1	BP
GO:0038093	Fc receptor signaling pathway	16	7	3.09	0.02181	1	BP
GO:0071277	cellular response to calcium ion	16	7	3.09	0.02181	1	BP
GO:0050885	neuromuscular process controlling balanc...	16	7	3.09	0.02181	1	BP
GO:0007528	neuromuscular junction development	67	20	12.95	0.02351	1	BP
GO:0051606	detection of stimulus	84	24	16.23	0.02362	1	BP
GO:0021559	trigeminal nerve development	4	3	0.77	0.02454	1	BP
GO:0032488	Cdc42 protein signal transduction	4	3	0.77	0.02454	1	BP
GO:0007464	R3/R4 cell fate commitment	4	3	0.77	0.02454	1	BP
GO:0021979	hypothalamus cell differentiation	4	3	0.77	0.02454	1	BP
GO:1900120	regulation of receptor binding	4	3	0.77	0.02454	1	BP
GO:0002070	epithelial cell maturation	4	3	0.77	0.02454	1	BP
GO:0051895	negative regulation of focal adhesion as...	4	3	0.77	0.02454	1	BP
GO:0060644	mammary gland epithelial cell differenti...	4	3	0.77	0.02454	1	BP
GO:0035994	response to muscle stretch	4	3	0.77	0.02454	1	BP
GO:0035902	response to immobilization stress	4	3	0.77	0.02454	1	BP
GO:0150118	negative regulation of cell-substrate ju...	4	3	0.77	0.02454	1	BP
GO:0002759	regulation of antimicrobial humoral resp...	4	3	0.77	0.02454	1	BP
GO:0048056	R3/R4 cell differentiation	4	3	0.77	0.02454	1	BP
