cell_type	development_cell_type
cnidocyte	cnidocyte
gastro_circular_muscle_1	gastrodermis
gastro_circular_muscle_2	gastrodermis
gastro_parietal_muscle	gastrodermis
gastro_IRF1_2	gastrodermis
gastro_somatic_gonad	gastrodermis
muscle_tentacle_retractor	retractor muscle
muscle_mesentery_retractor	retractor muscle
digestive_filaments_1	ectoderm.pharyngeal
digestive_filaments_2	ectoderm.pharyngeal
digestive_filaments_3	ectoderm.pharyngeal
precursors_PGC	ectoderm.embryonic
precursors_endoNPC	ectoderm.embryonic
precursors_NPC	ectoderm.embryonic
epidermis_1	ectoderm.epidermis
epidermis_2	ectoderm.epidermis
neuron_GATA_Islet_1	neuronal
neuron_GATA_Islet_2	neuronal
neuron_Pou4_FoxL2_3	neuronal
neuron_Pou4_FoxL2_1	cnidocyte.mature
neuron_Pou4_FoxL2_2	cnidocyte.mature
gland	gland.mucous
NPC_2	cnidocyte
ecto_pharynx	ectoderm.embryonic
ectoderm	ectoderm.embryonic
ecto_aboral	ectoderm.embryonic
EMS	mesendoderm.embryonic
EMS_ecto_boundary	mesendoderm.embryonic
NPC_1	NPC
neuronal_gastrula	neuronal
gland_mucin	gland.mucous
