development_cell_type	cell_type	gene	development_stage	lvl
NPC	NPC_1	Nvec_vc1.1_XM_001634111.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001639705.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381869.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032382712.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048720569.1	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048731147.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032383713.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032383512.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048732864.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048725593.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032385169.2	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_048719424.1	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001637733.3	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032373497.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032386947.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032373617.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001626384.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001634116.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384063.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048724160.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048729815.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384221.2	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_032386296.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048720219.1	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001633484.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628318.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032376421.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032365767.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032380131.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001639002.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001632947.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628737.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048722809.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032387283.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048726872.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032382158.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048723945.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381425.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385905.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032376267.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048732404.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032370541.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001626717.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001637529.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001638841.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001629605.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001637508.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048721411.1	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032373943.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032373619.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032372883.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366085.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_048732912.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032380975.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_032364784.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032371996.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_048731196.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032387218.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366098.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001633901.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048722777.1	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_032362713.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048729744.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048722594.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048723109.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001637190.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001633995.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001633273.3	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_048729090.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001632568.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381586.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001634326.3	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_032365096.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001622708.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363859.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001629480.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001639307.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_032370623.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048720726.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001640809.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032377135.2	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_001624716.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032364281.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378839.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032382185.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001627662.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385499.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001625437.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032379394.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001623467.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384447.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001634712.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032375228.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385496.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032384134.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001627049.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001629020.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363350.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032378402.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384228.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032364704.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032375407.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001635374.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048720635.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048728853.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032376608.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001634519.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366602.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001636315.3	D|24h gastrula	2
NPC	NPC_1	Nvec_NVE23841	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048723770.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032374310.2	D|18h gastrula	1
