gene	cell_type	stage	time	lvl	rpm_delta	rpm_delta_diff
Nvec_NVE23841	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.993982416391666
Nvec_v1g19278	cnidocyte	D|18h gastrula	D|18h gastrula	1	1	0.929045028335134
Nvec_v1g210540	neuronal	D|24h gastrula	D|24h gastrula	2	1	0.254675410194689
Nvec_v1g99666	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	1
Nvec_vc1.1_XM_001622708.3	secretory	D|24h gastrula	D|24h gastrula	2	1	0.931644799217592
Nvec_vc1.1_XM_001623084.3	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	1
Nvec_vc1.1_XM_001623131.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.857073816223452
Nvec_vc1.1_XM_001624716.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.932321941797817
Nvec_vc1.1_XM_001625109.3	secretory	D|24h gastrula	D|24h gastrula	2	1	0.871673748611003
Nvec_vc1.1_XM_001625437.3	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	1	0.525694693865584
Nvec_vc1.1_XM_001625588.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.848165137614679
Nvec_vc1.1_XM_001625700.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.825788014794459
Nvec_vc1.1_XM_001625997.3	gastrodermis	D|4d.c planula	D|4d.c planula	5	1	0.608615638919953
Nvec_vc1.1_XM_001626351.3	ectoderm.pharyngeal	D|24h gastrula	D|24h gastrula	2	1	0.605102606766501
Nvec_vc1.1_XM_001627662.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.927291031296709
Nvec_vc1.1_XM_001628087.3	neuronal	D|18h gastrula	D|18h gastrula	1	1	0.892461755805229
Nvec_vc1.1_XM_001628279.3	secretory	D|2d planula	D|2d planula	3	1	0.70363663642252
Nvec_vc1.1_XM_001628318.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.807732226679174
Nvec_vc1.1_XM_001628634.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	1
Nvec_vc1.1_XM_001628705.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.838033039660773
Nvec_vc1.1_XM_001628737.3	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.98237207625983
Nvec_vc1.1_XM_001628945.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.948266019278689
Nvec_vc1.1_XM_001628964.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.859290816845179
Nvec_vc1.1_XM_001629020.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.82393929414925
Nvec_vc1.1_XM_001629572.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.645659186688503
Nvec_vc1.1_XM_001629605.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.894699286648977
Nvec_vc1.1_XM_001630131.3	mesendoderm.embryonic	D|5d p.polyp	D|5d p.polyp	6	1	0.728968939736991
Nvec_vc1.1_XM_001630363.3	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.588368580060423
Nvec_vc1.1_XM_001631326.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.979941387972221
Nvec_vc1.1_XM_001631403.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.827172416342449
Nvec_vc1.1_XM_001632824.3	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	1
Nvec_vc1.1_XM_001632929.3	retractor muscle	D|5d p.polyp	D|5d p.polyp	6	1	0.587687491848181
Nvec_vc1.1_XM_001632947.3	neuronal	D|18h gastrula	D|18h gastrula	1	1	0.936441773936034
Nvec_vc1.1_XM_001633484.3	secretory	D|2d planula	D|2d planula	3	1	0.586287336540673
Nvec_vc1.1_XM_001633508.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.823689730107913
Nvec_vc1.1_XM_001633902.3	neuronal	D|18h gastrula	D|18h gastrula	1	1	0.998494372947851
Nvec_vc1.1_XM_001633995.3	cnidocyte.mature	D|4d.c planula	D|4d.c planula	5	1	0.732556852909562
Nvec_vc1.1_XM_001634111.3	NPC	D|18h gastrula	D|18h gastrula	1	1	0.968517817352299
Nvec_vc1.1_XM_001634116.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.955312886539469
Nvec_vc1.1_XM_001634132.3	secretory	D|24h gastrula	D|24h gastrula	2	1	0.887454400758687
Nvec_vc1.1_XM_001634160.3	cnidocyte.mature	D|2d planula	D|2d planula	3	1	0.423022857723875
Nvec_vc1.1_XM_001634519.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.94924032521413
Nvec_vc1.1_XM_001634712.3	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.939049139913109
Nvec_vc1.1_XM_001634956.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.90632248036149
Nvec_vc1.1_XM_001634986.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.869229326167568
Nvec_vc1.1_XM_001635120.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.682724535441751
Nvec_vc1.1_XM_001635276.3	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	1	0.626151154839242
Nvec_vc1.1_XM_001635374.3	secretory	D|24h gastrula	D|24h gastrula	2	1	0.773514491451663
Nvec_vc1.1_XM_001636464.3	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.838719096893559
Nvec_vc1.1_XM_001637190.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.878335724533716
Nvec_vc1.1_XM_001637529.3	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	1
Nvec_vc1.1_XM_001638641.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.888531766213229
Nvec_vc1.1_XM_001639002.3	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.390577493554141
Nvec_vc1.1_XM_001639101.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.981157768066375
Nvec_vc1.1_XM_001639701.3	cnidocyte	D|18h gastrula	D|18h gastrula	1	1	0.748292520243461
Nvec_vc1.1_XM_001639705.3	NPC	D|18h gastrula	D|18h gastrula	1	1	0.971047901115666
Nvec_vc1.1_XM_001640726.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.979139383538588
Nvec_vc1.1_XM_001640781.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	1
Nvec_vc1.1_XM_001640809.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	1
Nvec_vc1.1_XM_001641660.3	secretory	D|24h gastrula	D|24h gastrula	2	1	0.939417956378349
Nvec_vc1.1_XM_001647488.3	retractor muscle	D|5d p.polyp	D|5d p.polyp	6	1	0.617443508516054
Nvec_vc1.1_XM_032361849.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.795441743568925
Nvec_vc1.1_XM_032361906.2	cnidocyte	D|4d.c planula	D|4d.c planula	5	1	0.984644112292339
Nvec_vc1.1_XM_032362135.2	cnidocyte	D|18h gastrula	D|18h gastrula	1	1	0.528148255185436
Nvec_vc1.1_XM_032362346.2	gastrodermis	D|4d.c planula	D|4d.c planula	5	1	0.79489477786438
Nvec_vc1.1_XM_032362387.2	ectoderm.pharyngeal	D|4d.c planula	D|4d.c planula	5	1	0.605849947534103
Nvec_vc1.1_XM_032362396.2	mesendoderm.embryonic	D|2d planula	D|2d planula	3	1	0.999119906453685
Nvec_vc1.1_XM_032363059.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.934063662505663
Nvec_vc1.1_XM_032363985.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.954116570710385
Nvec_vc1.1_XM_032364225.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.99630778790322
Nvec_vc1.1_XM_032364281.2	mesendoderm.embryonic	D|24h gastrula	D|24h gastrula	2	1	1
Nvec_vc1.1_XM_032364373.2	cnidocyte.mature	D|8d p.polyp	D|8d p.polyp	7	1	0.886062343246148
Nvec_vc1.1_XM_032364605.2	neuronal	D|24h gastrula	D|24h gastrula	2	1	0.145402452375232
Nvec_vc1.1_XM_032365192.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.889244288459832
Nvec_vc1.1_XM_032365212.2	secretory	D|2d planula	D|2d planula	3	1	0.562016593410338
Nvec_vc1.1_XM_032365767.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.685324722796904
Nvec_vc1.1_XM_032366098.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.989028884289522
Nvec_vc1.1_XM_032366225.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.822004922741015
Nvec_vc1.1_XM_032366482.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.655548131817872
Nvec_vc1.1_XM_032366602.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.923122653483147
Nvec_vc1.1_XM_032366797.2	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	1	0.973275557737774
Nvec_vc1.1_XM_032367023.2	ectoderm.pharyngeal	D|5d p.polyp	D|5d p.polyp	6	1	0.897373835912907
Nvec_vc1.1_XM_032367750.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.991281752023383
Nvec_vc1.1_XM_032367802.2	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.943280758504025
Nvec_vc1.1_XM_032369367.2	secretory	D|2d planula	D|2d planula	3	1	0.585927224686326
Nvec_vc1.1_XM_032370541.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.95030114252738
Nvec_vc1.1_XM_032370623.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.771568695939927
Nvec_vc1.1_XM_032370984.2	neuronal	D|18h gastrula	D|18h gastrula	1	1	0.800737789094117
Nvec_vc1.1_XM_032371461.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.86963302140907
Nvec_vc1.1_XM_032372025.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.809539048726642
Nvec_vc1.1_XM_032372078.2	cnidocyte.mature	D|2d planula	D|2d planula	3	1	0.832259273985266
Nvec_vc1.1_XM_032372575.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.904324174236146
Nvec_vc1.1_XM_032372883.2	secretory	D|24h gastrula	D|24h gastrula	2	1	0.848643674818123
Nvec_vc1.1_XM_032373496.2	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	1
Nvec_vc1.1_XM_032373617.2	ectoderm.pharyngeal	D|2d planula	D|2d planula	3	1	0.275112907059663
Nvec_vc1.1_XM_032374310.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.997791744645931
Nvec_vc1.1_XM_032374352.2	neuronal	D|5d p.polyp	D|5d p.polyp	6	1	0.784453364172675
Nvec_vc1.1_XM_032374977.2	gastrodermis	D|5d p.polyp	D|5d p.polyp	6	1	0.999859612824302
Nvec_vc1.1_XM_032375349.2	cnidocyte.mature	D|2d planula	D|2d planula	3	1	0.824379231325119
Nvec_vc1.1_XM_032375378.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.683450503515106
Nvec_vc1.1_XM_032375602.2	secretory	D|24h gastrula	D|24h gastrula	2	1	0.635611881907315
Nvec_vc1.1_XM_032375635.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.566874725132632
Nvec_vc1.1_XM_032376267.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.817268467388813
Nvec_vc1.1_XM_032376736.2	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	1	0.773044925124792
Nvec_vc1.1_XM_032377390.2	cnidocyte.mature	D|2d planula	D|2d planula	3	1	1
Nvec_vc1.1_XM_032378402.2	secretory	D|24h gastrula	D|24h gastrula	2	1	0.912295467755177
Nvec_vc1.1_XM_032379348.2	gastrodermis	D|4d.c planula	D|4d.c planula	5	1	0.940916191154348
Nvec_vc1.1_XM_032379394.2	gastrodermis	D|2d planula	D|2d planula	3	1	0.485464584255019
Nvec_vc1.1_XM_032379398.2	retractor muscle	D|5d p.polyp	D|5d p.polyp	6	1	1
Nvec_vc1.1_XM_032379457.2	neuronal	D|4d.c planula	D|4d.c planula	5	1	0.902128753589933
Nvec_vc1.1_XM_032380001.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.768987420584267
Nvec_vc1.1_XM_032380374.2	cnidocyte.mature	D|2d planula	D|2d planula	3	1	0.852052262928326
Nvec_vc1.1_XM_032381020.2	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	1
Nvec_vc1.1_XM_032381049.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.912232172262079
