gene	degree_all	degree_in	degree_out	clustering_coefficient	degree_centrality_all	degree_centrality_in	degree_centrality_out	betweenness_centrality	closeness_centrality	eigenvector_centrality	page_rank	assortative_coefficient	average_path_length	community_random_walk	module	connectivity	participation	role	cell_type
Nvec_vc1.1_XM_032364887.2	461	3	458	0.00190026488540827	0.386420787929589	0.00251466890192791	0.383906119027661	5109.5	0.00244439012466391	1	0.000838928038463409	-0.254662342054629	0.52124246395806	11	7	17.4355957741628	0.537852062317652	Connector Hub	cnidocyte
Nvec_vc1.1_XM_048730283.1	46	5	41	0.0367149758454106	0.038558256496228	0.00419111483654652	0.0343671416596815	423.166666666667	0.00122553525252154	0.0798092200377432	0.000865716494758938	-0.254662342054629	0.52124246395806	2	4	2.25166956953161	0.667296786389414	Connector	cnidocyte
Nvec_v1g241767	97	1	96	0.0142543859649123	0.0813076278290025	0.000838222967309304	0.0804694048616932	362	0.00231765823811621	0.150542608486188	0.000831592327956049	-0.254662342054629	0.52124246395806	8	0	8.10266748783691	0.573350694444444	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032366790.2	58	0	58	0.00604960677555959	0.0486169321039397	0	0.0486169321039397	0	0.00104470283427879	0.0315098727646471	0.000829047056220599	-0.254662342054629	0.52124246395806	4	6	6.99999999999999	0.280023781212842	Connector Hub	cnidocyte
Nvec_vc1.1_XM_001631763.3	73	8	65	0.0338660578386606	0.0611902766135792	0.00670578373847443	0.0544844928751048	5152.33333333333	0.00163800163800164	0.0952772656112229	0.000934889085121947	-0.254662342054629	0.52124246395806	6	0	6.03281965332823	0.576468380559204	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032372114.2	102	1	101	0.0071830712483013	0.085498742665549	0.000838222967309304	0.0846605196982397	712.5	0.00143168021990608	0.095089374603945	0.000830698043292242	-0.254662342054629	0.52124246395806	7	1	9.53939201416944	0.199923106497501	Connector Hub	cnidocyte
Nvec_v1g19278	224	3	221	0.00763543812871167	0.187761944677284	0.00251466890192791	0.185247275775356	5973.33333333333	0.00218331077245535	0.225210372801135	0.000845700145405209	-0.254662342054629	0.52124246395806	1	3	10.2588891472881	0.580466126405115	Connector Hub	cnidocyte
Nvec_vc1.1_XM_048721414.1	125	3	122	0.0124573826383425	0.104777870913663	0.00251466890192791	0.102263202011735	1930.83333333333	0.00207232411149105	0.125161731041697	0.000843368361054213	-0.254662342054629	0.52124246395806	1	3	7.11353762347529	0.365114464099896	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032363992.2	366	6	360	0.00400804704425874	0.306789606035205	0.00502933780385583	0.30176026823135	8043.83333333333	0.00259963085241895	0.51945079056336	0.000855725329534469	-0.254662342054629	0.52124246395806	12	8	15.329709716756	0.553126510692826	Connector Hub	cnidocyte
Nvec_vc1.1_XM_001641129.3	86	5	81	0.0229489386115892	0.0720871751886002	0.00419111483654652	0.0678960603520537	1601.33333333333	0.00207107944660758	0.0864384300143498	0.000854971180810116	-0.254662342054629	0.52124246395806	9	5	8.29755049578045	0.464852607709751	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032374029.2	148	3	145	0.00440613026819923	0.124056999161777	0.00251466890192791	0.121542330259849	1113.5	0.00172048930715896	0.0946600434864897	0.000848756155500951	-0.254662342054629	0.52124246395806	10	4	10.8393520492523	0.48301745167949	Connector Hub	cnidocyte
