metacell	cell_type	color
adult_1	cnidocyte_nematocytes	#CD96CD
adult_2	cnidocyte_nematocytes	#CD96CD
adult_3	cnidocyte_spirocytes	#EEAEEE
adult_4	cnidocyte_spirocytes	#EEAEEE
adult_5	cnidocyte_precursor	#F5CEF5
adult_6	muscle	#FFD700
adult_7	muscle	#FFD700
adult_8	muscle	#FFD700
adult_9	muscle	#FFD700
adult_10	muscle	#FFD700
adult_11	gastrodermis_muscle_parietal_circular_prog	#ABFF00
adult_12	gastrodermis_muscle_parietal_circular_prog	#ABFF00
adult_13	gastrodermis_muscle_parietal_circular_prog	#ABFF00
adult_14	gastrodermis_muscle_parietal_circular_prog	#ABFF00
adult_15	gastrodermis_muscle_parietal_circular_prog	#ABFF00
adult_16	gastrodermis_muscle_tentacle_bud_stage	#72FF00
adult_17	gastrodermis_muscle_somatic_gonad	#39FF00
adult_18	gastrodermis_muscle_X1	#00FF00
adult_19	gastrodermis	#458B00
adult_20	gastrodermis	#458B00
adult_21	gastrodermis	#458B00
adult_22	gastrodermis	#458B00
adult_23	gastrodermis	#458B00
adult_24	gastrodermis	#458B00
adult_25	gastrodermis	#458B00
adult_26	gastrodermis	#458B00
adult_27	gastrodermis	#458B00
adult_28	gastrodermis	#458B00
adult_29	gastrodermis	#458B00
adult_30	gastrodermis	#458B00
adult_31	gastrodermis	#458B00
adult_32	gastrodermis	#458B00
adult_33	gastrodermis	#458B00
adult_34	gastrodermis	#458B00
adult_35	gastrodermis	#458B00
adult_36	gastrodermis	#458B00
adult_37	gastrodermis	#458B00
adult_38	gastrodermis	#458B00
adult_39	gastrodermis	#458B00
adult_40	gastrodermis	#458B00
adult_41	gastrodermis	#458B00
adult_42	gastrodermis	#458B00
adult_43	gastrodermis	#458B00
adult_44	gastrodermis	#458B00
adult_45	gastrodermis	#458B00
adult_46	gastrodermis	#458B00
adult_47	gastrodermis	#458B00
adult_48	gastrodermis	#458B00
adult_49	gastrodermis	#458B00
adult_50	gastrodermis	#458B00
adult_51	gastrodermis	#458B00
adult_52	gastrodermis	#458B00
adult_53	gastrodermis	#458B00
adult_54	gastrodermis	#458B00
adult_55	gastrodermis	#458B00
adult_56	digestive_filaments	#CD2626
adult_57	digestive_filaments	#CD2626
adult_58	digestive_filaments	#CD2626
adult_59	digestive_filaments	#CD2626
adult_60	digestive_filaments	#CD2626
adult_61	digestive_filaments	#CD2626
adult_62	digestive_filaments	#CD2626
adult_63	digestive_filaments	#CD2626
adult_64	digestive_filaments	#CD2626
adult_65	digestive_filaments	#CD2626
adult_66	digestive_filaments	#CD2626
adult_67	digestive_filaments	#CD2626
adult_68	digestive_filaments	#CD2626
adult_69	digestive_filaments	#CD2626
adult_70	digestive_filaments	#CD2626
adult_71	digestive_filaments	#CD2626
adult_72	digestive_filaments	#CD2626
adult_73	digestive_filaments	#CD2626
adult_74	digestive_filaments	#CD2626
adult_75	digestive_filaments	#CD2626
adult_76	digestive_filaments	#CD2626
adult_77	epidermis	#00C5CD
adult_78	epidermis	#00C5CD
adult_79	epidermis	#00C5CD
adult_80	epidermis	#00C5CD
adult_81	epidermis	#00C5CD
adult_82	epidermis	#00C5CD
adult_83	epidermis	#00C5CD
adult_84	epidermis	#00C5CD
adult_85	epidermis	#00C5CD
adult_86	epidermis	#00C5CD
adult_87	epidermis	#00C5CD
adult_88	epidermis	#00C5CD
adult_89	epidermis	#00C5CD
adult_90	epidermis	#00C5CD
adult_91	epidermis	#00C5CD
adult_92	epidermis	#00C5CD
adult_93	epidermis	#00C5CD
adult_94	epidermis	#00C5CD
adult_95	epidermis	#00C5CD
adult_96	epidermis	#00C5CD
adult_97	precursors	#BEBEBE
adult_98	precursors	#BEBEBE
adult_99	neuron_1	#0099FF
adult_100	neuron_2_precursors	#0096FC
adult_101	neuron_3_motor	#0093F9
adult_102	neuron_4	#0091F6
adult_103	neuron_5_lwamide	#008EF3
adult_104	neuron_5_lwamide	#008EF3
adult_105	neuron_6_peptidergic	#008BF0
adult_106	neuron_6_peptidergic	#008BF0
adult_107	neuron_7	#0089EE
adult_108	neuron_7	#0089EE
adult_109	neuron_8	#0086EB
adult_110	neuron_8	#0086EB
adult_111	neuron_9	#0083E8
adult_112	neuron_10_vasopressin	#0081E5
adult_113	neuron_10_vasopressin	#0081E5
adult_114	neuron_11	#007EE2
adult_115	neuron_12	#007BDF
adult_116	neuron_13	#0077DE
adult_117	neuron_13	#0077DE
adult_118	neuron_13	#0077DE
adult_119	neuron_14_peptidergic	#0070DE
adult_120	neuron_14_peptidergic	#0070DE
adult_121	neuron_15_insulin	#0069DE
adult_122	neuron_16_peptidergic	#0062DE
adult_123	neuron_16_peptidergic	#0062DE
adult_124	neuron_17	#005BDE
adult_125	neuron_18	#0054DE
adult_126	neuron_18	#0054DE
adult_127	neuron_19	#004EDE
adult_128	neuron_19	#004EDE
adult_129	neuron_20	#0047DE
adult_130	neuron_21	#0040DE
adult_131	neuron_22	#0039DE
adult_132	neuron_23	#0032DE
adult_133	neuron_24	#002BDE
adult_134	neuron_25	#0226DE
adult_135	neuron_28_motor	#101CDE
adult_136	neuron_28_motor	#101CDE
adult_137	neuron_28_motor	#101CDE
adult_138	neuron_29	#1418DE
adult_139	neuron_30_peptidergic	#1915DE
adult_140	neuron_30_peptidergic	#1915DE
adult_141	neuron_31	#1D11DE
adult_142	neuron_32	#220EDE
adult_143	neuron_33	#260ADE
adult_144	neuron_34	#2B07DE
adult_145	neuron_34	#2B07DE
adult_146	neuron_34	#2B07DE
adult_147	neuron_35	#2F03DE
adult_148	neuron_36_peptidergic	#3400DE
adult_149	neuron_36_peptidergic	#3400DE
adult_150	neuron_36_peptidergic	#3400DE
adult_151	gland_1	#E84600
adult_152	gland_1	#E84600
adult_153	gland_2	#E84900
adult_154	gland_4	#EA5000
adult_155	gland_4	#EA5000
adult_156	gland_4	#EA5000
adult_157	gland_4	#EA5000
adult_158	gland_8	#EE5E00
adult_159	gland_9	#EF6200
adult_160	gland_9	#EF6200
adult_161	gland_9	#EF6200
adult_162	gland_10	#EF6500
adult_163	gland_13	#F27000
adult_164	gland_13	#F27000
adult_165	gland_14	#F37400
adult_166	gland_15	#F47700
adult_167	gland_16	#F57B00
adult_168	gland_16	#F57B00
adult_169	gland_16	#F57B00
adult_170	gland_17	#F67E00
adult_171	gland_17	#F67E00
adult_172	gland_17	#F67E00
adult_173	gland_18	#F78200
adult_174	gland_19	#F78500
adult_175	gland_20	#F88900
adult_176	gland_21	#F98C00
adult_177	gland_22	#FA9000
adult_178	gland_23	#FB9300
adult_179	gland_24	#FC9700
adult_180	gland_26	#FE9E00
adult_181	gland_27	#FFA200
gastrula_1	cnidocyte	#ff42ff
gastrula_2	cnidocyte	#ff42ff
gastrula_3	cnidocyte	#ff42ff
gastrula_4	cnidocyte	#ff42ff
gastrula_5	cnidocyte	#ff42ff
gastrula_6	cnidocyte	#ff42ff
gastrula_7	cnidocyte	#ff42ff
gastrula_8	cnidocyte	#ff42ff
gastrula_9	mesendoderm.embryonic	#bdf5bd
gastrula_10	mesendoderm.embryonic	#bdf5bd
gastrula_11	mesendoderm.embryonic	#bdf5bd
gastrula_12	mesendoderm.embryonic	#bdf5bd
