pattern	cluster
ecto_aboral_pos_pattern_0	94
ecto_pharynx_pos_pattern_0	94
NPC_pos_pattern_2	94
ectoderm_pos_pattern_1	94
gland_mucin_pos_pattern_2	94
neuron_GATA_Islet_1_pos_pattern_0	94
muscle_2_pos_pattern_0	94
precursors_1_pos_pattern_0	94
cnidocyte_gastrula_pos_pattern_0	94
muscle_1_pos_pattern_0	94
gastro_parietal_muscle_pos_pattern_0	94
EMS_ecto_boundary_pos_pattern_1	94
gland_pos_pattern_0	94
digestive_filaments_1_pos_pattern_0	94
gastro_unknown_2_pos_pattern_1	94
gastro_circular_muscle_1_pos_pattern_2	94
gastro_circular_muscle_2_pos_pattern_2	94
neuronal_pos_pattern_1	94
cnidocyte_pos_pattern_0	94
digestive_filaments_2_pos_pattern_1	94
gastro_unknown_1_pos_pattern_1	94
digestive_filaments_2_neg_pattern_2	94
epidermis_1_pos_pattern_0	94
neuron_Pou4_FoxL2_2_pos_pattern_0	94
precursors_2_pos_pattern_0	94
EMS_pos_pattern_1	94
epidermis_1_neg_pattern_3	94
cnidocyte_neg_pattern_4	94
precursors_3_pos_pattern_2	94
precursors_1_neg_pattern_1	94
muscle_1_neg_pattern_0	94
neuron_GATA_Islet_1_neg_pattern_0	94
gastro_circular_muscle_2_neg_pattern_6	94
precursors_3_neg_pattern_6	94
muscle_2_neg_pattern_4	94
gastro_parietal_muscle_neg_pattern_5	94
gastro_circular_muscle_1_neg_pattern_4	94
digestive_filaments_1_neg_pattern_1	94
precursors_2_neg_pattern_3	94
ecto_aboral_neg_pattern_12	94
cnidocyte_gastrula_neg_pattern_4	94
gastro_unknown_1_neg_pattern_8	94
neuron_Pou4_FoxL2_2_neg_pattern_0	94
NPC_neg_pattern_12	94
gastro_unknown_2_neg_pattern_4	94
gland_mucin_neg_pattern_13	94
gastro_parietal_muscle_pos_pattern_22	94
EMS_neg_pattern_4	94
ecto_pharynx_neg_pattern_7	94
gland_neg_pattern_0	94
neuronal_neg_pattern_6	94
neuron_Pou4_FoxL2_2_pos_pattern_5	277
muscle_1_pos_pattern_4	277
gland_pos_pattern_7	277
ecto_aboral_pos_pattern_5	277
ecto_pharynx_pos_pattern_12	277
ectoderm_pos_pattern_8	277
neuron_Pou4_FoxL2_2_neg_pattern_4	277
precursors_1_pos_pattern_5	277
EMS_ecto_boundary_pos_pattern_5	277
neuron_GATA_Islet_1_pos_pattern_9	277
NPC_pos_pattern_5	277
precursors_2_pos_pattern_6	277
cnidocyte_gastrula_pos_pattern_5	277
digestive_filaments_2_pos_pattern_8	277
gland_mucin_pos_pattern_4	277
gastro_parietal_muscle_pos_pattern_5	277
epidermis_1_pos_pattern_6	277
precursors_3_pos_pattern_5	277
cnidocyte_pos_pattern_5	277
gastro_unknown_2_pos_pattern_5	277
epidermis_1_neg_pattern_5	277
gastro_circular_muscle_1_pos_pattern_4	277
EMS_pos_pattern_5	277
gastro_circular_muscle_2_pos_pattern_7	277
digestive_filaments_1_pos_pattern_4	277
muscle_2_pos_pattern_7	277
neuronal_pos_pattern_4	277
neuron_Pou4_FoxL2_2_neg_pattern_7	277
muscle_1_neg_pattern_3	277
precursors_1_neg_pattern_4	277
digestive_filaments_2_neg_pattern_1	277
neuron_GATA_Islet_1_neg_pattern_2	277
gland_neg_pattern_3	277
cnidocyte_gastrula_neg_pattern_3	277
ecto_pharynx_neg_pattern_9	277
ectoderm_neg_pattern_6	277
gland_mucin_neg_pattern_6	277
digestive_filaments_1_neg_pattern_2	277
gastro_parietal_muscle_neg_pattern_3	277
cnidocyte_neg_pattern_2	277
precursors_2_neg_pattern_2	277
gastro_unknown_2_neg_pattern_2	277
EMS_ecto_boundary_neg_pattern_6	277
muscle_2_neg_pattern_1	277
precursors_3_neg_pattern_0	277
neuronal_neg_pattern_2	277
precursors_1_pos_pattern_2	290
EMS_pos_pattern_2	290
muscle_1_pos_pattern_1	290
gastro_circular_muscle_2_pos_pattern_5	290
neuron_GATA_Islet_1_pos_pattern_1	290
cnidocyte_pos_pattern_4	290
gastro_circular_muscle_1_pos_pattern_5	290
gastro_unknown_2_pos_pattern_3	290
neuron_Pou4_FoxL2_2_pos_pattern_1	290
cnidocyte_neg_pattern_6	290
digestive_filaments_2_pos_pattern_2	290
epidermis_1_pos_pattern_1	290
gland_pos_pattern_1	290
ecto_aboral_pos_pattern_1	290
cnidocyte_gastrula_pos_pattern_1	290
gastro_unknown_1_pos_pattern_4	290
gastro_parietal_muscle_pos_pattern_4	290
ecto_pharynx_pos_pattern_3	290
muscle_2_pos_pattern_2	290
precursors_3_pos_pattern_3	290
epidermis_1_neg_pattern_2	290
gastro_circular_muscle_2_neg_pattern_8	290
digestive_filaments_2_neg_pattern_5	290
EMS_ecto_boundary_pos_pattern_0	290
ectoderm_pos_pattern_2	290
EMS_neg_pattern_8	290
precursors_2_pos_pattern_3	290
gastro_parietal_muscle_neg_pattern_4	290
gland_mucin_neg_pattern_5	290
NPC_pos_pattern_3	290
digestive_filaments_1_pos_pattern_1	290
gland_mucin_pos_pattern_1	290
gastro_unknown_2_neg_pattern_3	290
neuron_Pou4_FoxL2_2_neg_pattern_1	290
gland_neg_pattern_2	290
