pattern	cell_type	contribution
cnidocyte_pos_pattern_0	cnidocyte	0.0121912085521139
cnidocyte_pos_pattern_1	cnidocyte	0.00726893076715652
cnidocyte_pos_pattern_10	cnidocyte	0.00429142956651692
cnidocyte_pos_pattern_11	cnidocyte	0.00512696472944412
cnidocyte_pos_pattern_12	cnidocyte	0.00505525225310986
cnidocyte_pos_pattern_13	cnidocyte	0.00364347081852639
cnidocyte_pos_pattern_14	cnidocyte	0.00439194054670737
cnidocyte_pos_pattern_15	cnidocyte	0.00391098403412363
cnidocyte_pos_pattern_16	cnidocyte	0.00329571645616909
cnidocyte_pos_pattern_17	cnidocyte	0.00305816141098582
cnidocyte_pos_pattern_18	cnidocyte	0.00417099660531634
cnidocyte_pos_pattern_19	cnidocyte	0.00764148885553533
cnidocyte_pos_pattern_2	cnidocyte	0.00787245717310222
cnidocyte_pos_pattern_20	cnidocyte	0.00946433544158936
cnidocyte_pos_pattern_21	cnidocyte	0.00562222169177367
cnidocyte_pos_pattern_22	cnidocyte	0.00799053971485425
cnidocyte_pos_pattern_23	cnidocyte	0.0096138041952382
cnidocyte_pos_pattern_24	cnidocyte	0.011212474421451
cnidocyte_pos_pattern_25	cnidocyte	0.00474337677457439
cnidocyte_pos_pattern_26	cnidocyte	0.00745609828404018
cnidocyte_pos_pattern_27	cnidocyte	0.00254351042565845
cnidocyte_pos_pattern_28	cnidocyte	0.00315707070486886
cnidocyte_pos_pattern_29	cnidocyte	0.00458222466546136
cnidocyte_pos_pattern_3	cnidocyte	0.0070017254621614
cnidocyte_pos_pattern_30	cnidocyte	0.0064389705657959
cnidocyte_pos_pattern_31	cnidocyte	0.00331422260829381
cnidocyte_pos_pattern_32	cnidocyte	0.00650545266958383
cnidocyte_pos_pattern_33	cnidocyte	0.0062106450398763
cnidocyte_pos_pattern_34	cnidocyte	0.00189774036407471
cnidocyte_pos_pattern_4	cnidocyte	0.00711123204678133
cnidocyte_pos_pattern_5	cnidocyte	0.00889471378660297
cnidocyte_pos_pattern_6	cnidocyte	0.00802537005209243
cnidocyte_pos_pattern_7	cnidocyte	0.00906678949825644
cnidocyte_pos_pattern_8	cnidocyte	0.00502632987549415
cnidocyte_pos_pattern_9	cnidocyte	0.00883273283640544
cnidocyte_neg_pattern_0	cnidocyte	-0.00431240992759591
cnidocyte_neg_pattern_1	cnidocyte	-0.00618038114332995
cnidocyte_neg_pattern_10	cnidocyte	-0.00440944944109236
cnidocyte_neg_pattern_2	cnidocyte	-0.00483536582461671
cnidocyte_neg_pattern_3	cnidocyte	-0.00418432151214986
cnidocyte_neg_pattern_4	cnidocyte	-0.00606500185452975
cnidocyte_neg_pattern_5	cnidocyte	-0.00437369713416466
cnidocyte_neg_pattern_6	cnidocyte	-0.00409018993377686
cnidocyte_neg_pattern_7	cnidocyte	-0.00406668186187744
cnidocyte_neg_pattern_8	cnidocyte	-0.0030768666948591
cnidocyte_neg_pattern_9	cnidocyte	-0.00182139078776042
gastro_circular_muscle_1_pos_pattern_0	gastro_circular_muscle_1	0.00534870320745471
gastro_circular_muscle_1_pos_pattern_1	gastro_circular_muscle_1	0.00535650049983922
gastro_circular_muscle_1_pos_pattern_10	gastro_circular_muscle_1	0.00594883362452189
gastro_circular_muscle_1_pos_pattern_11	gastro_circular_muscle_1	0.00496258488012186
gastro_circular_muscle_1_pos_pattern_12	gastro_circular_muscle_1	0.00880747214874143
gastro_circular_muscle_1_pos_pattern_13	gastro_circular_muscle_1	0.00482718198878284
gastro_circular_muscle_1_pos_pattern_14	gastro_circular_muscle_1	0.00565623206220489
gastro_circular_muscle_1_pos_pattern_15	gastro_circular_muscle_1	0.0058025824033023
gastro_circular_muscle_1_pos_pattern_16	gastro_circular_muscle_1	0.00597509716947873
gastro_circular_muscle_1_pos_pattern_17	gastro_circular_muscle_1	0.00438814874905259
gastro_circular_muscle_1_pos_pattern_18	gastro_circular_muscle_1	0.00445338284097067
gastro_circular_muscle_1_pos_pattern_19	gastro_circular_muscle_1	0.00513609238026858
gastro_circular_muscle_1_pos_pattern_2	gastro_circular_muscle_1	0.00816665548608959
gastro_circular_muscle_1_pos_pattern_20	gastro_circular_muscle_1	0.00369216242438293
gastro_circular_muscle_1_pos_pattern_21	gastro_circular_muscle_1	0.00403203504390437
gastro_circular_muscle_1_pos_pattern_22	gastro_circular_muscle_1	0.00848743487627078
gastro_circular_muscle_1_pos_pattern_23	gastro_circular_muscle_1	0.00311394599871447
gastro_circular_muscle_1_pos_pattern_24	gastro_circular_muscle_1	0.00368399975904778
gastro_circular_muscle_1_pos_pattern_25	gastro_circular_muscle_1	0.00374128900725266
gastro_circular_muscle_1_pos_pattern_26	gastro_circular_muscle_1	0.00321131666707251
gastro_circular_muscle_1_pos_pattern_27	gastro_circular_muscle_1	0.00504762179230991
gastro_circular_muscle_1_pos_pattern_28	gastro_circular_muscle_1	0.00315900092577412
gastro_circular_muscle_1_pos_pattern_29	gastro_circular_muscle_1	0.00491260787815724
gastro_circular_muscle_1_pos_pattern_3	gastro_circular_muscle_1	0.00616214229388055
gastro_circular_muscle_1_pos_pattern_30	gastro_circular_muscle_1	0.0019455881168445
gastro_circular_muscle_1_pos_pattern_31	gastro_circular_muscle_1	0.00245271057918154
gastro_circular_muscle_1_pos_pattern_32	gastro_circular_muscle_1	0.00544841030994094
gastro_circular_muscle_1_pos_pattern_33	gastro_circular_muscle_1	0.00543130802202828
gastro_circular_muscle_1_pos_pattern_34	gastro_circular_muscle_1	0.00584305309858479
gastro_circular_muscle_1_pos_pattern_35	gastro_circular_muscle_1	0.00434835333573191
gastro_circular_muscle_1_pos_pattern_36	gastro_circular_muscle_1	0.00443013209217
gastro_circular_muscle_1_pos_pattern_37	gastro_circular_muscle_1	0.00544123379689343
gastro_circular_muscle_1_pos_pattern_38	gastro_circular_muscle_1	0.00404070171655393
gastro_circular_muscle_1_pos_pattern_39	gastro_circular_muscle_1	0.0026121243186619
gastro_circular_muscle_1_pos_pattern_4	gastro_circular_muscle_1	0.00735998177403865
gastro_circular_muscle_1_pos_pattern_40	gastro_circular_muscle_1	0.00747828483581543
gastro_circular_muscle_1_pos_pattern_41	gastro_circular_muscle_1	0.00457354595786647
gastro_circular_muscle_1_pos_pattern_42	gastro_circular_muscle_1	0.00450521045260959
gastro_circular_muscle_1_pos_pattern_43	gastro_circular_muscle_1	0.0049945626940046
gastro_circular_muscle_1_pos_pattern_44	gastro_circular_muscle_1	0.00200947480542319
gastro_circular_muscle_1_pos_pattern_45	gastro_circular_muscle_1	0.00705447563758263
gastro_circular_muscle_1_pos_pattern_46	gastro_circular_muscle_1	-0.000763563009408804
gastro_circular_muscle_1_pos_pattern_47	gastro_circular_muscle_1	0.0035031537214915
gastro_circular_muscle_1_pos_pattern_48	gastro_circular_muscle_1	0.00325936856477157
gastro_circular_muscle_1_pos_pattern_5	gastro_circular_muscle_1	0.0057012886194386
gastro_circular_muscle_1_pos_pattern_6	gastro_circular_muscle_1	0.00346170531378852
gastro_circular_muscle_1_pos_pattern_7	gastro_circular_muscle_1	0.00568653842060962
gastro_circular_muscle_1_pos_pattern_8	gastro_circular_muscle_1	0.00482814779637379
gastro_circular_muscle_1_pos_pattern_9	gastro_circular_muscle_1	0.00425075953210189
gastro_circular_muscle_1_neg_pattern_0	gastro_circular_muscle_1	-0.00423808562217585
gastro_circular_muscle_1_neg_pattern_1	gastro_circular_muscle_1	-0.00342488545243458
gastro_circular_muscle_1_neg_pattern_10	gastro_circular_muscle_1	-0.00483540790836986
gastro_circular_muscle_1_neg_pattern_11	gastro_circular_muscle_1	-0.00425203222977488
gastro_circular_muscle_1_neg_pattern_12	gastro_circular_muscle_1	-0.00401661313813308
gastro_circular_muscle_1_neg_pattern_2	gastro_circular_muscle_1	-0.00421174547889016
gastro_circular_muscle_1_neg_pattern_3	gastro_circular_muscle_1	-0.00236454010009766
gastro_circular_muscle_1_neg_pattern_4	gastro_circular_muscle_1	-0.00394309946328155
gastro_circular_muscle_1_neg_pattern_5	gastro_circular_muscle_1	-0.00371096306240436
gastro_circular_muscle_1_neg_pattern_6	gastro_circular_muscle_1	-0.00409923804985298
gastro_circular_muscle_1_neg_pattern_7	gastro_circular_muscle_1	-0.00253474406706981
gastro_circular_muscle_1_neg_pattern_8	gastro_circular_muscle_1	-0.0031430537884052
gastro_circular_muscle_1_neg_pattern_9	gastro_circular_muscle_1	-0.00397252021951878
gastro_circular_muscle_2_pos_pattern_0	gastro_circular_muscle_2	0.00591829997666229
gastro_circular_muscle_2_pos_pattern_1	gastro_circular_muscle_2	0.00671868918701662
gastro_circular_muscle_2_pos_pattern_10	gastro_circular_muscle_2	0.00795905907830461
gastro_circular_muscle_2_pos_pattern_11	gastro_circular_muscle_2	0.00761468601040905
gastro_circular_muscle_2_pos_pattern_12	gastro_circular_muscle_2	0.0076686396743312
