cell_type	thr_exp_umifrac	thr_exp_fc	thr_gene_score	thr_accessibility
EMS	0.000904105880614627	0.990381964221397	0.920770806612559	0.034689225697734
EMS_ecto_boundary	0.000904105880614627	0.990381964221397	0.961311297573898	0.034866733216565
NPC_1	0.0011819681305933	0.991736325735454	0.960447096261653	0.0366769328277951
NPC_2	0.00104678756597815	0.934132577356234	0.885669799157242	0.216630901119183
cnidocyte	0.00375826112774142	0.897915902682193	0.90824362870184	0.0323660301926259
cnidocyte_gastrula	0.00104678756597815	0.934132577356234	0.934655966752593	0.0325540656847278
digestive_filaments_1	0.00333640838973254	0.919977013625999	0.947600167671842	0.0250693645294819
digestive_filaments_2	0.00333640838973254	0.919977013625999	0.958018213257518	0.0145152515404367
digestive_filaments_3	0.00333640838973254	0.919977013625999	0.977498497171738	0.0168695081905443
ecto_aboral	0.000416129058266131	1.00156028058153	0.963153834907482	0.0262847589924413
ecto_pharynx	0.00129972960425313	0.842457450745601	0.977904884972773	0.0305581815011104
ectoderm	0.000391632209967343	1.0109093662722	0.964805197600365	0.0234218559199891
epidermis_1	0.00261558533137897	0.9282082144534	0.964996059681795	0.0193376227279339
epidermis_2	0.00261558533137897	0.9282082144534	0.939245021528851	0.0137102271073114
gastro_IRF1_2	0.00825900231252065	0.977229662589986	0.940814658277228	0.0409494346556964
gastro_circular_muscle_1	0.00178014893616074	1.00905589995531	0.931748688762069	0.021733220562256
gastro_circular_muscle_2	0.00178014893616074	1.00905589995531	0.915644150269813	0.0221417451802307
gastro_parietal_muscle	0.00178014893616074	1.00905589995531	0.927392767318181	0.0136642203496239
gastro_somatic_gonad	0.0124100273020601	0.846560679054231	0.966235018168281	0.0352348611434109
gland	0.00276951922531008	1	0.958600266592381	0.0218000491001767
gland_mucin	0.00157746994328207	0.925720834661795	0.951929532927766	0.0402897537896745
muscle_mesentery_retractor	0.00347067367511371	1	0.903754738711116	0.0464255520724522
muscle_tentacle_retractor	0.00347067367511371	1	0.931791238626355	0.036334362298758
neuron_GATA_Islet_1	0.00531379274614152	1	0.946428282584301	0.0212883350169611
neuron_GATA_Islet_2	0.00704932767037344	1	0.922888630503232	0.0321837763067285
neuron_Pou4_FoxL2_1	0.00409130148391505	0.913453920637557	0.92742380973532	0.0177256589285638
neuron_Pou4_FoxL2_2	0.00409130148391505	0.913453920637557	0.903597463158072	0.0229212743761411
neuron_Pou4_FoxL2_3	0.00865872084716925	0.970673923014562	0.945088759998843	0.0188329069365837
neuronal_gastrula	0.00309865657744085	0.910300203239768	0.939624302257145	0.0762629872782093
precursors_NPC	0.00289705601168093	0.969137886888416	0.913653146873461	0.0494058855058886
precursors_PGC	0.00289705601168093	0.969137886888416	0.956099176307869	0.025413516772656
precursors_endoNPC	0.00289705601168093	0.969137886888416	0.96835702946456	0.0385354226311383
