seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	1259563	1259813	peak181	.	*	2.28370869170125	4.48200679000545e-05	0.00253186626485487
NC_064034.1	1260486	1260736	peak182	.	*	5.51133650991631	0.000139415342970961	0.0059209735211684
NC_064034.1	1261554	1261804	peak184	.	*	7.20377303221373	0.000858923216293222	0.0216902432058537
NC_064034.1	1614656	1614906	peak331	.	*	3.22253982072436	2.70644595702419e-11	1.34982211550031e-08
NC_064034.1	1926144	1926394	peak434	.	*	3.23870004729725	0.000107263907424867	0.00479173220858676
NC_064034.1	1927250	1927500	peak436	.	*	4.4046011819138	0.000242005625003394	0.00889728633650936
NC_064034.1	2108181	2108431	peak516	.	*	4.50735725232042	0.000241058413082012	0.00888400449068267
NC_064034.1	2292493	2292743	peak632	.	*	4.87120322205779	6.24515529022979e-21	2.95899360873144e-17
NC_064034.1	2293466	2293716	peak633	.	*	6.86552153862913	0.00259827262988245	0.0465435845460205
NC_064034.1	2294094	2294344	peak634	.	*	4.04784069265862	7.51624592266021e-08	1.30091115787888e-05
NC_064034.1	2294914	2295164	peak635	.	*	3.17901000875742	2.84541207788713e-09	7.78728679467673e-07
NC_064034.1	2388337	2388587	peak652	.	*	4.74256431931185	1.6172316882582e-05	0.00111051374144172
NC_064034.1	2403086	2403336	peak665	.	*	1.94040803218173	3.80055712820408e-16	6.85991512695293e-13
NC_064034.1	2404353	2404603	peak667	.	*	2.83643495763557	4.31543476861592e-05	0.00245238976292357
NC_064034.1	2521764	2522014	peak719	.	*	2.90827668872725	4.57586063422191e-07	5.82769767842074e-05
NC_064034.1	2522619	2522869	peak720	.	*	8.5657459774345	2.40898948936035e-07	3.36322438672042e-05
NC_064034.1	2696183	2696433	peak790	.	*	1.77546411623163	8.69587333068436e-05	0.00416440594646779
NC_064034.1	2697350	2697600	peak792	.	*	2.50399710315637	3.98718140004331e-06	0.000351061828984766
NC_064034.1	2714010	2714260	peak797	.	*	3.90852481368947	1.88793453188365e-10	7.17436517824513e-08
NC_064034.1	2714546	2714796	peak798	.	*	2.34829197110818	5.69101994197921e-07	7.02655587592022e-05
NC_064034.1	2745044	2745294	peak817	.	*	5.16058922933612	0.00210604294931189	0.0434677402516704
NC_064034.1	2752711	2752961	peak824	.	*	2.74962859075148	0.000738290582683348	0.0202020606849221
NC_064034.1	3483450	3483700	peak1085	.	*	7.41081637355563	0.00149183057363383	0.0322573257149477
NC_064034.1	3487044	3487294	peak1087	.	*	7.76654916616901	1.08779051207396e-05	0.000788377733554638
NC_064034.1	3910602	3910852	peak1223	.	*	1.20886306324973	0.00251931688090149	0.0465435845460205
NC_064034.1	4163106	4163356	peak1308	.	*	8.32181418465179	3.6655621122358e-06	0.000326153656679057
NC_064034.1	4206373	4206623	peak1342	.	*	1.85761418588881	0.00167964170016289	0.0354487632649356
NC_064034.1	4292527	4292777	peak1364	.	*	7.32521955583051	0.000495594172156161	0.0146759760144478
NC_064034.1	4293092	4293342	peak1365	.	*	2.14559393247231	2.15705312858164e-07	3.11474363094563e-05
NC_064034.1	4294289	4294539	peak1366	.	*	3.26742386647693	5.60487250692247e-06	0.000468467232499764
NC_064034.1	4294551	4294801	peak1367	.	*	5.81962439465002	1.0135102498216e-14	1.23924513756009e-11
NC_064034.1	4479005	4479255	peak1467	.	*	3.07531829429509	0.000950283676161955	0.0234505388040891
