seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	778521	778771	peak62	.	*	7.56310402195399	0.000286487360148681	0.0237900656454089
NC_064034.1	1251688	1251938	peak176	.	*	2.31820335724736	0.00037806184990877	0.0293175962804386
NC_064034.1	1430570	1430820	peak253	.	*	2.50342421879741	0.000308950528030441	0.0248251234595688
NC_064034.1	1444779	1445029	peak259	.	*	2.76808469247537	0.000518926962204001	0.0345673307067048
NC_064034.1	1880110	1880360	peak426	.	*	3.62608216074047	0.000426851613274048	0.0318539103095202
NC_064034.1	1917804	1918054	peak432	.	*	7.272484411128	0.000286487360148681	0.0237900656454089
NC_064034.1	2076432	2076682	peak502	.	*	1.87000843918603	1.06299016132292e-07	5.37227896565974e-05
NC_064034.1	2171964	2172214	peak546	.	*	4.12317713114228	5.95637919371805e-05	0.00792053523343705
NC_064034.1	2172772	2173022	peak548	.	*	2.23467620993116	0.000573663225125002	0.0369088572990433
NC_064034.1	2182306	2182556	peak562	.	*	1.72507789248363	6.44438250084252e-10	7.741921941422e-07
NC_064034.1	2199206	2199456	peak584	.	*	2.92713872497022	9.69879197790351e-06	0.0019633891539357
NC_064034.1	3769351	3769601	peak1174	.	*	1.98084910078236	1.5162147960402e-06	0.000440917669378644
NC_064034.1	3868037	3868287	peak1199	.	*	4.02526790675277	0.000420261787012424	0.031710457617185
NC_064034.1	4682309	4682559	peak1540	.	*	4.18279772234415	9.69838572302651e-06	0.0019633891539357
NC_064034.1	4779573	4779823	peak1592	.	*	2.52847578777873	0.000344386578131529	0.0269341912685535
NC_064034.1	4780501	4780751	peak1594	.	*	2.1618740526459	2.9426948831838e-05	0.00477094173516538
NC_064034.1	4864498	4864748	peak1637	.	*	4.22633819427283	0.000533867433649448	0.0352458317772061
NC_064034.1	5158447	5158697	peak1772	.	*	2.12603316974084	0.000609294797445737	0.0388601752362215
NC_064034.1	5486662	5486912	peak1889	.	*	7.66961517487782	0.000495666563930807	0.0336159620038758
NC_064034.1	5506859	5507109	peak1900	.	*	3.61898338892033	3.16351054361293e-06	0.000804959651586953
NC_064034.1	7069751	7070001	peak2467	.	*	2.69643581216379	0.000128167790758615	0.0139767738725786
NC_064034.1	7479818	7480068	peak2607	.	*	3.71890411844231	4.32393000049071e-05	0.00645264164053582
NC_064034.1	7627378	7627628	peak2647	.	*	8.47949174316461	0.000495666563930807	0.0336159620038758
NC_064034.1	7964397	7964647	peak2782	.	*	5.94987641254771	1.57339093958517e-05	0.00298707862266012
NC_064034.1	7966894	7967144	peak2787	.	*	2.47340521697803	0.000207032567299969	0.0192666280257282
NC_064034.1	7974846	7975096	peak2789	.	*	1.96868990059217	0.000520759983354741	0.0345673307067048
NC_064034.1	7981643	7981893	peak2795	.	*	2.83840929015979	9.96761652827443e-06	0.00200122431349317
NC_064034.1	7982580	7982830	peak2797	.	*	3.49948925228905	0.000549826041898087	0.0360074638090935
NC_064034.1	8428179	8428429	peak2984	.	*	8.05051553623057	0.000286487360148681	0.0237900656454089
NC_064034.1	8429286	8429536	peak2985	.	*	4.620678241067	4.32912143871537e-11	7.55349231599856e-08
NC_064034.1	8429992	8430242	peak2987	.	*	7.87592551283357	5.96453695663772e-07	0.000221381891983544
NC_064034.1	8430451	8430701	peak2988	.	*	4.97131285539692	0.000313902507088788	0.0251403317207438
NC_064034.1	8601561	8601811	peak3005	.	*	4.39454158211872	2.26148402953431e-14	9.78808662346992e-11
NC_064034.1	8602220	8602470	peak3006	.	*	5.05734085932748	0.000710360956912394	0.0446072593354362
NC_064034.1	8602993	8603243	peak3007	.	*	10.0444068878418	6.31665253506812e-11	1.02865984683303e-07
NC_064034.1	8605151	8605401	peak3010	.	*	8.46451356559073	0.000495666563930807	0.0336159620038758
NC_064034.1	8905025	8905275	peak3184	.	*	2.68884852646442	1.4597985059324e-05	0.00280779407117423
NC_064034.1	8954235	8954485	peak3208	.	*	1.91498553768765	0.000252701670303976	0.0225011953866537
NC_064034.1	9385970	9386220	peak3380	.	*	8.19775465255032	6.31723597594183e-06	0.00136964404375435
NC_064034.1	9628419	9628669	peak3480	.	*	10.1908875006687	1.33095260399294e-13	4.2406464663396e-10
NC_064034.1	9841698	9841948	peak3586	.	*	4.04039661515106	2.46725524221889e-06	0.000662290837583461
NC_064034.1	10298076	10298326	peak3763	.	*	6.93318708732484	5.96453695663772e-07	0.000221381891983544
NC_064034.1	10383702	10383952	peak3823	.	*	1.80414851305589	0.000252701670303976	0.0225011953866537
NC_064034.1	10384366	10384616	peak3824	.	*	4.21104768308657	0.000142227199890325	0.0151053531338591
NC_064034.1	10385521	10385771	peak3825	.	*	2.38000570495593	0.000308950528030441	0.0248251234595688
NC_064034.1	10517274	10517524	peak3889	.	*	5.91301568724408	3.6117219572026e-07	0.000143844678515066
NC_064034.1	10538360	10538610	peak3900	.	*	4.62809713166565	8.1953550232941e-05	0.0102138096397455
NC_064034.1	11232517	11232767	peak4092	.	*	1.58004404072208	0.000278027947505405	0.0237900656454089
NC_064034.1	11495409	11495659	peak4204	.	*	7.51936618088702	0.000859027544000011	0.0484240434456991
NC_064034.1	11526887	11527137	peak4208	.	*	4.46251825365039	1.07663139157166e-08	8.57583713447327e-06
NC_064034.1	12230122	12230372	peak4443	.	*	1.96637301256752	0.000342300779046008	0.0267996641987709
NC_064034.1	12232089	12232339	peak4447	.	*	3.16198403216264	4.35890389466779e-05	0.00647929402046744
NC_064034.1	12491022	12491272	peak4586	.	*	1.44511503234799	0.000306886560848079	0.0247406611133872
NC_064034.1	13085809	13086059	peak4834	.	*	2.9687679004975	1.68643738948465e-07	7.62850100857519e-05
NC_064034.1	13089236	13089486	peak4837	.	*	3.07154059624328	0.000883151345239818	0.049104018878501
NC_064034.1	13092206	13092456	peak4842	.	*	2.66569010162585	0.000889332605368096	0.0493714886968682
NC_064034.1	13093219	13093469	peak4845	.	*	6.98568148514943	8.00346308915922e-05	0.010122641079017
NC_064034.1	13294722	13294972	peak4919	.	*	4.38578108925958	0.000296018829601742	0.0243466350963803
NC_064034.1	13408805	13409055	peak4966	.	*	2.89633550843348	0.000340171700216679	0.0266900027144312
NC_064034.1	13424454	13424704	peak4972	.	*	2.39871321351565	3.95510575001409e-08	2.5878398176119e-05
NC_064034.1	13457547	13457797	peak5002	.	*	7.70982956556255	0.000286487360148681	0.0237900656454089
NC_064034.1	13457903	13458153	peak5003	.	*	2.29701476401558	5.05522602697679e-07	0.000192946392556725
NC_064034.1	13458092	13458341	peak5004	.	*	7.78872617369479	0.000165802880876548	0.0161359451744956
NC_064034.1	13459177	13459427	peak5005	.	*	3.0368900099787	1.55829764009459e-10	2.11472532706319e-07
NC_064034.1	14678468	14678718	peak5243	.	*	4.73276049803136	0.000299203360479094	0.0244439472270111
NC_064034.1	15358170	15358420	peak5384	.	*	4.19331111179943	1.00518136995623e-10	1.50330002353332e-07
NC_064034.1	15360524	15360774	peak5389	.	*	1.22198042793624	0.000488649260565355	0.0336159620038758
NC_064034.1	15766955	15767205	peak5499	.	*	4.170476183119	2.44992708851596e-05	0.00419475600235108
NC_064034.1	15870781	15871031	peak5535	.	*	3.4970311240153	6.88320298075336e-07	0.000239101561529576
NC_064034.1	16195568	16195818	peak5657	.	*	2.32523154838081	2.76017476339203e-09	2.69694836014526e-06
NC_064034.1	16195720	16195969	peak5658	.	*	1.05054189238765	0.000819072432965339	0.0484240434456991
NC_064034.1	16324917	16325167	peak5687	.	*	1.98006161493075	3.00323108462503e-05	0.00483698418337344
NC_064034.1	16656985	16657235	peak5796	.	*	2.62455500627317	8.59225920768044e-05	0.0104248003188284
NC_064034.1	16675280	16675530	peak5802	.	*	4.49012486801246	5.58444462911292e-06	0.0012669946480206
NC_064034.1	16677281	16677531	peak5805	.	*	6.57774300360445	0.000238307864872719	0.0218062256649639
NC_064034.1	17038845	17039095	peak5946	.	*	5.90285945628467	4.34371623324775e-12	1.06105404334954e-08
NC_064034.1	17046295	17046545	peak5949	.	*	3.90562589964092	6.57931070462816e-07	0.000231800503392577
NC_064034.1	17046898	17047148	peak5951	.	*	2.21707778498435	0.00019787891702393	0.0185434306871453
