seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	555998	556248	peak10	.	*	-0.123910262686713	0.395827364208766	0.607390265768623
NC_064034.1	584223	584473	peak16	.	*	-0.310465155111435	0.91639921227273	0.99049728347875
NC_064034.1	623879	624129	peak24	.	*	0.72032851881173	0.0224049759703837	0.096776204505461
NC_064034.1	625468	625718	peak25	.	*	0.513876085333291	0.681574221347913	0.821304316834913
NC_064034.1	638979	639229	peak31	.	*	-0.494837496957642	0.595037354057513	0.760517498908481
NC_064034.1	651936	652186	peak33	.	*	2.25205761394299	0.031199630393597	0.124513902743095
NC_064034.1	654395	654645	peak35	.	*	1.22598487996566	0.155816179752054	0.34682988221811
NC_064034.1	673280	673530	peak38	.	*	-0.061491187868584	0.200428838537545	0.404647496706434
NC_064034.1	693116	693366	peak40	.	*	1.93413531776404	0.00927614382371328	0.0521067432237985
NC_064034.1	699577	699827	peak41	.	*	0.488474105370193	0.98424207167259	1
NC_064034.1	723656	723906	peak43	.	*	0.33837054789294	0.103949285179098	0.266489115900676
NC_064034.1	724118	724368	peak44	.	*	1.24463711934544	9.68012651316646e-05	0.0015573990096089
NC_064034.1	724877	725127	peak45	.	*	4.14352559094442	2.30766856685185e-07	9.97090557979214e-06
NC_064034.1	746882	747132	peak48	.	*	2.72604136058921	8.03082841121647e-07	2.93453244683431e-05
NC_064034.1	747460	747710	peak49	.	*	-0.979523200575704	0.135634165671454	0.326025987171005
NC_064034.1	747691	747940	peak50	.	*	-0.649217799349349	0.367515505743082	0.570495094773469
NC_064034.1	748547	748797	peak52	.	*	0.505068855511373	0.0961138160427092	0.257108684142234
NC_064034.1	766533	766783	peak54	.	*	-2.2337658338852	3.75538248704547e-06	0.000107630708875996
NC_064034.1	766691	766940	peak55	.	*	-2.04860090861801	0.00021120861101904	0.00288686049022155
NC_064034.1	801160	801409	peak61	.	*	-2.38233113446167	0.17853111521624	0.371314893744779
NC_064034.1	801393	801643	peak62	.	*	1.20785103592713	0.0323439858131025	0.127332557461418
NC_064034.1	815433	815683	peak66	.	*	-0.127079664420271	0.735162959269021	0.853199751515216
NC_064034.1	831563	831813	peak69	.	*	2.90967445478578	0.00052098773293472	0.00586462523516203
NC_064034.1	832275	832525	peak70	.	*	7.72156241260608	3.67068494325435e-06	0.000105469490546472
NC_064034.1	836638	836888	peak71	.	*	1.31383903734909	0.120078623672991	0.300179015370122
NC_064034.1	836950	837200	peak72	.	*	2.8273288020894	0.0305193149990243	0.12300644472341
NC_064034.1	838822	839072	peak73	.	*	2.19137620102459	2.11743410259282e-09	1.81149134269444e-07
NC_064034.1	844895	845145	peak75	.	*	1.33381219919955	0.0031160610974954	0.0231509267882851
NC_064034.1	845564	845814	peak76	.	*	2.99902487965328	6.26253807688438e-09	4.60875665075316e-07
NC_064034.1	846224	846474	peak77	.	*	1.57390401173137	0.0821662453283219	0.232980538526503
NC_064034.1	847311	847561	peak79	.	*	-0.127108405557902	0.988711082227525	1
NC_064034.1	847824	848074	peak80	.	*	2.12194928257821	7.61645549821551e-06	0.000196190376647861
NC_064034.1	851273	851523	peak82	.	*	0.317327588629534	0.271807242554467	0.496192672579293
NC_064034.1	863363	863613	peak84	.	*	4.71801189621189	2.76850088416031e-06	8.44004316315437e-05
NC_064034.1	864886	865136	peak85	.	*	1.31556521923276	0.0101120459798427	0.0561660882086034
NC_064034.1	865349	865599	peak86	.	*	1.66396648014279	0.000193732689796061	0.00270149903830875
NC_064034.1	888261	888511	peak89	.	*	0.2547084353751	0.618704318481876	0.78329156975986
NC_064034.1	909143	909393	peak91	.	*	0.738348332149788	0.164481917315771	0.356221343681055
NC_064034.1	943046	943296	peak92	.	*	0.77739821665708	0.0876264927577177	0.242234622781766
NC_064034.1	946155	946405	peak95	.	*	0.79005272662126	0.0089390298843238	0.0503701748981562
NC_064034.1	1041058	1041308	peak99	.	*	-0.62047332709724	0.655967867286097	0.798806779525423
NC_064034.1	1089899	1090149	peak120	.	*	0.467179694732378	0.95457255401718	1
NC_064034.1	1090110	1090359	peak121	.	*	2.26351020009256	0.658679163111545	0.798806779525423
