cell_type	gene	pfam	og	gene_name	common_name	n_hits
muscle_mesentery_retractor	Nvec_vc1.1_XM_032362607.2	Forkhead	Forkhead.HG1.5:FOXQ1	""	""	112
muscle_mesentery_retractor	Nvec_vc1.1_XM_032377358.2	Homeodomain	Homeodomains.HG1.42:VAX1/VAX2	""	VAx-EMX-Like	21
muscle_mesentery_retractor	Nvec_vc1.1_XM_032362379.2	Homeodomain	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Nkx2-2/Nkx2-9	""	15
muscle_mesentery_retractor	Nvec_vc1.1_XM_032374843.2	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	Tbx10/Tbx1	Tbx1/10-1	14
muscle_mesentery_retractor	Nvec_vc1.1_XM_032377450.2	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	""	Tbx20-1	14
muscle_mesentery_retractor	Nvec_vc1.1_XM_001627136.3	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	Tbx10/Tbx1	Tbx1/10-2	13
muscle_mesentery_retractor	Nvec_vc1.1_XM_001631403.3	HLH	HLH.HG1.14:MLXIP/MLXIPL	Mlxipl/Mlxip	""	12
muscle_mesentery_retractor	Nvec_vc1.1_XM_032385715.2	E2F_TDP/E2F_CC-MB	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	""	""	11
muscle_mesentery_retractor	Nvec_vc1.1_XM_001633482.3	CSD	CSD.HG1.6:YBX1/YBX2/YBX3	Ybx1/Ybx2/Ybx3	""	10
muscle_mesentery_retractor	Nvec_vc1.1_XM_048724012.1	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG4.10:GLI1/GLI2/GLI3	Gli2/Gli3/Gli1	""	8
muscle_mesentery_retractor	Nvec_vc1.1_XM_032381908.2	HLH	HLH.HG1.66:like:HAND1/HAND2	""	Hand2	6
muscle_mesentery_retractor	Nvec_vc1.1_XM_032380975.2	SAM_PNT/Ets	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	Erg/Fli1/Fev	""	6
muscle_mesentery_retractor	Nvec_vc1.1_XM_001634956.3	Homeodomain	Homeodomains.HG2.43:GSC/GSC2	Gsc2/Gsc//Obox1/Obox7/Obox2	""	6
muscle_mesentery_retractor	Nvec_vc1.1_XM_032379348.2	Homeodomain	Homeodomains.HG2.72:like:DMBX1	""	""	6
muscle_mesentery_retractor	Nvec_vc1.1_XM_001626384.3	SIX1_SD/Homeodomain	Homeodomains.HG3.31:SIX1/SIX2	Six1/	""	5
muscle_mesentery_retractor	Nvec_vc1.1_XM_001634198.3	Homeodomain	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	""	""	5
muscle_mesentery_retractor	Nvec_vc1.1_XM_032379723.2	Homeodomain/OAR	Homeodomains.HG2.66:ALX1/ALX3/ALX4	Alx3/Alx4/Alx1	""	5
muscle_mesentery_retractor	Nvec_vc1.1_XM_048722428.1	E2F_TDP/E2F_CC-MB	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	""	""	5
muscle_mesentery_retractor	Nvec_vc1.1_XM_032366979.2	Homeodomain	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Hlx	""	5
muscle_mesentery_retractor	Nvec_vc1.1_XM_032384965.2	Homeodomain	Homeodomains.HG1.39:BARHL1/BARHL2	""	BarH-Like3	4
muscle_mesentery_retractor	Nvec_vc1.1_XM_032375349.2	HLH	HLH.HG1.50:HES3	""	""	4
muscle_mesentery_retractor	Nvec_vc1.1_XM_032374008.2	HLH	HLH.HG1.92:like:SCX/TCF15	""	""	4
muscle_mesentery_retractor	Nvec_vc1.1_XM_032380148.2	T-box	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	""	""	4
muscle_mesentery_retractor	Nvec_vc1.1_XM_032376092.2	Myb_DNA-bind_4	Myb.HG3.0:like:HSPA14/MSANTD1/MSANTD2/UTF1/ZKSCAN2/ZSCAN20/ZSCAN29/ZSCAN32	""	""	4
muscle_mesentery_retractor	Nvec_vc1.1_XM_001632367.3	Homeodomain	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Nkx3-2	""	4
muscle_mesentery_retractor	Nvec_vc1.1_XM_032364121.2	Homeodomain	Homeodomains.HG1.39:BARHL1/BARHL2	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032373496.2	Homeodomain	Homeodomains.HG1.64:MEOX1/MEOX2	Meox2/Meox1	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001625754.3	Homeodomain	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001625768.3	Homeodomain	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001633541.3	SIX1_SD/Homeobox_KN	Homeodomains.HG3.5:like:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX/ONECUT1/ONECUT2/ONECUT3	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001641032.3	Homeodomain	Homeodomains.HG1.18:NANOG/NANOGP8	Nanog	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032378769.2	Homeodomain	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032378779.2	Homeodomain	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_048724756.1	Homeodomain	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	""	""	3
