gene	gene_name	common_name	og	pfam	tf_family	archetype_name	archetype_family	archetype_source	most_similar_archetype	most_similar_archetype_source	archetype_archetype_similarity	rank	gene_score_correlation	gene_expression_correlation	assigned	any_assigned	correlation	selected_by	group
Nvec_vc1.1_XM_032374843.2	Tbx10/Tbx1	Tbx1/10-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH839_Tbx10/Tbx1_Tbx18/Tb...	T-box	CisBP_I	ARCH845_Tbx18/Tbx22/Tbx15_T...	CisBP_I	0.997894971854734	201	0.634422096661464	0.544078279511174	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_032374843.2	Tbx10/Tbx1	Tbx1/10-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH862_Tbx18/Tbx22/Tbx15_T...	T-box	CisBP_I	ARCH1545_Meis3/Meis2/Meis1_...	CisBP_I	0.996005178209525	1	0.887288700929997	0.736156408612342	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_001634505.3	Foxa3/Foxa1/Foxa2	FoxA	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead_N/Forkhead/HNF_C	Forkhead	ARCH995_Foxa3/Foxa1/Foxa2_F...	Forkhead	CisBP_I	ARCH999_Foxa3/Foxa1/Foxa2_F...	CisBP_I	0.995188094726974	2	0.867338684351318	0.638213396048633	TRUE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_001627136.3	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH839_Tbx10/Tbx1_Tbx18/Tb...	T-box	CisBP_I	ARCH845_Tbx18/Tbx22/Tbx15_T...	CisBP_I	0.997894971854734	203	0.640779687695039	0.610668706462525	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_001627136.3	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH862_Tbx18/Tbx22/Tbx15_T...	T-box	CisBP_I	ARCH1545_Meis3/Meis2/Meis1_...	CisBP_I	0.996005178209525	1	0.863716974417008	0.686515340500779	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_032380148.2	""	""	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH761_Tbx10/Tbx1_Tbx18/Tb...	T-box	CisBP_I	ARCH845_Tbx18/Tbx22/Tbx15_T...	CisBP_I	0.997229520647789	426	0.229916204363053	0.247698959425664	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_032380148.2	""	""	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH485_Tbx3/Tbx2	T-box	CisBP_I	ARCH840_Tbx19/T_Tbx3/Tbx2	CisBP_I	0.882172538314519	1	0.841620902827041	0.84076090617214	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_001627544.3	Rhox10/Rhox7a/Rhox7b/Rhox3f/Rhox3h/Rhox3g/Rhox3a2/Rhox3a/Rhox3c/Rhox3e	""	Homeodomains.HG2.58:UNCX	Homeodomain	Homeodomains	ARCH117_Alx3/Alx4/Alx1_Barx...	Homeodomains	CisBP_I	ARCH1633_M02161_2.00	CisBP_D	0.926194295299873	479	0.431958272531682	-0.00912483729799275	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_001627544.3	Rhox10/Rhox7a/Rhox7b/Rhox3f/Rhox3h/Rhox3g/Rhox3a2/Rhox3a/Rhox3c/Rhox3e	""	Homeodomains.HG2.58:UNCX	Homeodomain	Homeodomains	ARCH637_Six1/_Six3/Six6_Six...	Homeodomains	CisBP_I	ARCH636_Six1/_Six3/Six6_Six...	CisBP_I	0.997975731709012	2	0.809626415504256	0.162345564425704	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_001625998.3	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	Homeodomains	ARCH1544_Nkx2-2/Nkx2-9	Homeodomains	CisBP_I	ARCH1597_Nr2c1/Nr2c2_Nr2f1/...	CisBP_I	0.893154513767628	3	0.771437174862569	0.134091109076433	TRUE	TRUE	FALSE	cisbp	assigned+correlation
