gene	og	name	ID_JGI_Vienna
Nvec_NVE1025	Nvec_NVE1025:HG.Unclassified	""	Nvec_NVE1025
Nvec_vc1.1_XM_032373236.2	Nvec_NVE11118:HG.Unclassified	""	Nvec_NVE11118
Nvec_NVE11418	neu.MFS_1.HG1.9:Slc16a2/Slc16a10	Slc16a10/Slc16a2	Nvec_NVE11418
Nvec_vc1.1_XM_048721740.1	neu.Synaptotagmin.HG1.25:Sytl1/Sytl2/Sytl3/Sytl4/Sytl5	Sytl1/Sytl2/Sytl3/Sytl4/Sytl5	Nvec_NVE11468
Nvec_vc1.1_XM_032373047.2	neu.ANF_receptor.HG1.25:like:Casr/Gprc6a/Tas1r1/Tas1r2/Tas1r3/Vmn2r1/Vmn2r2/Vmn2r3/Vmn2r4/Vmn2r5/Vmn2r6/Vmn2r7/Vmn2r128		Nvec_NVE11505
Nvec_vc1.1_XM_048727742.1	neu.Sec1.HG1.2:Vps33b	Vps33b	Nvec_NVE11797
Nvec_vc1.1_XM_048727359.1	neu.Homer.HG1.2:Was/Wasl	Was/Wasl	Nvec_NVE11999
Nvec_vc1.1_XM_032372710.2	neu.Syndecan.HG1.1:Nrxn1/Nrxn3	Nrxn1/Nrxn3	Nvec_NVE12021
Nvec_vc1.1_XM_048727359.1	neu.Homer.HG1.2:Was/Wasl	Was/Wasl	Nvec_NVE12186
Nvec_vc1.1_XM_048723267.1	neu.Citron.HG1.1:Cdc42bpa/Cdc42bpb/Cdc42bpg	Cdc42bpa/Cdc42bpb/Cdc42bpg	Nvec_NVE12339
Nvec_vc1.1_XM_032372185.2	neu.Aa_trans.HG1.2:Slc32a1		Nvec_NVE13231
Nvec_vc1.1_XM_048731600.1	neu.Aa_trans.HG1.2:Slc32a1		Nvec_NVE13234
Nvec_vc1.1_XM_048723622.1	neu.ANF_receptor.HG1.7:Grin2a/Grin2b/Grin2c/Grin2d/Grin3a	Grin2a/Grin2b/Grin2c/Grin2d/Grin3a	Nvec_NVE13328
Nvec_vc1.1_XM_001624665.3	neu.Sugar_tr.HG3.4:Slc2a6/Slc2a8		Nvec_NVE13455
Nvec_vc1.1_XM_048733991.1	neu.ANF_receptor.HG1.23:like:Casr/Gprc6a/Tas1r1/Tas1r2/Tas1r3/Vmn2r1/Vmn2r2/Vmn2r3/Vmn2r4/Vmn2r5/Vmn2r6/Vmn2r7/Vmn2r128		Nvec_NVE13464
Nvec_NVE13521	neu.PID.HG1.1:Eps8/Eps8l2/Pid1	Eps8/Eps8l2/Pid1	Nvec_NVE13521
Nvec_vc1.1_XM_048725804.1	neu.ANF_receptor.HG1.25:like:Casr/Gprc6a/Tas1r1/Tas1r2/Tas1r3/Vmn2r1/Vmn2r2/Vmn2r3/Vmn2r4/Vmn2r5/Vmn2r6/Vmn2r7/Vmn2r128		Nvec_NVE14100
Nvec_vc1.1_XM_032381755.2	neu.ANF_receptor.HG2.36:like:Gabbr1/Gabbr2		Nvec_NVE1439
Nvec_vc1.1_XM_048731539.1	neu.MFS_1.HG5.1:Slc18a1/Slc18a2/Slc18a3/Slc18b1	Slc18b1	Nvec_NVE15221
Nvec_vc1.1_XM_048723486.1	neu.Y_phosphatase.HG1.35:Ptprk/Ptprm/Ptprt/Ptpru	Ptprk/Ptprm/Ptprt/Ptpru	Nvec_NVE15574
Nvec_vc1.1_XM_032386320.2	neu.Pentaxin.HG1.10:like:Npcd/Nptx1/Nptx2/Nptxr/Ptx4/Svep1		Nvec_NVE15881
Nvec_vc1.1_XM_032370764.2	neu.RhoGEF.HG1.10:Arhgef33	Arhgef33	Nvec_NVE15925
Nvec_vc1.1_XM_032386130.2	neu.Guanylate_kin.HG1.3:Lrguk	Lrguk	Nvec_NVE16121
Nvec_vc1.1_XM_048729501.1	neu.MFS_1.HG6.0:Slc17a1/Slc17a2/Slc17a3/Slc17a4/Slc17a5/Slc17a6/Slc17a7/Slc17a8/Slc17a9		Nvec_NVE16311
Nvec_vc1.1_XM_032366751.2	neu.MFS_1.HG4.4:Slc46a1/Slc46a2/Slc46a3		Nvec_NVE16496
Nvec_vc1.1_XM_048723186.1	neu.Ras.HG3.16:Rnd1/Rnd2/Rnd3	Rnd1/Rnd2/Rnd3	Nvec_NVE16741
Nvec_vc1.1_XM_048720080.1	neu.ANF_receptor.HG2.7:like:Npr1/Npr2/Npr3		Nvec_NVE17792
Nvec_vc1.1_XM_048720080.1	neu.ANF_receptor.HG2.7:like:Npr1/Npr2/Npr3		Nvec_NVE17793
