gene	og	name	ID_JGI_Vienna
Nvec_vc1.1_XM_032373763.2	Nvec_NVE10242:HG.Unclassified	""	Nvec_NVE10242
Nvec_vc1.1_XM_048732951.1	Nvec_NVE10315:HG.Unclassified	""	Nvec_NVE10315
Nvec_vc1.1_XM_032362784.2	Nvec_NVE10353:HG.Unclassified	""	Nvec_NVE10353
Nvec_vc1.1_XM_032362661.2	adh.fibronectin.HG2.43:Ncam1/Ncam2		Nvec_NVE10380
Nvec_vc1.1_XM_032362682.2	Nvec_NVE10386:HG.Unclassified	""	Nvec_NVE10386
Nvec_NVE10454	Nvec_NVE10454:HG.Unclassified	""	Nvec_NVE10454
Nvec_vc1.1_XM_032379887.2	adh.Collagen.HG13.0:NA		Nvec_NVE1047
Nvec_vc1.1_XM_048732730.1	adh.fibronectin.HG2.43:Ncam1/Ncam2		Nvec_NVE10618
Nvec_vc1.1_XM_032373522.2	Nvec_NVE10701:HG.Unclassified	""	Nvec_NVE10701
Nvec_vc1.1_XM_032373513.2	adh.fibronectin.HG2.43:Ncam1/Ncam2		Nvec_NVE10707
Nvec_vc1.1_XM_032362600.2	adh.Collagen.HG5.3:Fcna/Fcnb		Nvec_NVE10843
Nvec_vc1.1_XM_048730279.1	adh.Collagen.HG55.0:NA		Nvec_NVE10917
Nvec_vc1.1_XM_048729762.1	adh.fibronectin.HG13.0:Epha1/Epha2/Epha3/Epha4/Epha5/Epha6/Epha7/Epha8/Epha10/Ephb1/Ephb2/Ephb4/Ephb6	Epha1/Epha10/Epha2/Epha3/Epha4/Epha5/Epha6/Epha7/Epha8/Ephb1/Ephb2/Ephb4/Ephb6	Nvec_NVE11037
Nvec_vc1.1_XM_032362439.2	adh.immunoglobin.HG2.11:like:Flt4		Nvec_NVE11360
Nvec_vc1.1_XM_048723642.1	Nvec_NVE11435:HG.Unclassified	""	Nvec_NVE11435
Nvec_vc1.1_XM_048732738.1	Nvec_NVE11544:HG.Unclassified	""	Nvec_NVE11544
Nvec_NVE11545	adh.fibronectin.HG2.43:Ncam1/Ncam2		Nvec_NVE11545
Nvec_vc1.1_XM_048732021.1	adh.fibronectin.HG2.43:Ncam1/Ncam2		Nvec_NVE11554
Nvec_vc1.1_XM_048732930.1	adh.fibronectin.HG2.43:Ncam1/Ncam2		Nvec_NVE11554
Nvec_vc1.1_XM_048733032.1	Nvec_NVE11617:HG.Unclassified	""	Nvec_NVE11617
Nvec_vc1.1_XM_048727880.1	adh.Laminin.HG4.8:like:Adgrd1		Nvec_NVE11668
Nvec_vc1.1_XM_032362308.2	adh.Collagen.HG6.4:NA		Nvec_NVE11740
Nvec_NVE11911	Nvec_NVE11911:HG.Unclassified	""	Nvec_NVE11911
Nvec_vc1.1_XM_032372769.2	adh.fibronectin.HG2.34:like:Igsf9/Igsf9b		Nvec_NVE11967
Nvec_vc1.1_XM_048730230.1	adh.fibronectin.HG6.2:Bsph1/Bsph2/Igf2r/Ly75/Mmp2/Mmp9/Mrc1/Mrc2/Pla2r1/Sel1l		Nvec_NVE11982
Nvec_vc1.1_XM_048730602.1	Nvec_NVE11993:HG.Unclassified	""	Nvec_NVE11993
Nvec_vc1.1_XM_048725727.1	adh.fibronectin.HG2.27:like:Epor/Igsf9/Igsf9b/Ncam1/Ncam2/Nphs1/Trim42		Nvec_NVE12212
Nvec_vc1.1_XM_048731381.1	Nvec_NVE12462:HG.Unclassified	""	Nvec_NVE12462
Nvec_vc1.1_XM_048726038.1	adh.immunoglobin.HG2.5:Kalrn/Trio	Kalrn/Trio	Nvec_NVE12757
Nvec_vc1.1_XM_048724035.1	Nvec_NVE12831:HG.Unclassified	""	Nvec_NVE12831
Nvec_vc1.1_XM_032367057.2	Nvec_NVE12948:HG.Unclassified	""	Nvec_NVE12948
Nvec_vc1.1_XM_048729342.1	adh.Collagen.HG5.3:Fcna/Fcnb	Fcna/Fcnb	Nvec_NVE13115
Nvec_vc1.1_XM_032366631.2	adh.immunoglobin.HG12.9:like:Fgfr1/Fgfr2/Fgfr3/Fgfr4/Fgfrl1		Nvec_NVE13296
Nvec_vc1.1_XM_032387292.2	adh.fibronectin.HG2.46:Nphs1	Nphs1	Nvec_NVE13499
Nvec_vc1.1_XM_048725127.1	Nvec_NVE1360:HG.Unclassified	""	Nvec_NVE1360
Nvec_vc1.1_XM_001637113.3	Nvec_NVE13934:HG.Unclassified	""	Nvec_NVE13934
Nvec_vc1.1_XM_048728868.1	Nvec_NVE14092:HG.Unclassified	""	Nvec_NVE14092
Nvec_vc1.1_XM_048727478.1	Nvec_NVE14162:HG.Unclassified	""	Nvec_NVE14162
Nvec_vc1.1_XM_032386961.2	Nvec_NVE14311:HG.Unclassified	""	Nvec_NVE14311
Nvec_vc1.1_XM_048734206.1	adh.Laminin.HG1.47:like:Hspg2		Nvec_NVE14393
Nvec_NVE14631	Nvec_NVE14631:HG.Unclassified	""	Nvec_NVE14631
Nvec_vc1.1_XM_048722171.1	adh.Collagen.HG4.0:NA		Nvec_NVE14661
Nvec_vc1.1_XM_048724280.1	adh.Integrin_alpha.HG1.0:Gm49368/Itga1/Itga2/Itga2b/Itga3/Itga4/Itga5/Itga6/Itga7/Itga8/Itga9/Itga10/Itga11/Itgad/Itgae/Itgal/Itgam/Itgav/Itgax	Gm49368/Itga1/Itga10/Itga11/Itga2/Itga4/Itga9/Itgad/Itgae/Itgal/Itgam/Itgax	Nvec_NVE14923
Nvec_vc1.1_XM_048724280.1	adh.Integrin_alpha.HG1.0:Gm49368/Itga1/Itga2/Itga2b/Itga3/Itga4/Itga5/Itga6/Itga7/Itga8/Itga9/Itga10/Itga11/Itgad/Itgae/Itgal/Itgam/Itgav/Itgax	Gm49368/Itga1/Itga10/Itga11/Itga2/Itga4/Itga9/Itgad/Itgae/Itgal/Itgam/Itgax	Nvec_NVE14924
Nvec_vc1.1_XM_048732394.1	Nvec_NVE14952:HG.Unclassified	""	Nvec_NVE14952
Nvec_vc1.1_XM_048732394.1	Nvec_NVE14953:HG.Unclassified	""	Nvec_NVE14953
Nvec_vc1.1_XM_048723486.1	Nvec_NVE15574:HG.Unclassified	""	Nvec_NVE15574
Nvec_vc1.1_XM_032386267.2	Nvec_NVE15858:HG.Unclassified	""	Nvec_NVE15858
Nvec_vc1.1_XM_032386320.2	adh.Laminin.HG2.9:like:Apcs/Crp/Npcd/Nptx1/Nptx2/Nptxr/Ptx3/Ptx4/Svep1		Nvec_NVE15881
Nvec_vc1.1_XM_048720712.1	adh.Laminin.HG4.0:Adgrd1		Nvec_NVE16499
Nvec_vc1.1_XM_048720712.1	adh.Laminin.HG4.0:Adgrd1		Nvec_NVE16500
Nvec_vc1.1_XM_048727293.1	Nvec_NVE16738:HG.Unclassified	""	Nvec_NVE16738
Nvec_vc1.1_XM_032385290.2	Nvec_NVE18041:HG.Unclassified	""	Nvec_NVE18041
Nvec_vc1.1_XM_032384891.2	adh.Collagen.HG6.4:NA		Nvec_NVE18733
Nvec_vc1.1_XM_048720968.1	Nvec_NVE18956:HG.Unclassified	""	Nvec_NVE18956
Nvec_vc1.1_XM_048720966.1	Nvec_NVE18959:HG.Unclassified	""	Nvec_NVE18959
Nvec_vc1.1_XM_032366470.2	adh.Lectin_C.HG49.0:NA		Nvec_NVE19005
Nvec_vc1.1_XM_048732930.1	Nvec_NVE19298:HG.Unclassified	""	Nvec_NVE19298
Nvec_vc1.1_XM_032384615.2	adh.Laminin.HG16.1:NA		Nvec_NVE19371
Nvec_vc1.1_XM_032384627.2	Nvec_NVE19423:HG.Unclassified	""	Nvec_NVE19423
Nvec_vc1.1_XM_048724774.1	Nvec_NVE1964:HG.Unclassified	""	Nvec_NVE1964
Nvec_vc1.1_XM_032384381.2	adh.Laminin.HG7.8:NA		Nvec_NVE19744
