seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	1610733	1610983	peak326	.	*	2.98689344324383	0.00258241232122001	0.0476588093031258
NC_064034.1	2143266	2143516	peak523	.	*	8.13011973787617	1.08737516680701e-05	0.00105297998718447
NC_064034.1	2144143	2144393	peak524	.	*	6.23946882459837	0.000408738653872948	0.0148660045487187
NC_064034.1	2144448	2144698	peak525	.	*	3.97384595870591	0.00124369647080268	0.0317289493338637
NC_064034.1	2145009	2145259	peak526	.	*	8.21456179151295	1.39499110498001e-07	4.10888289103202e-05
NC_064034.1	2151356	2151606	peak534	.	*	8.26630116364918	2.40723555148967e-07	6.28143075449118e-05
NC_064034.1	2151673	2151923	peak535	.	*	2.76877977959366	1.32890918630512e-06	0.000218932157472639
NC_064034.1	2153144	2153394	peak538	.	*	7.6595764038344	3.22858502383728e-05	0.00238418586375676
NC_064034.1	2153869	2154119	peak539	.	*	3.34591277575369	0.000300092687417094	0.0114782131694802
NC_064034.1	2224921	2225171	peak609	.	*	5.21357097188797	0.00149168221855818	0.0337778710876773
NC_064034.1	2363467	2363717	peak642	.	*	1.92586923969759	0.0025251721947469	0.0476588093031258
NC_064034.1	2403086	2403336	peak665	.	*	2.0743657069675	5.88751743659988e-18	7.63022259783345e-14
NC_064034.1	2403981	2404231	peak666	.	*	3.38794003890055	0.000331861412119344	0.0123648986135123
NC_064034.1	2404353	2404603	peak667	.	*	2.83786284500588	0.000202109909505037	0.0088691120559321
NC_064034.1	2404798	2405048	peak668	.	*	2.54793450829119	0.000928800947744518	0.024776522022852
NC_064034.1	2544882	2545132	peak735	.	*	3.86562166928266	0.000297951387756962	0.011418777679636
NC_064034.1	2547106	2547356	peak739	.	*	4.2942952943629	2.85147624706205e-05	0.00222845018061854
NC_064034.1	2547266	2547515	peak740	.	*	8.14329914558793	2.12653402169334e-06	0.000303411533076834
NC_064034.1	2549517	2549767	peak743	.	*	2.75763767725785	2.21631756784452e-05	0.00182758063706882
NC_064034.1	2559783	2560033	peak745	.	*	6.41464121665662	0.000495521491508407	0.016368628368604
NC_064034.1	2833201	2833451	peak842	.	*	3.75662094455771	9.72895327162123e-06	0.000982497930391256
NC_064034.1	2969596	2969846	peak879	.	*	2.1524563340023	1.59618068080341e-08	7.52236422662263e-06
NC_064034.1	3165229	3165479	peak943	.	*	3.44474805872603	0.000122179765062879	0.00629602288355831
NC_064034.1	3171631	3171881	peak954	.	*	7.31968033777972	0.000165735814642217	0.00765297918442919
NC_064034.1	3172099	3172349	peak955	.	*	6.55580903790686	0.00259806703492734	0.0476588093031258
NC_064034.1	3173067	3173317	peak958	.	*	2.07386464977766	0.00149045018281969	0.0337778710876773
NC_064034.1	3175247	3175497	peak964	.	*	6.82105923103459	0.00259806703492734	0.0476588093031258
NC_064034.1	3176131	3176381	peak966	.	*	3.35803767322297	5.85397197459333e-06	0.000671393599917961
NC_064034.1	3178800	3179050	peak970	.	*	3.197368256921	0.000515029061244023	0.016805983970766
NC_064034.1	3771658	3771908	peak1176	.	*	2.59176217659998	0.000181071859327901	0.00818613243101022
NC_064034.1	3776243	3776493	peak1178	.	*	7.14224881611544	0.000858818469986162	0.0235478576255726
NC_064034.1	4169924	4170174	peak1316	.	*	2.43146133810029	2.83690586961834e-06	0.000386335902664662
NC_064034.1	4172470	4172720	peak1322	.	*	1.9833790808246	0.000116949390979196	0.00608700444614609
NC_064034.1	4173211	4173461	peak1324	.	*	4.02971478855505	8.42009430821459e-05	0.00481785528628967
NC_064034.1	4451657	4451907	peak1459	.	*	5.14994662931922	0.00212193257336894	0.0452063908928764
NC_064034.1	4589622	4589872	peak1515	.	*	3.61384771225954	0.00125334053450783	0.0317438079305208
NC_064034.1	4712809	4713059	peak1563	.	*	2.31920053400722	2.72188101151701e-07	6.96228511366983e-05
NC_064034.1	4713367	4713617	peak1564	.	*	1.56648943302181	2.67149722042501e-08	1.13516734349863e-05
NC_064034.1	4716096	4716346	peak1567	.	*	7.71946240141526	3.22858502383728e-05	0.00238418586375676
NC_064034.1	4720500	4720750	peak1570	.	*	4.14735433767028	1.11483799723334e-06	0.000195247303299244
NC_064034.1	4777488	4777738	peak1589	.	*	7.4018678763496	6.3118859118998e-06	0.000698168205560922
NC_064034.1	4802424	4802674	peak1606	.	*	6.1536501230795	1.14783541088258e-05	0.0011046495241365
NC_064034.1	4830303	4830553	peak1620	.	*	6.70259856766109	0.000495521491508407	0.016368628368604
NC_064034.1	4831842	4832092	peak1622	.	*	3.34926063108231	7.93016825140778e-10	6.35721529102546e-07
NC_064034.1	4832433	4832683	peak1624	.	*	3.62356319474686	3.61573645347058e-05	0.00263999686968895
NC_064034.1	5007197	5007447	peak1694	.	*	2.72176065301117	0.000188265477653551	0.00840455667326476
NC_064034.1	5007577	5007827	peak1695	.	*	2.62482681766547	0.00256995792575191	0.0476588093031258
NC_064034.1	5010686	5010936	peak1701	.	*	1.90877811515055	4.8860979585152e-07	0.000105833698399482
NC_064034.1	5011778	5012028	peak1704	.	*	5.73715269781742	7.67829709765736e-07	0.000146698865433375
NC_064034.1	5013451	5013701	peak1706	.	*	3.59106827020315	0.00216303532787422	0.0452807257204206
NC_064034.1	5018466	5018716	peak1710	.	*	6.79455833358073	0.00259806703492734	0.0476588093031258
NC_064034.1	5018846	5019096	peak1711	.	*	6.89823261924547	0.00028638812697382	0.0110479291335716
NC_064034.1	5036497	5036747	peak1717	.	*	6.28341567412485	0.00259806703492734	0.0476588093031258
NC_064034.1	5129864	5130114	peak1755	.	*	1.71921700279536	0.00227052744387228	0.0466709526924421
NC_064034.1	5133322	5133572	peak1759	.	*	1.86044582168444	5.06431027492967e-06	0.000608656517741162
NC_064034.1	5134436	5134686	peak1761	.	*	1.31921296890647	0.00173507452364986	0.0379306704973329
NC_064034.1	5157175	5157425	peak1770	.	*	4.16226933123287	0.00242897141919607	0.0476588093031258
NC_064034.1	5270769	5271019	peak1815	.	*	3.52190607432119	0.00145978154371291	0.0337778710876773
NC_064034.1	5271120	5271370	peak1816	.	*	3.60466082755103	0.000245772808826369	0.0102859492003975
NC_064034.1	5272019	5272269	peak1818	.	*	5.07507166021718	0.00213009537334747	0.0452063908928764
NC_064034.1	5275310	5275560	peak1826	.	*	6.79052213033484	0.00259806703492734	0.0476588093031258
NC_064034.1	5377772	5378022	peak1854	.	*	2.40164665962811	0.000338617612894937	0.0125504793034844
NC_064034.1	5426858	5427108	peak1865	.	*	2.47500288797262	1.22270910963272e-06	0.000205920026126282
