archetype_name	cell_type	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label	archetype_family	gene_name	cluster	minuslog10padj	fc_scaled	minuslog10padj_scaled	gene_label
ARCH1265_TFCP2__Tcfcp2l1__G...	cnidocyte	1.55848286577732	0.0862250262881178	0.0553262587491533	164	6126	3.57436334212779e-08	6.85880610206077e-07	cnidocyte	Grainyhead_LSF		327	6.16375147444073	1.55848286577732	6.16375147444073	""
ARCH1265_TFCP2__Tcfcp2l1__G...	cnidocyte_gastrula	1.15137833980956	0.0622340763319998	0.0540518039815595	980	5194	2.18336283634285e-05	0.000140173517411305	cnidocyte_gastrula	Grainyhead_LSF		327	3.8533340286555	1.15137833980956	3.8533340286555	""
ARCH1265_TFCP2__Tcfcp2l1__G...	ecto_pharynx	1.07527744851402	0.0583251536911712	0.0542419575261936	1129	5001	0.0126838963680945	0.0542205173952952	ecto_pharynx	Grainyhead_LSF		327	1.26583634251264	1.07527744851402	1.26583634251264	""
ARCH1265_TFCP2__Tcfcp2l1__G...	ectoderm	1.01711990821324	0.0554922948455174	0.0545582624009392	1462	4647	0.284875140551037	0.988221657505798	ectoderm	Grainyhead_LSF		327	0.00514563250267084	1.01711990821324	0.00514563250267084	""
ARCH1265_TFCP2__Tcfcp2l1__G...	ecto_aboral	1.0470996216159	0.0567239278273517	0.0541724270130232	1443	4663	0.0602850447234032	0.210753587524934	ecto_aboral	Grainyhead_LSF		327	0.676225023920199	1.0470996216159	0.676225023920199	""
ARCH1265_TFCP2__Tcfcp2l1__G...	EMS	1.11486299902443	0.0596445670697071	0.0534994587872228	1470	4646	0.000111642463769913	0.000484438529976482	EMS	Grainyhead_LSF		327	3.314761322402	1.11486299902443	3.314761322402	""
ARCH1265_TFCP2__Tcfcp2l1__G...	EMS_ecto_boundary	1.10613159967502	0.0602895090285032	0.0545048247841544	808	5366	0.00343706542318686	0.01502737211606	EMS_ecto_boundary	Grainyhead_LSF		327	1.82311695921866	1.10613159967502	1.82311695921866	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_circular_muscle_1	1.18445260200846	0.0659563673262303	0.0556851048445409	130	6161	0.0297934424020507	0.0981932729548504	gastro_circular_muscle_1	Grainyhead_LSF		327	1.00791826393056	1.18445260200846	1.00791826393056	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_circular_muscle_2	1.1699826374429	0.0651793525809274	0.0557096750797795	149	6145	0.0305319195354031	0.114131223025197	gastro_circular_muscle_2	Grainyhead_LSF		327	0.942595528828318	1.1699826374429	0.942595528828318	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_parietal_muscle	1.11576489213069	0.0622270742358079	0.0557707763299289	114	6176	0.127533873135304	0.32013226584981	gastro_parietal_muscle	Grainyhead_LSF		327	0.494670551490576	1.11576489213069	0.494670551490576	""
