seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	623879	624129	peak24	.	*	0.229129411379803	0.971278843320573	1
NC_064034.1	625468	625718	peak25	.	*	0.987295137492559	0.258111513324722	0.537936397413231
NC_064034.1	634612	634862	peak30	.	*	0.532215528465227	0.105674299235183	0.485302949373647
NC_064034.1	638979	639229	peak31	.	*	-1.38708035836563	0.295474478895691	0.537936397413231
NC_064034.1	673280	673530	peak38	.	*	1.56893136334484	0.0226518195425462	0.282819370805624
NC_064034.1	699577	699827	peak41	.	*	0.0722731932582831	0.547381232213325	0.75065875463591
NC_064034.1	723656	723906	peak43	.	*	1.09195431161398	0.296715697530138	0.537936397413231
NC_064034.1	748547	748797	peak52	.	*	0.317667299993309	0.983063979374003	1
NC_064034.1	801160	801409	peak61	.	*	2.97070664549352	0.31937421470796	0.537936397413231
NC_064034.1	801393	801643	peak62	.	*	4.21585061008286	0.0182503029795117	0.260931507437451
NC_064034.1	815433	815683	peak66	.	*	-0.0384826789991736	0.663978696663429	0.821891576821527
NC_064034.1	829007	829257	peak68	.	*	4.20145271623574	0.0325795175103041	0.331826711372895
NC_064034.1	847311	847561	peak79	.	*	-0.991520922767809	0.368085551902312	0.60660693270011
NC_064034.1	851273	851523	peak82	.	*	-0.529233199788824	0.621442180751403	0.811622517745859
NC_064034.1	865349	865599	peak86	.	*	2.34565596608788	0.266271893254023	0.537936397413231
NC_064034.1	943046	943296	peak92	.	*	-0.529578834189363	0.281267470127595	0.537936397413231
NC_064034.1	945158	945408	peak93	.	*	1.03935762676234	0.12919975874163	0.49767321410314
NC_064034.1	945414	945664	peak94	.	*	-3.88228221701623	0.176021202010658	0.516535899618515
NC_064034.1	1041058	1041308	peak99	.	*	5.58417113219295	0.00778805823310097	0.15580092501037
NC_064034.1	1042518	1042768	peak101	.	*	3.62402161169312	0.0561265780108049	0.405269620410741
NC_064034.1	1045025	1045275	peak104	.	*	1.2755065667553	0.0552315379205931	0.405269620410741
NC_064034.1	1046406	1046656	peak106	.	*	1.20041542157184	0.00552829996484151	0.140609450140245
NC_064034.1	1047183	1047433	peak107	.	*	7.08953092272268	0.000458629604554202	0.0305884799744211
NC_064034.1	1065645	1065895	peak111	.	*	1.73366172361153	0.0493768378667114	0.386579698662754
NC_064034.1	1066302	1066552	peak112	.	*	6.37555645170373	0.00141555305499813	0.0605385500246677
NC_064034.1	1068097	1068347	peak114	.	*	7.2155586149129	0.00439782707875096	0.113842347865141
NC_064034.1	1068623	1068873	peak115	.	*	2.01736867421318	0.0343538467850996	0.336907363997905
NC_064034.1	1089899	1090149	peak120	.	*	0.794272264352527	0.484096345366788	0.737513777102912
NC_064034.1	1090110	1090359	peak121	.	*	0	1	1
NC_064034.1	1207709	1207959	peak125	.	*	-1.01938603163085	0.297089864541297	0.537936397413231
NC_064034.1	1252039	1252289	peak132	.	*	-1.38780427597606	0.162627773496972	0.508255365493554
NC_064034.1	1252297	1252547	peak133	.	*	1.02349225569113	0.537055500277533	0.75065875463591
NC_064034.1	1252596	1252846	peak134	.	*	-0.214012657800855	0.760381631292594	0.899895929392942
NC_064034.1	1278623	1278873	peak142	.	*	-0.579705198344205	0.989091467392316	1
NC_064034.1	1279037	1279287	peak143	.	*	0.337765531612939	0.983701677156041	1
NC_064034.1	1299938	1300188	peak147	.	*	-0.256196113780674	0.432163600524858	0.675616624239639
NC_064034.1	1338532	1338782	peak157	.	*	-1.80049815492715	0.0310540802871714	0.331826711372895
NC_064034.1	1354210	1354460	peak162	.	*	-0.147565191965574	0.653863065937785	0.820883909450196
NC_064034.1	1385911	1386161	peak171	.	*	0.809488594518421	0.318176072506985	0.537936397413231
NC_064034.1	1389775	1390025	peak172	.	*	2.39539743026193	0.0330756225849521	0.331826711372895
NC_064034.1	1391054	1391304	peak173	.	*	2.80699128106461	0.075913431218302	0.437456868129234
NC_064034.1	1542665	1542915	peak210	.	*	-2.11722243572569	0.289898642631708	0.537936397413231
NC_064034.1	1582132	1582382	peak213	.	*	1.30169605844818	0.155654227278381	0.49767321410314
NC_064034.1	1614657	1614907	peak226	.	*	3.39202755988756	0.0187541000433391	0.260931507437451
NC_064034.1	1615331	1615581	peak227	.	*	2.5070661801826	0.151165036645862	0.49767321410314
NC_064034.1	1691613	1691863	peak263	.	*	0.170038168734192	0.838082205302475	0.969185685578604
NC_064034.1	1701518	1701768	peak265	.	*	3.01039780962901	0.0323337646681853	0.331826711372895
NC_064034.1	1830789	1831039	peak289	.	*	1.87682806576136	0.0336558322320441	0.331826711372895
NC_064034.1	1831692	1831942	peak290	.	*	-0.168076944618312	0.315240978673104	0.537936397413231
NC_064034.1	1833820	1834070	peak291	.	*	6.19516273895407	0.0450411386647377	0.359229007724767
NC_064034.1	1855025	1855275	peak296	.	*	-0.0446166656712302	0.543937339954151	0.75065875463591
NC_064034.1	1973762	1974012	peak337	.	*	-0.846531745285365	0.475425192759499	0.731133227974502
NC_064034.1	1973954	1974203	peak338	.	*	0.417955250958298	0.159059257086261	0.499559003230457
NC_064034.1	1974152	1974402	peak339	.	*	1.29577283837183	0.0673860011079987	0.437456868129234
NC_064034.1	1995398	1995648	peak349	.	*	-0.358071636085783	0.191261212907048	0.537936397413231
NC_064034.1	2014544	2014794	peak352	.	*	-1.31987299035311	0.465078003130758	0.721352988082876
NC_064034.1	2025352	2025602	peak353	.	*	-0.737928395449785	0.32447756016523	0.544306223735632
NC_064034.1	2081762	2082012	peak378	.	*	0.646984670921363	0.534090353821682	0.75065875463591
NC_064034.1	2085106	2085356	peak379	.	*	-0.417093317748449	0.728077244560967	0.874892782462758
NC_064034.1	2092543	2092793	peak380	.	*	-0.664926790527937	0.303914687080563	0.537936397413231
NC_064034.1	2093658	2093908	peak382	.	*	0.672104359398198	0.118834514129997	0.49767321410314
NC_064034.1	2105302	2105552	peak386	.	*	0.832140311349443	0.178110066602628	0.516535899618515
NC_064034.1	2107648	2107898	peak388	.	*	0.362099472115592	0.588609018195195	0.774078764206191
NC_064034.1	2109154	2109404	peak390	.	*	-0.952281909491427	0.0716434156539826	0.437456868129234
NC_064034.1	2131180	2131430	peak398	.	*	4.37854220143881	0.000642953763572603	0.0402301688233013
NC_064034.1	2152575	2152825	peak402	.	*	6.48025859002527	0.00778805823310097	0.15580092501037
NC_064034.1	2170460	2170709	peak408	.	*	-1.48664336821708	0.00814601369820701	0.162288679638636
NC_064034.1	2170677	2170927	peak409	.	*	-1.70937224382532	1.9775429913433e-06	0.000684994670636794
