TF_Name	Motif_ID	TF_Status	Family_Name	Motif_Type	SR_Model	Motif_Species	ID_JGI_Vienna	ID_DToL	gene_name	common_name	og	pfam	TF_Common_Name
Nvec_vc1.1_XM_001633482.3	M01207_2.00	D	CSD	PBM	SequenceIdentity	Nematostella_vectensis	Nvec_v1g104083	Nvec_vc1.1_XM_001633482.3	Ybx1/Ybx2/Ybx3	""	CSD.HG1.6:YBX1/YBX2/YBX3	CSD	Ybx1/Ybx2/Ybx3
Nvec_vc1.1_XM_048723945.1	M01016_2.00	D	Forkhead	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g67209	Nvec_vc1.1_XM_048723945.1	Foxn3	""	Forkhead.HG1.16:FOXN2/FOXN3	Forkhead	Foxn3
Nvec_vc1.1_XM_032383663.2	M02142_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g101664	Nvec_vc1.1_XM_032383663.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain	Nvec_vc1.1_XM_032383663.2
Nvec_vc1.1_XM_001632929.3	M02143_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g105595	Nvec_vc1.1_XM_001632929.3	Shox2	""	Homeodomains.HG2.41:SHOX/SHOX2	Homeodomain	Shox2
Nvec_vc1.1_XM_001630676.3	M02144_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g113057	Nvec_vc1.1_XM_001630676.3	""	""	Homeodomains.HG2.68:like:ARX/OTP	Homeodomain	Nvec_vc1.1_XM_001630676.3
Nvec_vc1.1_XM_048730743.1	M02145_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g114268	Nvec_vc1.1_XM_048730743.1	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain	Nvec_vc1.1_XM_048730743.1
Nvec_vc1.1_XM_032372904.2	M02146_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g129868	Nvec_vc1.1_XM_032372904.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain	Nvec_vc1.1_XM_032372904.2
Nvec_vc1.1_XM_048727543.1	M02147_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g136480	Nvec_vc1.1_XM_048727543.1	""	""	Homeodomains.HG2.17:like:RHOXF1	PAX/Homeodomain	Nvec_vc1.1_XM_048727543.1
Nvec_vc1.1_XM_001634715.3	M02148_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g164989	Nvec_vc1.1_XM_001634715.3	Lbx1	Lbx	Homeodomains.HG1.29:LBX1/LBX2	Homeodomain	Lbx
Nvec_vc1.1_XM_001641032.3	M02149_2.00	D	Homeodomain	PBM	SimilarityRegression	Nematostella_vectensis	Nvec_v1g197288	Nvec_vc1.1_XM_001641032.3	Nanog	""	Homeodomains.HG1.18:NANOG/NANOGP8	Homeodomain	Nanog
