gene	cell_type	stage	gene_name	common_name	og	pfam	expression_fc	expression_umifrac	gene_score	zscore	motif	id	target_gene	target_gene_name	target_common_name	target_og	target_pfam	target_expression_fc	target_expression_umifrac	target_gene_score	target_accessibility	motif_score	peak_tf_correlation_score	in_silico_chip_score	exp_thrs	acc_thrs	target_self	target_TF	target_active_TF
Nvec_vc1.1_XM_032364331.2	cnidocyte	adult	""	""	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4	TEA	2.64343492137521	0.172880011876105	3.75179599959295	16.2813331041502	ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_032364331.2__ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_001641129.3	Zfp281/Zfp148	ZNF845	zf-C2H2.HG3.8:like:ZNF770	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2	5.66570024166599	0.522398296756057	13.6829818999011	0.686499812835833	0.86	0.336666666666667	0.193333333333333	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_032364331.2	cnidocyte	adult	""	""	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4	TEA	2.64343492137521	0.172880011876105	3.75179599959295	16.2813331041502	ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_032364331.2__ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_001641129.3	Zfp281/Zfp148	ZNF845	zf-C2H2.HG3.8:like:ZNF770	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2	5.66570024166599	0.522398296756057	13.6829818999011	0.686499812835833	0.8	0.336666666666667	0.193333333333333	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_032364331.2	cnidocyte	adult	""	""	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4	TEA	2.64343492137521	0.172880011876105	3.75179599959295	16.2813331041502	ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_032364331.2__ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_001631093.3	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	0.625730571598731	0.78	0.35	0.18	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_032364331.2	cnidocyte	adult	""	""	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4	TEA	2.64343492137521	0.172880011876105	3.75179599959295	16.2813331041502	ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_032364331.2__ARCH623_M06455_2.00__M07545...	Nvec_vc1.1_XM_048721414.1	Prdm13	""	zf-C2H2.HG1.7:PRDM13	zf-C2H2/zf-C2H2/zf-C2H2	2.39287865558945	0.174759142439976	8.24264036384624	0.287134931308925	0.84	0.21	0.13	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_032383907.2	Atf7/Gm28047/Creb5/Atf2	""	bZIP.HG1.4:ATF2/ATF7/ATF7-NPFF/CREB5	bZIP_1	2.2745987350283	0.208583492589649	1.09550858625247	0.871260186169161	0.51	0.33	0.11	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001641129.3	Zfp281/Zfp148	ZNF845	zf-C2H2.HG3.8:like:ZNF770	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2	5.66570024166599	0.522398296756057	13.6829818999011	2.68927294250076	0.56	0.32	0.13	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001637272.3	""	""	zf-C2H2.HG95.1:NA	HNF-1_N/zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2	2.83319927701598	0.214220884281261	4.98388511487137	1.26560983914524	0.55	0.37	0.14	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631763.3	""	PaxA	Homeodomains.HG2.49:like:PAX1/PAX9	PAX	2.36117330388841	0.15784696736514	6.62005266150668	0.723854599376131	0.53	0.35	0.14	1.4	0.0650080540022184	FALSE	TRUE	TRUE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_032374029.2	Jund/Junb/Jun	""	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1	2.12611575454055	0.112747833832243	4.67765996575772	0.649356385938594	0.54	0.39	0.16	1.4	0.0650080540022184	FALSE	TRUE	FALSE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_032374029.2	Jund/Junb/Jun	""	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1	2.12611575454055	0.112747833832243	4.67765996575772	0.649356385938594	0.69	0.39	0.16	1.4	0.0650080540022184	FALSE	TRUE	FALSE
Nvec_vc1.1_XM_001631093.3	cnidocyte	adult	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68616455432311	0.263078278941899	3.93750631390743	34.9254183472098	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_001631093.3__ARCH1610_Atf3/Jdp2_Atf7/Gm2...	Nvec_vc1.1_XM_032378881.2	Creb3l2/Creb3l1	CREB3	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1	1.50365663282246	0.152209575673527	1.4044896406448	0.162260463591733	0.56	0.49	0.18	1.4	0.0650080540022184	FALSE	TRUE	FALSE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	0.677664436379107	1	0.19	0.13	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_v1g19278	Klf13	Klf13	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16	zf-C2H2/zf-C2H2/zf-C2H2	1.46861285103434	0.0695278308632162	2.47802797290401	1.35168469533958	1	0.46	0.35	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_v1g241767	""	""	bZIP.HG1.3:like:JUN/JUNB/JUND	Jun	1.85572288069688	0.0714069614270869	2.62671695143054	1.19921086592573	1	0.54	0.37	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_001639701.3	""	NvSox2	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box	1.85772218142199	0.0751652225548283	11.5404509863583	0.467799149186648	1	0.2	0.14	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_048730283.1	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	2.68391673637204	0.148451314545786	6.11831716141491	2.88264277293602	1	0.36	0.28	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032363992.2	Pou4f3/Pou4f1/Pou4f2	Pou4	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou/Homeodomain	3.09835563228198	0.272473931761253	8.22869402332946	0.511135068790278	1	0.37	0.265	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_001631763.3	""	PaxA	Homeodomains.HG2.49:like:PAX1/PAX9	PAX	2.36117330388841	0.15784696736514	6.62005266150668	1.08409398262665	1	0.17	0.12	1.4	0.0650080540022184	TRUE	TRUE	TRUE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032372114.2	Atf4/Atf5	""	bZIP.HG1.8:ATF4/ATF5	bZIP_1	1.49251881004594	0.251803495558675	1.15447009181859	3.8750406663564	1	0.3	0.24	1.4	0.0650080540022184	TRUE	TRUE	FALSE
Nvec_vc1.1_XM_032364887.2	cnidocyte	adult	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead	5.30378273777692	0.751652225548283	3.67102070041199	14.9474059441056	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032364887.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_048721414.1	Prdm13	""	zf-C2H2.HG1.7:PRDM13	zf-C2H2/zf-C2H2/zf-C2H2	2.39287865558945	0.174759142439976	8.24264036384624	0.598535816628142	1	0.23	0.15	1.4	0.0650080540022184	TRUE	TRUE	TRUE
