gene	gene_module	membership_score	gene	gene_name	common_name	og	pfam	gene_list
Nvec_vc1.1_XM_048731926.1	violet	0.962	Nvec_vc1.1_XM_048731926.1				EF-hand_7/2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032363992.2	violet	0.955	Nvec_vc1.1_XM_032363992.2	Pou4f3/Pou4f1/Pou4f2	Pou4	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou/Homeodomain	tfs
Nvec_vc1.1_XM_001632810.3	violet	0.948	Nvec_vc1.1_XM_001632810.3				7tm_1	
Nvec_vc1.1_XM_032377333.2	violet	0.94	Nvec_vc1.1_XM_032377333.2				TSP_1	
Nvec_vc1.1_XM_048729806.1	violet	0.925	Nvec_vc1.1_XM_048729806.1				Collagen/Collagen	
Nvec_vc1.1_XM_001641129.3	violet	0.923	Nvec_vc1.1_XM_001641129.3	Zfp281/Zfp148	ZNF845	zf-C2H2.HG3.8:like:ZNF770	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2	tfs
Nvec_vc1.1_XM_032365297.2	violet	0.92	Nvec_vc1.1_XM_032365297.2				SET	
Nvec_vc1.1_XM_048727871.1	violet	0.916	Nvec_vc1.1_XM_048727871.1				C2/C2	
Nvec_v1g19278	violet	0.912	Nvec_v1g19278	Klf13	Klf13	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_001639701.3	violet	0.9	Nvec_vc1.1_XM_001639701.3		NvSox2	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box	tfs
Nvec_vc1.1_XM_032362615.2	violet	0.9	Nvec_vc1.1_XM_032362615.2	Rab30			Ras	
Nvec_vc1.1_XM_032364375.2	violet	0.876	Nvec_vc1.1_XM_032364375.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032387167.2	violet	0.872	Nvec_vc1.1_XM_032387167.2		FoxA/D	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead	tfs
Nvec_vc1.1_XM_001635956.3	violet	0.86	Nvec_vc1.1_XM_001635956.3				Peptidase_A22B	
Nvec_vc1.1_XM_032376977.2	violet	0.841	Nvec_vc1.1_XM_032376977.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_001640217.3	violet	0.83	Nvec_vc1.1_XM_001640217.3				Gal-3-0_sulfotr	
Nvec_vc1.1_XM_048721414.1	violet	0.821	Nvec_vc1.1_XM_048721414.1	Prdm13		zf-C2H2.HG1.7:PRDM13	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_001641449.3	violet	0.821	Nvec_vc1.1_XM_001641449.3	Csgalnact2/Csgalnact1			CHGN	
Nvec_vc1.1_XM_048725566.1	violet	0.787	Nvec_vc1.1_XM_048725566.1					
Nvec_vc1.1_XM_032365441.2	violet	0.783	Nvec_vc1.1_XM_032365441.2	P4htm			2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_048725236.1	violet	0.771	Nvec_vc1.1_XM_048725236.1	Pcsk7			S8_pro-domain/Peptidase_S8/P_proprotein	
Nvec_vc1.1_XM_032377081.2	violet	0.77	Nvec_vc1.1_XM_032377081.2	Xylt1/Xylt2			Branch/Xylo_C	
Nvec_vc1.1_XM_032382395.2	violet	0.744	Nvec_vc1.1_XM_032382395.2	Tgif1/Tgif2		Homeodomains.HG3.34:TGIF1	Homeobox_KN	tfs
Nvec_vc1.1_XM_032384295.2	violet	0.739	Nvec_vc1.1_XM_032384295.2	Scd3/Scd2/Scd1/Scd4			FA_desaturase	
Nvec_vc1.1_XM_032379019.2	violet	0.711	Nvec_vc1.1_XM_032379019.2	Mbnl2/Mbnl1/Mbnl3				
Nvec_vc1.1_XM_048726404.1	violet	0.708	Nvec_vc1.1_XM_048726404.1				Avidin/Avidin	
Nvec_vc1.1_XM_032376708.2	violet	0.705	Nvec_vc1.1_XM_032376708.2	Golga1			GRIP	
Nvec_vc1.1_XM_001621645.3	violet	0.694	Nvec_vc1.1_XM_001621645.3				Avidin/Avidin	
Nvec_vc1.1_XM_001624724.3	violet	0.692	Nvec_vc1.1_XM_001624724.3	Tbcel			LRR_9	
Nvec_vc1.1_XM_032380117.2	violet	0.684	Nvec_vc1.1_XM_032380117.2				Ank_2/Ank_2/Ion_trans	
Nvec_v1g241354	violet	0.682	Nvec_v1g241354	Fbxo48			F-box-like	
Nvec_vc1.1_XM_032384181.2	violet	0.676	Nvec_vc1.1_XM_032384181.2					
Nvec_vc1.1_XM_001637877.3	violet	0.672	Nvec_vc1.1_XM_001637877.3	Tspan13/Tspan31			Tetraspanin	
Nvec_vc1.1_XM_001625346.3	violet	0.659	Nvec_vc1.1_XM_001625346.3	Hspa5			HSP70	
Nvec_vc1.1_XM_001637419.3	violet	0.651	Nvec_vc1.1_XM_001637419.3	Bicd2/Bicd1			BicD	
Nvec_vc1.1_XM_032371507.2	violet	0.647	Nvec_vc1.1_XM_032371507.2					
Nvec_vc1.1_XM_032374743.2	violet	0.638	Nvec_vc1.1_XM_032374743.2				PQ-loop/PQ-loop	
