gene	gene_name	common_name	og	pfam	tf_family	archetype_name	archetype_family	source	rank	gene_score_correlation	gene_expression_correlation	class	assigned	any_assigned	CisBP_assignment
Nvec_vc1.1_XM_032363992.2	Pou4f3/Pou4f1/Pou4f2	Pou4	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou/Homeodomain	Pou/Homeodomain	ARCH56_POU4F1	Pou/Homeodomain	Homer_denovo	1	0.780130251015265	0.435002147713788	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_032383693.2	""	""	Homeodomains.HG1.53:MNX1	Homeodomain	Homeodomains	ARCH1546_Meis3/Meis2/Meis1_...	Homeodomains	CisBP_I	50	0.507730574490271	0.272107759818765	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_032383948.2	Gbx1/Gbx2	""	Homeodomains.HG1.57:GBX1/GBX2	Homeodomain	Homeodomains	ARCH1437_	Homeodomains	CisBP_D	1	0.600467979857368	0.12391537374738	B1	FALSE	TRUE	other
Nvec_NVE23841	""	SoxB2/Sox3	HMGbox_Sox.HG1.34:SRY	HMG_box	HMGbox_Sox	ARCH1153_/Sox4/Sox11_Sox13/...	HMGbox_Sox	CisBP_I	24	0.402425578828733	0.31432714579421	B1	FALSE	TRUE	other
Nvec_NVE7697	Hopx	""	Homeodomains.HG2.24:like:LEUTX	Homeodomain	Homeodomains	ARCH1442_Dmbx1_Gsc2/Gsc//Ob...	Homeodomains	CisBP_I	663	0.0353544477413301	0.107649053426915	D1	TRUE	TRUE	assigned
Nvec_v1g19278	Klf13	Klf13	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2	ARCH861_Scrt2/Scrt1	zf-C2H2	CisBP_I	1	0.454163710897489	0.575623056059953	A1	FALSE	FALSE	none
Nvec_v1g210540	Ascl1/Ascl2	""	HLH.HG1.68:like:ASCL3/ASCL4/ASCL5	HLH	HLH	ARCH745_Tfap4	HLH	CisBP_I	19	0.501219790775855	0.425687296060061	A1	FALSE	FALSE	none
Nvec_v1g241767	""	""	bZIP.HG1.3:like:JUN/JUNB/JUND	Jun	bZIP	ARCH364_Creb3l2/Creb3l1_Cre...	bZIP	CisBP_I	445	0.15432539479594	0.40527290021293	C1	FALSE	TRUE	other
Nvec_v1g93844	""	""	zf-C4_Nuclear_receptors.HG1.13:NR4A1/NR4A2/NR4A3	zf-C4/Hormone_recep	zf-C4_Nuclear_receptors	ARCH1091_Nr2c1/Nr2c2_Nr2f1/...	zf-C4_Nuclear_receptors	CisBP_I	286	0.0413900664842072	-0.018472152807587	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001622271.3	""	IRF1-2c	IRF.HG1.1:IRF1/IRF2/IRF3/IRF4/IRF5/IRF6/IRF7/IRF8/IRF9	IRF	IRF	ARCH591_ISRE__IRF3__IRF8	IRF	Homer_known	1	0.435280678556722	0.725922047381186	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001623084.3	Six4/Six5	Six4/5	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain	Homeodomains	ARCH1503_Meis3/Meis2/Meis1_...	Homeodomains	CisBP_I	3	0.658580397395408	0.0926181935474147	B1	FALSE	TRUE	other
