seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	584223	584473	peak16	.	*	0.732670187235364	0.988947433586936	1
NC_064034.1	602408	602658	peak20	.	*	1.91676935158439	0.0271385236638002	0.175064747723566
NC_064034.1	623879	624129	peak24	.	*	-0.0827482711202308	0.510261134803288	0.740011095450443
NC_064034.1	625468	625718	peak25	.	*	-0.851469477061694	0.0588967475254593	0.262213607313992
NC_064034.1	638979	639229	peak31	.	*	0.423704682084034	0.111389709619124	0.367413580949104
NC_064034.1	673280	673530	peak38	.	*	0.534106328695054	0.105317302693851	0.350120582402598
NC_064034.1	699577	699827	peak41	.	*	0.0255746658242976	0.516496116864567	0.740011095450443
NC_064034.1	723656	723906	peak43	.	*	-0.276905348942744	0.422248753995973	0.644249014271899
NC_064034.1	724118	724368	peak44	.	*	-0.000630330310210233	0.298182038809709	0.526845136658601
NC_064034.1	748547	748797	peak52	.	*	0.032043470822467	0.587317935210568	0.763365841088186
NC_064034.1	815433	815683	peak66	.	*	-1.25443408279865	0.000137575736501774	0.00420443634578485
NC_064034.1	829007	829257	peak68	.	*	1.41822460223474	0.128495299145875	0.411150777749696
NC_064034.1	838822	839072	peak73	.	*	1.95087771405231	0.0639735187243594	0.283236181530315
NC_064034.1	847311	847561	peak79	.	*	-0.50036489800683	0.0783872238374596	0.310555714467308
NC_064034.1	851273	851523	peak82	.	*	1.29383609949587	0.0427910362731376	0.227961895662585
NC_064034.1	888261	888511	peak89	.	*	1.16722808217313	0.765575107326911	0.884780665686028
NC_064034.1	943046	943296	peak92	.	*	-0.0205164486197023	0.86871815229197	0.977942603952983
NC_064034.1	946155	946405	peak95	.	*	1.48761183976457	0.161921739277435	0.418730211840511
NC_064034.1	1037971	1038221	peak97	.	*	4.36210863536893	0.0187602145676484	0.142276046217121
NC_064034.1	1040104	1040354	peak98	.	*	1.92549465000722	0.3912651138196	0.62810218257048
NC_064034.1	1041058	1041308	peak99	.	*	3.78485792085634	1.72559617258436e-07	1.86207003274836e-05
NC_064034.1	1047644	1047894	peak108	.	*	6.65476170434572	0.000279298526045367	0.00714721297399872
NC_064034.1	1056054	1056304	peak109	.	*	6.72574715416221	0.00256857052357008	0.0357065863877869
NC_064034.1	1075227	1075477	peak118	.	*	1.8078179224948	0.102241648269655	0.343730241476617
NC_064034.1	1089899	1090149	peak120	.	*	-0.0838440957971942	0.392042791309032	0.629221316075302
NC_064034.1	1090110	1090359	peak121	.	*	-1.86314438442157	0.562146104073793	0.740011095450443
NC_064034.1	1090335	1090585	peak122	.	*	0.322341596937057	0.857402507859732	0.966814060396106
NC_064034.1	1207709	1207959	peak125	.	*	0.0858409364431813	0.739075142647561	0.864960771784522
NC_064034.1	1251667	1251917	peak131	.	*	-1.9334755283253	2.11415013862198e-05	0.000960076295987236
NC_064034.1	1252039	1252289	peak132	.	*	1.79604295061314	0.0101631402527721	0.0979588333703328
NC_064034.1	1252596	1252846	peak134	.	*	-1.70668198455674	0.00109821417315562	0.0204678701143738
NC_064034.1	1252859	1253109	peak135	.	*	0.17753686297501	0.765796789036932	0.884780665686028
NC_064034.1	1263074	1263324	peak137	.	*	4.8242824033538	0.00204549721587647	0.0324458854525046
NC_064034.1	1278623	1278873	peak142	.	*	-0.228261969466625	0.699738005011827	0.841810525502218
NC_064034.1	1299938	1300188	peak147	.	*	0.602494035297237	0.270393199556265	0.526845136658601
NC_064034.1	1304032	1304282	peak148	.	*	3.8196387707982	0.0194674435349271	0.142570458588496
NC_064034.1	1316628	1316878	peak151	.	*	6.12093392431957	0.00450141115813938	0.0532201102237121
NC_064034.1	1317744	1317994	peak152	.	*	0.0395460740703409	0.620312136122	0.799395746237576
NC_064034.1	1338532	1338782	peak157	.	*	0.0321473484160473	0.613108260984957	0.791483534795015
NC_064034.1	1354210	1354460	peak162	.	*	-0.196726503004165	0.998085021870543	1
NC_064034.1	1370113	1370363	peak167	.	*	0.127645864840247	0.131359922147419	0.411150777749696
NC_064034.1	1370282	1370531	peak168	.	*	-1.21334887544763	0.709585185323191	0.841810525502218
NC_064034.1	1385911	1386161	peak171	.	*	-0.416045307205915	0.868156799805013	0.97734388364225
NC_064034.1	1389775	1390025	peak172	.	*	-0.779420599997578	0.970535374744177	1
NC_064034.1	1413001	1413251	peak178	.	*	3.24977014811481	0.00146604976662901	0.0242339578458897
NC_064034.1	1414705	1414955	peak179	.	*	1.29210367104613	0.0694710215921699	0.302601538795004
NC_064034.1	1542665	1542915	peak210	.	*	0.173567140561022	0.501265424267764	0.734543572073065
NC_064034.1	1547469	1547719	peak211	.	*	-0.33626206316844	0.997460909123832	1
NC_064034.1	1582132	1582382	peak213	.	*	0.959148335710709	0.0662256498932072	0.291939232157308
NC_064034.1	1624762	1625012	peak228	.	*	4.46314044649154	0.000231717293739917	0.00631796749548641
NC_064034.1	1625206	1625456	peak229	.	*	1.28825507587862	2.92993735873305e-05	0.00125892301971606
NC_064034.1	1625688	1625938	peak230	.	*	8.91556006558099	8.48174625710144e-11	2.63834605550814e-08
NC_064034.1	1628124	1628374	peak232	.	*	2.90554968113339	0.000926288733214599	0.0175449360514198
NC_064034.1	1628471	1628721	peak233	.	*	4.10937535796795	0.00358383295650756	0.0479697851245182
