motif_name	source	TF_Name	cluster
M00115_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	588
M00115_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	588
M01659_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	841
M01659_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	841
M01659_2.00	CisBP_N	Nvec_vc1.1_XM_048724160.1	841
M01660_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	842
M01660_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	842
M01664_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	844
M01664_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	844
M01664_2.00	CisBP_N	Nvec_vc1.1_XM_048724160.1	844
M01667_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	844
M01667_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	844
M02651_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	933
M02651_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	933
M03590_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	1378
M03590_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	1378
M03590_2.00	CisBP_N	Nvec_vc1.1_XM_048724160.1	1378
M05899_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	2316
M05899_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	2316
M05899_2.00	CisBP_N	Nvec_vc1.1_XM_048724160.1	2316
M09768_2.00	CisBP_I	Nvec_vc1.1_XM_048722594.1	3077
M09768_2.00	CisBP_I	Nvec_vc1.1_XM_032362135.2	3077
M09768_2.00	CisBP_N	Nvec_vc1.1_XM_048724160.1	3077
M00116_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	589
M01657_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	840
M01661_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	843
M01663_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	843
M08707_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	2727
