seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	1041128	1041378	peak123	.	*	8.62885387523897	8.54356191056249e-09	1.70716143228284e-06
NC_064034.1	1263064	1263314	peak186	.	*	5.888541405881	1.12888263394189e-07	1.64422435683416e-05
NC_064034.1	1625224	1625474	peak334	.	*	7.86028708816537	1.8411344783584e-05	0.00120855066292532
NC_064034.1	1625722	1625972	peak335	.	*	7.20467307718545	9.48714817247115e-05	0.00436360688358923
NC_064034.1	1927250	1927500	peak436	.	*	5.79132121720696	7.95135375202293e-10	2.11261352765286e-07
NC_064034.1	1932635	1932885	peak439	.	*	9.05794248725858	5.72316104928999e-11	1.97677982642476e-08
NC_064034.1	1934013	1934263	peak440	.	*	7.85879864190758	5.49060874371138e-05	0.00285897928654961
NC_064034.1	1935323	1935573	peak443	.	*	3.78531499805482	1.13349545510619e-10	3.77142015324187e-08
NC_064034.1	1936336	1936586	peak446	.	*	7.92326726226183	2.07126264799198e-06	0.000193604336223519
NC_064034.1	2014540	2014790	peak469	.	*	1.44697522882444	0.00260871554154094	0.0486303194783168
NC_064034.1	2292493	2292743	peak632	.	*	3.4991974921441	4.69992671160488e-16	4.66992443971984e-13
NC_064034.1	2948716	2948966	peak873	.	*	7.42468748425595	0.000853499646702084	0.0227376521930015
NC_064034.1	2953756	2954006	peak876	.	*	3.76920834107454	0.00123390288913241	0.0310763583890035
NC_064034.1	3327311	3327561	peak1018	.	*	1.97925126782041	7.31369461179268e-05	0.00366868274530962
NC_064034.1	3487044	3487294	peak1087	.	*	1.82265605409188	1.49286971838707e-06	0.000149151256409762
NC_064034.1	3884152	3884402	peak1204	.	*	6.35911014589013	0.00258761721138276	0.0483488477100559
NC_064034.1	3904445	3904695	peak1214	.	*	2.38561183667203	0.000739338358551412	0.0212132786784684
NC_064034.1	4170980	4171230	peak1319	.	*	5.19134026002123	0.00120264776109968	0.030672592371169
NC_064034.1	4184393	4184643	peak1330	.	*	10.120429835833	1.61851807203378e-19	3.78702487371206e-16
NC_064034.1	4186364	4186614	peak1331	.	*	8.76297880522417	2.57487429149519e-08	4.58884353462683e-06
NC_064034.1	4187116	4187366	peak1332	.	*	2.71011112311736	0.00218764419691931	0.0462350662070524
NC_064034.1	4206373	4206623	peak1342	.	*	1.24444235264306	0.00202663808888292	0.0445590079233203
NC_064034.1	4568621	4568871	peak1494	.	*	7.85277692505225	0.000491833000146761	0.0151729630097401
NC_064034.1	4573218	4573468	peak1499	.	*	6.95547961735107	0.00148414516864829	0.0335779743177588
NC_064034.1	4573734	4573984	peak1500	.	*	7.47579555066778	0.000164032685464542	0.0066580657888385
NC_064034.1	4575654	4575904	peak1504	.	*	8.00862361661343	5.49060874371138e-05	0.00285897928654961
NC_064034.1	4711188	4711438	peak1559	.	*	2.8204463746925	3.19618305234155e-06	0.000286920719701166
NC_064034.1	4937536	4937786	peak1688	.	*	7.07305642596298	0.000491833000146761	0.0151729630097401
NC_064034.1	5127760	5128010	peak1751	.	*	5.03322209743397	9.27036448420225e-06	0.000704101170154058
NC_064034.1	5128106	5128356	peak1752	.	*	6.12982073175863	0.00148414516864829	0.0335779743177588
NC_064034.1	5129864	5130114	peak1755	.	*	1.46033638091633	0.000359887931087139	0.0124661467017548
NC_064034.1	6768576	6768826	peak2351	.	*	4.97753533056142	9.87420619839898e-16	8.9526959049334e-13
NC_064034.1	6823574	6823824	peak2379	.	*	8.32280114365787	4.01233939363805e-07	4.77884130507371e-05
NC_064034.1	6825048	6825298	peak2381	.	*	5.6487011528792	4.56432804139943e-05	0.00257041125896635
NC_064034.1	6846491	6846741	peak2395	.	*	7.43715590223575	0.000491833000146761	0.0151729630097401
NC_064034.1	6846953	6847203	peak2396	.	*	6.33357441230361	0.000491833000146761	0.0151729630097401
NC_064034.1	7055695	7055945	peak2444	.	*	6.17912742281197	0.000853499646702084	0.0227376521930015
NC_064034.1	7591414	7591664	peak2642	.	*	7.77752391940427	6.17677448995672e-06	0.000485402124436101
NC_064034.1	7642323	7642573	peak2651	.	*	6.94224427495693	0.00148414516864829	0.0335779743177588
NC_064034.1	8110125	8110375	peak2861	.	*	8.39339654492996	6.93732468170254e-07	7.70584852163265e-05
NC_064034.1	8203541	8203791	peak2897	.	*	7.33593404592722	0.00148414516864829	0.0335779743177588
NC_064034.1	8204024	8204274	peak2898	.	*	6.21642333826877	0.0020790830918887	0.0454914669644207
NC_064034.1	8210401	8210651	peak2904	.	*	2.94125931640213	0.000551928972083051	0.016645994204188
NC_064034.1	8339280	8339530	peak2974	.	*	5.2041667374782	0.0004066920487213	0.0139673300482721
NC_064034.1	8756900	8757150	peak3097	.	*	5.19226874634305	0.000705215405026486	0.0206842273304453
NC_064034.1	8801053	8801303	peak3143	.	*	4.05553996887042	3.15384666321412e-07	3.96466401853679e-05
NC_064034.1	9189390	9189640	peak3273	.	*	6.65128109226251	0.000853499646702084	0.0227376521930015
NC_064034.1	9209613	9209863	peak3285	.	*	8.48025368805023	3.57721746666222e-06	0.000309999870641431
NC_064034.1	9210230	9210480	peak3287	.	*	7.58780145375281	5.93382528379417e-14	3.90698121367735e-11
NC_064034.1	9211702	9211952	peak3290	.	*	2.21928881949386	1.10618620741937e-05	0.000792846940404711
