seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	583102	583352	peak15	.	*	0.995144415511357	0.222815172127614	0.642275659479783
NC_064034.1	584223	584473	peak16	.	*	0.321111926970677	0.0602656286967384	0.47009845872661
NC_064034.1	603432	603681	peak21	.	*	-1.23619991024349	0.318533445635084	0.642275659479783
NC_064034.1	603636	603886	peak22	.	*	1.247888223367	0.399691022238181	0.742317369977949
NC_064034.1	604738	604988	peak23	.	*	0.612858258498869	0.250137810233779	0.642275659479783
NC_064034.1	623879	624129	peak24	.	*	0.546598524836033	0.408738648525238	0.742317369977949
NC_064034.1	625468	625718	peak25	.	*	0.513692763782065	0.471903906517241	0.80519021860057
NC_064034.1	634008	634258	peak29	.	*	0.476149569940251	0.995672420152906	1
NC_064034.1	634612	634862	peak30	.	*	-2.68661501446007	0.0544817937368863	0.460046074193121
NC_064034.1	638979	639229	peak31	.	*	0.463340483864952	0.210925081156161	0.638460274228588
NC_064034.1	652283	652533	peak34	.	*	1.21215767966474	0.220949960855315	0.642275659479783
NC_064034.1	673280	673530	peak38	.	*	0.00917685015639724	0.571446814561126	0.822847696013132
NC_064034.1	693116	693366	peak40	.	*	-0.0954629629768836	0.88303841176187	1
NC_064034.1	699577	699827	peak41	.	*	0.530351166647562	0.102379247856354	0.524494966260635
NC_064034.1	723656	723906	peak43	.	*	0.0993920556325821	0.595404720840591	0.8471802657884
NC_064034.1	724118	724368	peak44	.	*	1.85803631367066	2.57785914213192e-09	4.44654262436811e-06
NC_064034.1	724877	725127	peak45	.	*	2.39299812923841	0.00186629525638263	0.107827842084996
NC_064034.1	737049	737299	peak47	.	*	1.18299218808191	0.212246042983113	0.641708025056942
NC_064034.1	747460	747710	peak49	.	*	0.612983037078835	0.00229083753170487	0.123143135736434
NC_064034.1	747691	747940	peak50	.	*	-2.88046679657154	0.473520264503316	0.80519021860057
NC_064034.1	748547	748797	peak52	.	*	-0.440121009383934	0.0668252934714842	0.499740352084775
NC_064034.1	766533	766783	peak54	.	*	-0.144454169320707	0.793297437794635	0.937724687012527
NC_064034.1	766691	766940	peak55	.	*	-0.452780449368188	0.867784360425801	0.994052407965877
NC_064034.1	778974	779224	peak59	.	*	2.0353908562353	0.0239100566251174	0.356388511588112
NC_064034.1	801853	802103	peak63	.	*	1.60478281450662	0.128626064433011	0.572197221995653
NC_064034.1	815122	815372	peak65	.	*	1.0193002868271	0.824214355100386	0.959185604739349
NC_064034.1	815433	815683	peak66	.	*	0.116492812936874	0.99254362874163	1
NC_064034.1	845564	845814	peak76	.	*	1.0211536226127	0.12335648774263	0.572197221995653
NC_064034.1	846691	846941	peak78	.	*	2.00683061975072	0.0472137743629149	0.440882539584626
NC_064034.1	847311	847561	peak79	.	*	0.204837792732262	0.894274517983119	1
NC_064034.1	851273	851523	peak82	.	*	0.0691443963651676	0.751007891554117	0.915203287430473
NC_064034.1	865349	865599	peak86	.	*	1.13431772126121	0.157047258979255	0.572197221995653
NC_064034.1	943046	943296	peak92	.	*	-0.353726273261456	0.541210779814427	0.818171125882673
NC_064034.1	1044046	1044296	peak103	.	*	1.22788551810492	0.104205940229869	0.529859244535413
NC_064034.1	1045025	1045275	peak104	.	*	3.55967130674558	0.00214083161390499	0.118923107761356
NC_064034.1	1089899	1090149	peak120	.	*	0.360486084164136	0.456321455274531	0.793870932833977
NC_064034.1	1090110	1090359	peak121	.	*	-0.540751067298508	0.99919446287118	1
NC_064034.1	1090335	1090585	peak122	.	*	1.14612459037831	0.000358548672741107	0.0375699809407585
NC_064034.1	1090829	1091079	peak123	.	*	2.09553176610136	0.0192958331850145	0.342496622592949
NC_064034.1	1207709	1207959	peak125	.	*	0.722270038365487	0.209735120923571	0.635461935300965
NC_064034.1	1251667	1251917	peak131	.	*	0.0283985834102767	0.999450626546239	1
NC_064034.1	1252039	1252289	peak132	.	*	-1.01597572665595	0.245917989598102	0.642275659479783
NC_064034.1	1252297	1252547	peak133	.	*	-0.0958232945333891	0.618811730927707	0.866731475924868
NC_064034.1	1252596	1252846	peak134	.	*	0.561516251258004	0.424201585205152	0.752424849399773
NC_064034.1	1252859	1253109	peak135	.	*	-1.24995132512512	0.0839912630269082	0.502640001341797
NC_064034.1	1278623	1278873	peak142	.	*	-0.724959856460922	0.589789661490013	0.842497617864537
NC_064034.1	1279037	1279287	peak143	.	*	1.61515484612151	0.0368980586388549	0.424910961903152
NC_064034.1	1293463	1293713	peak146	.	*	0.527677086973012	0.799594783540039	0.942056476295526
NC_064034.1	1299938	1300188	peak147	.	*	1.12938258747907	0.134475069602975	0.572197221995653
NC_064034.1	1315015	1315265	peak150	.	*	1.70658467461014	0.330078843012313	0.660108622637532
NC_064034.1	1317744	1317994	peak152	.	*	-0.118368480763347	0.809699180677383	0.948991647356973
NC_064034.1	1331660	1331909	peak154	.	*	2.26849557519749	0.318287179824427	0.642275659479783
NC_064034.1	1331897	1332147	peak155	.	*	3.52040779729987	0.00372573626555975	0.15822117087139
NC_064034.1	1338532	1338782	peak157	.	*	-1.02137334472932	0.033113963361717	0.402366953306091
NC_064034.1	1351963	1352213	peak161	.	*	0.0896681204281071	0.283344587218771	0.642275659479783
NC_064034.1	1354210	1354460	peak162	.	*	0.225166077907621	0.668684489412534	0.87706389528267
NC_064034.1	1385911	1386161	peak171	.	*	0.0861229504929924	0.840438719797765	0.972080141667361
NC_064034.1	1389775	1390025	peak172	.	*	0.639554567044017	0.49616286963517	0.818171125882673
NC_064034.1	1411530	1411780	peak177	.	*	1.20142977048652	0.221322104758789	0.642275659479783
NC_064034.1	1462106	1462356	peak191	.	*	0.14977815303254	0.864255773426436	0.990921576662781
NC_064034.1	1495356	1495606	peak197	.	*	1.4517094214828	0.00020433763826395	0.0257415679094647
NC_064034.1	1496613	1496863	peak198	.	*	1.24743938169386	0.0153136553190356	0.307879529876523
NC_064034.1	1542665	1542915	peak210	.	*	0.128105761214338	0.638362431570718	0.866731475924868
NC_064034.1	1547469	1547719	peak211	.	*	0.901369081022748	0.101014319742551	0.524494966260635
NC_064034.1	1582132	1582382	peak213	.	*	-0.364478245122179	0.278964912088123	0.642275659479783
NC_064034.1	1583642	1583892	peak215	.	*	-0.059308282739099	0.601366198012376	0.852834170793025
NC_064034.1	1583944	1584194	peak216	.	*	0.369276032848945	0.128747412614804	0.572197221995653
NC_064034.1	1625206	1625456	peak229	.	*	0.34060467402279	0.994176084808043	1
NC_064034.1	1660524	1660774	peak245	.	*	1.1049763650031	0.193725442295033	0.613477579844146
NC_064034.1	1672338	1672588	peak256	.	*	-0.489109423251462	0.11092088749134	0.549102878977847
NC_064034.1	1674782	1675032	peak258	.	*	0.252630414365046	0.52086801803625	0.818171125882673
NC_064034.1	1691613	1691863	peak263	.	*	-0.289662029920442	0.956692012800902	1
NC_064034.1	1701518	1701768	peak265	.	*	1.30122456425969	0.603023682465158	0.854380921295569
NC_064034.1	1712343	1712593	peak267	.	*	-0.980333849184656	0.38682577876573	0.738133458993289
NC_064034.1	1713037	1713287	peak268	.	*	0.726278793831091	0.334973547538558	0.668307892415515
