gene	og	name	ID_JGI_Vienna
Nvec_vc1.1_XM_032373845.2	sig.GPCRrhod.HG4.2:like:Gpr50/Mtnr1a/Mtnr1b		Nvec_NVE10184
Nvec_vc1.1_XM_048732434.1	sig.Pkinase.HG12.1:Ryk	Ryk	Nvec_NVE10273
Nvec_vc1.1_XM_048732434.1	sig.Pkinase.HG12.1:Ryk	Ryk	Nvec_NVE10274
Nvec_vc1.1_XM_048734357.1	sig.GPCRsecr.HG1.11:like:Adgrd1		Nvec_NVE10940
Nvec_vc1.1_XM_032373236.2	sig.RGS.HG1.7:Arhgef11	Arhgef11	Nvec_NVE11118
Nvec_vc1.1_XM_048719766.1	sig.Pkinase.HG34.6:Map2k3/Map2k4/Map2k6	Map2k4	Nvec_NVE11180
Nvec_vc1.1_XM_032373084.2	sig.FGF.HG1.2:Fgf1/Fgf2	Fgf1/Fgf2	Nvec_NVE11442
Nvec_NVE1145	Nvec_NVE1145:HG.Unclassified	""	Nvec_NVE1145
Nvec_vc1.1_XM_032373047.2	sig.GPCRglut.HG1.2:Grm1/Grm2/Grm3/Grm4/Grm5/Grm6/Grm7/Grm8		Nvec_NVE11505
Nvec_vc1.1_XM_032385059.2	sig.Pkinase.HG26.12:like:Syk/Zap70		Nvec_NVE11695
Nvec_vc1.1_XM_032362284.2	sig.GPCRrhod.HG6.5:NA		Nvec_NVE11773
Nvec_vc1.1_XM_032372773.2	sig.GPCRrhod.HG11.1:NA		Nvec_NVE11965
Nvec_vc1.1_XM_032372667.2	sig.Patched.HG1.2:Disp3	Disp3	Nvec_NVE12205
Nvec_vc1.1_XM_048723267.1	sig.Pkinase.HG22.5:Cdc42bpa/Cdc42bpb/Cdc42bpg/Dmpk	Cdc42bpa/Cdc42bpb/Cdc42bpg/Dmpk	Nvec_NVE12339
Nvec_vc1.1_XM_048723267.1	sig.Pkinase.HG22.5:Cdc42bpa/Cdc42bpb/Cdc42bpg/Dmpk	Cdc42bpa/Cdc42bpb/Cdc42bpg/Dmpk	Nvec_NVE12340
Nvec_vc1.1_XM_048721139.1	sig.DSL.HG1.5:like:Dll1/Dll4/Jag1/Jag2		Nvec_NVE12403
Nvec_vc1.1_XM_048725555.1	sig.GPCRrhod.HG53.1:NA		Nvec_NVE12671
Nvec_vc1.1_XM_032372257.2	sig.Pkinase.HG2.12:like:Hunk/Nim1k		Nvec_NVE12763
Nvec_vc1.1_XM_032366869.2	sig.GPCRrhod.HG30.16:NA		Nvec_NVE12829
Nvec_vc1.1_XM_048731162.1	sig.GPCRsecr.HG3.0:NA		Nvec_NVE13271
Nvec_vc1.1_XM_032372059.2	sig.Frizzled.HG1.31:like:Gpr157		Nvec_NVE13392
Nvec_vc1.1_XM_048732198.1	sig.Frizzled.HG1.31:like:Gpr157		Nvec_NVE13394
Nvec_vc1.1_XM_032372056.2	sig.Frizzled.HG1.31:like:Gpr157		Nvec_NVE13395
Nvec_vc1.1_XM_048727926.1	Nvec_NVE13490:HG.Unclassified	""	Nvec_NVE13490
Nvec_vc1.1_XM_032386739.2	sig.RGS.HG1.2:like:Arhgef11		Nvec_NVE14861
Nvec_NVE14898	sig.GPCRrhod.HG2.12:Gpr176	Gpr176	Nvec_NVE14898
Nvec_vc1.1_XM_048724176.1	sig.Pkinase.HG40.1:Eif2ak4	Eif2ak4	Nvec_NVE14899
Nvec_vc1.1_XM_032386716.2	sig.FGF.HG1.2:Fgf1/Fgf2	Fgf1/Fgf2	Nvec_NVE14920
Nvec_vc1.1_XM_048723276.1	sig.GPCRrhod.HG53.0:NA		Nvec_NVE14925
Nvec_vc1.1_XM_032379650.2	Nvec_NVE1501:HG.Unclassified	""	Nvec_NVE1501
Nvec_vc1.1_XM_032386339.2	sig.GPCRrhod.HG18.13:NA		Nvec_NVE15784
Nvec_NVE15819	sig.GPCRrhod.HG4.2:like:Gpr50/Mtnr1a/Mtnr1b		Nvec_NVE15819
Nvec_vc1.1_XM_032366708.2	sig.GPCRrhod.HG30.18:NA		Nvec_NVE16529
Nvec_vc1.1_XM_048719697.1	sig.Pkinase.HG25.7:Map3k2/Map3k3		Nvec_NVE16736
Nvec_NVE17158	sig.GPCRrhod.HG4.35:like:Gpr50/Mtnr1a/Mtnr1b		Nvec_NVE17158
Nvec_vc1.1_XM_048729187.1	sig.GPCRrhod.HG12.16:NA		Nvec_NVE17464
Nvec_vc1.1_XM_032370184.2	sig.GPCRrhod.HG11.1:NA		Nvec_NVE17557
Nvec_vc1.1_XM_032385445.2	Nvec_NVE17584:HG.Unclassified	""	Nvec_NVE17584
Nvec_vc1.1_XM_048720080.1	sig.Pkinase.HG20.14:like:Gucy2c/Npr1/Npr2		Nvec_NVE17792
Nvec_vc1.1_XM_048721325.1	sig.Pkinase.HG41.0:NA		Nvec_NVE17967
Nvec_vc1.1_XM_032370027.2	sig.Pkinase.HG3.11:Cdk8/Cdk19	Cdk19/Cdk8	Nvec_NVE18137
Nvec_vc1.1_XM_048721807.1	sig.DSL.HG1.8:like:Dll1/Dll4/Jag1/Jag2		Nvec_NVE18138
Nvec_vc1.1_XM_032385059.2	sig.Pkinase.HG26.12:like:Syk/Zap70		Nvec_NVE18332
Nvec_vc1.1_XM_032385016.2	sig.GPCRsecr.HG1.14:like:Adgra1/Adgra2/Adgra3/Adgrv1		Nvec_NVE18530
Nvec_vc1.1_XM_048730932.1	sig.GPCRrhod.HG53.2:NA		Nvec_NVE18731
Nvec_vc1.1_XM_048720414.1	sig.GPCRrhod.HG4.31:like:Gpr50/Mtnr1a/Mtnr1b		Nvec_NVE19131
Nvec_vc1.1_XM_032366332.2	sig.GPCRrhod.HG18.11:NA		Nvec_NVE19133
Nvec_vc1.1_XM_048732434.1	sig.Pkinase.HG12.1:Ryk	Ryk	Nvec_NVE19317
Nvec_vc1.1_XM_048724403.1	sig.GPCRglut.HG2.13:Gabbr1/Gabbr2		Nvec_NVE19779
Nvec_NVE19806	sig.GPCRrhod.HG12.3:NA		Nvec_NVE19806
Nvec_vc1.1_XM_048723815.1	sig.GPCRrhod.HG24.4:NA		Nvec_NVE19835
Nvec_vc1.1_XM_048734688.1	sig.Patched.HG1.10:Npc1/Npc1l1	Npc1/Npc1l1	Nvec_NVE19972
Nvec_vc1.1_XM_048734496.1	sig.Pkinase.HG36.10:like:Mylk/Mylk2/Mylk3/Mylk4/Obscn/Speg/Ttn		Nvec_NVE19990
Nvec_vc1.1_XM_001632017.3	Nvec_NVE20425:HG.Unclassified	""	Nvec_NVE20425
Nvec_NVE20427	sig.GPCRrhod.HG53.2:NA		Nvec_NVE20427
Nvec_vc1.1_XM_048719697.1	sig.Pkinase.HG25.7:Map3k2/Map3k3		Nvec_NVE20433
Nvec_vc1.1_XM_032366049.2	sig.Pkinase.HG2.25:like:Camkk1/Camkk2/Chek1/Pask/Pim1/Pim2/Pim3/Sbk1/Sbk2/Sbk3/Stk11		Nvec_NVE21032
Nvec_vc1.1_XM_032383602.2	sig.Pkinase.HG28.4:NA		Nvec_NVE21314
Nvec_vc1.1_XM_048720830.1	sig.GPCRrhod.HG18.6:NA		Nvec_NVE21660
Nvec_vc1.1_XM_032383223.2	Nvec_NVE21845:HG.Unclassified	""	Nvec_NVE21845
Nvec_vc1.1_XM_032383016.2	sig.GPCRrhod.HG12.49:NA		Nvec_NVE22161
Nvec_NVE22267	sig.GPCRrhod.HG6.0:NA		Nvec_NVE22267
Nvec_vc1.1_XM_048723150.1	sig.GPCRrhod.HG12.11:NA		Nvec_NVE2289
Nvec_vc1.1_XM_032382370.2	sig.GPCRrhod.HG18.0:NA		Nvec_NVE23342
Nvec_vc1.1_XM_032382181.2	sig.GPCRrhod.HG55.0:NA		Nvec_NVE23547
Nvec_vc1.1_XM_048726526.1	sig.TIR.HG2.4:like:Sarm1		Nvec_NVE23933
Nvec_vc1.1_XM_032381907.2	sig.FGF.HG1.2:Fgf1/Fgf2	Fgf1/Fgf2	Nvec_NVE24177
Nvec_vc1.1_XM_048729427.1	sig.Frizzled.HG1.27:Ror1/Ror2		Nvec_NVE24258
Nvec_vc1.1_XM_048725014.1	sig.GPCRrhod.HG18.14:NA		Nvec_NVE24538
Nvec_vc1.1_XM_032381481.2	sig.GPCRrhod.HG19.5:NA		Nvec_NVE24824
Nvec_vc1.1_XM_032381416.2	sig.Activin_recp.HG1.1:Acvr1/Acvr2a/Acvr2b/Bmpr2	Acvr2a/Acvr2b	Nvec_NVE24908
Nvec_vc1.1_XM_032381347.2	sig.Notch.HG1.5:Gnptab	Gnptab	Nvec_NVE24943
Nvec_vc1.1_XM_032380896.2	sig.GPCRrhod.HG2.0:Brs3/Cckar/Cckbr/Ghsr/Gpr37/Gpr37l1/Gpr39/Grpr/Hcrtr1/Hcrtr2/Nmur1/Ntsr1/Ntsr2/Trhr2		Nvec_NVE25663
Nvec_vc1.1_XM_032380789.2	sig.GPCRrhod.HG6.15:NA		Nvec_NVE25785
Nvec_vc1.1_XM_048734678.1	sig.Frizzled.HG1.26:like:Musk/Ror1/Ror2		Nvec_NVE25876
Nvec_vc1.1_XM_032380422.2	sig.GPCRrhod.HG30.14:NA		Nvec_NVE26217
Nvec_vc1.1_XM_032378440.2	sig.GPCRrhod.HG4.13:like:Gpr50/Mtnr1a/Mtnr1b		Nvec_NVE2810
Nvec_vc1.1_XM_048733666.1	sig.wnt.HG1.2:Wnt8a/Wnt8b	Wnt8a/Wnt8b	Nvec_NVE2844
Nvec_vc1.1_XM_048733666.1	sig.wnt.HG1.2:Wnt8a/Wnt8b	Wnt8a/Wnt8b	Nvec_NVE2849
Nvec_vc1.1_XM_032378469.2	sig.wnt.HG1.2:Wnt8a/Wnt8b	Wnt8a/Wnt8b	Nvec_NVE2850
Nvec_vc1.1_XM_032364424.2	sig.Pkinase.HG5.10:like:Fer/Fes		Nvec_NVE3082
Nvec_vc1.1_XM_032378396.2	sig.Frizzled.HG1.31:like:Gpr157		Nvec_NVE3147
Nvec_vc1.1_XM_032378310.2	sig.GPCRrhod.HG6.5:NA		Nvec_NVE3269
Nvec_vc1.1_XM_048726086.1	sig.Pkinase.HG17.5:Gm42878/Mapkapk5	Gm42878/Mapkapk5	Nvec_NVE3314
Nvec_vc1.1_XM_048720126.1	sig.Fringe.HG1.6:Lfng/Mfng/Rfng	Lfng/Mfng/Rfng	Nvec_NVE372
Nvec_vc1.1_XM_048724156.1	sig.Pkinase.HG1.23:like:Styk1		Nvec_NVE4216
Nvec_vc1.1_XM_048724156.1	sig.Pkinase.HG1.23:like:Styk1		Nvec_NVE4218
Nvec_vc1.1_XM_032364226.2	sig.GPCRrhod.HG19.7:NA		Nvec_NVE4707
Nvec_vc1.1_XM_032377056.2	sig.GPCRsecr.HG3.0:NA		Nvec_NVE5057
Nvec_vc1.1_XM_032377026.2	Nvec_NVE5152:HG.Unclassified	""	Nvec_NVE5152
Nvec_vc1.1_XM_048726936.1	sig.Pkinase.HG5.24:like:Frk		Nvec_NVE543
Nvec_vc1.1_XM_032380328.2	sig.Pkinase.HG5.26:like:Frk		Nvec_NVE545
Nvec_vc1.1_XM_032380299.2	sig.Pkinase.HG5.23:Blk/Fgr/Fyn/Hck/Lck/Lyn/Src/Yes1	Blk/Fgr/Fyn/Hck/Lck/Lyn/Src/Yes1	Nvec_NVE546
Nvec_vc1.1_XM_032363983.2	Nvec_NVE5462:HG.Unclassified	""	Nvec_NVE5462
Nvec_vc1.1_XM_048729646.1	sig.Pkinase.HG8.5:like:Aatk/Lmtk2/Lmtk3		Nvec_NVE6170
Nvec_vc1.1_XM_048729646.1	sig.Pkinase.HG1.12:like:Csf1r/Fgfr1/Fgfr2/Fgfr3/Fgfr4/Flt1/Flt3/Flt4/Kdr/Kit/Pdgfra/Pdgfrb/Ret		Nvec_NVE6171
Nvec_vc1.1_XM_048732210.1	sig.Pkinase.HG1.14:like:Styk1		Nvec_NVE619
Nvec_vc1.1_XM_048732210.1	sig.Pkinase.HG1.14:like:Styk1		Nvec_NVE620
Nvec_vc1.1_XM_048730035.1	sig.Pkinase.HG35.6:Prkaca/Prkacb	Prkaca/Prkacb	Nvec_NVE6335
Nvec_vc1.1_XM_048730641.1	sig.Patched.HG1.5:Disp1	Disp1	Nvec_NVE6933
Nvec_vc1.1_XM_048730641.1	sig.Patched.HG1.5:Disp1	Disp1	Nvec_NVE6934
Nvec_vc1.1_XM_032375533.2	Nvec_NVE7261:HG.Unclassified	""	Nvec_NVE7261
Nvec_vc1.1_XM_032375519.2	sig.GPCRglut.HG2.0:Gpr158/Gpr179	Gpr158/Gpr179	Nvec_NVE7315
Nvec_vc1.1_XM_032375520.2	sig.GPCRglut.HG2.0:Gpr158/Gpr179	Gpr158/Gpr179	Nvec_NVE7316
Nvec_vc1.1_XM_048729712.1	sig.GPCRrhod.HG24.13:NA		Nvec_NVE7386
Nvec_vc1.1_XM_048724537.1	sig.Pkinase.HG7.23:like:Nek1/Nek3/Nek5		Nvec_NVE7390
Nvec_vc1.1_XM_032375322.2	sig.Pkinase.HG8.4:Alk/Igf1r/Insr/Insrr/Ltk/Ros1		Nvec_NVE7661
Nvec_vc1.1_XM_032380078.2	sig.GPCRrhod.HG53.2:NA		Nvec_NVE787
Nvec_vc1.1_XM_032367326.2	sig.Pkinase.HG13.1:Ilk	Ilk	Nvec_NVE8040
Nvec_vc1.1_XM_032367375.2	sig.GPCRrhod.HG6.12:NA		Nvec_NVE8240
Nvec_vc1.1_XM_001638660.3	sig.Pkinase.HG2.27:Hunk	Hunk	Nvec_NVE8711
Nvec_vc1.1_XM_032374710.2	sig.Pkinase.HG9.4:Prkcd/Prkcq	Prkcd/Prkcq	Nvec_NVE8740
Nvec_vc1.1_XM_048725163.1	sig.Pkinase.HG4.6:Epha1/Epha2/Epha3/Epha4/Epha5/Epha6/Epha7/Epha8/Epha10/Ephb1/Ephb2/Ephb3/Ephb4/Ephb6	Epha1/Epha10/Epha2/Epha3/Epha4/Epha5/Epha6/Epha7/Epha8/Ephb1/Ephb2/Ephb3/Ephb4/Ephb6	Nvec_NVE9063
Nvec_vc1.1_XM_032374205.2	sig.Notch.HG1.3:Notch1/Notch2/Notch3/Notch4	Notch1/Notch2/Notch3/Notch4	Nvec_NVE9611
Nvec_vc1.1_XM_048723155.1	sig.GPCRrhod.HG11.1:NA		Nvec_NVE9711
Nvec_vc1.1_XM_048724422.1	sig.Pkinase.HG20.11:Gucy2g	Gucy2g	Nvec_NVE9841
Nvec_vc1.1_XM_048723613.1	sig.Pkinase.HG20.11:Gucy2g	Gucy2g	Nvec_NVE9841
Nvec_vc1.1_XM_032384286.2	sig.Pkinase.HG22.10:Stk38/Stk38l	Stk38/Stk38l	Nvec_v1g100066
Nvec_vc1.1_XM_032384290.2	sig.Pkinase.HG47.0:Scyl2	Scyl2	Nvec_v1g100135
Nvec_vc1.1_XM_032379382.2	sig.wnt.HG1.1:Wnt9a/Wnt9b	Wnt9a/Wnt9b	Nvec_v1g100329
Nvec_vc1.1_XM_032384029.2	sig.GPCRrhod.HG11.1:NA		Nvec_v1g100385
Nvec_vc1.1_XM_048731865.1	sig.GPCRrhod.HG11.1:NA		Nvec_v1g100423
Nvec_vc1.1_XM_032384020.2	sig.GPCRrhod.HG11.1:NA		Nvec_v1g100433
Nvec_vc1.1_XM_032383922.2	sig.Pkinase.HG11.1:Dclk1/Dclk2/Dclk3	Dclk3	Nvec_v1g100779
Nvec_vc1.1_XM_032383922.2	sig.Pkinase.HG11.1:Dclk1/Dclk2/Dclk3	Dclk3	Nvec_v1g100834
