seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	1692465	1692715	peak374	.	*	7.48607912484741	0.000850128899137835	0.0374276400372228
NC_064034.1	1692778	1693028	peak375	.	*	3.2106571145355	9.8079144067016e-08	3.43788517473949e-05
NC_064034.1	2047967	2048217	peak481	.	*	4.37203131460946	5.73661331474607e-05	0.00540873300933053
NC_064034.1	2048234	2048484	peak482	.	*	5.34027545523071	3.74792311627686e-08	1.52538388652959e-05
NC_064034.1	2103901	2104151	peak512	.	*	1.81477080366287	0.000410079599466425	0.023643730322624
NC_064034.1	2176575	2176825	peak554	.	*	2.768222027139	3.99941139446684e-14	1.33178581521476e-10
NC_064034.1	2205374	2205624	peak596	.	*	3.32877052632934	0.000318499691779714	0.0191097206552744
NC_064034.1	2990021	2990271	peak887	.	*	8.7499647020344	1.17706411460622e-06	0.000255119940745376
NC_064034.1	2990552	2990802	peak888	.	*	6.80368014938594	0.000489497594753971	0.025396674429236
NC_064034.1	2994399	2994649	peak892	.	*	5.02763130011415	0.000275927696514597	0.0173918876611094
NC_064034.1	3166125	3166375	peak946	.	*	1.31130429040929	0.00033560938326172	0.0198758349299679
NC_064034.1	3590496	3590746	peak1122	.	*	3.10313115562609	5.94186246193096e-14	1.78239746288847e-10
NC_064034.1	3591945	3592195	peak1125	.	*	7.53895184598588	0.000282271863239453	0.0173918876611094
NC_064034.1	3635576	3635826	peak1134	.	*	4.86878557141413	0.000414635968188888	0.0237496609801014
NC_064034.1	3709780	3710030	peak1150	.	*	1.40161554071783	0.000914210821731781	0.0393502764919204
NC_064034.1	4136910	4137160	peak1297	.	*	2.77982812056505	6.94112711781728e-05	0.00637218084616762
NC_064034.1	4323371	4323621	peak1382	.	*	5.06655466807405	0.000134782388850788	0.0102854406508541
NC_064034.1	4323998	4324248	peak1383	.	*	7.0021208887143	0.000850128899137835	0.0374276400372228
NC_064034.1	4325478	4325728	peak1385	.	*	5.67016781161491	5.65335466847716e-07	0.000143805246409017
NC_064034.1	4326149	4326399	peak1386	.	*	3.6556698509264	3.63557523532441e-07	9.90106342619445e-05
NC_064034.1	4326984	4327234	peak1387	.	*	7.484269350807	0.000162956978082201	0.011703985546396
NC_064034.1	4330259	4330509	peak1390	.	*	4.34338495987779	1.60133279340999e-05	0.00201794175611241
NC_064034.1	4330554	4330804	peak1391	.	*	4.52341910382014	1.60133490190547e-05	0.00201794175611241
NC_064034.1	4430517	4430767	peak1438	.	*	2.93514711463151	0.000480764987515184	0.025396674429236
NC_064034.1	4432150	4432400	peak1440	.	*	1.8573316203401	2.85090741772471e-05	0.00316446403810749
NC_064034.1	4870081	4870331	peak1645	.	*	1.94054566728312	3.18255537359692e-07	9.01699594328593e-05
NC_064034.1	5369116	5369366	peak1839	.	*	7.97686542658897	0.000489497594753971	0.025396674429236
NC_064034.1	5426858	5427108	peak1865	.	*	1.85550056867802	0.000362132533412635	0.021223573812221
NC_064034.1	5524160	5524410	peak1913	.	*	1.91085710884891	0.000774738022019926	0.0364993779775934
NC_064034.1	5755809	5756059	peak1997	.	*	5.2805664820995	1.77517074198988e-06	0.000364277964670691
NC_064034.1	5830666	5830916	peak2029	.	*	2.96392006742228	9.61908372962716e-11	1.00460734222603e-07
NC_064034.1	5831726	5831976	peak2030	.	*	1.7613904565911	6.56438513218287e-10	4.80900290398585e-07
NC_064034.1	6327343	6327593	peak2157	.	*	1.17484432436681	0.000104280056349416	0.00842277028456654
NC_064034.1	6412409	6412659	peak2178	.	*	1.38900910159313	0.000872732660103198	0.0380568583014882
NC_064034.1	6485550	6485800	peak2209	.	*	1.81320305922461	0.00109695876894177	0.0463182146708386
NC_064034.1	6496735	6496985	peak2218	.	*	2.05937948682128	0.000561532410150339	0.0279845597518393
NC_064034.1	7056844	7057094	peak2446	.	*	3.50126144188472	1.4070039174967e-08	6.52377848049942e-06
NC_064034.1	7067190	7067440	peak2459	.	*	2.08234535502845	2.31315235552895e-05	0.00274650289163202
NC_064034.1	7068372	7068622	peak2463	.	*	3.06089879974145	0.000530002643453457	0.0267222736798051
NC_064034.1	7069451	7069701	peak2466	.	*	2.59832996393713	8.33830078965154e-09	4.18394231198001e-06
NC_064034.1	7071195	7071445	peak2470	.	*	2.89087997625929	0.000122366496902216	0.00949623643703331
NC_064034.1	7876014	7876264	peak2730	.	*	5.13229500886696	4.58783671678553e-05	0.00460411411006837
NC_064034.1	7877048	7877298	peak2731	.	*	4.5070928553103	1.28492225205752e-06	0.000275240114805504
NC_064034.1	8041730	8041980	peak2825	.	*	1.46051846223304	0.000208942901690138	0.0141862354355123
NC_064034.1	8042037	8042287	peak2826	.	*	3.25441692094581	3.32998359905888e-09	1.90586928502699e-06
NC_064034.1	8763342	8763592	peak3103	.	*	2.94187709868627	1.50252397248796e-07	4.80669885155003e-05
NC_064034.1	8763801	8764051	peak3104	.	*	3.06850735209318	1.96302430224344e-06	0.000390785862386012
NC_064034.1	8770342	8770592	peak3113	.	*	2.12222455152098	0.000144809243699771	0.0108250820246954
NC_064034.1	8777076	8777326	peak3128	.	*	2.10565680191255	0.000407265274452675	0.02358564959773
NC_064034.1	8777652	8777902	peak3130	.	*	3.53013620837341	5.0269845814296e-06	0.00082601343733155
NC_064034.1	9212712	9212962	peak3292	.	*	5.98764337961857	7.74576284841236e-05	0.00686864316193403
NC_064034.1	9380688	9380938	peak3375	.	*	1.11773749910381	0.000255324012041917	0.0165529042461759
NC_064034.1	9640711	9640961	peak3482	.	*	2.01240657719732	4.60908401822513e-05	0.00461910924885301
NC_064034.1	9697727	9697977	peak3513	.	*	2.83114201519836	0.000105876076395379	0.00851413334868177
NC_064034.1	9797116	9797366	peak3565	.	*	3.00579005381927	7.71416820551597e-08	2.77025612043085e-05
NC_064034.1	9801573	9801823	peak3572	.	*	7.88518451727168	0.000282271863239453	0.0173918876611094
NC_064034.1	9802530	9802780	peak3573	.	*	3.35240773947781	8.22585019726125e-10	5.90801529020747e-07
NC_064034.1	10133717	10133967	peak3667	.	*	3.39992554433818	8.57706928437751e-06	0.00122964289374601
NC_064034.1	10265815	10266065	peak3745	.	*	5.26050945974076	0.00069245798016023	0.0338191861123722
NC_064034.1	10266299	10266549	peak3746	.	*	4.34986199889222	7.55038217293945e-09	3.86806606718442e-06
NC_064034.1	10267058	10267308	peak3748	.	*	2.68632106322905	2.10330964846868e-07	6.35227207954443e-05
NC_064034.1	10463218	10463468	peak3843	.	*	5.46604398033783	1.01634435348591e-10	1.01995028756198e-07
NC_064034.1	10463499	10463749	peak3844	.	*	5.42018975227578	2.97492949192868e-06	0.000538454234972293
