seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	625468	625718	peak25	.	*	0.180502503006824	0.976497510716918	1
NC_064034.1	634612	634862	peak30	.	*	-0.229407384450256	0.667952374035993	0.808981587116591
NC_064034.1	638979	639229	peak31	.	*	-0.593060278503426	0.474262850595958	0.687493248280763
NC_064034.1	723656	723906	peak43	.	*	-1.52369548564192	0.726856984773906	0.862933108658787
NC_064034.1	748547	748797	peak52	.	*	0.289113437891375	0.458469088667549	0.670361644340087
NC_064034.1	815433	815683	peak66	.	*	-1.6347017396982	0.0164797171633805	0.492822456152857
NC_064034.1	851273	851523	peak82	.	*	-0.408347299470649	0.437027983763729	0.640490932882874
NC_064034.1	943046	943296	peak92	.	*	0.720947456971373	0.802154829631747	0.934041350198338
NC_064034.1	1063818	1064068	peak110	.	*	3.08758205677978	0.0181288499194079	0.492822456152857
NC_064034.1	1089899	1090149	peak120	.	*	0.924501818974974	0.0855276785211425	0.492822456152857
NC_064034.1	1090110	1090359	peak121	.	*	0	1	1
NC_064034.1	1251667	1251917	peak131	.	*	-1.13262550461919	0.228714395373481	0.492822456152857
NC_064034.1	1252297	1252547	peak133	.	*	2.52206842099957	0.0227740640581295	0.492822456152857
NC_064034.1	1278623	1278873	peak142	.	*	0.352422924372701	0.411835753784481	0.611596926035734
NC_064034.1	1338532	1338782	peak157	.	*	0.0562645177356007	0.598761283129264	0.755796838012812
NC_064034.1	1385911	1386161	peak171	.	*	-0.149826406716985	0.504931044027918	0.722724180586504
NC_064034.1	1588412	1588662	peak219	.	*	5.07291800782228	0.0245610892634223	0.492822456152857
NC_064034.1	1691613	1691863	peak263	.	*	0.330980687625324	0.794063936249139	0.92620416495511
NC_064034.1	1995398	1995648	peak349	.	*	0.715800358157839	0.20471881171185	0.492822456152857
NC_064034.1	2085106	2085356	peak379	.	*	-0.657948126515119	0.196427779891624	0.492822456152857
NC_064034.1	2092543	2092793	peak380	.	*	-1.81054096068587	0.192996418762722	0.492822456152857
NC_064034.1	2093658	2093908	peak382	.	*	0.324699818513205	0.416284959381035	0.615676858867345
NC_064034.1	2131180	2131430	peak398	.	*	1.49186630009066	0.197485620078263	0.492822456152857
NC_064034.1	2149300	2149550	peak400	.	*	3.32812080523429	0.311592578757036	0.492822456152857
NC_064034.1	2151696	2151946	peak401	.	*	7.42966778908397	0.0013326561616305	0.201921809233642
NC_064034.1	2152575	2152825	peak402	.	*	6.32926571745457	0.0075795947737331	0.359206011704255
NC_064034.1	2167630	2167880	peak405	.	*	2.28631346776767	0.09025786807397	0.492822456152857
NC_064034.1	2170460	2170709	peak408	.	*	-2.52199053626346	0.00381953116562534	0.305628312210204
NC_064034.1	2170677	2170927	peak409	.	*	-1.21275382704236	0.003567308825214	0.305628312210204
NC_064034.1	2180325	2180575	peak426	.	*	-1.82052637753542	0.0155959466453283	0.480739469401468
NC_064034.1	2182296	2182546	peak430	.	*	-0.507865844289178	0.14499627059698	0.492822456152857
NC_064034.1	2183472	2183722	peak431	.	*	0.321639602042584	0.769798868834744	0.902598255774885
NC_064034.1	2187098	2187348	peak434	.	*	0.831567064660738	0.356465817925974	0.542971140385133
NC_064034.1	2365760	2366010	peak504	.	*	1.27069067311747	0.128785578134814	0.492822456152857
NC_064034.1	2403079	2403329	peak513	.	*	3.47593992735043	0.00102429761037591	0.201921809233642
NC_064034.1	2409296	2409546	peak518	.	*	4.93452194289305	0.0973121563783921	0.492822456152857
NC_064034.1	2480929	2481179	peak543	.	*	0.107286095392666	0.841000459849563	0.975472759193689
NC_064034.1	2484693	2484943	peak545	.	*	1.04383131894144	0.215744971683072	0.492822456152857
NC_064034.1	2547098	2547348	peak567	.	*	1.81477201381105	0.195980806164665	0.492822456152857
NC_064034.1	2559791	2560041	peak570	.	*	1.23696002094508	0.255222168940539	0.492822456152857
NC_064034.1	2605140	2605390	peak597	.	*	-0.743904133052063	0.365177854972884	0.555250781352794
NC_064034.1	2637004	2637254	peak602	.	*	1.24179415867062	0.155889227977993	0.492822456152857
NC_064034.1	2658491	2658741	peak605	.	*	2.14408295637197	0.0969580590762214	0.492822456152857
NC_064034.1	2696124	2696374	peak618	.	*	2.48363685120393	0.00209004516471167	0.244781947080797
NC_064034.1	2753460	2753710	peak642	.	*	0.23156764889119	0.817713803773452	0.950122216991126
NC_064034.1	2753621	2753870	peak643	.	*	-0.18032537484958	0.255222168940539	0.492822456152857
NC_064034.1	2799779	2800029	peak657	.	*	-0.240793514844411	0.801866382328059	0.933887427499058
NC_064034.1	2800074	2800324	peak658	.	*	-0.98898043182361	0.103050107622401	0.492822456152857
NC_064034.1	2939176	2939426	peak690	.	*	1.42835161736447	0.305317069527122	0.492822456152857
NC_064034.1	2968770	2969020	peak706	.	*	6.57069437995474	0.0245610892634223	0.492822456152857
NC_064034.1	2969598	2969848	peak707	.	*	7.77673911562931	1.26576566479185e-05	0.0358338259702574
NC_064034.1	3127709	3127959	peak745	.	*	3.5175865359469	0.0181288499194079	0.492822456152857
NC_064034.1	3161346	3161596	peak747	.	*	0.848650900405415	0.311825339818027	0.492822456152857
NC_064034.1	3166113	3166363	peak750	.	*	1.48360936748075	0.0999670813507244	0.492822456152857
NC_064034.1	3176126	3176376	peak755	.	*	2.36637445565275	0.311592578757036	0.492822456152857
NC_064034.1	3193013	3193263	peak761	.	*	2.38405220211488	0.00377630331045814	0.305628312210204
NC_064034.1	3222660	3222910	peak766	.	*	0.339323635879367	0.468962399994383	0.68225511950066
NC_064034.1	3236848	3237098	peak769	.	*	0.22623180966431	0.417611776278123	0.616499041517461
NC_064034.1	3257179	3257429	peak772	.	*	1.47861900987803	0.468310876163037	0.6813809872578
NC_064034.1	3320824	3321074	peak785	.	*	-0.461849701054628	0.952370731026918	1
NC_064034.1	3430772	3431022	peak820	.	*	0.873809891976748	0.0628720857048708	0.492822456152857
NC_064034.1	3436182	3436432	peak824	.	*	-0.308804430224462	0.801866382328059	0.933887427499058
NC_064034.1	3449867	3450117	peak826	.	*	0.814111706990356	0.327153807650892	0.500875990087207
NC_064034.1	3478801	3479051	peak839	.	*	-0.0363999176476605	0.42241661295214	0.621005990873583
NC_064034.1	3487030	3487280	peak842	.	*	3.13019152227797	0.175797079782858	0.492822456152857
NC_064034.1	3495401	3495651	peak843	.	*	1.53111395293555	0.347885940819842	0.531014979731504
NC_064034.1	3495567	3495816	peak844	.	*	1.72025774448039	0.405524622885485	0.608224742503063
NC_064034.1	3500689	3500939	peak848	.	*	4.54548827327836	0.0447716035701609	0.492822456152857
NC_064034.1	3501314	3501564	peak849	.	*	1.15248320239353	0.0301964897969463	0.492822456152857
NC_064034.1	3501524	3501773	peak850	.	*	-0.562492695785407	0.654720871342961	0.804332860798435
NC_064034.1	3531915	3532165	peak866	.	*	-0.503003148498709	0.307391161153936	0.492822456152857
NC_064034.1	3533257	3533507	peak869	.	*	0.894358157597141	0.814938501916959	0.947102112646357
NC_064034.1	3542190	3542440	peak871	.	*	-3.04323589496257	0.00595676946762091	0.359206011704255
NC_064034.1	3590534	3590784	peak880	.	*	3.2817616657958	0.000134024402394706	0.0783591150044441
NC_064034.1	3591893	3592143	peak882	.	*	2.22347858938722	0.0165756834136396	0.492822456152857
NC_064034.1	3769313	3769563	peak923	.	*	-0.783470012144522	0.269566889411846	0.492822456152857
NC_064034.1	3809614	3809864	peak931	.	*	-0.113758384879411	0.1667084182431	0.492822456152857
NC_064034.1	3910628	3910878	peak957	.	*	1.04034538700399	0.720012752088592	0.856641581997197
NC_064034.1	4032373	4032623	peak972	.	*	0.0922663401838022	0.960772290283808	1
NC_064034.1	4065251	4065501	peak992	.	*	4.19961634818558	0.00566857508506339	0.359206011704255
