gene	gene_name	common_name	og	pfam	tf_family	archetype_name	archetype_family	archetype_source	most_similar_archetype	most_similar_archetype_source	archetype_archetype_similarity	rank	gene_score_correlation	gene_expression_correlation	assigned	any_assigned	correlation	selected_by	group
Nvec_vc1.1_XM_032374843.2	Tbx10/Tbx1	Tbx1/10-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH1129_Tbx10/Tbx1	T-box	CisBP	ARCH1125_Tbx18/Tbx22/Tbx15_...	CisBP	0.993270377729487	769	0.0278848847774462	0.0574605384763906	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_032374843.2	Tbx10/Tbx1	Tbx1/10-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH1047_Tbx18/Tbx22/Tbx15_...	T-box	CisBP	ARCH742_Meis3/Meis2/Meis1_P...	CisBP	0.991530035513191	1	0.880648227944158	0.734117059392172	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_001627136.3	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH1129_Tbx10/Tbx1	T-box	CisBP	ARCH1125_Tbx18/Tbx22/Tbx15_...	CisBP	0.993270377729487	765	0.0384435324797446	0.0274903388917026	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_001627136.3	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH1047_Tbx18/Tbx22/Tbx15_...	T-box	CisBP	ARCH742_Meis3/Meis2/Meis1_P...	CisBP	0.991530035513191	1	0.857942038337315	0.689666450866519	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_032367288.2	Gata3/Gata1/Gata2	GATA	GATA.HG1.5:GATA1/GATA2/GATA3/GATA4/GATA5/GATA6/TRPS1	GATA/GATA	GATA	ARCH35_Gata3/Gata1/Gata2	GATA	CisBP	ARCH371_GATA20	Homer_known	0.991997161316424	1	0.849314935689225	0.258133540138863	TRUE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_032380148.2	""	""	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH1121_Tbx19/T_Tbx3/Tbx2	T-box	CisBP	ARCH1128_Tbx18/Tbx22/Tbx15_...	CisBP	0.996314643026232	395	0.141891608655342	0.155076691963174	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_032380148.2	""	""	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH1135_Tbx10/Tbx1_Tbx19/T	T-box	CisBP	ARCH1120_Tbx10/Tbx1_Tbx18/T...	CisBP	0.993763438758014	1	0.840033929048015	0.857540648173485	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_048729481.1	""	""	zf-C2H2.HG4.3:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	zf_ZIC/zf-C2H2/zf-C2H2	zf-C2H2	ARCH285_M06063_2.00	zf-C2H2	CisBP	ARCH128_FOXF2	Homer_denovo	0.94688229710056	8	0.610527322744713	0.270527520329783	TRUE	TRUE	FALSE	cisbp	assigned+correlation
Nvec_vc1.1_XM_048729481.1	""	""	zf-C2H2.HG4.3:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	zf_ZIC/zf-C2H2/zf-C2H2	zf-C2H2	ARCH236_M03668_2.00__M05861...	zf-C2H2	CisBP	ARCH926_Nr2c1/Nr2c2_Nr2f1/N...	CisBP	0.966984127744421	4	0.803480041298916	0.284856365526134	FALSE	TRUE	TRUE	correlation	assigned+correlation
Nvec_vc1.1_XM_001625998.3	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	Homeodomains	ARCH782_Nkx2-2/Nkx2-9	Homeodomains	CisBP	ARCH970_Nr2c1/Nr2c2_Nr2f1/N...	CisBP	0.893154513767628	3	0.769162676122533	0.134323239980501	TRUE	TRUE	FALSE	cisbp	assigned+correlation
