gene	deepTools_group	rank	gene_length	gene_name	common_name	og	pfam	gene_list
Nvec_NVE25036	cluster_1	1	698	""	""	""	""	""
Nvec_NVE21932	cluster_1	2	2550	""	""	""	""	""
Nvec_vc1.1_XM_048723296.1	cluster_1	3	2654	""	""	""	zf-RING_UBOX/zf-B_box	""
Nvec_NVE758	cluster_1	4	1157	""	""	""	""	""
Nvec_vc1.1_XM_001623685.3	cluster_1	5	2777	Rgmb/Rgma/Hjv	""	""	RGM_N/RGM_C	""
Nvec_NVE1728	cluster_1	6	1454	""	""	""	""	""
Nvec_vc1.1_XM_001641219.2	cluster_1	7	1320	""	""	""	""	""
Nvec_vc1.1_XM_001634188.3	cluster_1	8	1220	""	""	""	14-3-3	""
Nvec_vc1.1_XM_032382466.2	cluster_1	9	1086	Cebpd/Cebpe/Cebpa/Cebpb	""	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2	tfs
Nvec_vc1.1_XM_032371336.2	cluster_1	10	2140	Zfp36l2/Zfp36l1	""	""	Tis11B_N/zf-CCCH/zf-CCCH	""
Nvec_vc1.1_XM_032378738.2	cluster_1	11	1869	""	""	""	""	""
Nvec_v1g247445	cluster_1	12	1068	""	""	""	""	""
Nvec_vc1.1_XM_001624041.3	cluster_1	13	3248	Phf23	""	""	PHD_2	""
Nvec_v1g206164	cluster_1	14	949	Btg2/Btg1//	""	""	BTG	""
Nvec_vc1.1_XM_032366816.2	cluster_1	15	1534	Spry4/Spry1/Spry2/	""	""	Sprouty	""
Nvec_vc1.1_XM_032369408.2	cluster_1	16	1818	Tent5c/Tent5d/Tent5b/Tent5a	""	""	NTP_transf_7	""
Nvec_NVE11782	cluster_1	17	1462	""	""	""	""	""
Nvec_v1g169659	cluster_1	18	644	Serp2/Serp1	""	""	RAMP4	""
Nvec_vc1.1_XM_032369437.2	cluster_1	19	2265	Klf7	""	zf-C2H2.HG2.20:KLF6/KLF7	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_032383766.2	cluster_1	20	1745	Nherf2/Nherf1	""	""	PDZ	""
Nvec_vc1.1_XM_048723331.1	cluster_1	21	1315	Hexim2/Hexim1	""	""	HEXIM	""
Nvec_vc1.1_XM_032385153.2	cluster_1	22	1135	Btg4/Btg3	""	""	BTG	""
Nvec_vc1.1_XM_001638157.3	cluster_1	23	2396	Dyrk3/Dyrk2	""	""	Pkinase	""
Nvec_vc1.1_XM_001623716.3	cluster_1	24	1170	H3f3b/H3f3a	""	""	Histone	""
Nvec_vc1.1_XM_032379075.2	cluster_1	25	2111	Sdc2/Sdc4/Sdc3/Sdc1	""	""	Syndecan	""
Nvec_vc1.1_XM_032370843.2	cluster_1	26	1660	""	""	""	C2	""
Nvec_vc1.1_XM_001621715.3	cluster_1	27	1426	Cinp	""	""	""	""
Nvec_vc1.1_XM_001630370.3	cluster_1	28	2181	Vangl1/Vangl2	""	""	Strabismus	""
Nvec_vc1.1_XM_032369983.2	cluster_1	29	1679	""	""	""	""	""
Nvec_vc1.1_XM_032382395.2	cluster_1	30	1384	Tgif1/Tgif2	""	Homeodomains.HG3.34:TGIF1	Homeobox_KN	tfs
Nvec_v1g244190	cluster_1	31	1862	""	""	""	""	""
Nvec_vc1.1_XM_001641550.3	cluster_1	32	916	""	""	""	EMP24_GP25L	""
Nvec_vc1.1_XM_001618359.3	cluster_1	33	739	H2bc7/H2bc13/H2bc13/H2bc9/H2bc4/H2bc14/H2bc14/H2bc15/H2bc15/H2bc8/H2bc11/H2bc11/H2bc6	""	""	Histone	""
Nvec_vc1.1_XM_048725298.1	cluster_1	34	3127	""	""	""	Ank_2	""
Nvec_vc1.1_XM_032367802.2	cluster_1	35	1571	Klf1/Klf4/Klf2	""	zf-C2H2.HG2.9:like:KLF3/KLF5/KLF6/KLF7/KLF8/KLF12	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_v1g238212	cluster_1	36	1443	Pnrc1/Pnrc2	""	""	PNRC	""
Nvec_vc1.1_XM_001639531.3	cluster_1	37	1470	Ypel1/Ypel3/Ypel2/Ypel4	""	""	Yippee-Mis18	""
Nvec_vc1.1_XM_032381719.2	cluster_1	38	2240	Zfp367	""	zf-C2H2.HG1.122:ZNF367	zf-C2H2_6/zf-C2H2	tfs
Nvec_vc1.1_XM_032384447.2	cluster_1	39	2193	""	""	zf-C2H2.HG2.14:SP1/SP2/SP3/SP4/SP5/SP6/SP7/SP8/SP9	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_001635920.3	cluster_1	40	1454	""	""	""	""	""
Nvec_vc1.1_XM_001624464.3	cluster_1	41	3155	Mex3d/Mex3a/Mex3b/Mex3c	""	""	KH_1/KH_1/zf-C3HC4_3	""
Nvec_vc1.1_XM_001633176.3	cluster_1	42	1121	""	""	""	RIIa/cNMP_binding/cNMP_binding	""
Nvec_vc1.1_XM_001639002.3	cluster_1	43	1796	""	""	""	Myb_DNA-bind_4	""
Nvec_vc1.1_XM_032365240.2	cluster_1	44	2736	""	""	""	DUF3990	""
Nvec_vc1.1_XM_001639574.3	cluster_1	45	1208	""	""	""	Tropomyosin	""
Nvec_NVE8512	cluster_1	46	1286	""	""	""	""	""
Nvec_NVE21171	cluster_1	47	1106	""	""	""	""	""
Nvec_vc1.1_XM_001641165.3	cluster_1	48	1888	Nanos1	Nanos2	""	zf-nanos	""
Nvec_vc1.1_XM_001636842.3	cluster_1	49	1113	Myl12b/Myl12a/Myl9/Gm49909	""	""	EF-hand_6/EF-hand_8	""
Nvec_vc1.1_XM_001627445.3	cluster_1	50	3450	Wwtr1/Yap1	""	""	WW/WW	""
Nvec_vc1.1_XM_032380573.2	cluster_1	51	2936	Smad6/Smad7	""	SMAD_MH1.HG1.0:SMAD6/SMAD7	MH1/MH2	tfs
Nvec_vc1.1_XM_001641484.3	cluster_1	52	1455	""	""	""	BAG	""
Nvec_vc1.1_XM_001640283.2	cluster_1	53	1584	Ubald2/Ubald1	""	""	UBA_4	""
Nvec_vc1.1_XM_001636003.3	cluster_1	54	1503	""	""	""	""	""
Nvec_NVE7140	cluster_1	55	616	""	""	""	DUF4748	""
Nvec_vc1.1_XM_032363508.2	cluster_1	56	1679	""	""	""	""	""
Nvec_vc1.1_XM_032373099.2	cluster_1	57	1861	Pou3f2/Pou3f1/Pou3f4/Pou3f3	""	Homeodomains.HG4.10:POU3F1/POU3F2/POU3F3/POU3F4	Pou/Homeodomain	tfs
Nvec_vc1.1_XM_001639483.3	cluster_1	58	1336	""	""	""	Copine	""
Nvec_vc1.1_XM_032381586.2	cluster_1	59	2182	Klf5	""	zf-C2H2.HG2.21:KLF5	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_032384512.2	cluster_1	60	1183	""	""	""	""	""
Nvec_NVE15531	cluster_1	61	3207	Cox6c	""	""	COX6C	""
Nvec_vc1.1_XM_001620571.3	cluster_1	62	1699	""	""	""	WH1	""
Nvec_vc1.1_XM_032379223.2	cluster_1	63	2210	Hs3st2/Hs3st3b1/Hs3st4/Hs3st3a1/Hs3st6	""	""	Sulfotransfer_1	""
Nvec_vc1.1_XM_032367083.2	cluster_1	64	1221	Thrsp/Mid1ip1	""	""	Spot_14	""
Nvec_vc1.1_XM_001630548.3	cluster_1	65	1885	Tob1/Tob2	""	""	BTG	""
Nvec_vc1.1_XM_001640853.3	cluster_1	66	1675	Jund/Junb/Jun	""	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1	tfs
Nvec_v1g212694	cluster_1	67	1014	""	""	""	G-gamma	""
Nvec_NVE9471	cluster_1	68	1822	""	""	""	""	""
Nvec_vc1.1_XM_001632947.3	cluster_1	69	1840	Sox3/Sox2	NvSoxB1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp	tfs
Nvec_vc1.1_XM_001634945.3	cluster_1	70	2747	Fzd8/Fzd5	""	""	Fz/Frizzled	""
Nvec_v1g241678	cluster_1	71	739	""	""	""	""	""
Nvec_vc1.1_XM_032372987.2	cluster_1	72	3788	Zfp395/Zfp704	""	""	DUF4772	""
Nvec_vc1.1_XM_001623587.3	cluster_1	73	1954	Zfp703/Zfp503	""	""	""	""
Nvec_vc1.1_XM_001634863.3	cluster_1	74	1447	""	""	""	Tropomyosin	""
Nvec_vc1.1_XM_032365239.2	cluster_1	75	1651	""	""	""	DUF3990	""
Nvec_vc1.1_XM_001631285.3	cluster_1	76	1882	Hebp1	""	""	SOUL/SOUL	""
Nvec_NVE13257	cluster_1	77	1426	""	""	""	""	""
Nvec_vc1.1_XM_032381032.2	cluster_1	78	1073	Spmip1/Gm45521	""	""	""	""
Nvec_vc1.1_XM_001629525.3	cluster_1	79	729	Cda	""	""	dCMP_cyt_deam_1	""
Nvec_vc1.1_XM_001626817.3	cluster_1	80	1325	""	""	""	IER	""
Nvec_NVE12631	cluster_1	81	1733	""	""	""	""	""
Nvec_vc1.1_XM_032375387.2	cluster_1	82	910	""	""	""	CENP-T_C	""
Nvec_v1g196131	cluster_1	83	1048	""	""	""	SNF	""
Nvec_vc1.1_XM_001630909.3	cluster_1	84	2498	Ajm1	""	""	zf-MYND	""
Nvec_vc1.1_XM_032365236.2	cluster_1	85	2433	""	""	""	DUF3990	""
Nvec_vc1.1_XM_001637445.3	cluster_1	86	2557	Dusp9/Dusp7/Dusp6	""	""	Rhodanese/DSPc	""
Nvec_vc1.1_XM_001630056.3	cluster_1	87	2384	""	""	""	DSPn/DSPc	""
Nvec_vc1.1_XM_001639319.3	cluster_1	88	1072	""	""	""	EF-hand_6	""
Nvec_vc1.1_XM_001633814.2	cluster_1	89	2201	""	""	""	""	""
Nvec_vc1.1_XM_032377158.2	cluster_1	90	2366	""	""	""	Ank_2	""
Nvec_vc1.1_XM_001623854.3	cluster_1	91	1634	""	""	""	""	""
Nvec_vc1.1_XM_001626362.3	cluster_1	92	2723	""	""	""	Bcl-2	""
Nvec_vc1.1_XM_001622915.3	cluster_1	93	2604	Fzd4	""	""	Fz/Frizzled	""
Nvec_v1g176307	cluster_1	94	681	Nupr1/Nupr2	""	""	Phospho_p8	""
Nvec_vc1.1_XM_001639240.3	cluster_1	95	1901	Gpr19	""	""	7tm_1	""
Nvec_v1g241354	cluster_1	96	847	Fbxo48	""	""	F-box-like	""
Nvec_vc1.1_XM_001623954.3	cluster_1	97	1163	Clic4/Clic3/Clic6	""	""	GST_C	""
Nvec_vc1.1_XM_001628443.3	cluster_1	98	1982	Hs6st3/Hs6st2/Hs6st1	""	""	Sulfotransfer_2	""
Nvec_v1g160811	cluster_1	99	1126	Tmsb15b1/Tmsb10/Tmsb4x//Tmsb10b/Tmsb15l/Tmsb15a	""	""	Thymosin	""
Nvec_v1g236959	cluster_1	100	700	Uqcrq	""	""	UcrQ	""
Nvec_vc1.1_XM_032378973.2	cluster_1	101	2176	""	""	""	Ca_hom_mod	""
Nvec_vc1.1_XM_001631369.3	cluster_1	102	1050	""	""	""	""	""
Nvec_vc1.1_XM_048727865.1	cluster_1	103	1414	""	""	""	Ras	""
Nvec_NVE3972	cluster_1	104	1641	""	""	""	""	""
Nvec_vc1.1_XM_032376626.2	cluster_1	105	1607	Hexim2/Hexim1	""	""	HEXIM	""
Nvec_NVE6615	cluster_1	106	665	""	""	""	""	""
Nvec_vc1.1_XM_001647490.3	cluster_1	107	4541	Fzd2/Fzd7/Fzd1	""	""	Fz/Frizzled	""
Nvec_NVE20852	cluster_1	108	1184	""	""	""	CITED	""
Nvec_vc1.1_XM_032369304.2	cluster_1	109	1552	""	""	""	Roc	""
Nvec_vc1.1_XM_001629728.3	cluster_1	110	1546	Ppp1r3c/Ppp1r3b	""	""	CBM_21	""
Nvec_vc1.1_XM_001639083.3	cluster_1	111	1410	Pycr1/Pycr2	""	""	F420_oxidored/P5CR_dimer	""
Nvec_vc1.1_XM_001630363.3	cluster_1	112	2882	Foxo1/Foxo6/Foxo3/Foxo4	""	Forkhead.HG1.29:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead/FOXO-TAD	tfs
Nvec_vc1.1_XM_001634987.3	cluster_1	113	924	Psmb3	""	""	Proteasome	""
Nvec_vc1.1_XM_032384828.2	cluster_1	114	2378	""	""	""	""	""
Nvec_vc1.1_XM_048720636.1	cluster_1	115	1012	Rnf138rt1/Rnf138/Rag1	""	""	""	""
Nvec_vc1.1_XM_001635277.3	cluster_1	116	2375	""	""	HLH.HG1.62:like:HES5/HES7	HLH/Hairy_orange	tfs
Nvec_NVE17130	cluster_1	117	1915	""	""	""	""	""
Nvec_vc1.1_XM_032366957.2	cluster_1	118	2365	""	""	""	PID_2	""
Nvec_vc1.1_XM_032384616.2	cluster_1	119	9909	Faxc	""	""	GST_N_4/GST_C_6	""
Nvec_vc1.1_XM_001633477.3	cluster_1	120	4721	Anp32a/Anp32e/Anp32b	""	""	LRR_9	""
Nvec_vc1.1_XM_032367038.2	cluster_1	121	2336	""	""	""	Cyt-b5	""
Nvec_vc1.1_XM_001631538.3	cluster_1	122	1540	""	""	""	BEN	""
Nvec_vc1.1_XM_032380897.2	cluster_1	123	1693	""	""	""	PH	""
Nvec_vc1.1_XM_032363957.2	cluster_1	124	1074	""	""	""	""	""
Nvec_vc1.1_XM_048730566.1	cluster_1	125	1224	Tpmt	""	""	TPMT	""
Nvec_NVE8746	cluster_1	126	1628	""	""	""	""	""
Nvec_v1g243589	cluster_1	127	782	""	""	""	""	""
Nvec_vc1.1_XM_032363065.2	cluster_1	128	2195	Rassf7/Rassf8	""	""	""	""
Nvec_vc1.1_XM_001633105.3	cluster_1	129	1920	Clic6/Clic4	""	""	""	""
Nvec_vc1.1_XM_048724523.1	cluster_1	130	1188	""	""	""	""	""
Nvec_vc1.1_XM_032385555.2	cluster_1	131	1809	""	""	""	""	""
Nvec_vc1.1_XM_001636283.3	cluster_1	132	3779	Slc39a7	""	""	Zip	""
Nvec_vc1.1_XM_001623468.3	cluster_1	133	1892	Trp53inp1/Trp53inp2	""	""	DOR	""
Nvec_vc1.1_XM_001626059.3	cluster_1	134	1229	Fbxl15	""	""	F-box	""
Nvec_vc1.1_XM_001619665.3	cluster_1	135	651	""	""	""	Histone/Histone_H2A_C	""
Nvec_vc1.1_XM_001633497.3	cluster_1	136	1404	Hnmt	""	""	Methyltransf_23	""
Nvec_vc1.1_XM_032382957.2	cluster_1	137	1853	""	""	""	CBM_21	""
Nvec_vc1.1_XM_032381364.2	cluster_1	138	2753	Fam53a/Fam53b/Fam53c	""	""	FAM53	""
Nvec_vc1.1_XM_001630665.3	cluster_1	139	3393	Fbxl14	""	""	F-box-like/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6	""
Nvec_vc1.1_XM_001632368.2	cluster_1	140	2067	""	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	tfs
Nvec_NVE18753	cluster_1	141	2236	""	""	""	""	""
Nvec_vc1.1_XM_032364339.2	cluster_1	142	3507	""	""	""	RRM_1/RRM_1	""
Nvec_vc1.1_XM_032385370.2	cluster_1	143	1123	Tmem79	""	""	MAPEG	""
Nvec_vc1.1_XM_001632635.3	cluster_1	144	2816	""	""	""	""	""
Nvec_vc1.1_XM_048728658.1	cluster_1	145	8170	Pgap4	""	""	""	""
Nvec_vc1.1_XM_001627744.3	cluster_1	146	1109	""	""	""	""	""
Nvec_vc1.1_XM_001635307.3	cluster_1	147	1530	Inmt/Nnmt/Pnmt	""	""	NNMT_PNMT_TEMT	""
Nvec_vc1.1_XM_032380896.2	cluster_1	148	1253	""	""	""	7tm_1	""
Nvec_vc1.1_XM_048721169.1	cluster_1	149	2327	Arf2/Arf3/Arf1	""	""	Arf	""
Nvec_v1g187754	cluster_1	150	928	Tmem229b	""	""	""	""
Nvec_vc1.1_XM_001629582.3	cluster_1	151	1858	Sostdc1/Sost	""	""	Sclerostin	""
Nvec_vc1.1_XM_032372118.2	cluster_1	152	1710	""	""	""	Ank_2	""
Nvec_vc1.1_XM_001622886.3	cluster_1	153	1354	Rap2b/Rap2c/Rap2a/Gm266	""	""	Ras	""
