seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	2272816	2273066	peak622	.	*	3.3556068280567	5.59491459386378e-11	2.20529153631735e-06
NC_064034.1	2283806	2284056	peak631	.	*	3.12907362250638	4.24957821345815e-05	0.0350946650841776
NC_064034.1	4913712	4913962	peak1668	.	*	2.26736413270716	1.94699260845145e-05	0.0210569599580002
NC_064034.1	5112344	5112594	peak1744	.	*	1.87439172877012	1.91381544188072e-05	0.0210569599580002
NC_064034.1	6205522	6205772	peak2119	.	*	2.30146140640366	2.83051119169172e-05	0.0259459137515629
NC_064034.1	8181463	8181713	peak2891	.	*	3.53949604543834	2.67141869509831e-05	0.0256031571945445
NC_064034.1	9799646	9799896	peak3571	.	*	3.8669352848174	6.01901157664255e-05	0.0433843563368395
NC_064034.1	10538360	10538610	peak3900	.	*	3.46665572551767	7.35275006214998e-05	0.0487607374782978
NC_064034.1	15549800	15550050	peak5447	.	*	2.48332047819488	6.21883532837283e-05	0.0433843563368395
NC_064034.1	15551395	15551645	peak5450	.	*	4.61669492613583	3.24025384793092e-07	0.00102174276536036
NC_064034.1	16200985	16201235	peak5660	.	*	3.33682655027528	4.97568789227467e-05	0.0387584732389457
NC_064034.1	18008646	18008896	peak6245	.	*	2.56492434113884	4.41317892279954e-05	0.0354999715145034
NC_064034.1	20219923	20220173	peak7095	.	*	3.81527142017095	2.89208323623278e-06	0.00530206292276052
NC_064034.1	20918467	20918717	peak7292	.	*	3.0588436803158	1.96354169976489e-06	0.00396897228912477
NC_064035.1	1528739	1528989	peak8041	.	*	4.66220886240033	1.0872782404186e-06	0.00259734297723269
NC_064035.1	6792611	6792861	peak10148	.	*	2.3411263063966	7.4224788124058e-05	0.0487607374782978
NC_064035.1	7504464	7504714	peak10377	.	*	4.14266550584334	1.36155934285368e-07	0.000670840288224006
NC_064035.1	11278319	11278569	peak11873	.	*	6.67312902723438	1.56952873655055e-05	0.0184670282626497
NC_064035.1	12385620	12385870	peak12272	.	*	7.72258559354406	6.32518683636652e-06	0.0089040558693651
NC_064035.1	12389112	12389362	peak12275	.	*	8.39637715021807	3.67238418177037e-06	0.0062935084742896
NC_064035.1	15716912	15717162	peak13450	.	*	2.23941115517583	4.93567314744706e-05	0.0387584732389457
NC_064035.1	16343503	16343753	peak13699	.	*	2.19007560625277	9.75622698775571e-06	0.012818381431646
NC_064035.1	16344900	16345150	peak13701	.	*	2.86941570989971	7.86447966584846e-05	0.0499977952434005
NC_064035.1	20525511	20525761	peak15404	.	*	3.7209937154244	1.7332794090163e-06	0.00373738426805345
NC_064036.1	2939858	2940108	peak16782	.	*	2.43097935908019	1.90723399473264e-05	0.0210569599580002
NC_064036.1	3990912	3991162	peak17129	.	*	2.84357883458822	1.64325148513429e-05	0.0190501178053098
NC_064036.1	5100704	5100954	peak17522	.	*	1.21697581064061	1.24281347383225e-05	0.0153083549639288
NC_064036.1	6972109	6972359	peak18264	.	*	8.64151074645099	2.41594529008127e-07	0.000840584613025783
NC_064036.1	8524930	8525180	peak18982	.	*	6.81247760673011	3.08117831721609e-06	0.00552035111597225
NC_064036.1	8525366	8525616	peak18983	.	*	1.68483881556248	1.10575543152491e-05	0.014059501964189
NC_064036.1	9091890	9092140	peak19130	.	*	6.24953551266031	1.98130148782251e-05	0.0210569599580002
NC_064036.1	9677389	9677639	peak19331	.	*	3.35662838082605	9.57997421774524e-08	0.000539434662523781
NC_064036.1	12602000	12602250	peak20614	.	*	3.74178979432213	2.50901026334052e-05	0.0250367464657797
NC_064036.1	12605216	12605466	peak20616	.	*	8.47994823377294	4.16605717064619e-07	0.00126314853413992
NC_064036.1	12921192	12921442	peak20767	.	*	2.1886457978198	5.0149232169328e-05	0.0387584732389457
NC_064036.1	12923651	12923901	peak20769	.	*	7.91586072149222	5.57339846319759e-05	0.0418440140619803
NC_064036.1	12923977	12924227	peak20770	.	*	6.16349987461219	6.00375390418134e-07	0.00167873328985322
NC_064036.1	13631936	13632186	peak21047	.	*	1.63333435476218	1.14869799006196e-05	0.0143736761829467
NC_064036.1	13632457	13632707	peak21048	.	*	1.43629240963638	3.69876941801596e-05	0.0313528377162402
NC_064036.1	13634594	13634844	peak21051	.	*	2.87237247339933	4.77564764785982e-08	0.000289595273366219
NC_064036.1	15751180	15751430	peak21954	.	*	2.47618120549409	2.01180740205296e-07	0.000834709479571784
NC_064036.1	18958744	18958994	peak22858	.	*	2.23775295205876	8.7614388269429e-06	0.0119083059587166
NC_064037.1	3384337	3384587	peak24363	.	*	2.44557525268642	2.28480322225619e-07	0.000840584613025783
NC_064037.1	4151800	4152050	peak24600	.	*	4.21283598408507	6.76275743468085e-05	0.0463584081818053
NC_064037.1	5659099	5659349	peak25211	.	*	4.5108126563987	1.66289020983336e-06	0.00373738426805345
NC_064037.1	6257298	6257548	peak25454	.	*	2.36252202966157	6.47821599244953e-05	0.0447974318523492
NC_064037.1	6258337	6258587	peak25456	.	*	1.54865206691783	4.9154538284955e-06	0.00807281367099911
NC_064037.1	6258499	6258748	peak25457	.	*	3.72817559224472	1.70673380981196e-08	0.000134545239695097
