target_common_name	peak	motif	gene_name	common_name	og	pfam	in_silico_chip_score	in_grn
Nem64	peak11051	ARCH521_Zic2__Unknown-ESC-e...	""	""	zf-C2H2.HG4.4:like:ZIC1/ZIC...	zf_ZIC/zf-C2H2/zf-C2H2	0.14	TRUE
Nem64	peak11051	ARCH867_ZEB1__PL0011.1_hlh-...	Ahr/Ahrr	""	HLH.HG1.0:AC019117.4/AHR/AH...	HLH/PAS	0.14	TRUE
Nem64	peak11051	ARCH867_ZEB1__PL0011.1_hlh-...	Srebf2/Srebf1	""	HLH.HG1.25:SREBF1/SREBF2	HLH	0.13	TRUE
Nem64	peak11051	ARCH482_/Lef1/Tcf7l1/Tcf7	Sox13/Sox5/Sox6	SoxB2	HMGbox_Sox.HG1.13:like:SOX1...	HMG_box	0.12	TRUE
Nem64	peak11051	ARCH822_M08939_2.00__M10306...	""	""	zf-C2H2.HG1.234:like:AC0087...	zf-C2H2/zf-C2H2/zf-H2C2_2/z...	0.12	TRUE
Nem64	peak11051	ARCH867_ZEB1__PL0011.1_hlh-...	Ahr/Ahrr	""	HLH.HG1.0:AC019117.4/AHR/AH...	HLH/PAS	0.11	TRUE
Nem64	peak11051	ARCH530_Snai2	Myt1l/St18/Myt1	""	zf-C2H2.HG6.2:MYT1/MYT1L/ST18	zf-C2HC/zf-C2HC/zf-C2HC/zf-...	0.09	FALSE
Nem64	peak11051	ARCH470_Snai2	""	""	zf-C2H2.HG87.0:NA	zf-C2H2/zf-C2H2/zf-C2H2/zf-...	0.09	FALSE
Nem64	peak11051	ARCH482_/Lef1/Tcf7l1/Tcf7	Cic	""	HMGbox_Sox.HG1.10:BBX	HMG_box	0.08	FALSE
Nem64	peak11051	M08731_2.00	Tcf3/Tcf12/Tcf4	""	HLH.HG1.45:TCF3/TCF4/TCF12	HLH	0.07	FALSE
Nem64	peak11051	ARCH482_/Lef1/Tcf7l1/Tcf7	""	NvSoxA	HMGbox_Sox.HG1.34:SRY	HMG_box	0.07	FALSE
Nem64	peak11051	ARCH867_ZEB1__PL0011.1_hlh-...	""	""	HLH.HG1.29:MYC/MYCL/MYCN	HLH/HLH	0.06	FALSE
Nem64	peak11052	ARCH1170_/Sox4/Sox11_Sox13/...	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.55:TFAM/UBTFL1	HMG_box/HMG_box	0.07	FALSE
Nem64	peak11052	ARCH497_M03679_2.00	""	""	zf-C2H2.HG4.3:like:ZIC1/ZIC...	zf_ZIC/zf-C2H2/zf-C2H2	0.06	FALSE
Nem64	peak11053	ARCH13_Arid2_Arid3c/Arid3a/...	Arid3c/Arid3a/Arid3b	""	ARID_BRIGHT.HG1.9:ARID3A/AR...	ARID	0.09	FALSE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG2.6:like:AC0...	Homeodomain	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG1.5:like:AC0...	Homeodomain	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG3.5:like:IRX...	SIX1_SD/Homeobox_KN	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	Nanog	""	Homeodomains.HG1.18:NANOG/N...	Homeodomain	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.12	TRUE
Nem64	peak11054	ARCH273_HOXD3	""	""	Homeodomains.HG1.5:like:AC0...	Homeodomain	0.12	TRUE
Nem64	peak11055	Nem64_241030_homer	""	Nem64	HLH.HG1.93:like:SCX/TCF15	HLH	0.25	TRUE
Nem64	peak11055	ARCH13_Arid2_Arid3c/Arid3a/...	Arid3c/Arid3a/Arid3b	""	ARID_BRIGHT.HG1.9:ARID3A/AR...	ARID	0.12	TRUE
Nem64	peak11055	ARCH1170_/Sox4/Sox11_Sox13/...	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.55:TFAM/UBTFL1	HMG_box/HMG_box	0.1	FALSE
Nem64	peak11056	ARCH521_Zic2__Unknown-ESC-e...	""	""	zf-C2H2.HG4.4:like:ZIC1/ZIC...	zf_ZIC/zf-C2H2/zf-C2H2	0.18	TRUE
Nem64	peak11056	ARCH13_Arid2_Arid3c/Arid3a/...	Arid3c/Arid3a/Arid3b	""	ARID_BRIGHT.HG1.9:ARID3A/AR...	ARID	0.1	FALSE
Nem64	peak11056	ARCH219_Alx3/Alx4/Alx1_Barx...	Lhx9/Lhx2	""	Homeodomains.HG2.8:LHX2/LHX9	LIM/LIM/Homeodomain	0.08	FALSE
Nem64	peak11056	ARCH1311_Yy1	Zfp277	""	zf-C2H2.HG18.0:ZNF277	zf-C2H2_2/zf-C2H2_2	0.07	FALSE
Nem64	peak11056	ARCH353_M06062_2.00__M06468...	""	""	zf-C2H2.HG4.0:like:GLI1/GLI...	zf-C2H2/zf-C2H2	0.06	FALSE
Nem64	peak11056	ARCH653_/Rfx5	/Rfx5	""	RFX.HG1.1:RFX5/RFX7	RFX5_N/RFX_DNA_binding	0.06	FALSE
Nem64	peak11056	ARCH1311_Yy1	""	""	zf-C2H2.HG1.212:like:AC0087...	zf-C2H2/zf-C2H2/zf-C2H2	0.06	FALSE
Nem64	peak11057	ARCH502_M06063_2.00	""	""	zf-C2H2.HG1.24:like:AC00875...	zf-C2H2/zf-C2H2/zf-C2H2	0.08	FALSE
Nem64	peak11058	ARCH482_/Lef1/Tcf7l1/Tcf7	/Sox4/Sox11	NvSoxC	HMGbox_Sox.HG1.11:SOX4/SOX1...	HMG_box	0.14	TRUE
Nem64	peak11058	ARCH1170_/Sox4/Sox11_Sox13/...	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.55:TFAM/UBTFL1	HMG_box/HMG_box	0.07	FALSE
Nem64	peak11058	ARCH353_M06062_2.00__M06468...	""	""	zf-C2H2.HG4.0:like:GLI1/GLI...	zf-C2H2/zf-C2H2	0.06	FALSE
Nem64	peak11059	ARCH783_bHLH18__MNT	""	Ath-like	HLH.HG1.80:like:NEUROD1/NEU...	HLH	0.2	TRUE
Nem64	peak11059	ARCH783_bHLH18__MNT	""	Myc2	HLH.HG1.29:MYC/MYCL/MYCN	Myc_N/HLH	0.18	TRUE
Nem64	peak11059	ARCH783_bHLH18__MNT	""	Ptx1	HLH.HG1.29:MYC/MYCL/MYCN	HLH	0.13	TRUE
Nem64	peak11059	ARCH1569_FEA4__E-box	Usf2/Usf1	""	HLH.HG1.40:USF1/USF2	HLH	0.12	TRUE
Nem64	peak11059	ARCH1177_/Sox4/Sox11_Sox13/...	""	""	HMGbox_Sox.HG1.37:like:SSRP1	HMG_box/HMG_box	0.1	FALSE
Nem64	peak11059	ARCH353_M06062_2.00__M06468...	""	""	zf-C2H2.HG4.0:like:GLI1/GLI...	zf-C2H2/zf-C2H2	0.09	FALSE
Nem64	peak11059	Hes2_241030_homer	""	Hes2	HLH.HG1.63:like:HES5/HES7	HLH/Hairy_orange	0.07	FALSE
Nem64	peak11059	M05979_2.00	Mnt	""	HLH.HG1.37:MNT	HLH	0.07	FALSE
Nem64	peak11059	ARCH353_M06062_2.00__M06468...	""	""	zf-C2H2.HG1.11:like:AC00875...	zf-C2H2/zf-C2H2_6/zf-C2H2/z...	0.06	FALSE
Nem64	peak11059	ARCH1397_RBFox2__OCT:OCT-short	""	FoxQ2d	Forkhead.HG1.14:like:FOXN1/...	Forkhead	0.06	FALSE
Nem24	peak11015	ARCH895_Foxn4/Foxn1	""	""	Forkhead.HG1.5:FOXQ1	Forkhead	0.13	TRUE
Nem24	peak11015	ARCH1430_Dmbx1_Gsc2/Gsc//Ob...	Gsc2/Gsc//Obox1/Obox7/Obox2	""	Homeodomains.HG2.43:GSC/GSC2	Homeodomain	0.12	TRUE
Nem24	peak11015	ARCH1552_Pbx4/Pbx2/Pbx1	""	VAx-EMX-Like	Homeodomains.HG1.42:VAX1/VAX2	Homeodomain	0.12	TRUE
Nem24	peak11015	ARCH394_/E2f4_E2f6_E2f8/E2f7	""	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F...	E2F_TDP/E2F_CC-MB	0.07	FALSE
Nem24	peak11015	M00490_2.00	Dmbx1	""	Homeodomains.HG2.75:DMBX1	Homeodomain	0.07	FALSE
Nem24	peak11015	ARCH1546_Meis3/Meis2/Meis1_...	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/...	Homeodomain	0.06	FALSE
Nem24	peak11017	ARCH484_Tbx3/Tbx2	Tbx3/Tbx2	""	T-box.HG1.11:TBX2/TBX3	T-box	0.16	TRUE
Nem24	peak11017	ARCH837_Tbx10/Tbx1_Tbx18/Tb...	Tbx5/Tbx4	""	T-box.HG1.12:TBX4/TBX5	T-box	0.11	TRUE
Nem24	peak11018	ARCH1362_Six1/_Six4/Six5	Meox2/Meox1	""	Homeodomains.HG1.64:MEOX1/M...	Homeodomain	0.11	TRUE
Nem24	peak11018	M00164_2.00	""	""	Forkhead.HG1.17:like:FOXI1/...	Forkhead	0.08	FALSE
Nem7	peak11020	ARCH1043_ZNF652	Gli2/Gli3/Gli1	""	zf-C2H2.HG4.10:GLI1/GLI2/GLI3	zf-C2H2/zf-C2H2/zf-C2H2	0.1	FALSE
Nem7	peak11020	M01207_2.00	Ybx1/Ybx2/Ybx3	""	CSD.HG1.6:YBX1/YBX2/YBX3	CSD	0.08	FALSE
Nem7	peak11020	ARCH895_Foxn4/Foxn1	""	""	Forkhead.HG1.5:FOXQ1	Forkhead	0.08	FALSE
Nem7	peak11021	ARCH895_Foxn4/Foxn1	""	""	Forkhead.HG1.5:FOXQ1	Forkhead	0.08	FALSE
Nem7	peak11022	ARCH1387_MYB105	""	""	Myb.HG3.0:like:HSPA14/MSANT...	Myb_DNA-bind_4	0.28	TRUE
Nem7	peak11022	M01726_2.00	""	""	HLH.HG1.50:HES3	HLH	0.26	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG2.6:like:AC0...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG1.5:like:AC0...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG3.5:like:IRX...	SIX1_SD/Homeobox_KN	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	Nanog	""	Homeodomains.HG1.18:NANOG/N...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG1.5:like:AC0...	Homeodomain	0.22	TRUE
Nem7	peak11022	ARCH273_HOXD3	""	""	Homeodomains.HG1.23:like:HH...	Homeodomain	0.07	FALSE
Nem7	peak11022	M00525_2.00	""	""	Homeodomains.HG1.27:like:AC...	Homeodomain	0.07	FALSE
Nem7	peak11023	ARCH895_Foxn4/Foxn1	""	""	Forkhead.HG1.5:FOXQ1	Forkhead	0.06	FALSE
Nem7	peak11024	ARCH895_Foxn4/Foxn1	""	""	Forkhead.HG1.5:FOXQ1	Forkhead	0.08	FALSE
Nem7	peak11024	M00164_2.00	""	""	Forkhead.HG1.17:like:FOXI1/...	Forkhead	0.06	FALSE
