motif_name,source,TF_Name
M00115_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M00115_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M01659_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M01659_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M01659_2.00,CisBP_N,Nvec_vc1.1_XM_048724160.1
M01660_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M01660_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M01664_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M01664_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M01664_2.00,CisBP_N,Nvec_vc1.1_XM_048724160.1
M01667_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M01667_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M02651_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M02651_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M03590_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M03590_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M03590_2.00,CisBP_N,Nvec_vc1.1_XM_048724160.1
M05899_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M05899_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M05899_2.00,CisBP_N,Nvec_vc1.1_XM_048724160.1
M09768_2.00,CisBP_I,Nvec_vc1.1_XM_048722594.1
M09768_2.00,CisBP_I,Nvec_vc1.1_XM_032362135.2
M09768_2.00,CisBP_N,Nvec_vc1.1_XM_048724160.1
M00116_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M01657_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M01661_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M01663_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M08707_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M08708_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M09767_2.00,CisBP_I,Nvec_vc1.1_XM_032366646.2
M03595_2.00,CisBP_I,Nvec_vc1.1_XM_032379775.2
M05937_2.00,CisBP_I,Nvec_vc1.1_XM_032379775.2
M01751_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M02787_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M04124_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M04125_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M08725_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M08776_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M09478_2.00,CisBP_I,Nvec_vc1.1_XM_032372025.2
M01718_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M03605_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M03606_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M05955_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M05956_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M07538_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M08052_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M08722_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M08766_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M09657_2.00,CisBP_I,Nvec_vc1.1_XM_032384433.2
M00121_2.00,CisBP_I,Nvec_vc1.1_XM_048721183.1
M00122_2.00,CisBP_I,Nvec_vc1.1_XM_048721183.1
M00938_2.00,CisBP_I,Nvec_vc1.1_XM_048721183.1
M01753_2.00,CisBP_I,Nvec_vc1.1_XM_048721183.1
M08778_2.00,CisBP_I,Nvec_vc1.1_XM_048721183.1
M08763_2.00,CisBP_I,Nvec_vc1.1_XM_032363017.2
M03620_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M04156_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M04157_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M05990_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M05991_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M08736_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M08757_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M09470_2.00,CisBP_I,Nvec_vc1.1_XM_032385496.2
M01815_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M02729_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M02824_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M04009_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M04227_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M04228_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M08783_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M08836_2.00,CisBP_I,Nvec_vc1.1_XM_048728399.1
M00123_2.00,CisBP_I,Nvec_vc1.1_XM_001628737.3
M00123_2.00,CisBP_I,Nvec_vc1.1_XM_032376926.2
M00126_2.00,CisBP_I,Nvec_vc1.1_XM_001628737.3
M00126_2.00,CisBP_I,Nvec_vc1.1_XM_032376926.2
M01814_2.00,CisBP_I,Nvec_vc1.1_XM_001628737.3
