seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	2176232	2176482	peak553	.	*	3.38036692968088	9.92341085346058e-11	1.31635689794545e-07
NC_064034.1	2177522	2177772	peak556	.	*	4.5045573676685	0.000289959455061831	0.0232912057388429
NC_064034.1	2191048	2191298	peak570	.	*	2.16067736676782	0.000590800588077682	0.0388856116601307
NC_064034.1	2799821	2800071	peak836	.	*	4.36356373289456	1.12334121153212e-17	1.66209565658292e-13
NC_064034.1	3301046	3301296	peak1007	.	*	7.6314544426501	5.57193138208712e-05	0.00697481359808468
NC_064034.1	3532268	3532518	peak1107	.	*	4.77210349933195	4.83901301816777e-05	0.00638128668599023
NC_064034.1	4135195	4135445	peak1294	.	*	1.47369093845529	1.47021067489887e-06	0.000413559641555202
NC_064034.1	4190104	4190354	peak1336	.	*	1.49310678234849	0.000662703271959246	0.0430059544381974
NC_064034.1	4683178	4683428	peak1541	.	*	2.80342267682738	3.13781525443108e-07	0.000115490334588463
NC_064034.1	5035681	5035931	peak1715	.	*	8.38592153542367	9.60990920669722e-05	0.0105168799276843
NC_064034.1	5036862	5037112	peak1718	.	*	4.80525555725323	7.81317134739394e-11	1.09060078543435e-07
NC_064034.1	5112344	5112594	peak1744	.	*	2.31270371030868	1.33009207263765e-06	0.000379923596655342
NC_064034.1	5382139	5382389	peak1858	.	*	7.92920671442853	1.87601002454018e-05	0.00305698726025291
NC_064034.1	6662773	6663023	peak2271	.	*	3.69841519847782	4.05438580135724e-14	1.42830219802099e-10
NC_064034.1	6665755	6666005	peak2274	.	*	7.45999764523663	2.91710334106165e-11	4.5916447908881e-08
NC_064034.1	6681029	6681279	peak2282	.	*	8.62379630388527	0.000286585812346657	0.0231443534780761
NC_064034.1	6694213	6694463	peak2292	.	*	1.12035389739649	0.000283283634620337	0.0231443534780761
NC_064034.1	6725498	6725748	peak2316	.	*	4.87569075828818	1.87404999099114e-06	0.000515398581165518
NC_064034.1	6726314	6726564	peak2317	.	*	1.94796180222796	2.63119877047036e-07	9.98236333535369e-05
NC_064034.1	6736705	6736955	peak2333	.	*	5.97902892222524	2.71227858958088e-05	0.00418029937619154
NC_064034.1	6737125	6737375	peak2334	.	*	4.15105252686084	4.92260430062735e-07	0.000169383379609494
NC_064034.1	6737445	6737695	peak2335	.	*	3.61312855086076	0.000510119441777305	0.0348785917769732
NC_064034.1	7295006	7295256	peak2551	.	*	3.33482013649067	6.3607073198874e-09	4.35708451412287e-06
NC_064034.1	7295489	7295739	peak2552	.	*	1.84291612923719	3.73608323380506e-06	0.000864800421216103
NC_064034.1	7479095	7479345	peak2606	.	*	7.94431033752911	0.000859234953606861	0.0489347204525293
NC_064034.1	7697896	7698146	peak2665	.	*	7.89166528676065	9.60990920669722e-05	0.0105168799276843
NC_064034.1	7698834	7699084	peak2666	.	*	2.62754253781945	4.16110146785144e-05	0.005721901237763
NC_064034.1	7699653	7699903	peak2668	.	*	5.17908538194477	3.36589817796101e-05	0.00475208296193808
NC_064034.1	7700023	7700273	peak2669	.	*	2.0868339248391	0.000252788284527908	0.0215701197969117
NC_064034.1	7981197	7981447	peak2794	.	*	4.65030466443078	0.000141749312672034	0.0143455863357242
NC_064034.1	7982200	7982450	peak2796	.	*	2.00421314800786	8.88049652595818e-06	0.00174265022013365
NC_064034.1	8111327	8111577	peak2863	.	*	2.15717371256059	0.000115032769354013	0.0122978674520374
NC_064034.1	8211527	8211777	peak2906	.	*	2.64416387979674	0.000754496265834978	0.0468268739483823
NC_064034.1	8212643	8212893	peak2909	.	*	2.97739422338981	2.16454739137387e-06	0.000559906349698738
NC_064034.1	8213178	8213428	peak2910	.	*	1.47001366747366	0.000357727775070971	0.0271432828715389
NC_064034.1	8770342	8770592	peak3113	.	*	4.26439502919161	3.53032570649972e-05	0.00495585380961763
NC_064034.1	9469369	9469619	peak3432	.	*	4.13427071603355	1.80747096744994e-10	2.09582999766033e-07
NC_064034.1	9795194	9795444	peak3560	.	*	5.11561213994212	1.92057105775656e-11	3.30427550820536e-08
NC_064034.1	10426340	10426590	peak3832	.	*	6.55199141410584	8.00953109016953e-05	0.00930212103690333
NC_064034.1	11232517	11232767	peak4092	.	*	1.02494980858948	0.000148574503629587	0.0146358745386376
NC_064034.1	11848032	11848282	peak4341	.	*	2.23041722944233	7.89039732000812e-09	5.06895928236957e-06
NC_064034.1	12314955	12315205	peak4487	.	*	9.14051572975578	2.7170488625171e-08	1.48894277665937e-05
NC_064034.1	12399079	12399329	peak4503	.	*	3.09869850471073	6.76533360333065e-05	0.00816475334379121
NC_064034.1	12475728	12475978	peak4567	.	*	3.84217192381507	0.000504764902734784	0.0348019641233172
NC_064034.1	13384253	13384503	peak4950	.	*	3.73477701267237	5.74826617301969e-06	0.00122552372184437
NC_064034.1	13385384	13385634	peak4951	.	*	8.21149235830773	0.000495810487719204	0.0344839248940805
NC_064034.1	13417141	13417391	peak4968	.	*	1.6614043173828	4.81191894472018e-05	0.0063568886344714
NC_064034.1	13432032	13432282	peak4984	.	*	1.9034424336279	0.000106258029500903	0.011492644769703
NC_064034.1	13502177	13502427	peak5020	.	*	1.53081227866052	0.000147399100090627	0.0145588590449994
NC_064034.1	15884673	15884923	peak5541	.	*	8.71967570337499	1.23681570260392e-06	0.000356030073683512
NC_064034.1	15884968	15885218	peak5542	.	*	6.91049576622067	0.000137916714491232	0.0142302350600577
NC_064034.1	16094998	16095248	peak5636	.	*	5.43371332197679	9.80902426425437e-05	0.0107031211662174
NC_064034.1	16426082	16426332	peak5717	.	*	3.72096741207558	0.000732928195869549	0.0461464067493015
NC_064034.1	17023125	17023375	peak5941	.	*	2.85266799319343	1.28823164683804e-05	0.00228545269144073
NC_064034.1	17059360	17059610	peak5958	.	*	1.34549738157608	0.000165067418188591	0.0156518110927796
NC_064034.1	17726748	17726998	peak6153	.	*	7.203801307293	4.65179007648839e-05	0.00626847777520238
NC_064034.1	18386294	18386544	peak6363	.	*	3.78906744392566	2.52655799182639e-05	0.0040024573926192
NC_064034.1	18451151	18451401	peak6378	.	*	2.85204995275538	3.26938208641631e-06	0.000803551118780992
NC_064034.1	19072798	19073048	peak6657	.	*	6.28988394508642	8.55478180672882e-10	8.01117415268099e-07
NC_064034.1	19073154	19073404	peak6658	.	*	2.42556495877855	5.52881152614336e-06	0.00119248243937051
NC_064034.1	19302178	19302428	peak6718	.	*	3.34137673415042	1.3032274078571e-07	5.63817331188704e-05
NC_064034.1	19397268	19397518	peak6777	.	*	5.18954440404111	3.4471542259065e-07	0.000125625847109637
NC_064034.1	19429585	19429835	peak6795	.	*	8.45202324494976	1.08902721199912e-05	0.00197466257705135
NC_064034.1	19470192	19470442	peak6807	.	*	7.69134286167959	5.57192508800648e-05	0.00697481359808468
NC_064034.1	20350814	20351064	peak7148	.	*	2.30878333680535	2.47954483686765e-05	0.00393641045131908
NC_064034.1	21139047	21139297	peak7409	.	*	1.83391843667235	6.4317349159254e-06	0.00132172152522267
NC_064034.1	21502542	21502792	peak7578	.	*	1.32289093574564	1.43189758622159e-07	5.98484652139395e-05
NC_064035.1	1424300	1424550	peak7995	.	*	1.49307977807208	0.000769542737241368	0.0476009796832077
NC_064035.1	1789288	1789538	peak8154	.	*	2.43346757210474	0.000564390773749801	0.0375482279154769
NC_064035.1	2309820	2310070	peak8335	.	*	3.10526658243238	0.000250830711021896	0.0214773796312498
NC_064035.1	2310187	2310437	peak8336	.	*	1.35838714521866	0.000112908440058527	0.0121057483993186
NC_064035.1	2313014	2313264	peak8340	.	*	2.40071749724569	3.740688494041e-06	0.000864800421216103
NC_064035.1	2313340	2313590	peak8341	.	*	2.94626615904325	2.83892872034712e-08	1.5442937259653e-05
NC_064035.1	2313811	2314061	peak8342	.	*	8.0744313042862	3.23248235516671e-05	0.00461658387326705
NC_064035.1	3599293	3599543	peak8878	.	*	4.60112389830049	7.06970010908294e-06	0.00143685828041197
NC_064035.1	3600343	3600593	peak8879	.	*	1.74466297499968	1.29466108630208e-06	0.000371236539397782
NC_064035.1	4261937	4262187	peak9124	.	*	6.74541949111017	0.000859234953606861	0.0489347204525293
NC_064035.1	5342378	5342628	peak9551	.	*	2.92292725160722	1.57928776127853e-06	0.000437586923518299
NC_064035.1	5561656	5561906	peak9684	.	*	8.11775929343457	0.000165869422772901	0.0156518110927796
NC_064035.1	5709646	5709896	peak9747	.	*	2.95798912314044	2.02431622328434e-09	1.66398793553973e-06
NC_064035.1	5711164	5711414	peak9748	.	*	5.47769635184116	6.96897272352503e-09	4.64472614492236e-06
NC_064035.1	5739835	5740085	peak9763	.	*	1.80259827402197	3.08641478947378e-05	0.00458499931978454
NC_064035.1	5783522	5783772	peak9782	.	*	2.14303824670965	0.00085732075435737	0.0489347204525293
NC_064035.1	6245363	6245613	peak9959	.	*	3.62268083306781	1.02933667018449e-06	0.000308300918462545
NC_064035.1	7158631	7158881	peak10276	.	*	1.68021882367834	1.34773511081568e-06	0.000382013193479478
NC_064035.1	7288794	7289044	peak10316	.	*	2.54420465992232	4.77946899607064e-05	0.00634015091398368
NC_064035.1	7310141	7310391	peak10326	.	*	6.22843044002249	6.17082602503e-07	0.000202758732648068
NC_064035.1	7310501	7310751	peak10327	.	*	5.54124297631267	4.74452601457867e-05	0.00633574069600235
NC_064035.1	7543280	7543530	peak10398	.	*	2.15635465166146	0.00035552454367398	0.0270038046622187
NC_064035.1	7555090	7555340	peak10405	.	*	6.04702860470706	7.16746322917461e-12	1.51499694198382e-08
NC_064035.1	7556081	7556331	peak10407	.	*	3.85630892119061	0.000506543899464986	0.0348272469167469
NC_064035.1	7557212	7557462	peak10409	.	*	2.17272935296069	1.12467518830204e-12	2.77344901435283e-09
NC_064035.1	7557772	7558022	peak10410	.	*	3.76047222308438	0.00010487438930984	0.0113762570691232
NC_064035.1	7558094	7558344	peak10411	.	*	4.73516486021564	0.000188068721112601	0.017219460381077
NC_064035.1	7558402	7558652	peak10412	.	*	2.20248927318492	2.99517766664752e-07	0.000111348363707831
NC_064035.1	7872026	7872276	peak10500	.	*	5.7324197397356	2.7338574088986e-05	0.0041872600216163
NC_064035.1	7887655	7887905	peak10508	.	*	5.07763339146167	3.65079087663486e-14	1.35042754526724e-10
NC_064035.1	7888133	7888383	peak10509	.	*	5.56763099580184	8.80578074074749e-10	8.14314574000624e-07
NC_064035.1	7889044	7889294	peak10511	.	*	1.75057470958148	5.488700492929e-08	2.6770469497727e-05
NC_064035.1	7889945	7890195	peak10512	.	*	2.32717333557491	0.000305285647500926	0.0240778594905315
NC_064035.1	7891869	7892119	peak10516	.	*	2.20031988097678	0.000347987462736388	0.026650219972296
NC_064035.1	7892883	7893133	peak10519	.	*	2.81222111901633	2.72849146245284e-17	3.36422997320435e-13
NC_064035.1	7896425	7896675	peak10524	.	*	7.6331682608278	0.000495810487719204	0.0344839248940805
NC_064035.1	7905140	7905390	peak10538	.	*	3.72214488944619	9.48464432101638e-10	8.55699983986332e-07
NC_064035.1	7905428	7905678	peak10539	.	*	3.48558082355739	2.21051922507552e-09	1.75843239001169e-06
NC_064035.1	7907077	7907327	peak10542	.	*	3.24922404655399	1.14475714092454e-11	2.28889549420534e-08
NC_064035.1	8468787	8469037	peak10732	.	*	2.12539634256078	0.000135166545098439	0.0140247138939446
NC_064035.1	8599326	8599576	peak10784	.	*	7.9372298266711	0.000286585812346657	0.0231443534780761
NC_064035.1	8682340	8682590	peak10813	.	*	1.14367114742734	0.000300093337206392	0.0238976373374907
NC_064035.1	8737344	8737594	peak10833	.	*	4.04905979123582	8.60808645544903e-07	0.000262068409865893
NC_064035.1	8898663	8898913	peak10896	.	*	1.96927509406229	0.000692297984501906	0.0447694098718978
NC_064035.1	8988581	8988831	peak10939	.	*	5.19838503469304	4.7821089618855e-05	0.00634015091398368
NC_064035.1	8995070	8995320	peak10950	.	*	6.21941740176065	2.71227858958088e-05	0.00418029937619154
NC_064035.1	9011208	9011458	peak10965	.	*	3.94831093405679	0.00073011072031923	0.0460473922329212
NC_064035.1	9298348	9298598	peak11066	.	*	2.73549342613856	0.00018192482254774	0.0167912164063924
NC_064035.1	9394636	9394886	peak11124	.	*	2.95753708825897	6.68994058724372e-07	0.000215183393323605
NC_064035.1	9395546	9395796	peak11125	.	*	7.31391581380381	9.60990920669722e-05	0.0105168799276843
NC_064035.1	9471507	9471757	peak11151	.	*	5.52793100700574	3.37960859106645e-13	9.61628629104216e-10
NC_064035.1	9640184	9640434	peak11235	.	*	1.83530953008142	7.67277556024757e-06	0.00154668102437906
NC_064035.1	10763922	10764172	peak11638	.	*	3.92384938989723	0.000853281621042357	0.0489347204525293
NC_064035.1	10765284	10765534	peak11639	.	*	2.56913691951304	2.48237886423407e-13	7.34585553504146e-10
NC_064035.1	12531365	12531615	peak12321	.	*	3.35639085485399	5.45409095168171e-10	5.24017725461575e-07
NC_064035.1	12579926	12580176	peak12346	.	*	6.26637717063578	3.27201865407651e-09	2.44509030331899e-06
NC_064035.1	13172089	13172339	peak12600	.	*	1.5886723420394	0.000367151545887836	0.0278013012945569
NC_064035.1	13179660	13179910	peak12602	.	*	1.48486734357779	0.000551659254787651	0.0369558116793571
NC_064035.1	13490114	13490364	peak12683	.	*	1.733072019836	3.86806478204578e-09	2.78994852317535e-06
NC_064035.1	13927779	13928029	peak12810	.	*	1.33435588116767	9.38461068544478e-07	0.000283376938167022
NC_064035.1	14440828	14441078	peak12976	.	*	4.25393996226537	0.000721718543946107	0.0458700497260593
NC_064035.1	14441475	14441725	peak12978	.	*	1.04967581787737	0.000429657027275975	0.0317399427644131
NC_064035.1	14443746	14443996	peak12981	.	*	3.90495296708138	2.16331293116361e-05	0.00347917153581487
NC_064035.1	14711855	14712105	peak13084	.	*	7.81364709302569	0.000286585812346657	0.0231443534780761
NC_064035.1	14712454	14712704	peak13085	.	*	2.86285858175611	0.000310194200959162	0.0242826769450985
NC_064035.1	14712949	14713199	peak13086	.	*	6.87678601738536	3.06683345943611e-06	0.000767996613045781
NC_064035.1	14715119	14715369	peak13087	.	*	1.46340477147186	0.000179340546016571	0.0166260947201471
NC_064035.1	14715435	14715685	peak13088	.	*	1.35630500246474	0.000433663617985186	0.0318910879309583
NC_064035.1	14716268	14716518	peak13089	.	*	1.11223827759768	8.47831119958271e-07	0.000259184075431871
NC_064035.1	14827677	14827927	peak13150	.	*	2.74680673518578	8.9656489629197e-06	0.00175470558274286
NC_064035.1	15515026	15515276	peak13356	.	*	4.22992613044874	2.03192358223285e-08	1.19302941756815e-05
NC_064035.1	15717391	15717641	peak13452	.	*	1.49954817650122	0.000131328677751352	0.0136840782817535
NC_064035.1	16299453	16299703	peak13638	.	*	3.57328148650984	0.000199057464868532	0.0179369929975322
NC_064035.1	16389942	16390192	peak13747	.	*	3.27981434478722	0.000115451900450908	0.0123227556960298
NC_064035.1	16534539	16534789	peak13800	.	*	3.21004894734944	4.35748396210828e-07	0.000152780409249654
NC_064035.1	17312034	17312284	peak14147	.	*	2.45000623167218	3.88012223709904e-06	0.000891464109008034
NC_064035.1	18260612	18260862	peak14490	.	*	6.02204829647627	1.57185024398514e-05	0.00266020574133937
NC_064035.1	18260969	18261219	peak14491	.	*	4.46079457421513	0.000244089836244051	0.0211201942518536
NC_064035.1	18420876	18421126	peak14578	.	*	1.5760696476289	1.21036257810259e-07	5.32991806714463e-05
NC_064035.1	18422946	18423196	peak14582	.	*	2.3370324872818	1.9281316824858e-06	0.000524409267837218
NC_064035.1	18875751	18876001	peak14790	.	*	2.08042525971951	2.47155496412335e-06	0.000634880681409186
NC_064035.1	19920846	19921096	peak15238	.	*	1.83830434942271	8.68134818623523e-06	0.00171723566528792
NC_064035.1	19965545	19965795	peak15250	.	*	7.57850194546412	0.000286585812346657	0.0231443534780761
NC_064035.1	19966532	19966782	peak15251	.	*	9.05406306170183	2.7170488625171e-08	1.48894277665937e-05
NC_064035.1	19967661	19967911	peak15254	.	*	2.89893894902614	4.76056229441674e-07	0.000164573083430351
NC_064035.1	19974506	19974756	peak15258	.	*	5.4918767758455	5.07801336371129e-10	5.00895238196482e-07
NC_064035.1	19974894	19975144	peak15259	.	*	3.39764159930051	1.37595197379222e-19	5.08964635105742e-15
NC_064035.1	19975582	19975832	peak15260	.	*	6.82860634953685	0.000859234953606861	0.0489347204525293
NC_064035.1	21217847	21218097	peak15586	.	*	3.13044775257153	7.64121440549779e-07	0.000237805088931532
NC_064035.1	21218026	21218275	peak15587	.	*	7.75418372045512	2.13090533903918e-06	0.000557047268488052
NC_064035.1	21219081	21219331	peak15589	.	*	2.64977037556074	3.33105750278622e-06	0.000814493094434929
NC_064035.1	21395617	21395867	peak15628	.	*	5.87505264932205	1.18705241683281e-07	5.29024926489705e-05
NC_064036.1	1343207	1343457	peak16098	.	*	6.55549514008207	3.10396035821423e-06	0.000767996613045781
NC_064036.1	1343570	1343820	peak16099	.	*	4.9542429885649	0.000492474081847895	0.0344839248940805
NC_064036.1	1344324	1344574	peak16101	.	*	4.04256404626577	7.74629109320436e-18	1.43267653768815e-13
NC_064036.1	1344740	1344990	peak16102	.	*	2.99701571849184	7.25272675330179e-11	1.03183985617167e-07
NC_064036.1	1345030	1345280	peak16103	.	*	1.17476270837694	4.87894396093379e-06	0.00108067147973019
NC_064036.1	1347054	1347304	peak16105	.	*	4.84302747587438	3.47893525294839e-05	0.0048929967683103
NC_064036.1	1696065	1696315	peak16293	.	*	1.99239382626748	3.30125059224246e-08	1.76975738271085e-05
NC_064036.1	2249672	2249922	peak16491	.	*	7.77799669790748	0.000286585812346657	0.0231443534780761
NC_064036.1	2273252	2273502	peak16515	.	*	1.08469501420256	0.000609531817969883	0.0398701714353775
NC_064036.1	2278725	2278975	peak16520	.	*	1.62755912735269	8.65355095535915e-05	0.00978883332840168
NC_064036.1	2413856	2414106	peak16569	.	*	5.2222396249225	8.29798827299849e-05	0.00941541675515995
NC_064036.1	3570555	3570805	peak16982	.	*	3.71903614857884	8.24857636561038e-06	0.00164926940412934
NC_064036.1	3961133	3961383	peak17109	.	*	2.07165724696453	0.000150841240547542	0.0148394082123765
NC_064036.1	3964719	3964969	peak17114	.	*	2.75534516381005	6.39972413490017e-05	0.00779986147446317
NC_064036.1	4229870	4230120	peak17199	.	*	1.95649675399776	0.000301780887027771	0.0239803974460951
NC_064036.1	4832718	4832968	peak17411	.	*	2.93912042025959	4.36539517354268e-05	0.00593467869492019
NC_064036.1	5067627	5067877	peak17505	.	*	8.26160518111426	0.000286585812346657	0.0231443534780761
NC_064036.1	5100704	5100954	peak17522	.	*	1.26733154173683	9.88563984648434e-06	0.0018514927489694
NC_064036.1	6266059	6266309	peak17989	.	*	1.3995337394311	0.000806745105074571	0.0489347204525293
NC_064036.1	7583063	7583313	peak18601	.	*	1.83203345979268	0.000136825789505365	0.0141769914672365
NC_064036.1	7732202	7732452	peak18668	.	*	2.52263674363926	2.85386204601467e-05	0.00428252969907029
NC_064036.1	7790133	7790382	peak18676	.	*	7.11673401898208	0.000859234953606861	0.0489347204525293
NC_064036.1	8332626	8332876	peak18923	.	*	6.8908624344454	0.000286585487042305	0.0231443534780761
NC_064036.1	9396712	9396962	peak19228	.	*	4.47835915900428	8.26545917719907e-05	0.00940736415275673
NC_064036.1	9520330	9520580	peak19272	.	*	3.75721795785043	0.000501224370346936	0.0346547466525854
NC_064036.1	10021940	10022190	peak19481	.	*	1.25929654443607	6.90472066056399e-06	0.00140719348338436
NC_064036.1	10036271	10036521	peak19488	.	*	4.43760051319547	4.28765630016862e-16	3.17200813086474e-12
NC_064036.1	10037343	10037593	peak19491	.	*	2.67723534213604	6.54116604076646e-11	9.48853850384123e-08
NC_064036.1	10147132	10147382	peak19567	.	*	5.28583609088673	0.000141195705011427	0.0143287622555287
NC_064036.1	10147370	10147619	peak19568	.	*	4.56132396188876	2.5841532117458e-11	4.2483478801101e-08
NC_064036.1	10147554	10147804	peak19569	.	*	3.26031011692744	1.54890803070571e-15	8.81447816243143e-12
NC_064036.1	10910479	10910729	peak19902	.	*	3.32167351404481	3.5745845077453e-09	2.61829467210888e-06
NC_064036.1	10910673	10910922	peak19903	.	*	3.96579409979814	9.78421409680075e-06	0.00184391267155795
NC_064036.1	11204326	11204576	peak20048	.	*	9.15135983561295	2.7170488625171e-08	1.48894277665937e-05
NC_064036.1	11209073	11209323	peak20053	.	*	2.13048424194273	1.69790068644185e-07	6.86397228322231e-05
NC_064036.1	11211500	11211750	peak20057	.	*	1.98997204910578	6.97685745421669e-13	1.83081862541479e-09
NC_064036.1	11995608	11995858	peak20362	.	*	1.31821623020958	3.30285941407197e-05	0.00469895268178931
NC_064036.1	11996608	11996858	peak20364	.	*	1.51033400399087	1.21579019097642e-05	0.00219375995923014
NC_064036.1	12630390	12630640	peak20626	.	*	8.17109833211375	5.57192508800648e-05	0.00697481359808468
NC_064036.1	13064009	13064259	peak20824	.	*	2.51867697088784	0.00058542831405326	0.0385663282935531
NC_064036.1	13339322	13339572	peak20926	.	*	3.39516966492631	2.72079457478273e-11	4.37574744874841e-08
NC_064036.1	13448410	13448660	peak20949	.	*	6.68298015810096	7.52003856348042e-09	4.92329604359541e-06
NC_064036.1	13579463	13579713	peak21020	.	*	1.84399269563068	1.8113213840182e-08	1.08944354463143e-05
NC_064036.1	13777156	13777406	peak21143	.	*	1.85482642601202	2.60186972378705e-05	0.0040954536631014
NC_064036.1	14077133	14077383	peak21259	.	*	3.43101299841531	0.000145114256842987	0.014507503677357
NC_064036.1	14652190	14652440	peak21470	.	*	2.53220165254742	5.09561728416426e-07	0.000174073394885601
