gene	cell_type	rank	mcfp	umi	total_umi	max_chromvar	gene_name	common_name	og	pfam
Nvec_NVE19743	ectoderm.epidermis	69	7.27244902671119	1837	72685	9.35738931641871	""	""	HLH.HG1.55:like:TCF23/TCF24	HLH
Nvec_NVE23841	ectoderm.embryonic	3	13.5231544918738	29327	66247	10.2578814506829	""	SoxB2/Sox3	HMGbox_Sox.HG1.34:SRY	HMG_box
Nvec_NVE7697	neuronal	956	1.39886006897039	38	1183	17.9489328165379	Hopx	""	Homeodomains.HG2.24:like:LEUTX	Homeodomain
Nvec_v1g19278	cnidocyte	17	6.94180907778092	4226	10981	58.2692622269452	Klf13	Klf13	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16	zf-C2H2/zf-C2H2/zf-C2H2
Nvec_v1g210540	neuronal	46	4.88950496540503	245	432	53.320481733536	Ascl1/Ascl2	""	HLH.HG1.68:like:ASCL3/ASCL4/ASCL5	HLH
Nvec_v1g241767	cnidocyte	61	3.33859638217499	607	728	40.6124959992678	""	""	bZIP.HG1.3:like:JUN/JUNB/JUND	Jun
Nvec_v1g244929	ectoderm.embryonic	6852	1.28339058198983	370	1229	14.6497173082785	Zfp438	""	zf-C2H2.HG1.14:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	zf-C2H2/zf-C2H2
Nvec_v1g90177	ectoderm.epidermis	260	3.04714522956197	84	1347		Hmga1b	""	AT_hook.HG1.0:HMGA2	AT_hook/AT_hook/AT_hook/AT_hook
Nvec_v1g93844	ectoderm.embryonic	10705	1.06209432347751	47	132		""	""	zf-C4_Nuclear_receptors.HG1.13:NR4A1/NR4A2/NR4A3	zf-C4/Hormone_recep
Nvec_v1g99666	mesendoderm.embryonic	7441	1.02533535055331	12	13	10.8100942783708	""	""	HLH.HG1.93:like:SCX/TCF15	HLH
Nvec_vc1.1_XM_001618929.3	mesendoderm.embryonic	4319	1.08947175442112	78	320	12.0109180088686	Zfp758/Zfp994/Zfp946/Zfp947/Zfp982/Zfp229	""	zf-C2H2.HG10.1:ZFP3/ZNF319/ZNF449/ZNF574	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_11/zf-C2H2/zf-C2H2/zf-C2H2_11/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
