seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	746884	747134	peak50	.	*	2.19082461295451	0.000199812080552392	0.030255141122923
NC_064034.1	847336	847586	peak93	.	*	2.62745062613911	2.10795416341744e-08	3.15635687744957e-05
NC_064034.1	865372	865622	peak102	.	*	7.56865173940676	4.98442265321842e-05	0.0120378273403767
NC_064034.1	1584394	1584644	peak318	.	*	3.89595755861502	7.56313113224217e-08	8.56986650415993e-05
NC_064034.1	2272816	2273066	peak622	.	*	4.20144642887325	1.98795014392429e-06	0.00103038514344433
NC_064034.1	6131394	6131644	peak2085	.	*	6.08436122352965	7.63111248348342e-08	8.56986650415993e-05
NC_064034.1	6132296	6132546	peak2086	.	*	7.59010825281823	2.84862839467883e-05	0.00793154668850638
NC_064034.1	7714408	7714658	peak2676	.	*	3.48397652346019	1.46730155311207e-05	0.00477624376571228
NC_064034.1	7814341	7814591	peak2702	.	*	8.0626350686104	5.29619241436803e-06	0.00218934196977014
NC_064034.1	7819561	7819811	peak2706	.	*	4.13417260216736	2.15503585106403e-07	0.000196932256375657
NC_064034.1	7901866	7902116	peak2749	.	*	7.52717014866447	8.71816681904471e-05	0.0166886022282401
NC_064034.1	8137135	8137385	peak2873	.	*	8.03784341533089	4.9844028089655e-05	0.0120378273403767
NC_064034.1	8716348	8716598	peak3075	.	*	8.27992521434069	1.80277092992572e-08	2.76073881884829e-05
NC_064034.1	8913973	8914223	peak3197	.	*	6.56702930725821	0.000466508033101797	0.0492390510046068
NC_064034.1	9667394	9667644	peak3488	.	*	6.92748150458344	8.06146780587252e-14	2.71594881113748e-09
NC_064034.1	9667550	9667799	peak3489	.	*	4.69580473627473	4.69082676588249e-07	0.000380810359411961
NC_064034.1	9669088	9669338	peak3492	.	*	5.94539211246996	1.30974379684175e-06	0.000787962917633872
NC_064034.1	10089983	10090233	peak3646	.	*	2.81234966522216	1.33429878363678e-07	0.000134188636328701
NC_064034.1	10267058	10267308	peak3748	.	*	1.83836195114786	3.48301687594668e-05	0.00931306190945092
NC_064034.1	10498333	10498583	peak3876	.	*	1.88823794004782	0.000135466284499173	0.0228768263554857
NC_064034.1	10669143	10669393	peak3933	.	*	7.00438476473619	0.000266640074976104	0.0338351692880695
NC_064034.1	10822676	10822926	peak3960	.	*	7.48003664414588	0.000152460964500711	0.0241149583310385
NC_064034.1	10823650	10823900	peak3962	.	*	7.63611565855284	1.62708525466461e-05	0.0051231136235774
NC_064034.1	10824067	10824317	peak3963	.	*	8.25288244767153	9.76225897009607e-07	0.000614757730527143
NC_064034.1	11229318	11229568	peak4083	.	*	2.39306022669724	0.000174107397020469	0.0267843162525942
NC_064034.1	13112927	13113177	peak4857	.	*	7.19637508157038	2.84862839467883e-05	0.00793154668850638
NC_064034.1	13176375	13176625	peak4866	.	*	7.42602916131379	0.000466508033101797	0.0492390510046068
NC_064034.1	13499527	13499777	peak5015	.	*	1.30685938392565	5.25404046263507e-05	0.0124655810004512
NC_064034.1	13557839	13558089	peak5051	.	*	8.2271812647705	2.84862839467883e-05	0.00793154668850638
NC_064034.1	13569921	13570171	peak5064	.	*	4.58577036346854	4.79958658040676e-07	0.000385001123064748
NC_064034.1	15547481	15547731	peak5443	.	*	6.15511642620317	1.319902615727e-08	2.22340895375753e-05
NC_064034.1	15548683	15548933	peak5444	.	*	3.35825013071666	0.000100221492847201	0.0184006114701287
NC_064034.1	15961800	15962050	peak5573	.	*	5.2162089021507	7.34680327084384e-06	0.00282877114967274
NC_064034.1	15969835	15970085	peak5582	.	*	7.56630168729232	0.000152460964500711	0.0241149583310385
NC_064034.1	15975163	15975413	peak5583	.	*	7.98684016428087	1.71729160990438e-06	0.000911124613913125
NC_064034.1	15979162	15979412	peak5587	.	*	5.05234083739083	0.000215442506812635	0.0319049045088839
NC_064034.1	16202968	16203218	peak5663	.	*	8.92827854451053	1.80277092992572e-08	2.76073881884829e-05
NC_064034.1	17995466	17995716	peak6240	.	*	2.24825870086975	1.75732049480695e-07	0.000169157160372268
NC_064034.1	19151999	19152249	peak6673	.	*	6.77279031288629	0.000466508033101797	0.0492390510046068
NC_064034.1	19328111	19328361	peak6746	.	*	5.4255116028394	7.57804144844158e-07	0.000531891677955669
NC_064034.1	19551523	19551773	peak6851	.	*	7.45098736561069	4.98442265321842e-05	0.0120378273403767
NC_064034.1	19996778	19997028	peak7013	.	*	1.91763745614918	1.22919631671396e-05	0.00410022163448038
NC_064034.1	20018027	20018277	peak7019	.	*	8.13006092496196	3.01741923480434e-06	0.00138310697592076
NC_064034.1	20018200	20018449	peak7020	.	*	7.23704524914369	0.000152460964500711	0.0241149583310385
NC_064034.1	20018358	20018608	peak7021	.	*	8.13813578581375	8.71816681904471e-05	0.0166886022282401
NC_064034.1	20018984	20019234	peak7022	.	*	7.67481588456736	9.28692715121524e-06	0.00325917936654184
NC_064034.1	20216748	20216998	peak7087	.	*	4.54387090375607	0.0001240422285274	0.0215414675268163
NC_064034.1	21304438	21304688	peak7505	.	*	2.20525328322571	0.000219401308515762	0.0320496368919022
NC_064034.1	21304988	21305238	peak7506	.	*	7.17188700412106	0.000266640074976104	0.0338351692880695
NC_064034.1	21305473	21305723	peak7507	.	*	2.44385011396096	0.000233470216228841	0.0327738679994073
NC_064035.1	1528384	1528634	peak8040	.	*	4.06415499671107	2.89713153041094e-05	0.00800047621518933
NC_064035.1	2031996	2032246	peak8234	.	*	4.06599839489461	9.04410188736585e-08	9.94287122645104e-05
NC_064035.1	5183291	5183541	peak9477	.	*	3.07778635685977	1.31500147447737e-07	0.000134188636328701
NC_064035.1	5184716	5184966	peak9478	.	*	4.87165752729022	8.13447778050258e-05	0.0166886022282401
NC_064035.1	8898663	8898913	peak10896	.	*	3.49705225794237	1.21607954464915e-05	0.00407936727539041
NC_064035.1	9640184	9640434	peak11235	.	*	2.61790058331289	1.3085628522749e-05	0.00430108651459195
NC_064035.1	9780364	9780614	peak11287	.	*	8.0350746804662	8.71816681904471e-05	0.0166886022282401
NC_064035.1	10520954	10521204	peak11538	.	*	4.59306196374716	0.000142656511597531	0.0239709187230753
NC_064035.1	12296698	12296948	peak12218	.	*	7.49779583358267	3.01741923480434e-06	0.00138310697592076
NC_064035.1	13358359	13358609	peak12649	.	*	2.52058856156103	9.11241446665354e-07	0.000601964312919198
NC_064035.1	13383987	13384237	peak12658	.	*	6.58931816699225	0.000266640074976104	0.0338351692880695
NC_064035.1	13385779	13386029	peak12661	.	*	1.98962289869486	2.72304492091775e-09	6.55291035058424e-06
NC_064035.1	13386204	13386454	peak12662	.	*	8.53931365098996	5.68348483934773e-09	1.16048149078815e-05
NC_064035.1	14178010	14178260	peak12897	.	*	1.70717111355679	0.000350680012728542	0.0428841559667184
NC_064035.1	15851304	15851554	peak13511	.	*	2.35695090331975	1.82743986887698e-06	0.00096199004535
NC_064035.1	15927161	15927411	peak13537	.	*	1.62838135846637	4.4649707650113e-06	0.00191654264369158
NC_064035.1	17301231	17301481	peak14138	.	*	3.16139298384899	0.00016390079776395	0.0254465429818727
NC_064035.1	17691764	17692014	peak14307	.	*	1.35952532603357	6.81052001731209e-05	0.0151306811273436
NC_064035.1	17693723	17693973	peak14313	.	*	7.34609038021806	0.000152460357975373	0.0241149583310385
NC_064035.1	17694194	17694444	peak14314	.	*	2.40483785730485	8.73353785425229e-07	0.000594418701169064
NC_064035.1	18316547	18316797	peak14500	.	*	7.04334133875411	0.000466508033101797	0.0492390510046068
NC_064035.1	19037432	19037682	peak14838	.	*	3.10610860191837	8.70118596360523e-06	0.00320379569078516
NC_064035.1	19105298	19105548	peak14872	.	*	8.08861816950565	1.71729160990438e-06	0.000911124613913125
NC_064035.1	19286584	19286834	peak14976	.	*	7.15952893618099	0.000466508033101797	0.0492390510046068
NC_064035.1	19290403	19290653	peak14983	.	*	3.76279005241575	4.35309293532636e-05	0.0110341627259782
NC_064036.1	1494660	1494910	peak16186	.	*	3.25824978482734	3.8090235228437e-07	0.000316859029620656
NC_064036.1	1495993	1496243	peak16188	.	*	4.05424974315887	3.22627033285613e-06	0.00146884676552823
NC_064036.1	1496395	1496645	peak16189	.	*	1.94064830461988	5.50903974927735e-05	0.0127124865529472
NC_064036.1	1700658	1700908	peak16298	.	*	2.75633874391285	1.07494686656014e-05	0.00366127860712862
NC_064036.1	1846647	1846897	peak16365	.	*	7.49323919711928	1.62708525466461e-05	0.0051231136235774
NC_064036.1	3276040	3276290	peak16893	.	*	3.15463136074613	0.000288653949189463	0.0360181328709911
NC_064036.1	3277831	3278081	peak16896	.	*	2.91055250783181	5.42189644600199e-05	0.0126804811836415
NC_064036.1	3530647	3530897	peak16971	.	*	6.64824639691958	0.000266640074976104	0.0338351692880695
NC_064036.1	4872615	4872865	peak17426	.	*	4.27436611681365	0.000254734349268659	0.0338351692880695
NC_064036.1	5425621	5425871	peak17612	.	*	7.75971769336765	2.84862839467883e-05	0.00793154668850638
NC_064036.1	5426401	5426651	peak17613	.	*	8.64844958736572	9.93348552400608e-10	3.72039206333671e-06
NC_064036.1	5660703	5660953	peak17696	.	*	4.66602109633534	6.91341257343397e-19	4.65832652610554e-14
NC_064036.1	5661882	5662132	peak17697	.	*	5.52179355849088	2.54776541174949e-09	6.35818448922565e-06
NC_064036.1	5663530	5663780	peak17698	.	*	3.13036612498445	0.000402154319927108	0.0472082930853806
NC_064036.1	5762819	5763069	peak17759	.	*	4.17735178712005	7.45991124472894e-05	0.0162147186961639
NC_064036.1	6000992	6001242	peak17847	.	*	7.70039472471532	0.000266640074976104	0.0338351692880695
NC_064036.1	6426653	6426903	peak18067	.	*	3.67536034623267	0.000399248820397919	0.046949013555379
NC_064036.1	7192255	7192505	peak18379	.	*	1.69158809775395	7.94080680178914e-05	0.0166886022282401
NC_064036.1	7272063	7272313	peak18432	.	*	8.31781221568217	1.00627750868215e-07	0.00010594372626955
NC_064036.1	7272434	7272684	peak18433	.	*	5.5373125119327	3.98215406889673e-05	0.0105224126790718
NC_064036.1	7666750	7667000	peak18621	.	*	8.3947886041537	5.5426840601009e-07	0.000405947385493107
NC_064036.1	7667706	7667956	peak18623	.	*	2.17765610044572	5.51747698818992e-07	0.000405947385493107
NC_064036.1	7952799	7953049	peak18757	.	*	3.86887056119315	0.000127745327338083	0.02201434245874
NC_064036.1	7959383	7959633	peak18770	.	*	4.36633228733941	0.000218619881252524	0.032023535257992
NC_064036.1	8034481	8034731	peak18792	.	*	5.72942520179285	1.40049746764371e-07	0.000138774882157795
NC_064036.1	8870996	8871246	peak19066	.	*	7.06173963659019	0.000266640074976104	0.0338351692880695
NC_064036.1	9039265	9039515	peak19096	.	*	3.41164257640662	7.62675057432088e-05	0.0164710923220614
NC_064036.1	9039837	9040087	peak19097	.	*	2.9925682862283	1.85553275361163e-06	0.000969206608303142
NC_064036.1	9842969	9843219	peak19421	.	*	4.65879189072567	5.34143115177346e-12	7.19821944875295e-08
NC_064036.1	9907888	9908138	peak19450	.	*	4.69762408919741	2.5141106475429e-06	0.00122756006914556
NC_064036.1	10819695	10819945	peak19854	.	*	6.95890108119664	0.000266640074976104	0.0338351692880695
NC_064036.1	11181219	11181469	peak20031	.	*	7.74175902806999	0.000466508033101797	0.0492390510046068
NC_064036.1	11905364	11905614	peak20310	.	*	5.40799585220756	0.000376701026930504	0.0454883367304736
NC_064036.1	12377394	12377644	peak20544	.	*	3.11492493292031	5.71419691796451e-05	0.0130077129232894
NC_064036.1	12923651	12923901	peak20769	.	*	8.15362463696372	1.71728470948812e-06	0.000911124613913125
NC_064036.1	12923977	12924227	peak20770	.	*	3.54372869950451	3.20240831160179e-05	0.00873609208275466
NC_064036.1	13059367	13059617	peak20820	.	*	7.6489775853045	0.000266640074976104	0.0338351692880695
NC_064036.1	13062588	13062838	peak20821	.	*	3.11412418273807	0.000282351032703865	0.0354284821873727
NC_064036.1	14307397	14307647	peak21355	.	*	1.73711111195603	4.38294353442835e-06	0.00190533624705365
NC_064036.1	14626738	14626988	peak21457	.	*	7.53306852842682	8.71816681904471e-05	0.0166886022282401
NC_064036.1	15031865	15032115	peak21617	.	*	4.56985421785289	1.58398664803356e-07	0.000154682035262535
NC_064036.1	15032126	15032376	peak21618	.	*	2.1331414359049	0.000458689391215285	0.0492390510046068
NC_064036.1	15033911	15034161	peak21623	.	*	3.32352668970642	0.000231774607445174	0.0326719766197976
NC_064036.1	15222161	15222411	peak21700	.	*	6.75909435862243	0.000466508033101797	0.0492390510046068
NC_064036.1	15761032	15761282	peak21961	.	*	1.75101923025878	2.10243830074443e-06	0.00108140759650733
NC_064036.1	16062539	16062789	peak22027	.	*	2.61095235253557	5.68772771766551e-05	0.0129913485201363
NC_064036.1	17016660	17016910	peak22295	.	*	7.13577484939037	0.000266640074976104	0.0338351692880695
NC_064036.1	17213558	17213808	peak22380	.	*	6.88491014139392	0.000266640074976104	0.0338351692880695
NC_064036.1	17632995	17633245	peak22507	.	*	7.11317524545258	0.000466508033101797	0.0492390510046068
NC_064037.1	2916060	2916310	peak24166	.	*	1.29846898566782	6.01296903965479e-05	0.0135959686866101
NC_064037.1	3143484	3143734	peak24265	.	*	5.16419449397663	2.65298194060612e-08	3.80341651361662e-05
