seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	584223	584473	peak16	.	*	-0.35483761675783	0.385585399708624	0.646783024688569
NC_064034.1	623879	624129	peak24	.	*	-0.570917423325957	0.360524716119774	0.610998670973228
NC_064034.1	625468	625718	peak25	.	*	-0.359224858890299	0.658743060443146	0.829382139015807
NC_064034.1	638979	639229	peak31	.	*	-0.436026498490249	0.751060749821373	0.897299064034018
NC_064034.1	654395	654645	peak35	.	*	2.59695746300295	0.0917460903705001	0.523394508733651
NC_064034.1	673280	673530	peak38	.	*	0.642111500867823	0.989727094720929	1
NC_064034.1	693116	693366	peak40	.	*	-0.30329552077497	0.989821637579412	1
NC_064034.1	699577	699827	peak41	.	*	-0.0466150324968054	0.336248901628367	0.576033564059213
NC_064034.1	723656	723906	peak43	.	*	1.16652592396513	0.298209852521349	0.552012282073577
NC_064034.1	724118	724368	peak44	.	*	1.96001125260847	0.00018989861829374	0.024783559175396
NC_064034.1	724877	725127	peak45	.	*	2.58928828569856	0.260538724022766	0.552012282073577
NC_064034.1	747460	747710	peak49	.	*	2.00092904260665	0.0096044596745081	0.253878976720359
NC_064034.1	747691	747940	peak50	.	*	0.689299211922937	0.707705544371965	0.864863326744777
NC_064034.1	748547	748797	peak52	.	*	0.284034857403723	0.22081848373315	0.552012282073577
NC_064034.1	766533	766783	peak54	.	*	-0.830759065364571	0.216838609334711	0.552012282073577
NC_064034.1	766691	766940	peak55	.	*	-1.42978577446461	0.0476853300118455	0.444031116250969
NC_064034.1	815433	815683	peak66	.	*	-0.819782781483467	0.142837242852663	0.534032652043896
NC_064034.1	844895	845145	peak75	.	*	3.06957457795768	0.248894208719172	0.552012282073577
NC_064034.1	847311	847561	peak79	.	*	0.300027069761267	0.950977267644779	1
NC_064034.1	851273	851523	peak82	.	*	-0.94396165310039	0.0505941580610029	0.462839810048685
NC_064034.1	943046	943296	peak92	.	*	-0.81917792334214	0.0307956291515887	0.405731423331458
NC_064034.1	1041058	1041308	peak99	.	*	0.889121093678186	0.562142868107986	0.760740287137356
NC_064034.1	1044046	1044296	peak103	.	*	2.35941089283231	0.100204555081504	0.528813201574498
NC_064034.1	1045025	1045275	peak104	.	*	3.03969153981315	0.00375757250821986	0.153271357873142
NC_064034.1	1089899	1090149	peak120	.	*	-0.726059002068422	0.177151347484966	0.552012282073577
NC_064034.1	1090110	1090359	peak121	.	*	-3.69371568220829	0.0829918747433638	0.487548739840601
NC_064034.1	1090335	1090585	peak122	.	*	1.14180437691239	0.0289988860084411	0.39786779829119
NC_064034.1	1207709	1207959	peak125	.	*	-0.80950813949255	0.383168849796528	0.643321643545221
NC_064034.1	1252039	1252289	peak132	.	*	-0.172069920449314	0.410462854440892	0.669374215085291
NC_064034.1	1252596	1252846	peak134	.	*	-0.806774334171543	0.251002556701467	0.552012282073577
NC_064034.1	1278623	1278873	peak142	.	*	0.010730971917659	0.763689666963605	0.907052576630148
NC_064034.1	1299938	1300188	peak147	.	*	-0.669015064113097	0.643930959005166	0.829223403130225
NC_064034.1	1338532	1338782	peak157	.	*	-1.75793388985563	0.245182011693925	0.552012282073577
NC_064034.1	1354210	1354460	peak162	.	*	-0.491747067553604	0.361216150724776	0.612053291188972
NC_064034.1	1385911	1386161	peak171	.	*	0.233552060439912	0.466983850784522	0.735250664361268
NC_064034.1	1451599	1451849	peak190	.	*	0.574131961561289	0.751025482561862	0.89727423110879
NC_064034.1	1494657	1494907	peak196	.	*	2.87649184947453	0.0325690571536354	0.405731423331458
NC_064034.1	1495356	1495606	peak197	.	*	2.11597118088458	5.22079533785636e-05	0.0109283945653237
NC_064034.1	1496613	1496863	peak198	.	*	0.262790848568665	0.982630275998286	1
NC_064034.1	1497317	1497567	peak199	.	*	2.89744139087224	0.0187132695386683	0.327666041334244
NC_064034.1	1542665	1542915	peak210	.	*	2.31164299397484	0.098887713006718	0.528813201574498
NC_064034.1	1547469	1547719	peak211	.	*	0.901048974881149	0.562142868107986	0.760740287137356
NC_064034.1	1582132	1582382	peak213	.	*	1.61183925189673	0.129031277500655	0.534032652043896
NC_064034.1	1584467	1584717	peak217	.	*	1.91914091560131	0.565920749533779	0.760740287137356
NC_064034.1	1625206	1625456	peak229	.	*	1.10525739632923	0.362853883535286	0.614089389086513
NC_064034.1	1671894	1672144	peak255	.	*	0.397637550078619	0.0206679106818464	0.345729952982506
NC_064034.1	1672939	1673189	peak257	.	*	5.23919978012628	0.013754195678838	0.275350553880712
NC_064034.1	1691613	1691863	peak263	.	*	-0.571717646172611	0.838510816813778	0.972304716281425
NC_064034.1	1825720	1825970	peak287	.	*	0.426194351021345	0.131376654304468	0.534032652043896
NC_064034.1	1831692	1831942	peak290	.	*	0.616828769415547	0.400363391498955	0.667972212573437
NC_064034.1	1877233	1877483	peak304	.	*	5.82641670210543	0.00138077305686865	0.0830608724306618
NC_064034.1	1877701	1877951	peak305	.	*	0.523563227100072	0.0841689538336398	0.493154456693364
NC_064034.1	1973762	1974012	peak337	.	*	-1.42858993338881	0.00898431948346963	0.241086372973486
NC_064034.1	1973954	1974203	peak338	.	*	-2.13185273418009	0.15784938225807	0.534032652043896
NC_064034.1	1995398	1995648	peak349	.	*	0.141505067995887	0.615534788866716	0.81261980349185
NC_064034.1	2014544	2014794	peak352	.	*	-0.841500466769454	0.946960978805708	1
NC_064034.1	2025352	2025602	peak353	.	*	0.0104606578556568	0.4209808009528	0.674335472894585
NC_064034.1	2025608	2025858	peak354	.	*	0.697544559862251	0.756258745354816	0.901339322333086
NC_064034.1	2073743	2073993	peak375	.	*	1.54575282393747	0.0528043653346365	0.473647748879791
NC_064034.1	2081762	2082012	peak378	.	*	-1.48187305122141	0.440811054486089	0.700306477678984
NC_064034.1	2085106	2085356	peak379	.	*	0.629031809772204	0.21980265514384	0.552012282073577
NC_064034.1	2092543	2092793	peak380	.	*	-1.15221629228726	0.636087633015163	0.829223403130225
