seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	582726	582976	peak14	.	*	2.9536182669488	0.00421073412721875	0.137127585017857
NC_064034.1	583102	583352	peak15	.	*	-2.18565865846688	0.056400197617553	0.396923198594385
NC_064034.1	584223	584473	peak16	.	*	0.59768275244809	0.487254596801804	0.789110373370361
NC_064034.1	603432	603681	peak21	.	*	-1.24039843096759	0.704038117867395	0.882892319977743
NC_064034.1	603636	603886	peak22	.	*	-0.304945055144491	0.473829042917537	0.784739255106592
NC_064034.1	623879	624129	peak24	.	*	-0.865785305986925	0.132323119820081	0.53103589172897
NC_064034.1	625468	625718	peak25	.	*	-0.191785005508483	0.865526131110186	0.983356433245161
NC_064034.1	634612	634862	peak30	.	*	2.61329676468481	0.00018312405155805	0.0177537515584773
NC_064034.1	638979	639229	peak31	.	*	0.0910557223338378	0.626879839607315	0.85600274953214
NC_064034.1	652283	652533	peak34	.	*	-0.860511624018144	0.40095162417834	0.72371232182722
NC_064034.1	673280	673530	peak38	.	*	-0.494313020886443	0.736818006204206	0.900565591772405
NC_064034.1	693116	693366	peak40	.	*	0.163203296677469	0.572106598249126	0.812263173765386
NC_064034.1	699577	699827	peak41	.	*	0.228279656572473	0.9153624795009	1
NC_064034.1	723656	723906	peak43	.	*	0.377612212748456	0.340433665914996	0.658228926713897
NC_064034.1	724118	724368	peak44	.	*	-1.42789122376135	0.0931903311807707	0.468407232359705
NC_064034.1	730597	730847	peak46	.	*	2.36167609887301	0.0311277751824791	0.339489433088811
NC_064034.1	737049	737299	peak47	.	*	0.274968265455422	0.564692758372416	0.806211598602006
NC_064034.1	747460	747710	peak49	.	*	0.425126343379671	0.81510340149732	0.944347742625662
NC_064034.1	747691	747940	peak50	.	*	2.06759480086727	0.179712495775184	0.542472270017452
NC_064034.1	747899	748149	peak51	.	*	0.781408594778647	0.0160437461331234	0.264949326422873
NC_064034.1	748547	748797	peak52	.	*	-0.0127868817086465	0.917089701383879	1
NC_064034.1	766533	766783	peak54	.	*	0.338271982567978	0.103424805392943	0.471078402498858
NC_064034.1	766691	766940	peak55	.	*	1.42637177711386	0.0691055018380545	0.44196527992935
NC_064034.1	767416	767666	peak56	.	*	3.6623663878392	9.18181977693399e-06	0.00171791593682397
NC_064034.1	778490	778740	peak58	.	*	1.18022038307407	0.00248769068426576	0.099783091129119
NC_064034.1	778974	779224	peak59	.	*	0.438182424843028	0.992295371602162	1
NC_064034.1	801160	801409	peak61	.	*	0	1	1
NC_064034.1	801393	801643	peak62	.	*	1.07675443809502	0.398226148246717	0.72371232182722
NC_064034.1	801853	802103	peak63	.	*	0.670042349597621	0.632060055191944	0.85600274953214
NC_064034.1	815122	815372	peak65	.	*	1.67222213903182	0.0941442895958364	0.468407232359705
NC_064034.1	815433	815683	peak66	.	*	0.280055323969522	0.241023218184003	0.624731437861
NC_064034.1	844895	845145	peak75	.	*	0.204136793824863	0.659496773919233	0.856754704585836
NC_064034.1	847311	847561	peak79	.	*	0.584678319564786	0.0549549437517022	0.396923198594385
NC_064034.1	851273	851523	peak82	.	*	-0.357133449535811	0.41451681618901	0.72371232182722
NC_064034.1	863081	863331	peak83	.	*	2.90823408138642	0.0304556324071788	0.339489433088811
NC_064034.1	865349	865599	peak86	.	*	0.379459040521303	0.234801036165261	0.624731437861
NC_064034.1	888261	888511	peak89	.	*	0.292003397065413	0.249142817288842	0.624731437861
NC_064034.1	943046	943296	peak92	.	*	0.055202332408072	0.680446431605968	0.877824763732177
NC_064034.1	945158	945408	peak93	.	*	3.10223270902556	2.5863369864855e-05	0.0039536312107366
NC_064034.1	945414	945664	peak94	.	*	2.00217400374621	0.0119732132767969	0.232788354736527
NC_064034.1	946155	946405	peak95	.	*	-0.258256296734517	0.636841870139074	0.85600274953214
NC_064034.1	1046406	1046656	peak106	.	*	3.59250515200754	0.201123128110157	0.588631724608121
NC_064034.1	1065645	1065895	peak111	.	*	1.74392916364299	0.0854473063553345	0.450571271227915
NC_064034.1	1066906	1067156	peak113	.	*	0.20023243765117	0.99299567022173	1
NC_064034.1	1089899	1090149	peak120	.	*	-0.0207288350079252	0.886705296511373	1
NC_064034.1	1090110	1090359	peak121	.	*	3.60203554563599	0.177960408807951	0.542472270017452
NC_064034.1	1090335	1090585	peak122	.	*	-0.264352920037918	0.238604431390952	0.624731437861
NC_064034.1	1090829	1091079	peak123	.	*	0.627671644409692	0.0124363083312432	0.236083635080708
NC_064034.1	1207709	1207959	peak125	.	*	0.443134617690698	0.883369393852824	0.999137677026505
NC_064034.1	1251667	1251917	peak131	.	*	-0.0123511861940083	0.248859397042511	0.624731437861
NC_064034.1	1252039	1252289	peak132	.	*	-0.475942057588295	0.246547368730269	0.624731437861
NC_064034.1	1252297	1252547	peak133	.	*	-1.02344610891364	0.0698600254980801	0.44196527992935
NC_064034.1	1252596	1252846	peak134	.	*	0.195537426501643	0.185200764726356	0.555265236679345
NC_064034.1	1278623	1278873	peak142	.	*	-0.680112049589597	0.533995045865352	0.806211598602006
NC_064034.1	1279037	1279287	peak143	.	*	-0.156878181304954	0.346028466630973	0.666299875179058
NC_064034.1	1279818	1280068	peak144	.	*	0.492277317815173	0.400765687728819	0.72371232182722
NC_064034.1	1299938	1300188	peak147	.	*	0.211144403055589	0.72012238913937	0.892004594513653
NC_064034.1	1315015	1315265	peak150	.	*	-0.485585871142017	0.811041278200242	0.941482530780768
NC_064034.1	1317744	1317994	peak152	.	*	-0.0310959763203768	0.0806958003168252	0.44196527992935
NC_064034.1	1318404	1318654	peak153	.	*	-0.344062399135386	0.781512159125109	0.922405791332548
NC_064034.1	1338532	1338782	peak157	.	*	0.0296727255222192	0.418634758666386	0.725672975865615
NC_064034.1	1349269	1349519	peak160	.	*	-4.41536997618531	0.0140942305052738	0.238947442524526
NC_064034.1	1351963	1352213	peak161	.	*	0.00304395871538521	0.166551655918606	0.542472270017452
NC_064034.1	1354210	1354460	peak162	.	*	-0.523663307903118	0.0393029727839705	0.366949662972339
NC_064034.1	1355038	1355288	peak163	.	*	-0.727577260332567	0.759533994661965	0.912134925260976
NC_064034.1	1385911	1386161	peak171	.	*	-0.191186443123131	0.810805087620456	0.941368661734318
NC_064034.1	1389775	1390025	peak172	.	*	-1.23217298787822	0.357832234748088	0.684737459782242
NC_064034.1	1391054	1391304	peak173	.	*	3.9801659762788	9.12712241620104e-14	2.93558680646413e-10
NC_064034.1	1409012	1409262	peak176	.	*	-0.998545565378636	0.562321511988949	0.806211598602006
NC_064034.1	1411530	1411780	peak177	.	*	-0.496825269113443	0.246469000827314	0.624731437861
NC_064034.1	1430539	1430789	peak183	.	*	0.593126166783566	0.480612478331276	0.784739255106592
NC_064034.1	1451599	1451849	peak190	.	*	0.660535523158307	0.586433550523927	0.827559519943121
NC_064034.1	1462106	1462356	peak191	.	*	-0.446942932276554	0.0940820991481283	0.468407232359705
NC_064034.1	1469701	1469951	peak192	.	*	1.20386991440571	0.313732496004954	0.624731437861
NC_064034.1	1495356	1495606	peak197	.	*	1.75669701545031	0.143853604748742	0.53103589172897
NC_064034.1	1496613	1496863	peak198	.	*	0.866630050789151	0.762099524502242	0.91281065170468
NC_064034.1	1542665	1542915	peak210	.	*	-0.225172574508661	0.990141819186636	1
NC_064034.1	1547469	1547719	peak211	.	*	-0.6985749577933	0.389692596745709	0.72314432281981
NC_064034.1	1582132	1582382	peak213	.	*	-0.576917606629983	0.4703365590797	0.784739255106592
NC_064034.1	1583642	1583892	peak215	.	*	-1.03128085579678	0.227623967637061	0.624731437861
NC_064034.1	1583944	1584194	peak216	.	*	-0.0483683723401983	0.821995605050891	0.949645066227975
NC_064034.1	1584467	1584717	peak217	.	*	-0.350133263298054	0.452488182593492	0.76863736362744
NC_064034.1	1586321	1586571	peak218	.	*	0.341050613733386	0.615112128020941	0.853791430217373
NC_064034.1	1610439	1610689	peak222	.	*	3.83351598538873	0.000328810572460593	0.0273383350115446
NC_064034.1	1611841	1612091	peak224	.	*	1.077737483319	0.130499507814317	0.53103589172897
NC_064034.1	1625206	1625456	peak229	.	*	-1.46860329292604	0.00622838920530473	0.177698340094523
NC_064034.1	1667397	1667647	peak251	.	*	0.586561606206404	0.316332526528661	0.624731437861
NC_064034.1	1671633	1671883	peak254	.	*	-1.03773246496805	0.994806915386621	1
NC_064034.1	1672338	1672588	peak256	.	*	0.394295439378129	0.0711829947039896	0.44196527992935
NC_064034.1	1674782	1675032	peak258	.	*	0.758468036923357	0.492331032942548	0.795348360632349
NC_064034.1	1675381	1675631	peak259	.	*	-0.456973123250559	0.982748418567745	1
NC_064034.1	1691613	1691863	peak263	.	*	-0.322076051222846	0.606147545797732	0.845626844693095
NC_064034.1	1701518	1701768	peak265	.	*	-0.178411868738803	0.625866026090784	0.85600274953214
NC_064034.1	1712343	1712593	peak267	.	*	-0.934016889542398	0.0825398524915755	0.44196527992935
NC_064034.1	1713037	1713287	peak268	.	*	-1.90485028979972	0.0195135707857701	0.28362494331467
NC_064034.1	1713309	1713559	peak269	.	*	0.346446680653736	0.997674555388593	1
NC_064034.1	1713826	1714076	peak270	.	*	0.556871818855092	0.0581138495507939	0.396923198594385
NC_064034.1	1714041	1714290	peak271	.	*	-0.161776730471754	0.710572032266659	0.883153602127462
NC_064034.1	1831692	1831942	peak290	.	*	0.470225244386045	0.99299567022173	1
NC_064034.1	1855025	1855275	peak296	.	*	1.75284401046266	0.112847131724011	0.498400171191714
NC_064034.1	1873909	1874159	peak300	.	*	-0.469987749271025	0.122475276908615	0.53103589172897
NC_064034.1	1875757	1876007	peak302	.	*	0.961993434168861	0.998287743122284	1
NC_064034.1	1877701	1877951	peak305	.	*	1.01837773831861	0.157497215557292	0.53103589172897
NC_064034.1	1880167	1880417	peak306	.	*	-2.39908425389697	0.576766878528416	0.817693742421493
NC_064034.1	1957063	1957313	peak329	.	*	1.36970044381799	0.752102540620123	0.908021483619715
NC_064034.1	1967122	1967372	peak331	.	*	-0.332550052032075	0.701064803867706	0.882892319977743
NC_064034.1	1972915	1973164	peak335	.	*	1.35071362085572	0.0353210088522948	0.345851971717969
NC_064034.1	1973114	1973364	peak336	.	*	-0.120351305612549	0.442464160203129	0.754995808273992
NC_064034.1	1973762	1974012	peak337	.	*	1.51279728219045	0.000409521596444076	0.0324651610195097
NC_064034.1	1973954	1974203	peak338	.	*	0.987098343957948	0.102211893543143	0.468407232359705
NC_064034.1	1974152	1974402	peak339	.	*	2.69560320796169	1.73193637937706e-09	1.36023463804959e-06
