gene	group	common_name	gene_name	og
Nvec_v1g19278	cnidocyte&neuron	Klf13	Klf13	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16
Nvec_v1g210540	cnidocyte&neuron	""	Ascl1/Ascl2	HLH.HG1.68:like:ASCL3/ASCL4/ASCL5
Nvec_v1g241767	cnidocyte&neuron	""	""	bZIP.HG1.3:like:JUN/JUNB/JUND
Nvec_vc1.1_XM_001631543.3	cnidocyte&neuron	""	Creb3l3//Creb3l4	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4
Nvec_vc1.1_XM_001635172.3	cnidocyte&neuron	""	Mxi1/Mxd3/Mxd4/Mxd1	HLH.HG1.38:MXD1/MXD3/MXD4/MXI1
Nvec_vc1.1_XM_001637733.3	cnidocyte&neuron	""	Gsx1/Gsx2	Homeodomains.HG1.67:GSX1/GSX2
Nvec_vc1.1_XM_001639701.3	cnidocyte&neuron	NvSox2	""	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY
Nvec_vc1.1_XM_001639705.3	cnidocyte&neuron	""	""	zf-C2H2.HG1.30:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26
Nvec_vc1.1_XM_001640743.3	cnidocyte&neuron	""	""	HLH.HG1.29:MYC/MYCL/MYCN
Nvec_vc1.1_XM_001640990.3	cnidocyte&neuron	""	""	HLH.HG1.77:like:NEUROD1/NEUROD2/NEUROD4/NEUROD6
Nvec_vc1.1_XM_001641129.3	cnidocyte&neuron	ZNF845	Zfp281/Zfp148	zf-C2H2.HG3.8:like:ZNF770
Nvec_vc1.1_XM_001641264.3	cnidocyte&neuron	""	""	Homeodomains.HG1.61:NOTO
Nvec_vc1.1_XM_032363992.2	cnidocyte&neuron	Pou4	Pou4f3/Pou4f1/Pou4f2	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3
Nvec_vc1.1_XM_032364814.2	cnidocyte&neuron	""	""	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B
Nvec_vc1.1_XM_032364887.2	cnidocyte&neuron	FoxL2	Foxl2	Forkhead.HG1.20:FOXL2
Nvec_vc1.1_XM_032366210.2	cnidocyte&neuron	""	Msx2/Msx1/Msx3	Homeodomains.HG1.48:MSX1/MSX2
Nvec_vc1.1_XM_032366790.2	cnidocyte&neuron	""	Thap2	THAP_finger.HG1.0:AC073612.1/THAP1/THAP2/THAP3/THAP4/THAP5/THAP6/THAP7/THAP8/THAP9/THAP10
Nvec_vc1.1_XM_032370011.2	cnidocyte&neuron	""	""	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3
Nvec_vc1.1_XM_032372883.2	cnidocyte&neuron	""	Rcor1/Rcor2/Rcor3	Myb.HG1.10:RCOR1/RCOR2/RCOR3
Nvec_vc1.1_XM_032374029.2	cnidocyte&neuron	""	Jund/Junb/Jun	bZIP.HG1.6:JUN/JUNB/JUND
Nvec_vc1.1_XM_032375721.2	cnidocyte&neuron	""	""	zf-C2H2.HG119.0:NA
Nvec_vc1.1_XM_032378152.2	cnidocyte&neuron	""	Sox30	HMGbox_Sox.HG1.1:SOX30
Nvec_vc1.1_XM_032378312.2	cnidocyte&neuron	""	""	zf-C2H2.HG119.1:NA
Nvec_vc1.1_XM_032378649.2	cnidocyte&neuron	""	""	bZIP.HG1.10:like:ATF3/FOS/FOSB/FOSL1/FOSL2/JDP2
Nvec_vc1.1_XM_032379465.2	cnidocyte&neuron	SoxB2/Sox3	Sox13/Sox5/Sox6	HMGbox_Sox.HG1.19:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY
Nvec_vc1.1_XM_032379677.2	cnidocyte&neuron	""	""	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B
Nvec_vc1.1_XM_032382493.2	cnidocyte&neuron	""	Nfil3/Nfilz	bZIP.HG2.10:DBP/HLF/TEF
