ID_JGI_Vienna	ID_DToL	Percentage_overlap/Blast_ID	Source
Nvec_v1g151236	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_v1g125724	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_v1g125802	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_v1g46688	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_NVE21491	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_v1g221515	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_NVE21489	Nvec_vc1.1_XM_032374162.2	100	Itvl_overlap
Nvec_v1g191988	Nvec_vc1.1_XM_001626535.3	100	Itvl_overlap
Nvec_v1g221007	Nvec_vc1.1_XM_001626535.3	100	Itvl_overlap
Nvec_v1g221006	Nvec_vc1.1_XM_001626549.3	100	Itvl_overlap
Nvec_v1g172778	Nvec_vc1.1_XM_001626549.3	100	Itvl_overlap
Nvec_v1g13439	Nvec_vc1.1_XM_032374171.2	100	Itvl_overlap
Nvec_v1g143460	Nvec_vc1.1_XM_032374171.2	100	Itvl_overlap
Nvec_v1g143455	Nvec_vc1.1_XM_001626548.3	86	Itvl_overlap
Nvec_v1g237405	Nvec_vc1.1_XM_001626548.3	99	Itvl_overlap
Nvec_v1g230633	Nvec_vc1.1_XM_032374170.2	100	Itvl_overlap
Nvec_v1g246534	Nvec_vc1.1_XM_048724591.1	100	Itvl_overlap
Nvec_v1g191975	Nvec_vc1.1_XM_001626546.3	99	Itvl_overlap
Nvec_v1g191972	Nvec_vc1.1_XM_032374190.2	98	Itvl_overlap
Nvec_v1g155338	Nvec_vc1.1_XM_032374190.2	100	Itvl_overlap
Nvec_v1g246530	Nvec_vc1.1_XM_032374192.2	95	Itvl_overlap
Nvec_v1g172762	Nvec_vc1.1_XM_001626530.3	99	Itvl_overlap
Nvec_v1g246527	Nvec_vc1.1_XM_032374174.2	100	Itvl_overlap
Nvec_v1g125819	Nvec_vc1.1_XM_032374172.2	98	Itvl_overlap
Nvec_v1g246524	Nvec_vc1.1_XM_032374182.2	100	Itvl_overlap
Nvec_NVE9639	Nvec_vc1.1_XM_032374183.2	100	Itvl_overlap
Nvec_v1g246523	Nvec_vc1.1_XM_001626528.3	100	Itvl_overlap
Nvec_v1g215274	Nvec_vc1.1_XM_001626541.3	100	Itvl_overlap
Nvec_v1g246522	Nvec_vc1.1_XM_032374187.2	62	Itvl_overlap
Nvec_NVE16055	Nvec_vc1.1_XM_032374187.2	100	Itvl_overlap
Nvec_NVE16056	Nvec_vc1.1_XM_032374184.2	86	Itvl_overlap
Nvec_v1g215272	Nvec_vc1.1_XM_032374184.2	91	Itvl_overlap
Nvec_v1g125727	Nvec_vc1.1_XM_032374180.2	99	Itvl_overlap
Nvec_NVE9632	Nvec_vc1.1_XM_032374179.2	97	Itvl_overlap
Nvec_v1g117279	Nvec_vc1.1_XM_048725220.1	100	Itvl_overlap
Nvec_v1g125775	Nvec_vc1.1_XM_048725220.1	100	Itvl_overlap
Nvec_v1g95313	Nvec_vc1.1_XM_048725220.1	100	Itvl_overlap
Nvec_NVE16059	Nvec_vc1.1_XM_048725245.1	67	Itvl_overlap
Nvec_v1g125774	Nvec_vc1.1_XM_048725245.1	100	Itvl_overlap
Nvec_NVE16060	Nvec_vc1.1_XM_048725245.1	100	Itvl_overlap
Nvec_NVE25512	Nvec_vc1.1_XM_048725245.1	100	Itvl_overlap
Nvec_NVE9629	Nvec_vc1.1_XM_048725245.1	100	Itvl_overlap
Nvec_NVE16062	Nvec_vc1.1_XM_032386191.2	93	Itvl_overlap
Nvec_v1g125752	Nvec_vc1.1_XM_032386191.2	100	Itvl_overlap
Nvec_v1g225893	Nvec_vc1.1_XM_032386191.2	100	Itvl_overlap
Nvec_NVE16063	Nvec_vc1.1_XM_032386191.2	99	Itvl_overlap
Nvec_v1g241064	Nvec_vc1.1_XM_032386195.2	100	Itvl_overlap
Nvec_v1g202925	Nvec_vc1.1_XM_032386195.2	86	Itvl_overlap
Nvec_NVE16066	Nvec_vc1.1_XM_032386206.2	100	Itvl_overlap
Nvec_v1g202928	Nvec_vc1.1_XM_001636328.3	100	Itvl_overlap
Nvec_v1g146542	Nvec_vc1.1_XM_001636328.3	100	Itvl_overlap
Nvec_v1g241065	Nvec_vc1.1_XM_001636367.3	79	Itvl_overlap
Nvec_v1g222532	Nvec_vc1.1_XM_001636367.3	100	Itvl_overlap
Nvec_v1g95344	Nvec_vc1.1_XM_048727259.1	98	Itvl_overlap
Nvec_v1g222531	Nvec_vc1.1_XM_048727259.1	100	Itvl_overlap
Nvec_v1g224253	Nvec_vc1.1_XM_048727259.1	100	Itvl_overlap
Nvec_v1g241067	Nvec_vc1.1_XM_048727258.1	100	Itvl_overlap
Nvec_NVE12776	Nvec_vc1.1_XM_048727258.1	100	Itvl_overlap
Nvec_v1g95318	Nvec_vc1.1_XM_048727258.1	100	Itvl_overlap
Nvec_v1g95307	Nvec_vc1.1_XM_048727258.1	100	Itvl_overlap
Nvec_v1g163339	Nvec_vc1.1_XM_048728918.1	100	Itvl_overlap
Nvec_v1g134156	Nvec_vc1.1_XM_048728918.1	100	Itvl_overlap
Nvec_v1g145500	Nvec_vc1.1_XM_048728918.1	100	Itvl_overlap
Nvec_v1g134138	Nvec_vc1.1_XM_048728918.1	100	Itvl_overlap
Nvec_NVE4262	Nvec_vc1.1_XM_032386215.2	100	Itvl_overlap
Nvec_NVE4262	Nvec_vc1.1_XM_048728918.1	100	Itvl_overlap
Nvec_v1g218108	Nvec_vc1.1_XM_048728955.1	100	Itvl_overlap
Nvec_v1g64334	Nvec_vc1.1_XM_048728955.1	100	Itvl_overlap
Nvec_v1g218110	Nvec_vc1.1_XM_048728955.1	100	Itvl_overlap
