gene	gene_name	common_name	og	pfam
Nvec_vc1.1_XM_048733866.1	Aff2/Aff4/Aff3/Aff1	""	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	AF-4/AF-4_C
Nvec_vc1.1_XM_001633894.3	Tfap2d/Tfap2c/Tfap2e/Tfap2b/Tfap2a	""	AP-2.HG1.0:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	TF_AP-2
Nvec_vc1.1_XM_048731339.1	""	""	AP-2.HG1.3:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	TF_AP-2
Nvec_vc1.1_XM_001630131.3	Arid4a/Arid4b	""	ARID_BRIGHT.HG1.2:ARID4A/ARID4B	RBB1NT/ARID/Tudor-knot
Nvec_vc1.1_XM_048722594.1	Arid2	""	ARID_BRIGHT.HG1.3:ARID2	ARID/RFX_DNA_binding
Nvec_vc1.1_XM_032366646.2	Arid5b/Arid5a	""	ARID_BRIGHT.HG1.5:ARID5A/ARID5B	ARID
Nvec_vc1.1_XM_032369810.2	""	""	ARID_BRIGHT.HG1.7:like:ARID1A/ARID1B/ARID3A/ARID3B/ARID3C	ARID/BAF250_C
Nvec_vc1.1_XM_032362135.2	Arid3c/Arid3a/Arid3b	""	ARID_BRIGHT.HG1.9:ARID3A/ARID3B/ARID3C	ARID
Nvec_v1g90177	Hmga1b	""	AT_hook.HG1.0:HMGA2	AT_hook/AT_hook/AT_hook/AT_hook
Nvec_vc1.1_XM_001638266.3	Crebl2	""	bZIP.HG1.0:CREBL2	bZIP_2
Nvec_vc1.1_XM_032378649.2	""	""	bZIP.HG1.10:like:ATF3/FOS/FOSB/FOSL1/FOSL2/JDP2	bZIP_1
Nvec_vc1.1_XM_001623467.3	""	""	bZIP.HG1.12:CREBZF	bZIP_2
Nvec_vc1.1_XM_048723046.1	Creb3l2/Creb3l1	""	bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1
Nvec_vc1.1_XM_001631543.3	Creb3l3//Creb3l4	""	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1
Nvec_vc1.1_XM_032378881.2	Creb3l2/Creb3l1	CREB3	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1
Nvec_vc1.1_XM_001629694.3	Xbp1	XBP1	bZIP.HG1.16:XBP1	bZIP_1
Nvec_vc1.1_XM_001633273.3	Fos/Fosb/Fosl1/Fosl2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1
Nvec_vc1.1_XM_048730283.1	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1
Nvec_vc1.1_XM_001631093.3	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1
Nvec_vc1.1_XM_001633393.3	Crem/Creb1/Atf1	""	bZIP.HG1.18:ATF1/CREB1/CREM	pKID/bZIP_1
Nvec_vc1.1_XM_001628946.3	Atf6/Atf6b	""	bZIP.HG1.19:ATF6/ATF6B	bZIP_1
Nvec_vc1.1_XM_032373624.2	Nfe2l2/Nfe2l3/Bach2/Nfe2l1/Nfe2/Bach1	""	bZIP.HG1.2:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3	bZIP_Maf
Nvec_v1g241767	""	""	bZIP.HG1.3:like:JUN/JUNB/JUND	Jun
Nvec_vc1.1_XM_032383907.2	Atf7/Gm28047/Creb5/Atf2	""	bZIP.HG1.4:ATF2/ATF7/ATF7-NPFF/CREB5	bZIP_1
Nvec_vc1.1_XM_001640853.3	Jund/Junb/Jun	""	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1
Nvec_vc1.1_XM_032385896.2	Jund/Junb/Jun	Cnido-Jun	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1
Nvec_vc1.1_XM_032374029.2	Jund/Junb/Jun	""	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1
Nvec_vc1.1_XM_032372114.2	Atf4/Atf5	""	bZIP.HG1.8:ATF4/ATF5	bZIP_1
Nvec_vc1.1_XM_048730161.1	Fos/Fosl2/Fosb/Fosl1	Cnido-Fos1	bZIP.HG1.9:like:ATF3/ATF4/ATF5/FOS/FOSB/FOSL1/FOSL2/JDP2	bZIP_1
Nvec_vc1.1_XM_048723364.1	""	""	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2
Nvec_vc1.1_XM_001634326.3	""	""	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2
Nvec_vc1.1_XM_032383717.2	""	""	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2
Nvec_vc1.1_XM_032367127.2	""	""	bZIP.HG2.10:DBP/HLF/TEF	bZIP_2
Nvec_vc1.1_XM_032382493.2	Nfil3/Nfilz	""	bZIP.HG2.10:DBP/HLF/TEF	bZIP_2
Nvec_vc1.1_XM_032366242.2	""	""	bZIP.HG2.12:like:DBP/HLF/TEF	bZIP_2
Nvec_vc1.1_XM_001634460.3	""	""	bZIP.HG2.13:like:DBP/HLF/TEF	bZIP_2
Nvec_vc1.1_XM_048728399.1	Cebpd/Cebpe/Cebpa/Cebpb	""	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2
Nvec_vc1.1_XM_032382466.2	Cebpd/Cebpe/Cebpa/Cebpb	""	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2
Nvec_vc1.1_XM_032363985.2	""	""	bZIP.HG2.6:like:DBP/HLF/TEF	bZIP_2
Nvec_vc1.1_XM_032384300.2	""	""	bZIP.HG3.0:MAFF/MAFG/MAFK	bZIP_Maf
Nvec_vc1.1_XM_032376926.2	""	""	bZIP.HG3.2:like:MAF/MAFA/MAFB/NRL	bZIP_Maf
Nvec_vc1.1_XM_032370269.2	""	""	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	bZIP_Maf
Nvec_vc1.1_XM_001639307.3	""	""	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	bZIP_Maf
Nvec_vc1.1_XM_032372559.2	Camta1/Camta2	""	CG-1.HG1.1:CAMTA1/CAMTA2	CG-1/TIG
Nvec_vc1.1_XM_001633482.3	Ybx1/Ybx2/Ybx3	""	CSD.HG1.6:YBX1/YBX2/YBX3	CSD
Nvec_vc1.1_XM_032362140.2	""	""	Doublesex_DM.HG1.1:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1/DMRTC2	DM
Nvec_vc1.1_XM_001628087.3	""	""	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032371744.2	""	""	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DM/DMA
