gene	og	name	ID_JGI_Vienna
Nvec_vc1.1_XM_048733416.1	chr.PHD.HG1.7:Taf3	Taf3	Nvec_NVE10129
Nvec_vc1.1_XM_032362209.2	chr.TUDOR.HG1.32:like:Rnf17		Nvec_NVE11814
Nvec_vc1.1_XM_048721520.1	chr.Hat1_N.HG1.0:Hat1	Hat1	Nvec_NVE11887
Nvec_vc1.1_XM_001623180.3	chr.Histone.HG2.1:H2ac1/H2ac4/H2ac6/H2ac7/H2ac8/H2ac10/H2ac11/H2ac12/H2ac13/H2ac15/H2ac18/H2ac19/H2ac20/H2ac21/H2ac22/H2ac23/H2ac24/H2ac25/H2aj/H2al1a/H2al1b/H2al1c/H2al1d/H2al1e/H2al1f/H2al1g/H2al1h/H2al1i/H2al1j/H2al1k/H2al1m/H2al1n/H2al1o/H2al2a/H2al2b/H2al2c/H2ax	H2ac1/H2ac10/H2ac11/H2ac12/H2ac13/H2ac15/H2ac18/H2ac19/H2ac20/H2ac21/H2ac22/H2ac23/H2ac24/H2ac25/H2ac4/H2ac6/H2ac7/H2ac8/H2aj/H2al1a/H2al1b/H2al1c/H2al1d/H2al1e/H2al1f/H2al1g/H2al1h/H2al1i/H2al1j/H2al1k/H2al1m/H2al1n/H2al1o/H2al2a/H2al2b/H2al2c/H2ax	Nvec_NVE12410
Nvec_vc1.1_XM_032386634.2	chr.PWWP.HG1.1:like:Dnmt3a/Dnmt3b/Pwwp2a/Pwwp2b		Nvec_NVE14913
Nvec_vc1.1_XM_032385139.2	chr.Histone.HG1.9:H2bw2/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/H4c9/H4c11/H4c12/H4c14/H4c16/H4c17/H4c18	H2bw2	Nvec_NVE14996
Nvec_NVE15670	chr.PHD.HG1.70:like:Pygo1/Pygo2		Nvec_NVE15670
Nvec_vc1.1_XM_032366618.2	chr.PHD.HG1.22:Phrf1	Phrf1	Nvec_NVE16359
Nvec_vc1.1_XM_032386052.2	chr.SET.HG1.27:Ehmt1/Ehmt2	Ehmt1/Ehmt2	Nvec_NVE16554
Nvec_vc1.1_XM_032386039.2	Nvec_NVE16556:HG.Unclassified	""	Nvec_NVE16556
Nvec_vc1.1_XM_032370349.2	chr.SWIRM.HG1.2:like:Kdm1a;chr.zf-CW.HG1.4:Kdm1b	""	Nvec_NVE17156
Nvec_vc1.1_XM_048727811.1	chr.SNF2_N.HG1.10:Hltf	Hltf	Nvec_NVE17193
Nvec_vc1.1_XM_032385639.2	chr.Acetyltransf_1.HG3.0:Kat2a/Kat2b		Nvec_NVE17394
Nvec_vc1.1_XM_048724160.1	chr.PWWP.HG1.3:Zcwpw2	Zcwpw2	Nvec_NVE18085
Nvec_vc1.1_XM_048729980.1	chr.LinkerHistone.HG1.1:like:H1f0/H1f1/H1f2/H1f3/H1f4/H1f5/H1f6/H1f8/H1f9/H1f10/Hp1bp3/Shprh		Nvec_NVE18594
Nvec_vc1.1_XM_048721867.1	chr.TUDOR.HG1.20:Rnf17	Rnf17	Nvec_NVE18643
Nvec_vc1.1_XM_048734390.1	chr.TUDOR.HG1.20:Rnf17	Rnf17	Nvec_NVE1899
Nvec_vc1.1_XM_032383713.2	chr.SET.HG2.0:Prdm6/Prdm14	Prdm6	Nvec_NVE21127
Nvec_vc1.1_XM_032383712.2	chr.SET.HG2.0:Prdm6/Prdm14	Prdm6	Nvec_NVE21130
Nvec_vc1.1_XM_032369261.2	chr.Histone.HG1.9:H2bw2/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/H4c9/H4c11/H4c12/H4c14/H4c16/H4c17/H4c18		Nvec_NVE21353
Nvec_vc1.1_XM_032382547.2	chr.Histone.HG2.7:like:H2az1/H2az2/Macroh2a1/Macroh2a2		Nvec_NVE23183
Nvec_vc1.1_XM_032378983.2	chr.PHD.HG1.2:Rsf1	Rsf1	Nvec_NVE2340
Nvec_vc1.1_XM_048722003.1	chr.CupinJmjC.HG1.16:like:Gm28042/Hif1an/Hr/Hspbap1/Jmjd1c/Jmjd4/Jmjd6/Jmjd7/Jmjd8/Kdm2a/Kdm2b/Kdm3a/Kdm3b/Kdm7a/Kdm8/Phf2/Phf8/Riox1/Riox2/Tyw5		Nvec_NVE23744
Nvec_vc1.1_XM_032365595.2	chr.SNF2_N.HG1.0:Ercc6	Ercc6	Nvec_NVE24059
Nvec_vc1.1_XM_048734125.1	chr.PHD.HG1.70:like:Pygo1/Pygo2		Nvec_NVE25868
Nvec_vc1.1_XM_048727629.1	chr.Chromo.HG1.17:Chd1/Chd2;chr.SNF2_N.HG1.23:Chd1/Chd2	""	Nvec_NVE26189
Nvec_vc1.1_XM_048719383.1	chr.MBT.HG1.4:L3mbtl2/Mbtd1/Sfmbt1/Sfmbt2		Nvec_NVE2731
Nvec_vc1.1_XM_032364290.2	chr.Histone.HG3.4:H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H3c10/H3c11/H3c13/H3c14/H3c15	H3c13/H3c14	Nvec_NVE3901
Nvec_vc1.1_XM_032364289.2	chr.Histone.HG2.7:like:H2az1/H2az2/Macroh2a1/Macroh2a2		Nvec_NVE3902
Nvec_vc1.1_XM_048720696.1	chr.Histone.HG2.7:like:H2az1/H2az2/Macroh2a1/Macroh2a2		Nvec_NVE3902
Nvec_vc1.1_XM_032382351.2	chr.Histone.HG1.9:H2bw2/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/H4c9/H4c11/H4c12/H4c14/H4c16/H4c17/H4c18	H2bw2	Nvec_NVE5229
