seqnames,start,end,peak,cell_type,peak_access,gene,gene_score,gene_cell_type_rank,gene_name,common_name,og,pfam,gene_list,min_gene_score_in_selected_cell_types
NC_064046.1,12812145,12812395,peak100428,muscle_tentacle_retractor,14.2585960373119,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12812145,12812395,peak100428,muscle_tentacle_retractor,14.2585960373119,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12812145,12812395,peak100428,muscle_tentacle_retractor,14.2585960373119,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12817513,12817763,peak100438,muscle_tentacle_retractor,23.25216177572,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12818019,12818269,peak100439,muscle_tentacle_retractor,57.1631119357255,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12818019,12818269,peak100439,muscle_tentacle_retractor,57.1631119357255,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12819898,12820148,peak100443,muscle_tentacle_retractor,23.0082300674066,Nvec_vc1.1_XM_001639319.3,2.41758022407537,1,"","","",EF-hand_6,"",2.18888808025791
NC_064046.1,12819898,12820148,peak100443,muscle_tentacle_retractor,23.0082300674066,Nvec_vc1.1_XM_001639399.3,7.82379601603108,2,"","","","","",7.82379601603108
NC_064046.1,12913573,12913823,peak100510,muscle_tentacle_retractor,5.97736093143596,Nvec_vc1.1_XM_032364348.2,1.99733726978773,3,"","",HLH.HG1.34:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5/ATOH1/ATOH7/ATOH8/BHLHA9/BHLHA15/BHLHE22/BHLHE23/FERD3L/FIGLA/HAND1/HAND2/ID1/ID2/ID3/ID4/LYL1/MESP1/MESP2/MSC/MSGN1/MYF5/MYF6/MYOD1/MYOG/NEUROD1/NEUROD2/NEUROD4/NEUROD6/NEUROG1/NEUROG2/NEUROG3/NHLH1/NHLH2/OLIG1/OLIG2/OLIG3/PTF1A/SCX/TAL1/TAL2/TCF3/TCF4/TCF12/TCF15/TCF21/TCF23/TCF24/TWIST1/TWIST2,HLH,tfs,1.99733726978773
NC_064046.1,12917318,12917568,peak100518,muscle_tentacle_retractor,14.5391162252332,Nvec_vc1.1_XM_032364348.2,1.99733726978773,3,"","",HLH.HG1.34:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5/ATOH1/ATOH7/ATOH8/BHLHA9/BHLHA15/BHLHE22/BHLHE23/FERD3L/FIGLA/HAND1/HAND2/ID1/ID2/ID3/ID4/LYL1/MESP1/MESP2/MSC/MSGN1/MYF5/MYF6/MYOD1/MYOG/NEUROD1/NEUROD2/NEUROD4/NEUROD6/NEUROG1/NEUROG2/NEUROG3/NHLH1/NHLH2/OLIG1/OLIG2/OLIG3/PTF1A/SCX/TAL1/TAL2/TCF3/TCF4/TCF12/TCF15/TCF21/TCF23/TCF24/TWIST1/TWIST2,HLH,tfs,1.99733726978773
NC_064046.1,13291135,13291385,peak100718,muscle_tentacle_retractor,11.9869867910397,Nvec_vc1.1_XM_032376827.2,1.42567361755133,4,Nkd1/Nkd2,"","","","",1.42567361755133
NC_064035.1,1197332,1197581,peak10084,muscle_tentacle_retractor,14.4704585688023,Nvec_vc1.1_XM_032377992.2,1.4184277147751,2,Wdsub1,"","",WD40/WD40/WD40/WD40/WD40/WD40/SAM_1/U-box,"",1.35723988979319
NC_064035.1,1197332,1197581,peak10084,muscle_tentacle_retractor,14.4704585688023,Nvec_vc1.1_XM_032377992.2,1.4184277147751,2,Wdsub1,"","",WD40/WD40/WD40/WD40/WD40/WD40/SAM_1/U-box,"",1.35723988979319
NC_064035.1,1202888,1203138,peak10088,muscle_tentacle_retractor,19.0592445700279,Nvec_vc1.1_XM_001629607.3,1.24937025619438,3,Itpripl2,"","",Mab-21,"",1.24937025619438
NC_064035.1,1202888,1203138,peak10088,muscle_tentacle_retractor,19.0592445700279,Nvec_vc1.1_XM_001629607.3,1.24937025619438,3,Itpripl2,"","",Mab-21,"",1.24937025619438
NC_064035.1,1202888,1203138,peak10088,muscle_tentacle_retractor,19.0592445700279,Nvec_vc1.1_XM_032377992.2,1.4184277147751,2,Wdsub1,"","",WD40/WD40/WD40/WD40/WD40/WD40/SAM_1/U-box,"",1.35723988979319
NC_064035.1,1202888,1203138,peak10088,muscle_tentacle_retractor,19.0592445700279,Nvec_vc1.1_XM_032377992.2,1.4184277147751,2,Wdsub1,"","",WD40/WD40/WD40/WD40/WD40/WD40/SAM_1/U-box,"",1.35723988979319
NC_064046.1,14145114,14145364,peak101157,muscle_tentacle_retractor,10.3934687138286,Nvec_vc1.1_XM_032375322.2,1.3204009770386,3,"","","",ANF_receptor/Pkinase_Tyr,"",1.3204009770386
NC_064046.1,14145114,14145364,peak101157,muscle_tentacle_retractor,10.3934687138286,Nvec_vc1.1_XM_032375306.2,1.28381709811913,10,"","","","","",1.28381709811913
NC_064047.1,892488,892738,peak101657,muscle_tentacle_retractor,7.47369272145435,Nvec_vc1.1_XM_032382323.2,1.25016964848163,10,Fhl5/Fhl4/Fhl1/Fhl2/Fhl3,"","",PET/LIM/LIM/LIM/LIM/LIM/LIM,"",1.25016964848163
NC_064047.1,894485,894735,peak101661,muscle_tentacle_retractor,20.4118267855927,Nvec_vc1.1_XM_032382323.2,1.25016964848163,10,Fhl5/Fhl4/Fhl1/Fhl2/Fhl3,"","",PET/LIM/LIM/LIM/LIM/LIM/LIM,"",1.25016964848163
NC_064047.1,896005,896255,peak101665,muscle_tentacle_retractor,8.8443436372302,Nvec_vc1.1_XM_032382323.2,1.25016964848163,10,Fhl5/Fhl4/Fhl1/Fhl2/Fhl3,"","",PET/LIM/LIM/LIM/LIM/LIM/LIM,"",1.25016964848163
NC_064047.1,986378,986628,peak101715,muscle_tentacle_retractor,112.478680125281,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,987175,987425,peak101716,muscle_tentacle_retractor,62.4671563287261,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989569,989819,peak101720,muscle_tentacle_retractor,11.1228297133519,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989569,989819,peak101720,muscle_tentacle_retractor,11.1228297133519,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989569,989819,peak101720,muscle_tentacle_retractor,11.1228297133519,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989569,989819,peak101720,muscle_tentacle_retractor,11.1228297133519,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989863,990113,peak101721,muscle_tentacle_retractor,17.5136940832028,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989863,990113,peak101721,muscle_tentacle_retractor,17.5136940832028,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,989863,990113,peak101721,muscle_tentacle_retractor,17.5136940832028,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
