seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	845011	845261	peak89	.	*	2.45872219946083	0.00143892183139088	0.0461913535221066
NC_064034.1	847839	848089	peak94	.	*	2.98296288537895	1.95533829476192e-07	5.86892872174461e-05
NC_064034.1	1264580	1264830	peak188	.	*	2.29287660317806	0.000900084789639456	0.0325878534749414
NC_064034.1	1581631	1581881	peak313	.	*	6.62619385003805	0.00149197833292824	0.0461913535221066
NC_064034.1	1588072	1588322	peak322	.	*	3.25071472293435	0.000203934986753837	0.0115964160595581
NC_064034.1	1588249	1588498	peak323	.	*	2.22369485550442	0.000599567099156853	0.0248859363531818
NC_064034.1	1652777	1653027	peak342	.	*	7.9113247920203	3.2305411581181e-05	0.00294356141857194
NC_064034.1	1659190	1659440	peak348	.	*	1.93116206422729	0.00155793139372265	0.0470564139750372
NC_064034.1	1659721	1659971	peak349	.	*	5.45659306123531	0.000408957669627763	0.0193095633053484
NC_064034.1	1663747	1663997	peak357	.	*	8.04661190704801	1.87474211607107e-05	0.00195489117274997
NC_064034.1	1663929	1664178	peak358	.	*	3.73521544339221	0.000849860461238965	0.0317011813706234
NC_064034.1	1711736	1711986	peak384	.	*	3.77710855710473	4.98289130926963e-06	0.000720946190980868
NC_064034.1	1714266	1714516	peak389	.	*	2.24828033965832	0.000430849354568126	0.0199012359082289
NC_064034.1	2045037	2045287	peak477	.	*	7.73609155158025	0.000859027544000011	0.0317011813706234
NC_064034.1	2045302	2045552	peak478	.	*	6.72306309077545	0.000859027544000011	0.0317011813706234
NC_064034.1	2046454	2046704	peak480	.	*	6.98914999653193	0.000286487360148681	0.014598648183129
NC_064034.1	2180968	2181218	peak559	.	*	2.71497806145393	2.13461075653904e-06	0.000373864618041155
NC_064034.1	2193711	2193961	peak576	.	*	3.86632121667644	8.67905852735921e-08	3.03323187930146e-05
NC_064034.1	2199206	2199456	peak584	.	*	1.48340544582044	0.000804823303247529	0.0313483796356027
NC_064034.1	2432751	2433001	peak679	.	*	3.08848263563293	0.000127080396784947	0.00826378879280055
NC_064034.1	2480463	2480713	peak702	.	*	2.57101698897716	3.96650667212937e-05	0.00351375564434535
NC_064034.1	2564671	2564921	peak750	.	*	4.94333765959785	8.16307390193096e-05	0.00599027181501431
NC_064034.1	2604663	2604913	peak773	.	*	3.83276702717193	4.04376596088332e-05	0.0035698011431844
NC_064034.1	3060021	3060271	peak918	.	*	1.76758100153291	3.97351021578326e-09	2.53437104079682e-06
NC_064034.1	3263751	3264001	peak994	.	*	2.66035539157706	0.00127310839107069	0.0425135994920457
NC_064034.1	3414762	3415012	peak1041	.	*	1.64452654743612	0.00161173917151561	0.0482516495886303
NC_064034.1	3462292	3462542	peak1067	.	*	2.04545501169438	5.11998745425759e-05	0.00424964189451605
NC_064034.1	3801077	3801327	peak1186	.	*	1.98883887264434	0.000119754304081716	0.00791515969413331
NC_064034.1	4046405	4046655	peak1254	.	*	5.28324203783104	1.84180703674246e-06	0.000337504793848863
NC_064034.1	4046656	4046906	peak1255	.	*	3.05057730714045	0.00030566891055155	0.0153139284226041
NC_064034.1	4058106	4058356	peak1260	.	*	4.21972266603626	0.000721452552042745	0.0289253721468034
NC_064034.1	4130616	4130866	peak1286	.	*	7.30135158029326	0.000165802880876548	0.00996092692035261
NC_064034.1	4172470	4172720	peak1322	.	*	1.32421667582613	1.71483469657004e-05	0.00183487630653673
NC_064034.1	4406270	4406520	peak1420	.	*	2.80338816358834	7.33553327064014e-12	1.93602429471812e-08
NC_064034.1	4407175	4407425	peak1422	.	*	3.71715407708994	2.35947029561843e-07	6.7890653190242e-05
NC_064034.1	4599818	4600068	peak1521	.	*	2.06115052954513	0.000672944720077716	0.0275727210842121
NC_064034.1	4599986	4600235	peak1522	.	*	2.49578292436579	0.000959719268485647	0.0340069413756271
NC_064034.1	4866867	4867117	peak1640	.	*	1.24313411457908	0.00151164375028618	0.0463845598226261
NC_064034.1	4873705	4873955	peak1652	.	*	3.03167699868186	9.22267539102006e-06	0.00116290795564727
NC_064034.1	4916657	4916907	peak1673	.	*	7.40136673694054	0.00149197833292824	0.0461913535221066
NC_064034.1	4917252	4917502	peak1674	.	*	1.93153634114385	0.000317863499307666	0.0157263325856562
NC_064034.1	4918799	4919049	peak1678	.	*	8.38599518027274	2.41073740171931e-07	6.808598496413e-05
NC_064034.1	4921485	4921735	peak1684	.	*	2.67403942603052	0.000947451262311288	0.0337440785085069
NC_064034.1	5134436	5134686	peak1761	.	*	1.34795957611602	0.000179574709671951	0.010578082447053
NC_064034.1	5371611	5371861	peak1841	.	*	6.42767032509254	0.000237376161317519	0.0131273819616476
NC_064034.1	5506859	5507109	peak1900	.	*	1.67550552493296	0.000142159746488635	0.00897001045073959
NC_064034.1	5508630	5508880	peak1904	.	*	2.74094067852574	0.000430849250808393	0.0199012359082289
NC_064034.1	5524160	5524410	peak1913	.	*	1.73720352206885	0.000117410980561904	0.00782106321170325
NC_064034.1	5653313	5653563	peak1958	.	*	2.41540917443491	3.15832756601787e-11	6.02667301267977e-08
NC_064034.1	5654406	5654656	peak1960	.	*	3.75813994293045	3.03311039707738e-06	0.000497105360966827
NC_064034.1	6197771	6198021	peak2111	.	*	7.61146090108041	1.87474211607107e-05	0.00195489117274997
NC_064034.1	6203325	6203575	peak2116	.	*	1.38013052145651	9.35205284190348e-05	0.00671470375622522
NC_064034.1	6493761	6494011	peak2214	.	*	2.59550420587209	0.000562544319375411	0.0237092605266273
NC_064034.1	6608539	6608789	peak2257	.	*	2.94895872479256	6.83438928262778e-05	0.0053376580297323
NC_064034.1	6686995	6687245	peak2286	.	*	2.74554670340995	0.000715158667577845	0.028792718681929
NC_064034.1	6688928	6689178	peak2288	.	*	2.15296837087315	3.62485243812083e-09	2.37429522461383e-06
NC_064034.1	6730295	6730545	peak2326	.	*	2.74666556146231	2.70772880103796e-05	0.00265900690753675
NC_064034.1	6731155	6731405	peak2328	.	*	4.71687370087633	3.08930605177868e-07	8.32567980954355e-05
NC_064034.1	6731844	6732094	peak2329	.	*	5.39580692647648	0.000707612923499055	0.0287062338543616
NC_064034.1	6759008	6759258	peak2345	.	*	2.78144524995893	1.3947697842597e-06	0.000266882224369173
NC_064034.1	6801708	6801958	peak2367	.	*	1.91139883264353	2.29172712100262e-05	0.00233250279770344
NC_064034.1	6810378	6810628	peak2376	.	*	1.44506552237652	1.22823733271549e-05	0.00141050873482328
NC_064034.1	6984972	6985222	peak2429	.	*	1.65277272946817	0.000380689185218716	0.0181766617955521
NC_064034.1	7066439	7066689	peak2457	.	*	1.73290678489104	0.00099787173179768	0.0350666237871124
NC_064034.1	7066760	7067010	peak2458	.	*	2.51055806903158	9.28545811753681e-06	0.00116315940000005
NC_064034.1	7091006	7091256	peak2478	.	*	3.2983293543794	0.00030566891055155	0.0153139284226041
NC_064034.1	7093863	7094113	peak2483	.	*	4.70159555627279	0.000243018071887487	0.0132573892987345
NC_064034.1	7175969	7176219	peak2507	.	*	1.72203315054277	1.40648915890893e-06	0.00026845353427574
NC_064034.1	7176724	7176974	peak2508	.	*	3.64226210046433	0.00144034953846762	0.0461913535221066
NC_064034.1	7179150	7179400	peak2512	.	*	2.25283580505171	3.2283779759057e-11	6.02667301267977e-08
NC_064034.1	7181254	7181504	peak2516	.	*	3.87503816989469	0.000729876601956127	0.0290940635961115
NC_064034.1	7188271	7188521	peak2520	.	*	4.27183511071929	6.46546032396034e-07	0.000150933316457528
NC_064034.1	7189274	7189524	peak2523	.	*	2.61554065126843	8.61201486939395e-09	4.84829726632261e-06
NC_064034.1	7190732	7190982	peak2525	.	*	1.35387624853885	1.12290718551067e-05	0.001308144142536
NC_064034.1	7293988	7294238	peak2549	.	*	1.51658104401444	0.000274723693059323	0.0145614972433341
NC_064034.1	8041730	8041980	peak2825	.	*	1.94413990704451	5.85783655078222e-05	0.0046751521785586
NC_064034.1	8211943	8212193	peak2907	.	*	3.82668524343142	8.9451055652234e-06	0.00114488376212553
NC_064034.1	8322281	8322531	peak2967	.	*	1.78636527338575	0.00123428989824672	0.0419014502965256
NC_064034.1	8322742	8322992	peak2968	.	*	3.16463732649623	0.000201574304192175	0.0114877841357116
NC_064034.1	8669817	8670067	peak3054	.	*	4.09128778942201	9.59101619568706e-07	0.000198399242590675
NC_064034.1	8719830	8720080	peak3082	.	*	4.13503565106919	0.0012488766439277	0.0420345297154522
NC_064034.1	8720310	8720560	peak3083	.	*	2.23375146564382	1.42349270489345e-08	7.51388169980241e-06
NC_064034.1	8875046	8875296	peak3172	.	*	1.91082619564752	0.00113875249121855	0.0394108540720634
NC_064034.1	9160306	9160556	peak3253	.	*	2.17476884991183	0.000144800057121972	0.00907674592301515
NC_064034.1	9161466	9161716	peak3255	.	*	6.01866042861624	2.6990347958008e-05	0.00265721300642545
NC_064034.1	9162319	9162569	peak3257	.	*	2.70241080242014	4.76445494810502e-09	2.96473051071595e-06
NC_064034.1	9162821	9163071	peak3258	.	*	1.60485346362526	0.000148253492097369	0.00924024900500688
NC_064034.1	9163752	9164002	peak3260	.	*	3.62230832313333	0.00125368865425878	0.0421223978137221
NC_064034.1	9175302	9175552	peak3268	.	*	6.34762534348301	0.00149197833292824	0.0461913535221066
NC_064034.1	9176442	9176692	peak3269	.	*	2.75531143903666	3.62947217434239e-09	2.37429522461383e-06
NC_064034.1	9381403	9381653	peak3377	.	*	6.42607608896187	0.000495666563930807	0.0217747735442717
NC_064034.1	9669088	9669338	peak3492	.	*	3.12954696664848	0.000201377368454939	0.0114851125386022
NC_064034.1	9735939	9736189	peak3527	.	*	1.035870463869	0.000266787060407721	0.0142394337723056
NC_064034.1	9769541	9769791	peak3538	.	*	1.60237260262141	0.000555462790285187	0.0235404269340242
NC_064034.1	9770934	9771184	peak3541	.	*	2.31324860932532	1.23237387636963e-08	6.64249519363233e-06
NC_064034.1	9772455	9772705	peak3544	.	*	5.25597442881054	0.000493888071353478	0.0217747735442717
NC_064034.1	9773898	9774148	peak3546	.	*	4.36822717324374	3.52690816046919e-05	0.00319080965468074
NC_064034.1	9774255	9774505	peak3547	.	*	4.06010203470732	0.000838046024168716	0.0317011813706234
NC_064034.1	10068084	10068334	peak3631	.	*	2.67041713795854	2.52952289893734e-05	0.00253795398946842
NC_064034.1	10070949	10071199	peak3635	.	*	3.39918548014461	0.000908576344880936	0.0327867120624692
NC_064034.1	10299625	10299875	peak3766	.	*	2.4605090966379	2.19109367354382e-06	0.000379416125759495
NC_064034.1	10304772	10305022	peak3776	.	*	2.4138955968722	1.45801809323193e-05	0.00163867531306586
NC_064034.1	10305886	10306136	peak3779	.	*	5.84028540434432	6.8480612301301e-08	2.55478483802136e-05
NC_064034.1	10306822	10307072	peak3781	.	*	2.01253825961563	0.000961074470753212	0.0340392030738127
NC_064034.1	10525310	10525560	peak3897	.	*	1.03549905962687	0.00148581548206933	0.0461913535221066
NC_064034.1	10671135	10671385	peak3936	.	*	7.49950563776182	0.00149197833292824	0.0461913535221066
NC_064034.1	10698959	10699209	peak3940	.	*	1.94553016403333	0.000794368991098402	0.0310517946070937
NC_064034.1	10974868	10975118	peak3999	.	*	2.29680585628324	0.000215480843866326	0.0120119976896146
NC_064034.1	11051456	11051706	peak4015	.	*	2.19369044804566	9.03856685911468e-06	0.00115107126499654
NC_064034.1	11228140	11228390	peak4080	.	*	1.68013622803696	2.62486568718819e-07	7.30552618058217e-05
NC_064034.1	11228731	11228981	peak4082	.	*	3.15721532167299	3.72677037876381e-05	0.0033400415837216
NC_064034.1	11237041	11237291	peak4101	.	*	2.81397759512904	1.80051678460299e-05	0.00191134471095622
NC_064034.1	11266624	11266874	peak4118	.	*	1.65053688715554	0.00153144329737414	0.0467918591195297
NC_064034.1	11825627	11825877	peak4330	.	*	2.29045615028055	0.000232335347031819	0.0128579051273473
NC_064034.1	12228700	12228950	peak4440	.	*	4.78038377292986	0.0012488766439277	0.0420345297154522
NC_064034.1	12408941	12409191	peak4507	.	*	2.36031719086303	0.000271654793784329	0.0144388295879618
NC_064034.1	12409843	12410093	peak4509	.	*	3.24651500726402	0.000189901613458588	0.0110465787060388
NC_064034.1	12410207	12410457	peak4510	.	*	2.98071082325064	0.000943365052163456	0.0336455146143926
NC_064034.1	12412076	12412326	peak4513	.	*	1.44342699373788	0.00119518721684151	0.0412431195683569
NC_064034.1	12425059	12425309	peak4535	.	*	1.88567594055451	0.000304761720490476	0.0153056775347113
NC_064034.1	12433979	12434229	peak4543	.	*	4.45609125891331	5.92379880005816e-05	0.00472287200582137
NC_064034.1	12434873	12435123	peak4544	.	*	3.10474348754971	2.6270394900198e-05	0.00261127725307968
NC_064034.1	12462678	12462928	peak4555	.	*	3.94306011799323	1.48021052242262e-07	4.70092750892872e-05
NC_064034.1	12463815	12464065	peak4556	.	*	7.83091772287099	3.2305411581181e-05	0.00294356141857194
NC_064034.1	12474560	12474810	peak4566	.	*	2.93060207095356	2.20987123350407e-10	2.34915450652687e-07
NC_064034.1	12475990	12476240	peak4568	.	*	4.62564047525877	0.00013945946387765	0.00886540568626876
NC_064034.1	12478107	12478357	peak4573	.	*	7.12918585350067	0.000859027544000011	0.0317011813706234
NC_064034.1	12483654	12483904	peak4575	.	*	3.90536449634044	2.02012364310361e-07	6.00249307987685e-05
NC_064034.1	12489623	12489873	peak4584	.	*	7.12064514943692	5.56898020662299e-05	0.00447729629258939
NC_064034.1	12630995	12631245	peak4627	.	*	2.11113380826634	0.000490617072870766	0.0217747735442717
NC_064034.1	12632886	12633136	peak4628	.	*	1.43335509796688	0.00100187876622359	0.0351428950546383
NC_064034.1	12648419	12648669	peak4639	.	*	7.39368698649879	0.000859027544000011	0.0317011813706234
NC_064034.1	12870327	12870577	peak4727	.	*	3.42890842245622	0.00152715392927549	0.0466794358781498
NC_064034.1	12878037	12878287	peak4740	.	*	3.21115637294543	4.25806677307107e-05	0.00371632103142937
NC_064034.1	12878343	12878593	peak4741	.	*	1.35165033249006	0.00143255721400115	0.0461913535221066
NC_064034.1	12989378	12989628	peak4788	.	*	1.68290423231774	0.00121353092681937	0.0417428152978591
NC_064034.1	13015992	13016242	peak4808	.	*	1.96406719765051	0.000510613419807323	0.0221763834227292
NC_064034.1	13354518	13354768	peak4937	.	*	1.53797730966	0.000180348718871118	0.0106099386971234
NC_064034.1	13499527	13499777	peak5015	.	*	2.21403066367415	4.38569177601288e-08	1.79503784573516e-05
NC_064034.1	13532103	13532353	peak5033	.	*	2.08668813224624	6.62097407555664e-05	0.0051868588924765
NC_064034.1	14596912	14597162	peak5227	.	*	7.76302043398406	0.000859027544000011	0.0317011813706234
NC_064034.1	15548683	15548933	peak5444	.	*	2.11926011413169	0.000530485038604099	0.022797453051477
NC_064034.1	15759291	15759541	peak5493	.	*	1.58254059011329	0.00155382885622951	0.0470438896353222
NC_064034.1	16064880	16065130	peak5604	.	*	1.74973174449739	0.000654105302222956	0.0268583216853759
NC_064034.1	16068470	16068720	peak5610	.	*	3.22865307726796	0.000430182588768703	0.0198944501384767
NC_064034.1	16358983	16359233	peak5693	.	*	2.87656640507146	6.12460155141517e-06	0.000838577376640812
NC_064034.1	16359752	16360002	peak5696	.	*	1.44630551007936	2.10641140539776e-07	6.20078908255131e-05
NC_064034.1	17102064	17102314	peak5974	.	*	1.46877648064102	3.94893170939066e-07	0.000101423937977632
NC_064034.1	17444212	17444462	peak6074	.	*	1.26179962269567	0.000671394554130702	0.0275239402164197
NC_064034.1	17631886	17632136	peak6116	.	*	6.26883508033661	0.00149197833292824	0.0461913535221066
NC_064034.1	17674613	17674863	peak6130	.	*	3.72169546871966	0.000298138302217484	0.0150657962972195
NC_064034.1	17769692	17769942	peak6169	.	*	2.13384145916846	6.26943521077903e-06	0.000854255489623031
NC_064034.1	17770663	17770913	peak6170	.	*	2.06323837536564	0.000863747404602512	0.0317987007472184
NC_064034.1	17945534	17945784	peak6207	.	*	1.96904963265669	1.05572665629497e-08	5.81318034672694e-06
NC_064034.1	17995466	17995716	peak6240	.	*	1.2121678646553	0.000674482140311882	0.0276209277983899
NC_064034.1	18023952	18024202	peak6257	.	*	2.83297252434951	1.34873806480884e-06	0.000259371140714421
NC_064034.1	18025962	18026212	peak6260	.	*	1.47512842814412	0.000285164897777622	0.014598648183129
NC_064034.1	18032905	18033154	peak6268	.	*	3.78099263148621	3.98143486103513e-05	0.00352282525385584
NC_064034.1	18033273	18033523	peak6269	.	*	3.57472538341227	0.000891137325181931	0.0323710814403297
NC_064034.1	18174052	18174302	peak6291	.	*	7.70839037161714	0.000495666563930807	0.0217747735442717
NC_064034.1	18175433	18175683	peak6292	.	*	7.98099982117664	9.60545786501464e-05	0.00673861167802466
NC_064034.1	18314082	18314332	peak6324	.	*	4.7498389783122	2.8085233184413e-05	0.00269371876875765
NC_064034.1	18315085	18315335	peak6325	.	*	6.57031930751048	0.000495666563930807	0.0217747735442717
NC_064034.1	18317616	18317866	peak6328	.	*	2.55769261270086	4.69115665878053e-05	0.00401175137820943
NC_064034.1	18318098	18318348	peak6329	.	*	2.94560973040139	3.76267988561097e-12	1.15195197233957e-08
NC_064034.1	18318760	18319010	peak6331	.	*	2.71357063372362	1.53076867540401e-07	4.82148036535275e-05
NC_064034.1	18320041	18320291	peak6334	.	*	3.2176924496116	0.00151265856590549	0.0463845598226261
NC_064034.1	18320943	18321193	peak6335	.	*	2.4356009193913	0.000898679725449635	0.0325832064549806
NC_064034.1	18321964	18322214	peak6337	.	*	3.15275606501096	0.000203605115080417	0.0115862663925836
NC_064034.1	18386860	18387110	peak6364	.	*	1.62209995531589	0.00072637879588853	0.029016482400687
NC_064034.1	18519913	18520163	peak6453	.	*	2.19442080634845	7.16949054304975e-07	0.000161393666818806
NC_064034.1	18521391	18521641	peak6456	.	*	3.77070001234127	0.000114177506510857	0.00767244775533622
NC_064034.1	18521704	18521954	peak6457	.	*	4.9126729581307	0.000707612923499055	0.0287062338543616
NC_064034.1	18523437	18523687	peak6460	.	*	5.06401839089943	8.1953550232941e-05	0.00600245055285056
NC_064034.1	18523846	18524096	peak6461	.	*	2.9765400520816	7.03655950535489e-09	4.1428014724681e-06
NC_064034.1	18686864	18687114	peak6513	.	*	1.84342052130117	0.000729544397804	0.0290940635961115
NC_064034.1	18944782	18945032	peak6604	.	*	2.97050477583285	0.000319928408318641	0.0157775003324047
NC_064034.1	19033791	19034041	peak6639	.	*	1.69630036134651	0.00139667048795188	0.0461913535221066
NC_064034.1	19323053	19323303	peak6737	.	*	2.90738247665836	8.04681051393047e-07	0.000174650144263188
NC_064034.1	19402125	19402375	peak6781	.	*	1.98978612378394	5.26002711281164e-09	3.22073564128302e-06
NC_064034.1	19402898	19403148	peak6782	.	*	5.09232467961298	1.80195548068217e-08	9.13364692585773e-06
