seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	2170716	2170966	peak544	.	*	3.31324716620471	0.000139929185243548	0.0195922794546544
NC_064034.1	2176575	2176825	peak554	.	*	3.21557808300315	1.31669901876476e-09	1.63015742984899e-06
NC_064034.1	2182306	2182556	peak562	.	*	1.4986343734689	2.1584672088697e-07	0.000121940823705747
NC_064034.1	2183614	2183864	peak563	.	*	7.66264355826734	0.000259671209567613	0.0285434385471595
NC_064034.1	2199869	2200119	peak586	.	*	2.37151392742799	7.53464456769168e-05	0.012526669507126
NC_064034.1	2200333	2200583	peak588	.	*	1.82080199373428	2.35547852642176e-05	0.00503907867551309
NC_064034.1	2205374	2205624	peak596	.	*	3.92393274038802	3.10646918304817e-06	0.000982403996154292
NC_064034.1	2404798	2405048	peak668	.	*	7.07114763242367	0.000147811625575165	0.0195922794546544
NC_064034.1	2406212	2406462	peak670	.	*	1.97355346281297	4.54276615863797e-06	0.00137676572919263
NC_064034.1	2947475	2947725	peak870	.	*	7.73437058165989	4.78417789416204e-05	0.00859217677417886
NC_064034.1	3590496	3590746	peak1122	.	*	2.37645473095238	3.22119518284783e-09	3.40796593626786e-06
NC_064034.1	3768859	3769109	peak1173	.	*	7.40070977845576	0.000259671209567613	0.0285434385471595
NC_064034.1	3769351	3769601	peak1174	.	*	4.17468306919163	2.06334696863776e-11	5.21738388266147e-08
NC_064034.1	4184393	4184643	peak1330	.	*	8.17108841815566	1.58559034619538e-06	0.000569530349720759
NC_064034.1	4573734	4573984	peak1500	.	*	3.26930947143732	0.000392271954665755	0.04004546100008
NC_064034.1	4710101	4710351	peak1557	.	*	6.80911573989113	0.000456198697456127	0.0428848885400235
NC_064034.1	4711188	4711438	peak1559	.	*	4.08877560205109	9.99457276374111e-10	1.26429172728116e-06
NC_064034.1	4712809	4713059	peak1563	.	*	1.66192494552817	0.000257896494831692	0.0285434385471595
NC_064034.1	4713367	4713617	peak1564	.	*	3.70008089006165	5.09537973700261e-17	9.8831683838815e-13
NC_064034.1	4870081	4870331	peak1645	.	*	1.2373178816485	0.000325217470418502	0.034979814022518
NC_064034.1	5173150	5173400	peak1776	.	*	2.43817084405774	4.71101813357853e-05	0.00859217677417886
NC_064034.1	5624295	5624545	peak1941	.	*	3.40260135780953	0.000438429410912055	0.0428848885400235
NC_064034.1	9211439	9211689	peak3289	.	*	4.57148412819368	1.2733653590685e-05	0.0032076128518977
NC_064034.1	9291514	9291764	peak3331	.	*	3.57776972892212	0.000147524392759573	0.0195922794546544
NC_064034.1	9441369	9441619	peak3399	.	*	3.31965365778906	1.16152326570958e-06	0.000459781478288264
NC_064034.1	11713648	11713898	peak4283	.	*	9.31801798191051	2.15190522579655e-11	5.21738388266147e-08
NC_064034.1	13054886	13055136	peak4815	.	*	5.20962998506496	0.000134772983894763	0.0194779320028331
NC_064034.1	13055386	13055636	peak4816	.	*	4.99846587874236	2.41235754406907e-10	3.44535586666317e-07
NC_064034.1	13056887	13057137	peak4818	.	*	2.60593992363402	2.32939838072923e-06	0.000797325661036783
NC_064034.1	13092708	13092958	peak4843	.	*	4.08165391443498	1.51047507594068e-05	0.00362253229973377
NC_064034.1	13223979	13224229	peak4884	.	*	2.60595815141473	1.37267901782092e-06	0.000515321415277299
NC_064034.1	14828715	14828965	peak5272	.	*	3.20722005363413	9.12632502274067e-05	0.0141613793799535
NC_064034.1	15061494	15061744	peak5320	.	*	1.05743214035723	0.000222741970779621	0.0272865948162008
NC_064034.1	15360524	15360774	peak5389	.	*	2.77592225311008	0.000152208798818745	0.0199479229605044
NC_064034.1	15805338	15805588	peak5520	.	*	3.5884771643795	1.57433228377981e-12	7.04683240468181e-09
NC_064034.1	16195949	16196199	peak5659	.	*	2.60892109355744	6.77257727765071e-05	0.0114644359570774
NC_064034.1	16738350	16738600	peak5830	.	*	3.14789505015974	9.26413663521475e-05	0.0142611335096961
NC_064034.1	16739640	16739890	peak5831	.	*	2.10331385363913	3.60503550600507e-09	3.74595376890945e-06
NC_064034.1	16740903	16741153	peak5833	.	*	7.21366903706809	0.000147811625575165	0.0195922794546544
NC_064034.1	17698044	17698294	peak6142	.	*	1.72302621398165	0.000165242161853419	0.0213199027851188
NC_064034.1	18676658	18676908	peak6504	.	*	2.45946733966468	0.000156690375452949	0.020443175464645
NC_064034.1	19427637	19427887	peak6791	.	*	7.54170859131488	0.000147811625575165	0.0195922794546544
NC_064034.1	19428871	19429121	peak6793	.	*	3.20116063024471	0.00015424765702275	0.0201697009314535
NC_064034.1	19735587	19735837	peak6907	.	*	2.67846567753088	2.94981755601754e-06	0.00093796138670549
NC_064034.1	21301805	21302055	peak7498	.	*	2.92954794580975	1.59320112518129e-05	0.00370827121092696
NC_064034.1	21500325	21500575	peak7575	.	*	3.41958693896344	0.000385658310673498	0.0394394928642885
