archetype_name	cell_type	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label	archetype_family	gene_name	cluster	minuslog10padj	fc_scaled	minuslog10padj_scaled	gene_label
ARCH1265_TFCP2__Tcfcp2l1__G...	cnidocyte	1.409285357967	0.160357518401682	0.11378640776699	305	12599	1.05107731235786e-09	1.87135104994023e-08	cnidocyte	Grainyhead_LSF		327	7.72784473481373	1.409285357967	7.72784473481373	""
ARCH1265_TFCP2__Tcfcp2l1__G...	cnidocyte_gastrula	1.06382917079585	0.119387819902204	0.112224615736838	1880	10784	0.0046399411399468	0.0205994302022831	cnidocyte_gastrula	Grainyhead_LSF		327	1.68614479241855	1.06382917079585	1.68614479241855	""
ARCH1265_TFCP2__Tcfcp2l1__G...	ecto_pharynx	1.00361256141498	0.113034044531694	0.112627171956008	2188	10384	0.439475257498965	1	ecto_pharynx	Grainyhead_LSF		327	0	1.00361256141498	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	ectoderm	0.977181000290327	0.110263417596599	0.112838274141473	2905	9611	0.878771042618027	1	ectoderm	Grainyhead_LSF		327	0	0.977181000290327	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	ecto_aboral	1.00059444862239	0.112268564015881	0.112201865771344	2856	9658	0.4920635650459	1	ecto_aboral	Grainyhead_LSF		327	0	1.00059444862239	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	EMS	1.0734429708647	0.11892396332062	0.110787407015039	2931	9621	0.000202636447149769	0.000804489986730232	EMS	Grainyhead_LSF		327	3.09447935707753	1.0734429708647	3.09447935707753	""
ARCH1265_TFCP2__Tcfcp2l1__G...	EMS_ecto_boundary	1.04156569599499	0.117370541710193	0.112686642965973	1573	11094	0.0563101193904877	0.203873325340403	EMS_ecto_boundary	Grainyhead_LSF		327	0.690639593325839	1.04156569599499	0.690639593325839	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_circular_muscle_1	1.17685875575593	0.134449518011162	0.114244396240058	265	12640	0.00344991182860993	0.0128682456328496	gastro_circular_muscle_1	Grainyhead_LSF		327	1.89048065775041	1.17685875575593	1.89048065775041	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_circular_muscle_2	1.12062672571762	0.128171478565179	0.114374818682913	293	12616	0.0231594030561908	0.0769159405346951	gastro_circular_muscle_2	Grainyhead_LSF		327	1.11398364499914	1.12062672571762	1.11398364499914	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_parietal_muscle	0.991091510291922	0.11353711790393	0.114557653581846	208	12686	0.5651641232587	0.918192324428763	gastro_parietal_muscle	Grainyhead_LSF		327	0.0370663420123489	0.991091510291922	0.0370663420123489	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_IRF1_2	1.30572814395171	0.149425287356322	0.114438283381176	78	12837	0.0091627875490311	0.0531011211314655	gastro_IRF1_2	Grainyhead_LSF		327	1.27489630950104	1.30572814395171	1.27489630950104	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gastro_somatic_gonad	1.22521669706478	0.140350877192982	0.114551880927853	16	12899	0.230896769301031	0.743587945482846	gastro_somatic_gonad	Grainyhead_LSF		327	0.128667659315304	1.22521669706478	0.128667659315304	""
ARCH1265_TFCP2__Tcfcp2l1__G...	muscle_tentacle_retractor	1.16392132650246	0.133219470538002	0.114457453012156	156	12758	0.0269195361432963	0.107865519534739	muscle_tentacle_retractor	Grainyhead_LSF		327	0.967117360404724	1.16392132650246	0.967117360404724	""
ARCH1265_TFCP2__Tcfcp2l1__G...	muscle_mesentery_retractor	1.07024877593308	0.122562674094708	0.114517929710177	88	12822	0.265954445085887	0.701414177697729	muscle_mesentery_retractor	Grainyhead_LSF		327	0.154025459963412	1.07024877593308	0.154025459963412	""
ARCH1265_TFCP2__Tcfcp2l1__G...	digestive_filaments_1	0.988268335731906	0.113286713286713	0.114631531933899	81	12833	0.562309658397776	0.965316878780278	digestive_filaments_1	Grainyhead_LSF		327	0.0153301000079156	0.988268335731906	0.0153301000079156	""
ARCH1265_TFCP2__Tcfcp2l1__G...	digestive_filaments_2	0.967866177110553	0.110927152317881	0.114610010083254	67	12844	0.630425928834872	0.933744064406367	digestive_filaments_2	Grainyhead_LSF		327	0.0297721458766838	0.967866177110553	0.0297721458766838	""
ARCH1265_TFCP2__Tcfcp2l1__G...	digestive_filaments_3	1.02347097391875	0.117241379310345	0.114552715512235	85	12822	0.427611074044348	0.820538138749544	digestive_filaments_3	Grainyhead_LSF		327	0.0859012280617938	1.02347097391875	0.0859012280617938	""
ARCH1265_TFCP2__Tcfcp2l1__G...	epidermis_1	1.15207223869082	0.131855309218203	0.114450556822756	113	12795	0.0639344041877277	0.232452033752012	epidermis_1	Grainyhead_LSF		327	0.633666649767353	1.15207223869082	0.633666649767353	""
ARCH1265_TFCP2__Tcfcp2l1__G...	epidermis_2	0.907946482774641	0.104273504273504	0.114845430046548	244	12657	0.948995729214278	1	epidermis_2	Grainyhead_LSF		327	0	0.907946482774641	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	precursors_PGC	1.07357707551545	0.122972972972973	0.114545080905281	91	12820	0.252143956323824	0.877928654377507	precursors_PGC	Grainyhead_LSF		327	0.0565407759721824	1.07357707551545	0.0565407759721824	""
ARCH1265_TFCP2__Tcfcp2l1__G...	precursors_endoNPC	0.769436972832763	0.0882352941176471	0.1146751419974	33	12881	0.957996981546118	1	precursors_endoNPC	Grainyhead_LSF		327	0	0.769436972832763	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	precursors_NPC	1.22858498831776	0.140625	0.114460945996541	72	12840	0.0400321354679102	0.166191100848752	precursors_NPC	Grainyhead_LSF		327	0.779392235400017	1.22858498831776	0.779392235400017	""
ARCH1265_TFCP2__Tcfcp2l1__G...	NPC_1	1.00009084878169	0.113255919167546	0.113245630939944	1502	11165	0.503276352026328	1	NPC_1	Grainyhead_LSF		327	0	1.00009084878169	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	NPC_2	1.00942812753682	0.11541889483066	0.114340874483359	259	12615	0.44690578145602	1	NPC_2	Grainyhead_LSF		327	0	1.00942812753682	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	neuron_GATA_Islet_1	1.04062478867971	0.119090909090909	0.114441737681461	262	12637	0.258135819064991	0.533254257805309	neuron_GATA_Islet_1	Grainyhead_LSF		327	0.27306566821052	1.04062478867971	0.27306566821052	""
ARCH1265_TFCP2__Tcfcp2l1__G...	neuron_GATA_Islet_2	0.822496369359455	0.0944669365721997	0.11485392530762	140	12769	0.994570299918447	1	neuron_GATA_Islet_2	Grainyhead_LSF		327	0	0.822496369359455	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	neuron_Pou4_FoxL2_1	1.02207450039775	0.117053923717668	0.114525823383829	267	12633	0.363461951308709	0.692060407839184	neuron_Pou4_FoxL2_1	Grainyhead_LSF		327	0.159855995649874	1.02207450039775	0.159855995649874	""
ARCH1265_TFCP2__Tcfcp2l1__G...	neuron_Pou4_FoxL2_2	1.11897455679157	0.127981384525887	0.114373811047901	220	12686	0.0443723033638552	0.15025679982231	neuron_Pou4_FoxL2_2	Grainyhead_LSF		327	0.823165865025823	1.11897455679157	0.823165865025823	""
ARCH1265_TFCP2__Tcfcp2l1__G...	neuron_Pou4_FoxL2_3	1.00338897705393	0.114964370546318	0.114576074857696	242	12661	0.488269392216178	0.911612151737663	neuron_Pou4_FoxL2_3	Grainyhead_LSF		327	0.0401898943325589	1.00338897705393	0.0401898943325589	""
ARCH1265_TFCP2__Tcfcp2l1__G...	neuronal_gastrula	1.00755044202961	0.1146959758908	0.113836460296476	647	12141	0.428041572733449	1	neuronal_gastrula	Grainyhead_LSF		327	0	1.00755044202961	0	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gland	1.17016428213042	0.133964817320704	0.114483768960034	99	12816	0.0572610310369264	0.22322754085953	gland	Grainyhead_LSF		327	0.651252225032615	1.17016428213042	0.651252225032615	""
ARCH1265_TFCP2__Tcfcp2l1__G...	gland_mucin	0.99188456536787	0.112518007430434	0.113438611063278	1484	11199	0.62752304805474	1	gland_mucin	Grainyhead_LSF		327	0	0.99188456536787	0	""
ARCH1475_GATA15	cnidocyte	1.40533078055162	0.163512092534175	0.116351320839919	311	12883	9.20260673806874e-10	1.65551060798382e-08	cnidocyte	GATA		376	7.78106803208251	1.40533078055162	7.78106803208251	""
ARCH1475_GATA15	cnidocyte_gastrula	0.942003161274957	0.109735187654791	0.116491315704578	1728	11194	0.993517866082993	1	cnidocyte_gastrula	GATA		376	0	0.942003161274957	0	""
ARCH1475_GATA15	ecto_pharynx	0.997780325014016	0.114790515059152	0.115045879520163	2222	10607	0.544423619760431	1	ecto_pharynx	GATA		376	0	0.997780325014016	0	""
ARCH1475_GATA15	ectoderm	0.975813573357236	0.112388977453883	0.11517464044614	2961	9810	0.894868127905286	1	ectoderm	GATA		376	0	0.975813573357236	0	""
ARCH1475_GATA15	ecto_aboral	0.985775382423982	0.113251307048233	0.114885509485693	2881	9889	0.767186326548648	1	ecto_aboral	GATA		376	0	0.985775382423982	0	""
ARCH1475_GATA15	EMS	0.944232512280668	0.109632394709081	0.116107413463531	2702	10083	0.997734353428245	1	EMS	GATA		376	0	0.944232512280668	0	""
ARCH1475_GATA15	EMS_ecto_boundary	0.971185832807049	0.112744366512461	0.11608938547486	1511	11429	0.875169794119876	1	EMS_ecto_boundary	GATA		376	0	0.971185832807049	0	""
ARCH1475_GATA15	gastro_circular_muscle_1	1.11938144053374	0.13089802130898	0.116937816341287	258	12938	0.0318664858756796	0.0914176430353798	gastro_circular_muscle_1	GATA		376	1.0389699800487	1.11938144053374	1.0389699800487	""
ARCH1475_GATA15	gastro_circular_muscle_2	1.027273464317	0.120297462817148	0.117103640847113	275	12917	0.328673017988755	0.699791541511419	gastro_circular_muscle_2	GATA		376	0.155031311205951	1.027273464317	0.155031311205951	""
