seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	836971	837221	peak79	.	*	5.64235419407552	2.07257616366749e-07	0.000155484663798335
NC_064034.1	2406212	2406462	peak670	.	*	7.68619543515768	0.000165634025370695	0.0290753328092217
NC_064034.1	3769351	3769601	peak1174	.	*	2.70405014265412	2.81996794611834e-15	6.69920985173026e-11
NC_064034.1	4163106	4163356	peak1308	.	*	8.60191078688761	2.69852073886114e-08	2.91395264451356e-05
NC_064034.1	4711188	4711438	peak1559	.	*	3.42470942848224	2.67609343294448e-05	0.00834099234732225
NC_064034.1	4712809	4713059	peak1563	.	*	3.08541099240736	0.000326725982663702	0.0455318715325371
NC_064034.1	4713367	4713617	peak1564	.	*	2.07255067926823	2.21893455344975e-08	2.55066526919049e-05
NC_064034.1	7071195	7071445	peak2470	.	*	2.37703384014093	8.79547914895571e-08	7.64445126179177e-05
NC_064034.1	8322281	8322531	peak2967	.	*	1.97283894669448	0.000215830124500203	0.0350387178656149
NC_064034.1	8767702	8767952	peak3108	.	*	3.70822137925982	2.90409876495573e-06	0.00133530461212665
NC_064034.1	9009045	9009295	peak3221	.	*	7.92245521442624	0.000286237792444027	0.0419750642586283
NC_064034.1	9215450	9215700	peak3296	.	*	1.36394154947014	2.72028060664514e-05	0.00835653786874969
NC_064034.1	9334414	9334664	peak3357	.	*	3.30392515443638	6.84099226782337e-05	0.0160157782490229
NC_064034.1	11230800	11231050	peak4087	.	*	2.17371436330692	1.29391760481403e-06	0.000654015700549584
NC_064034.1	13056887	13057137	peak4818	.	*	3.98557770431939	1.00068561203683e-06	0.000544411167055365
NC_064034.1	13579820	13580070	peak5074	.	*	7.63768533389494	3.85254070898136e-08	3.9792278809912e-05
NC_064034.1	13584440	13584690	peak5078	.	*	9.14091702237991	9.9749590441987e-10	1.87080356873947e-06
NC_064034.1	13584728	13584978	peak5079	.	*	9.63412896821447	9.9749590441987e-10	1.87080356873947e-06
NC_064034.1	15782021	15782271	peak5504	.	*	7.48097847660857	0.000165634218531816	0.0290753328092217
NC_064034.1	15966186	15966436	peak5579	.	*	3.91577988341843	2.84842630014568e-05	0.00859389467908834
NC_064034.1	16453883	16454133	peak5731	.	*	8.13355546186531	0.000165634218531816	0.0290753328092217
NC_064034.1	16495558	16495808	peak5747	.	*	4.22208778098883	4.82338480626642e-06	0.00205843001052576
NC_064034.1	16734908	16735158	peak5826	.	*	1.5591671725831	0.000252481538884685	0.0392028470474349
NC_064034.1	16739640	16739890	peak5831	.	*	3.83111937542488	0.000144875155952494	0.0273875530227541
NC_064034.1	16740491	16740741	peak5832	.	*	7.80679539209002	0.000286237792444027	0.0419750642586283
NC_064034.1	16864250	16864500	peak5875	.	*	3.8778264632877	5.66135567804692e-06	0.00230179183809984
NC_064034.1	17523894	17524144	peak6096	.	*	1.37157651295506	0.000256808302996748	0.0397879803179897
NC_064034.1	17933875	17934125	peak6199	.	*	5.33421963491132	1.60780772296969e-05	0.00558493000941966
NC_064034.1	17934576	17934826	peak6200	.	*	2.79630189379022	4.73475723454104e-05	0.0124978301240187
NC_064034.1	19428548	19428798	peak6792	.	*	1.32506129009091	0.00018422744864367	0.0309662878240228
NC_064034.1	19428871	19429121	peak6793	.	*	3.99213359839702	7.09363981464389e-14	6.31945769937319e-10
NC_064034.1	20218380	20218630	peak7091	.	*	1.41221003639394	0.000270834551404816	0.0417794537750429
NC_064034.1	21283215	21283465	peak7490	.	*	1.88574582235424	1.75979543097681e-09	2.85042864932468e-06
NC_064034.1	21501637	21501887	peak7576	.	*	4.06481002977541	2.3809819018342e-05	0.00760942597138213
NC_064035.1	2440289	2440539	peak8399	.	*	1.1984719133148	0.000156324691576123	0.0289379336206201
NC_064035.1	3382655	3382905	peak8758	.	*	8.88029540338589	2.69851758395864e-08	2.91395264451356e-05
NC_064035.1	3564215	3564465	peak8863	.	*	2.15847648932781	1.6940178147419e-05	0.00574909312565907
NC_064035.1	4040849	4041099	peak9037	.	*	6.40018056555496	3.08990669468192e-06	0.001403058968452
NC_064035.1	5046389	5046639	peak9405	.	*	5.26960021030524	1.05521954545471e-06	0.000553988010635761
NC_064035.1	5050448	5050698	peak9412	.	*	1.98953672313491	6.08978201275408e-06	0.00242465181154732
NC_064035.1	5052257	5052507	peak9416	.	*	5.45729557123993	1.97879442675463e-05	0.00646911467891633
NC_064035.1	5053308	5053558	peak9419	.	*	3.39857136679897	0.000249511060877675	0.03899649955634
NC_064035.1	5054086	5054336	peak9420	.	*	4.34448509879834	2.43057357078199e-06	0.00113652282217626
NC_064035.1	5054397	5054647	peak9421	.	*	6.73451176264388	0.000286237792444027	0.0419750642586283
NC_064035.1	5057194	5057444	peak9427	.	*	8.99601624378303	9.97494729233593e-10	1.87080356873947e-06
NC_064035.1	5343171	5343421	peak9553	.	*	1.14579490369077	2.60845613877464e-05	0.00818951808609383
NC_064035.1	5343998	5344248	peak9555	.	*	8.81442101858997	2.69852073886114e-08	2.91395264451356e-05
NC_064035.1	5345173	5345423	peak9557	.	*	5.75090678779313	3.54556799483106e-07	0.000233971375392236
NC_064035.1	5345609	5345859	peak9558	.	*	1.69382277214865	7.58634089270345e-08	6.75838661352603e-05
NC_064035.1	5350894	5351144	peak9564	.	*	3.5301967973293	0.000103281501603007	0.0210307695364135
NC_064035.1	5352752	5353002	peak9567	.	*	5.80139852424145	3.76145288285602e-14	4.46791642513776e-10
NC_064035.1	5353166	5353416	peak9568	.	*	8.34549905477532	2.40193727637594e-07	0.000171183667750037
NC_064035.1	8594107	8594357	peak10780	.	*	2.67724091517024	0.000109107657172557	0.0219524334070322
NC_064035.1	10595084	10595334	peak11583	.	*	3.78770629038185	0.000185841342633099	0.0310180951946565
NC_064035.1	10970097	10970347	peak11755	.	*	2.33970236150551	1.34692608236537e-06	0.000676014612423221
NC_064035.1	12141294	12141544	peak12175	.	*	4.19538165382451	0.00029024687005991	0.0423885331604503
NC_064035.1	14813568	14813818	peak13141	.	*	6.10598326841158	0.000237013756203229	0.0380444445739817
NC_064035.1	14814581	14814831	peak13142	.	*	5.22839914249699	3.7149986417709e-16	1.32382119100185e-11
NC_064035.1	15925454	15925704	peak13534	.	*	1.79801230794578	0.000362260837106032	0.0488976659085413
NC_064035.1	16116139	16116389	peak13578	.	*	3.44557985446408	0.000115068874188786	0.022907384342348
NC_064035.1	16333680	16333930	peak13684	.	*	2.27892191819916	2.72487592326415e-07	0.00019039135507364
NC_064035.1	16336951	16337201	peak13690	.	*	4.56468679749637	2.81478611369769e-07	0.000192891338016462
NC_064035.1	16352568	16352818	peak13707	.	*	2.99066043646477	3.58498815627779e-08	3.75733118984944e-05
NC_064035.1	16354098	16354348	peak13711	.	*	5.4931641511701	4.65235424109771e-07	0.000278629104545204
NC_064035.1	16355173	16355423	peak13713	.	*	4.43288449503463	0.000142594634904502	0.027172665869008
NC_064035.1	16355702	16355952	peak13714	.	*	4.74263231903978	6.84678360791622e-10	1.57407555145994e-06
NC_064035.1	18263264	18263514	peak14495	.	*	4.2425753161184	4.82742575540166e-05	0.0126487428735927
NC_064035.1	18263544	18263794	peak14496	.	*	3.3928214159525	6.22306926776656e-05	0.0147346154034703
NC_064035.1	18420506	18420756	peak14577	.	*	4.10724884707359	3.7022286678158e-09	5.73595945492532e-06
NC_064035.1	19251671	19251921	peak14940	.	*	2.98761395284549	8.94742200503165e-08	7.6828170948988e-05
NC_064035.1	19879840	19880090	peak15215	.	*	1.88260616979692	0.000291193047474011	0.0424397490806243
NC_064036.1	945213	945463	peak15979	.	*	8.14891334044938	4.14376786465517e-07	0.000254588096505266
NC_064036.1	945656	945906	peak15980	.	*	7.53699032109061	5.56150147707601e-05	0.0135740633140319
NC_064036.1	1459902	1460152	peak16160	.	*	2.66189222784586	1.28177098758024e-06	0.000652503832241829
NC_064036.1	2279923	2280173	peak16523	.	*	7.83250833513208	4.14376786465517e-07	0.000254588096505266
NC_064036.1	2280096	2280345	peak16524	.	*	3.0386877975626	0.000310805751849802	0.0441251297382142
NC_064036.1	2416080	2416330	peak16571	.	*	3.13572681662978	0.000304170615603233	0.043865372883259
NC_064036.1	2416770	2417020	peak16572	.	*	7.51607619676041	3.22562243658127e-05	0.009122495453679
NC_064036.1	2939858	2940108	peak16782	.	*	2.8614098262308	0.000349191826223886	0.0474934203495232
NC_064036.1	5563406	5563656	peak17647	.	*	2.55929282838229	4.10783775460504e-05	0.0111741026310285
NC_064036.1	7343555	7343805	peak18486	.	*	1.44798804431074	0.000169683270898416	0.0297129165446172
NC_064036.1	7633111	7633361	peak18617	.	*	1.9158210868989	0.000185168657279978	0.0309783686283727
NC_064036.1	7929099	7929349	peak18733	.	*	8.18057337098261	0.000286237792444027	0.0419750642586283
NC_064036.1	9520330	9520580	peak19272	.	*	1.96344817197098	2.8157653163296e-05	0.00853943737572317
NC_064036.1	9522754	9523004	peak19276	.	*	8.25801655625067	7.14597150179226e-07	0.000407428994368986
NC_064036.1	9981514	9981764	peak19475	.	*	1.88897422631625	0.00010295803111747	0.0210249739819799
NC_064036.1	10086178	10086428	peak19527	.	*	3.83308229164209	4.20438100204189e-08	4.22031027654258e-05
NC_064036.1	10101147	10101397	peak19536	.	*	1.16172802238234	0.000322166289638972	0.0451977742052753
NC_064036.1	10102149	10102399	peak19538	.	*	7.85729129302784	3.22562243658127e-05	0.009122495453679
NC_064036.1	10102532	10102782	peak19539	.	*	2.61560168664486	2.1753556952725e-06	0.00103356950030917
NC_064036.1	10104933	10105183	peak19544	.	*	5.358409479099	7.98759588804236e-07	0.000448242497121962
NC_064036.1	10354958	10355208	peak19641	.	*	3.8155185420524	0.000144875155952494	0.0273875530227541
NC_064036.1	10599926	10600176	peak19765	.	*	3.72035872986507	1.02666685007557e-06	0.000547621843224669
NC_064036.1	11581479	11581729	peak20200	.	*	2.4428047663997	0.000101473254512217	0.0208412028121936
NC_064036.1	13774884	13775134	peak21138	.	*	6.30337330209273	6.99329526947078e-12	3.11503225349946e-08
NC_064036.1	13775989	13776239	peak21141	.	*	3.75832361467508	1.75284062666753e-21	1.24923198621968e-16
