cell_type	stage	gene	gene_name	common_name	og	pfam	expression_fc	expression_umifrac	gene_score	zscore	motif	id	target_self
EMS	gastrula	Nvec_vc1.1_XM_032362379.2	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	1.84703001747535	0.0786572116134725	1.77578025836361	15.0348111537202	ARCH1546_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032362379.2__ARCH1546_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001623084.3	Six4/Six5	Six4/5	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain	7.24462141672929	0.771589790113111	1.71677992796766	16.516187460924	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_001623084.3__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032364561.2	Hnf1a/Hnf1b	""	Homeodomains.HG2.0:HNF1A/HNF1B	HNF-1_N/Homeodomain	1.90393003582914	0.065353939370143	1.41273467487596	8.00716428140625	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032364561.2__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001634956.3	Gsc2/Gsc//Obox1/Obox7/Obox2	""	Homeodomains.HG2.43:GSC/GSC2	Homeodomain	1.86542556201685	0.0670329931484273	2.12369416267596	24.4213800388994	ARCH1633_M02161_2.00	Nvec_vc1.1_XM_001634956.3__ARCH1633_M02161_2.00	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032379688.2	""	NVHD033-ANTP	Homeodomains.HG1.39:BARHL1/BARHL2	Homeodomain	1.73597721032441	0.0560545645981069	5.71437803110693	12.9585037799016	ARCH1362_Six1/_Six4/Six5	Nvec_vc1.1_XM_032379688.2__ARCH1362_Six1/_Six4/Six5	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032380975.2	Erg/Fli1/Fev	""	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	SAM_PNT/Ets	1.57582819483537	1.257482121952	1.32730689981135	12.4593532251931	ARCH584_Elf3/Ehf/Elf5_Erg/F...	Nvec_vc1.1_XM_032380975.2__ARCH584_Elf3/Ehf/Elf5_Erg/F...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032374843.2	Tbx10/Tbx1	Tbx1/10-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	1.43076182544048	0.0285439142308332	4.83368267815592	5.68837025270847	ARCH862_Tbx18/Tbx22/Tbx15_T...	Nvec_vc1.1_XM_032374843.2__ARCH862_Tbx18/Tbx22/Tbx15_T...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032381908.2	""	Hand2	HLH.HG1.66:like:HAND1/HAND2	HLH	5.15534004488138	0.412401439543215	5.06011286341874	10.1186298357586	ARCH779_Twist2/Twist1	Nvec_vc1.1_XM_032381908.2__ARCH779_Twist2/Twist1	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001634768.3	""	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain	4.21295086446713	0.269940184354939	1.75128822911704	13.2000023042919	ARCH273_HOXD3	Nvec_vc1.1_XM_001634768.3__ARCH273_HOXD3	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032387186.2	Snai2	SnailA	zf-C2H2.HG7.5:SNAI1/SNAI2/SNAI3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	4.59310539241125	0.400389747129335	4.02583572226555	10.0767596976594	ARCH866_ZNF317	Nvec_vc1.1_XM_032387186.2__ARCH866_ZNF317	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032373618.2	Nkx2-2/Nkx2-9	Nkx-2.2a	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	3.22634201844694	0.186374969389558	1.48691211016726	4.94538459418721	ARCH1502_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032373618.2__ARCH1502_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032383693.2	""	""	Homeodomains.HG1.53:MNX1	Homeodomain	1.48535407213995	0.0347434974121907	1.16942140245229	9.85611718399975	ARCH1546_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032383693.2__ARCH1546_Meis3/Meis2/Meis1_...	TRUE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032362379.2	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	1.84703001747535	0.0786572116134725	1.80364727636075	8.20612510716904	ARCH1546_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032362379.2__ARCH1546_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001623084.3	Six4/Six5	Six4/5	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain	7.24462141672929	0.771589790113111	3.02672217420168	20.5137847253303	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_001623084.3__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032364561.2	Hnf1a/Hnf1b	""	Homeodomains.HG2.0:HNF1A/HNF1B	HNF-1_N/Homeodomain	1.90393003582914	0.065353939370143	1.37428033857131	5.25033970951387	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032364561.2__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001634956.3	Gsc2/Gsc//Obox1/Obox7/Obox2	""	Homeodomains.HG2.43:GSC/GSC2	Homeodomain	1.86542556201685	0.0670329931484273	2.29253639206492	23.1882380980557	ARCH1633_M02161_2.00	Nvec_vc1.1_XM_001634956.3__ARCH1633_M02161_2.00	TRUE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001634768.3	""	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain	4.21295086446713	0.269940184354939	1.31658732623085	11.9808909876672	ARCH273_HOXD3	Nvec_vc1.1_XM_001634768.3__ARCH273_HOXD3	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001623946.3	Hesx1	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain	4.91348939174213	0.690736892789575	1.71595454481291	9.85376174322917	ARCH18_Alx3/Alx4/Alx1_Barx2...	Nvec_vc1.1_XM_001623946.3__ARCH18_Alx3/Alx4/Alx1_Barx2...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032387186.2	Snai2	SnailA	zf-C2H2.HG7.5:SNAI1/SNAI2/SNAI3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	4.59310539241125	0.400389747129335	2.68461050989946	8.98788399093293	ARCH866_ZNF317	Nvec_vc1.1_XM_032387186.2__ARCH866_ZNF317	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032373618.2	Nkx2-2/Nkx2-9	Nkx-2.2a	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	3.22634201844694	0.186374969389558	1.14947786417752	7.59884415117496	ARCH1502_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032373618.2__ARCH1502_Meis3/Meis2/Meis1_...	FALSE
NPC_1	gastrula	Nvec_vc1.1_XM_032372264.2	/Sox4/Sox11	NvSoxC	HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12	HMG_box	3.12173299135105	1.43815972289939	1.17751601974747	22.4489744130262	ARCH1170_/Sox4/Sox11_Sox13/...	Nvec_vc1.1_XM_032372264.2__ARCH1170_/Sox4/Sox11_Sox13/...	TRUE
NPC_1	gastrula	Nvec_vc1.1_XM_001632947.3	Sox3/Sox2	NvSoxB1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp	1.78166910873296	0.536022547224059	0.92220139525803	11.5980587828751	ARCH67_Oct4:Sox17	Nvec_vc1.1_XM_001632947.3__ARCH67_Oct4:Sox17	FALSE
NPC_1	gastrula	Nvec_vc1.1_XM_001631173.3	Vsx1/Vsx2	""	Homeodomains.HG2.62:VSX1/VSX2	Homeodomain	1.43178048194637	0.0703271037703011	1.01722713373908	5.61585357618847	ARCH335_Alx3/Alx4/Alx1_Barx...	Nvec_vc1.1_XM_001631173.3__ARCH335_Alx3/Alx4/Alx1_Barx...	FALSE
NPC_1	gastrula	Nvec_vc1.1_XM_032387167.2	""	FoxA/D?	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead	2.06748355918231	0.325632219978453	1.46245831896182	18.0745087396732	ARCH1102_Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_032387167.2__ARCH1102_Foxa3/Foxa1/Foxa2_...	TRUE
